C8,Counts
ENSDARG00000000001,34
ENSDARG00000000002,127
ENSDARG00000000018,179
ENSDARG00000000019,215
ENSDARG00000000068,40
ENSDARG00000000069,236
ENSDARG00000000086,596
ENSDARG00000000103,676
ENSDARG00000000142,7
ENSDARG00000000151,141
ENSDARG00000000161,79
ENSDARG00000000175,73
ENSDARG00000000183,352
ENSDARG00000000189,593
ENSDARG00000000212,351
ENSDARG00000000229,149
ENSDARG00000000241,142
ENSDARG00000000349,0
ENSDARG00000000369,2
ENSDARG00000000370,648
ENSDARG00000000380,113
ENSDARG00000000394,279
ENSDARG00000000423,79
ENSDARG00000000442,51
ENSDARG00000000460,0
ENSDARG00000000472,159
ENSDARG00000000474,21
ENSDARG00000000476,41
ENSDARG00000000489,81
ENSDARG00000000503,2124
ENSDARG00000000516,0
ENSDARG00000000529,54
ENSDARG00000000540,128
ENSDARG00000000542,28
ENSDARG00000000551,16
ENSDARG00000000563,60821
ENSDARG00000000567,143
ENSDARG00000000568,113
ENSDARG00000000588,3
ENSDARG00000000606,38
ENSDARG00000000631,87
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,39
ENSDARG00000000690,25
ENSDARG00000000729,159
ENSDARG00000000730,25
ENSDARG00000000747,4
ENSDARG00000000760,63
ENSDARG00000000767,32
ENSDARG00000000779,231
ENSDARG00000000796,0
ENSDARG00000000804,17
ENSDARG00000000830,6
ENSDARG00000000837,161
ENSDARG00000000853,201
ENSDARG00000000857,48
ENSDARG00000000861,609
ENSDARG00000000887,0
ENSDARG00000000906,13
ENSDARG00000000935,28
ENSDARG00000000943,129
ENSDARG00000000966,1624
ENSDARG00000001014,690
ENSDARG00000001015,391
ENSDARG00000001057,71
ENSDARG00000001127,281
ENSDARG00000001129,334
ENSDARG00000001154,259
ENSDARG00000001162,307
ENSDARG00000001169,0
ENSDARG00000001210,42
ENSDARG00000001220,885
ENSDARG00000001234,110
ENSDARG00000001241,280
ENSDARG00000001244,776
ENSDARG00000001249,20
ENSDARG00000001259,6
ENSDARG00000001303,0
ENSDARG00000001313,59
ENSDARG00000001354,17
ENSDARG00000001414,16
ENSDARG00000001431,1429
ENSDARG00000001437,77
ENSDARG00000001442,81
ENSDARG00000001447,73
ENSDARG00000001452,11
ENSDARG00000001463,296
ENSDARG00000001470,63
ENSDARG00000001498,1
ENSDARG00000001549,204
ENSDARG00000001557,28
ENSDARG00000001558,36
ENSDARG00000001559,624
ENSDARG00000001572,0
ENSDARG00000001578,38
ENSDARG00000001621,47
ENSDARG00000001634,353
ENSDARG00000001656,0
ENSDARG00000001676,181
ENSDARG00000001686,18
ENSDARG00000001710,277
ENSDARG00000001712,11
ENSDARG00000001721,15
ENSDARG00000001729,347
ENSDARG00000001733,64
ENSDARG00000001734,70
ENSDARG00000001754,145
ENSDARG00000001760,74
ENSDARG00000001767,5
ENSDARG00000001769,102
ENSDARG00000001771,0
ENSDARG00000001776,33
ENSDARG00000001777,124
ENSDARG00000001781,28
ENSDARG00000001782,3
ENSDARG00000001785,70
ENSDARG00000001788,231
ENSDARG00000001803,38
ENSDARG00000001804,0
ENSDARG00000001807,58
ENSDARG00000001817,45
ENSDARG00000001818,101
ENSDARG00000001825,1
ENSDARG00000001829,674
ENSDARG00000001835,410
ENSDARG00000001857,420
ENSDARG00000001859,13
ENSDARG00000001870,1021
ENSDARG00000001873,35
ENSDARG00000001879,133
ENSDARG00000001880,38
ENSDARG00000001881,61
ENSDARG00000001882,98
ENSDARG00000001888,137
ENSDARG00000001889,297
ENSDARG00000001890,213
ENSDARG00000001891,76
ENSDARG00000001897,51
ENSDARG00000001898,17
ENSDARG00000001906,1
ENSDARG00000001909,4
ENSDARG00000001910,336
ENSDARG00000001912,23
ENSDARG00000001913,72
ENSDARG00000001929,44
ENSDARG00000001930,25
ENSDARG00000001933,4
ENSDARG00000001937,15
ENSDARG00000001939,46
ENSDARG00000001940,69
ENSDARG00000001950,1367
ENSDARG00000001953,26
ENSDARG00000001968,175
ENSDARG00000001969,54
ENSDARG00000001971,2
ENSDARG00000001975,43
ENSDARG00000001976,63
ENSDARG00000001993,118
ENSDARG00000001994,1032
ENSDARG00000001999,109
ENSDARG00000002002,32
ENSDARG00000002006,319
ENSDARG00000002013,100
ENSDARG00000002016,11
ENSDARG00000002020,164
ENSDARG00000002021,46
ENSDARG00000002026,293
ENSDARG00000002031,0
ENSDARG00000002037,49
ENSDARG00000002060,11
ENSDARG00000002071,89
ENSDARG00000002077,24
ENSDARG00000002082,205
ENSDARG00000002084,165
ENSDARG00000002097,0
ENSDARG00000002127,162
ENSDARG00000002128,67
ENSDARG00000002131,515
ENSDARG00000002165,0
ENSDARG00000002167,175
ENSDARG00000002168,99
ENSDARG00000002172,23
ENSDARG00000002174,12
ENSDARG00000002184,46
ENSDARG00000002190,80
ENSDARG00000002192,35
ENSDARG00000002193,3551
ENSDARG00000002194,12
ENSDARG00000002196,48
ENSDARG00000002197,59
ENSDARG00000002204,0
ENSDARG00000002210,41
ENSDARG00000002213,9
ENSDARG00000002215,39
ENSDARG00000002216,79
ENSDARG00000002217,300
ENSDARG00000002219,3
ENSDARG00000002220,53
ENSDARG00000002230,275
ENSDARG00000002231,24
ENSDARG00000002235,67
ENSDARG00000002240,62
ENSDARG00000002241,9
ENSDARG00000002249,70
ENSDARG00000002255,297
ENSDARG00000002259,0
ENSDARG00000002264,24
ENSDARG00000002267,27
ENSDARG00000002271,262
ENSDARG00000002285,74
ENSDARG00000002293,0
ENSDARG00000002295,6
ENSDARG00000002298,0
ENSDARG00000002299,9
ENSDARG00000002300,4
ENSDARG00000002304,0
ENSDARG00000002305,161
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,157
ENSDARG00000002333,103
ENSDARG00000002336,204
ENSDARG00000002339,10
ENSDARG00000002344,895
ENSDARG00000002347,0
ENSDARG00000002353,7
ENSDARG00000002355,0
ENSDARG00000002362,78
ENSDARG00000002365,47
ENSDARG00000002369,178
ENSDARG00000002377,25
ENSDARG00000002385,72
ENSDARG00000002391,0
ENSDARG00000002394,0
ENSDARG00000002396,192
ENSDARG00000002401,0
ENSDARG00000002402,94
ENSDARG00000002403,73
ENSDARG00000002405,64
ENSDARG00000002406,0
ENSDARG00000002411,33
ENSDARG00000002445,24
ENSDARG00000002463,48
ENSDARG00000002467,16
ENSDARG00000002479,43
ENSDARG00000002483,9
ENSDARG00000002487,121
ENSDARG00000002494,37
ENSDARG00000002506,28
ENSDARG00000002507,34
ENSDARG00000002508,86
ENSDARG00000002509,3
ENSDARG00000002510,0
ENSDARG00000002523,108
ENSDARG00000002533,8
ENSDARG00000002536,49
ENSDARG00000002538,114
ENSDARG00000002546,53
ENSDARG00000002549,33
ENSDARG00000002552,179
ENSDARG00000002564,110
ENSDARG00000002571,69
ENSDARG00000002576,40
ENSDARG00000002582,7
ENSDARG00000002587,706
ENSDARG00000002589,400
ENSDARG00000002591,23
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,284
ENSDARG00000002601,6
ENSDARG00000002607,112
ENSDARG00000002609,124
ENSDARG00000002613,0
ENSDARG00000002632,120
ENSDARG00000002634,51
ENSDARG00000002635,386
ENSDARG00000002642,24
ENSDARG00000002644,10
ENSDARG00000002656,236
ENSDARG00000002659,153
ENSDARG00000002663,54
ENSDARG00000002666,10
ENSDARG00000002670,136
ENSDARG00000002682,199
ENSDARG00000002685,0
ENSDARG00000002690,36
ENSDARG00000002696,1107
ENSDARG00000002701,2
ENSDARG00000002707,0
ENSDARG00000002710,859
ENSDARG00000002720,29
ENSDARG00000002722,0
ENSDARG00000002728,4
ENSDARG00000002731,162
ENSDARG00000002732,13
ENSDARG00000002745,189
ENSDARG00000002748,86
ENSDARG00000002750,67
ENSDARG00000002754,25
ENSDARG00000002758,2308
ENSDARG00000002760,16
ENSDARG00000002764,2
ENSDARG00000002768,3564
ENSDARG00000002771,52
ENSDARG00000002779,0
ENSDARG00000002787,281
ENSDARG00000002790,285
ENSDARG00000002791,1659
ENSDARG00000002792,177
ENSDARG00000002795,25
ENSDARG00000002797,0
ENSDARG00000002798,54
ENSDARG00000002816,256
ENSDARG00000002826,88
ENSDARG00000002830,14
ENSDARG00000002831,93
ENSDARG00000002840,183
ENSDARG00000002847,82
ENSDARG00000002872,16
ENSDARG00000002877,205
ENSDARG00000002880,205
ENSDARG00000002894,67
ENSDARG00000002897,52
ENSDARG00000002909,28
ENSDARG00000002912,73
ENSDARG00000002916,112
ENSDARG00000002917,12
ENSDARG00000002933,73
ENSDARG00000002937,192
ENSDARG00000002945,17
ENSDARG00000002947,70
ENSDARG00000002949,110
ENSDARG00000002952,87
ENSDARG00000002956,2
ENSDARG00000002959,0
ENSDARG00000002967,66
ENSDARG00000002968,84
ENSDARG00000002970,137
ENSDARG00000002971,32
ENSDARG00000002986,2
ENSDARG00000002988,128
ENSDARG00000002991,78
ENSDARG00000002994,52
ENSDARG00000003008,167
ENSDARG00000003017,52
ENSDARG00000003020,75
ENSDARG00000003021,54
ENSDARG00000003022,10
ENSDARG00000003027,6
ENSDARG00000003032,1116
ENSDARG00000003035,472
ENSDARG00000003041,20
ENSDARG00000003046,118
ENSDARG00000003054,4
ENSDARG00000003058,150
ENSDARG00000003061,25
ENSDARG00000003068,118
ENSDARG00000003069,58
ENSDARG00000003077,60
ENSDARG00000003081,6114
ENSDARG00000003084,68
ENSDARG00000003085,54
ENSDARG00000003087,167
ENSDARG00000003090,0
ENSDARG00000003091,13
ENSDARG00000003098,640
ENSDARG00000003109,58
ENSDARG00000003113,182
ENSDARG00000003127,148
ENSDARG00000003132,39
ENSDARG00000003142,66
ENSDARG00000003144,29
ENSDARG00000003146,23
ENSDARG00000003151,374
ENSDARG00000003153,26
ENSDARG00000003157,52
ENSDARG00000003165,99
ENSDARG00000003167,25
ENSDARG00000003169,956
ENSDARG00000003175,14
ENSDARG00000003181,3
ENSDARG00000003189,349
ENSDARG00000003193,22
ENSDARG00000003197,8
ENSDARG00000003200,18
ENSDARG00000003203,63
ENSDARG00000003205,6
ENSDARG00000003206,37
ENSDARG00000003207,394
ENSDARG00000003208,23
ENSDARG00000003210,43
ENSDARG00000003213,340
ENSDARG00000003216,105
ENSDARG00000003217,74
ENSDARG00000003219,76
ENSDARG00000003229,0
ENSDARG00000003235,16
ENSDARG00000003244,19
ENSDARG00000003250,45
ENSDARG00000003251,31
ENSDARG00000003257,16
ENSDARG00000003259,6
ENSDARG00000003269,512
ENSDARG00000003270,41
ENSDARG00000003281,87
ENSDARG00000003287,30
ENSDARG00000003290,79
ENSDARG00000003293,175
ENSDARG00000003303,0
ENSDARG00000003307,55
ENSDARG00000003308,122
ENSDARG00000003311,246
ENSDARG00000003313,7
ENSDARG00000003320,171
ENSDARG00000003326,11
ENSDARG00000003328,42
ENSDARG00000003344,0
ENSDARG00000003373,22
ENSDARG00000003375,19
ENSDARG00000003380,3
ENSDARG00000003381,25
ENSDARG00000003382,97
ENSDARG00000003383,60
ENSDARG00000003395,122
ENSDARG00000003398,26
ENSDARG00000003399,7
ENSDARG00000003403,423
ENSDARG00000003411,31
ENSDARG00000003414,1
ENSDARG00000003420,18
ENSDARG00000003421,173
ENSDARG00000003429,264
ENSDARG00000003444,15
ENSDARG00000003446,31
ENSDARG00000003449,230
ENSDARG00000003462,226
ENSDARG00000003469,72
ENSDARG00000003475,0
ENSDARG00000003486,283
ENSDARG00000003487,197
ENSDARG00000003495,1299
ENSDARG00000003512,582
ENSDARG00000003517,7
ENSDARG00000003519,15
ENSDARG00000003520,76
ENSDARG00000003523,0
ENSDARG00000003526,66
ENSDARG00000003527,57
ENSDARG00000003531,88
ENSDARG00000003533,12
ENSDARG00000003544,198
ENSDARG00000003553,0
ENSDARG00000003564,43
ENSDARG00000003570,155
ENSDARG00000003573,88
ENSDARG00000003576,23
ENSDARG00000003584,29
ENSDARG00000003592,18
ENSDARG00000003599,4519
ENSDARG00000003607,63
ENSDARG00000003615,9
ENSDARG00000003616,125
ENSDARG00000003631,416
ENSDARG00000003632,3
ENSDARG00000003635,9
ENSDARG00000003641,79
ENSDARG00000003642,41
ENSDARG00000003655,681
ENSDARG00000003675,0
ENSDARG00000003680,413
ENSDARG00000003681,472
ENSDARG00000003684,57
ENSDARG00000003693,48
ENSDARG00000003695,624
ENSDARG00000003697,3
ENSDARG00000003699,119
ENSDARG00000003701,3
ENSDARG00000003705,371
ENSDARG00000003706,22
ENSDARG00000003732,16
ENSDARG00000003749,53
ENSDARG00000003750,32
ENSDARG00000003751,117
ENSDARG00000003754,94
ENSDARG00000003757,4
ENSDARG00000003769,29
ENSDARG00000003776,141
ENSDARG00000003779,290
ENSDARG00000003789,289
ENSDARG00000003795,1135
ENSDARG00000003797,23
ENSDARG00000003803,17
ENSDARG00000003808,18
ENSDARG00000003811,544
ENSDARG00000003818,77
ENSDARG00000003820,283
ENSDARG00000003822,40
ENSDARG00000003827,6
ENSDARG00000003829,126
ENSDARG00000003835,293
ENSDARG00000003841,16
ENSDARG00000003845,78
ENSDARG00000003846,12
ENSDARG00000003854,176
ENSDARG00000003860,83
ENSDARG00000003865,5
ENSDARG00000003866,168
ENSDARG00000003867,65
ENSDARG00000003869,18
ENSDARG00000003872,176
ENSDARG00000003877,423
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,261
ENSDARG00000003903,14
ENSDARG00000003904,9
ENSDARG00000003909,0
ENSDARG00000003910,287
