Dose (µg/L),Replicate,Alive,Dead,Total Dead (to date),Deformities,Total Deform (to date),Hatched,Notes,Survival Rate,Deformity Rate,Hatch Rate
100,A,16,1,4,1,2,16,"1 stunted dev, 1 curved tail",0.8,0.05,1
100,B,16,1,4,0,1,16,"1 stunted dev, 1 curved tail",0.8,0,1
100,C,15,1,5,0,1,15,"1 stunted dev, 1 curved tail",0.75,0,1
10,A,11,3,9,1,4,11,"2 curved tails, 2 stunted dev",0.55,0.05,1
10,B,13,0,7,1,1,13,1 stunted dev,0.65,0.05,1
10,C,13,3,7,0,1,13,1 stunted dev,0.65,0,1
1,A,12,1,8,0,3,12,"2 curved tails, 1 stunted dev",0.6,0,1
1,B,14,3,6,0,2,14,2 stunted dev,0.7,0,1
1,C,11,2,9,0,3,11,"1 expanded chest, 2 curved tails",0.55,0,1
0.1,A,14,0,6,0,0,14,,0.7,0,1
0.1,B,16,0,4,1,1,16,curved spine,0.8,0.05,1
0.1,C,16,1,4,1,2,16,2 stunted development,0.8,0.05,1
0.01,A,14,1,6,1,1,14,expanded torso,0.7,0.05,1
0.01,B,14,3,6,0,3,14,"2 expanded torso, 1 curved spine",0.7,0,1
0.01,C,17,0,3,1,1,17,expanded torso,0.85,0.05,1
0,A,18,0,2,1,1,18,curved pine and tail,0.9,0.05,1
0,B,13,0,7,0,0,13,,0.65,0,1
0,C,14,1,6,1,1,14,curved spine and tail,0.7,0.05,1
