F2,Counts
ENSDARG00000000001,0
ENSDARG00000000002,61
ENSDARG00000000018,45
ENSDARG00000000019,135
ENSDARG00000000068,38
ENSDARG00000000069,144
ENSDARG00000000086,288
ENSDARG00000000103,380
ENSDARG00000000142,0
ENSDARG00000000151,50
ENSDARG00000000161,39
ENSDARG00000000175,14
ENSDARG00000000183,130
ENSDARG00000000189,270
ENSDARG00000000212,542
ENSDARG00000000229,15
ENSDARG00000000241,105
ENSDARG00000000349,3
ENSDARG00000000369,1
ENSDARG00000000370,326
ENSDARG00000000380,73
ENSDARG00000000394,145
ENSDARG00000000423,6
ENSDARG00000000442,2
ENSDARG00000000460,2
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,30
ENSDARG00000000489,45
ENSDARG00000000503,976
ENSDARG00000000516,0
ENSDARG00000000529,71
ENSDARG00000000540,96
ENSDARG00000000542,1
ENSDARG00000000551,8
ENSDARG00000000563,59710
ENSDARG00000000567,80
ENSDARG00000000568,47
ENSDARG00000000588,1
ENSDARG00000000606,0
ENSDARG00000000631,194
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,39
ENSDARG00000000690,9
ENSDARG00000000729,65
ENSDARG00000000730,18
ENSDARG00000000747,0
ENSDARG00000000760,22
ENSDARG00000000767,25
ENSDARG00000000779,121
ENSDARG00000000796,32
ENSDARG00000000804,20
ENSDARG00000000830,28
ENSDARG00000000837,73
ENSDARG00000000853,49
ENSDARG00000000857,10
ENSDARG00000000861,353
ENSDARG00000000887,0
ENSDARG00000000906,3
ENSDARG00000000935,100
ENSDARG00000000943,84
ENSDARG00000000966,805
ENSDARG00000001014,547
ENSDARG00000001015,114
ENSDARG00000001057,35
ENSDARG00000001127,131
ENSDARG00000001129,221
ENSDARG00000001154,103
ENSDARG00000001162,155
ENSDARG00000001169,2
ENSDARG00000001210,37
ENSDARG00000001220,360
ENSDARG00000001234,97
ENSDARG00000001241,126
ENSDARG00000001244,515
ENSDARG00000001249,17
ENSDARG00000001259,15
ENSDARG00000001303,0
ENSDARG00000001313,17
ENSDARG00000001354,11
ENSDARG00000001414,26
ENSDARG00000001431,1308
ENSDARG00000001437,52
ENSDARG00000001442,21
ENSDARG00000001447,33
ENSDARG00000001452,10
ENSDARG00000001463,67
ENSDARG00000001470,55
ENSDARG00000001498,2
ENSDARG00000001549,81
ENSDARG00000001557,10
ENSDARG00000001558,33
ENSDARG00000001559,216
ENSDARG00000001572,0
ENSDARG00000001578,61
ENSDARG00000001621,26
ENSDARG00000001634,89
ENSDARG00000001656,0
ENSDARG00000001676,157
ENSDARG00000001686,11
ENSDARG00000001710,69
ENSDARG00000001712,12
ENSDARG00000001721,0
ENSDARG00000001729,169
ENSDARG00000001733,6
ENSDARG00000001734,26
ENSDARG00000001754,62
ENSDARG00000001760,67
ENSDARG00000001767,0
ENSDARG00000001769,121
ENSDARG00000001771,0
ENSDARG00000001776,16
ENSDARG00000001777,118
