E12,Counts
ENSDARG00000000001,0
ENSDARG00000000002,6
ENSDARG00000000018,28
ENSDARG00000000019,25
ENSDARG00000000068,0
ENSDARG00000000069,36
ENSDARG00000000086,37
ENSDARG00000000103,113
ENSDARG00000000142,3
ENSDARG00000000151,38
ENSDARG00000000161,6
ENSDARG00000000175,0
ENSDARG00000000183,51
ENSDARG00000000189,16
ENSDARG00000000212,69
ENSDARG00000000229,15
ENSDARG00000000241,18
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,43
ENSDARG00000000380,9
ENSDARG00000000394,41
ENSDARG00000000423,0
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,2
ENSDARG00000000489,9
ENSDARG00000000503,354
ENSDARG00000000516,0
ENSDARG00000000529,0
ENSDARG00000000540,21
ENSDARG00000000542,6
ENSDARG00000000551,13
ENSDARG00000000563,15387
ENSDARG00000000567,20
ENSDARG00000000568,10
ENSDARG00000000588,0
ENSDARG00000000606,14
ENSDARG00000000631,10
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,6
ENSDARG00000000690,0
ENSDARG00000000729,5
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,8
ENSDARG00000000767,0
ENSDARG00000000779,44
ENSDARG00000000796,3
ENSDARG00000000804,0
ENSDARG00000000830,0
ENSDARG00000000837,25
ENSDARG00000000853,18
ENSDARG00000000857,3
ENSDARG00000000861,196
ENSDARG00000000887,0
ENSDARG00000000906,4
ENSDARG00000000935,13
ENSDARG00000000943,11
ENSDARG00000000966,185
ENSDARG00000001014,139
ENSDARG00000001015,16
ENSDARG00000001057,16
ENSDARG00000001127,13
ENSDARG00000001129,107
ENSDARG00000001154,15
ENSDARG00000001162,40
ENSDARG00000001169,0
ENSDARG00000001210,5
ENSDARG00000001220,145
ENSDARG00000001234,28
ENSDARG00000001241,28
ENSDARG00000001244,111
ENSDARG00000001249,0
ENSDARG00000001259,5
ENSDARG00000001303,0
ENSDARG00000001313,17
ENSDARG00000001354,2
ENSDARG00000001414,2
ENSDARG00000001431,354
ENSDARG00000001437,5
ENSDARG00000001442,5
ENSDARG00000001447,12
ENSDARG00000001452,0
ENSDARG00000001463,9
ENSDARG00000001470,11
ENSDARG00000001498,0
ENSDARG00000001549,23
ENSDARG00000001557,6
ENSDARG00000001558,9
ENSDARG00000001559,43
ENSDARG00000001572,0
ENSDARG00000001578,0
ENSDARG00000001621,0
ENSDARG00000001634,24
ENSDARG00000001656,0
ENSDARG00000001676,24
ENSDARG00000001686,3
ENSDARG00000001710,45
ENSDARG00000001712,3
ENSDARG00000001721,0
ENSDARG00000001729,61
ENSDARG00000001733,11
ENSDARG00000001734,15
ENSDARG00000001754,9
ENSDARG00000001760,13
ENSDARG00000001767,0
ENSDARG00000001769,21
ENSDARG00000001771,0
ENSDARG00000001776,11
ENSDARG00000001777,13
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,7
ENSDARG00000001788,47
ENSDARG00000001803,1
ENSDARG00000001804,0
ENSDARG00000001807,11
ENSDARG00000001817,1
ENSDARG00000001818,58
ENSDARG00000001825,0
ENSDARG00000001829,35
ENSDARG00000001835,21
ENSDARG00000001857,34
ENSDARG00000001859,0
ENSDARG00000001870,359
ENSDARG00000001873,4
ENSDARG00000001879,29
ENSDARG00000001880,2
ENSDARG00000001881,13
ENSDARG00000001882,7
ENSDARG00000001888,21
ENSDARG00000001889,7
ENSDARG00000001890,27
ENSDARG00000001891,0
ENSDARG00000001897,19
ENSDARG00000001898,0
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,60
ENSDARG00000001912,5
ENSDARG00000001913,8
ENSDARG00000001929,1
ENSDARG00000001930,0
ENSDARG00000001933,7
ENSDARG00000001937,7
ENSDARG00000001939,0
ENSDARG00000001940,11
ENSDARG00000001950,171
ENSDARG00000001953,39
ENSDARG00000001968,33
ENSDARG00000001969,7
ENSDARG00000001971,8
ENSDARG00000001975,3
ENSDARG00000001976,9
ENSDARG00000001993,54
ENSDARG00000001994,129
ENSDARG00000001999,42
ENSDARG00000002002,0
ENSDARG00000002006,10
ENSDARG00000002013,35
ENSDARG00000002016,0
ENSDARG00000002020,8
ENSDARG00000002021,0
ENSDARG00000002026,7
ENSDARG00000002031,0
ENSDARG00000002037,3
ENSDARG00000002060,0
ENSDARG00000002071,29
ENSDARG00000002077,5
ENSDARG00000002082,24
ENSDARG00000002084,26
ENSDARG00000002097,0
ENSDARG00000002127,15
ENSDARG00000002128,3
ENSDARG00000002131,82
ENSDARG00000002165,0
ENSDARG00000002167,23
ENSDARG00000002168,36
ENSDARG00000002172,4
ENSDARG00000002174,0
ENSDARG00000002184,2
ENSDARG00000002190,23
ENSDARG00000002192,9
ENSDARG00000002193,193
ENSDARG00000002194,0
ENSDARG00000002196,8
ENSDARG00000002197,17
ENSDARG00000002204,18
ENSDARG00000002210,5
ENSDARG00000002213,0
ENSDARG00000002215,13
ENSDARG00000002216,0
ENSDARG00000002217,76
