.id,chemical,ID,min,max,POD,POD_value_mg_L,POD_low_conf,POD_high_conf,confidence,confident_logical,species,origin
Behaviour,1-Decanol,Behaviour,0.0001,1,BMD,0.00707154671053811,0.00286143753802042,0.657703477557481,0.232,FALSE,Zebrafish,Experimental
Acute LC50,1-Decanol,Acute LC50,0.0001,1,LC50,3.21,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,1-Decanol,Acute LC50,0.0001,1,LC50,0.602,NA,NA,1,TRUE,Other Fish,Literature
LOEC,1-Decanol,Behaviour,0.0001,1,LOEC,0.0001,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,1-Decanol,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.43,NA,NA,1,TRUE,Zebrafish,Literature
Behaviour,1-Octanol,Behaviour,0.001,10,BMD,0.415066903911792,0.0483994383685992,3.3489817598224,0.151,FALSE,Zebrafish,Experimental
Acute LC50,1-Octanol,Acute LC50,0.001,10,LC50,19.8,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,1-Octanol,Acute LC50,0.001,10,LC50,12.2,NA,NA,1,TRUE,Other Fish,Literature
LOEC,1-Octanol,Behaviour,0.001,10,LOEC,0.01,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,1-Octanol,Chronic POD,0.001,10,NOEC/LOEC/EC10,0.75,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,17betaestradiol,Behaviour,0.00001,0.1,BMD,0.0827957398533571,7.75091566284115E-05,0.0827957398533571,0.119,FALSE,Zebrafish,Experimental
Metabolic Rate,17betaestradiol,Metabolic,0.00001,0.1,BMD,0.00292419538379582,0.00089758440217157,0.00554867177534372,1,TRUE,Zebrafish,Experimental
Acute LC50,17betaestradiol,Acute LC50,0.00001,0.1,LC50,1.28,NA,NA,1,TRUE,Other Fish,Literature
LOEC,17betaestradiol,Metabolic,0.00001,0.1,LOEC,0.01,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,17betaestradiol,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.0000048,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,17betaestradiol,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.00000042,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,24-DMP,Behaviour,0.0001,1,BMD,0.367128011327315,0.00064193276834521,0.828931014920246,0.22,FALSE,Zebrafish,Experimental
Metabolic Rate,24-DMP,Metabolic,0.0001,1,BMD,0.276130072129005,0.00268106281351171,0.986489568226708,0.283,FALSE,Zebrafish,Experimental
Acute LC50,24-DMP,Acute LC50,0.0001,1,LC50,6.3,NA,NA,1,TRUE,Other Fish,Literature
Chronic POD,24-DMP,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.131,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,24-DNP,Behaviour,0.0001,10,BMD,0.817081041765709,0.817081041765709,0.817081041765709,0.111,FALSE,Zebrafish,Experimental
Metabolic Rate,24-DNP,Metabolic,0.0001,10,BMD,0.51244745790279,0.0464328130236987,0.596518529253297,0.218,FALSE,Zebrafish,Experimental
Overt Toxicity,24-DNP,Overt Toxicity,0.0001,10,BMD,1.23688299343565,1.07264725461114,3.1085668870099,0.998,TRUE,Zebrafish,Experimental
Acute LC50,24-DNP,Acute LC50,0.0001,10,LC50,0.62,NA,NA,1,TRUE,Other Fish,Literature
LOEC,24-DNP,Behaviour,0.0001,10,LOEC,0.01,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,24-DNP,Overt Toxicity,0.0001,10,LOEC,10,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,24-DNP,Chronic POD,0.0001,10,NOEC/LOEC/EC10,0.208,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,34-DCA,Behaviour,0.00001,1,BMD,0.00050075303301667,0.00050075303301667,0.00050075303301667,0.023,FALSE,Zebrafish,Experimental
Metabolic Rate,34-DCA,Metabolic,0.00001,1,BMD,0.0803625872857175,0.0803625872857175,0.0803625872857175,0.118,FALSE,Zebrafish,Experimental
Overt Toxicity,34-DCA,Overt Toxicity,0.00001,1,BMD,0.156879842525655,0.156879842525655,0.156879842525655,1,TRUE,Zebrafish,Experimental
Acute LC50,34-DCA,Acute LC50,0.00001,1,LC50,8.5,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,34-DCA,Acute LC50,0.00001,1,LC50,0.95,NA,NA,1,TRUE,Other Fish,Literature
LOEC,34-DCA,Behaviour,0.00001,1,LOEC,0.1,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,34-DCA,Overt Toxicity,0.00001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,34-DCA,Chronic POD,0.00001,1,NOEC/LOEC/EC10,0.002,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,34-DCA,Chronic POD,0.00001,1,NOEC/LOEC/EC10,0.0011,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,4-TPP,Behaviour,0.0001,1,BMD,0.391195854189563,0.00575731589596394,0.925772412716089,0.559,TRUE,Zebrafish,Experimental
Metabolic Rate,4-TPP,Metabolic,0.0001,1,BMD,0.025010255248721,0.0109932524546948,0.126615272572997,0.999,TRUE,Zebrafish,Experimental
Overt Toxicity,4-TPP,Overt Toxicity,0.0001,1,BMD,0.142928529155284,0.142928529155284,0.142928529155284,1,TRUE,Zebrafish,Experimental
Acute LC50,4-TPP,Acute LC50,0.0001,1,LC50,1.6,NA,NA,1,TRUE,Other Fish,Literature
LOEC,4-TPP,Behaviour,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,4-TPP,Metabolic,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,4-TPP,Overt Toxicity,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,4-TPP,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.057,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,4C3MP,Behaviour,0.0001,1,BMD,0.365919234752132,0.00454229251659652,0.600145863368672,0.237,FALSE,Zebrafish,Experimental
Metabolic Rate,4C3MP,Metabolic,0.0001,1,BMD,0.884406119722938,0.154175999594046,0.924639579077348,0.172,FALSE,Zebrafish,Experimental
Acute LC50,4C3MP,Acute LC50,0.0001,1,LC50,1.3,NA,NA,1,TRUE,Other Fish,Literature
LOEC,4C3MP,Behaviour,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Metabolic Rate,4TOP,Metabolic,0.00001,0.1,BMD,0.0509187124699132,0.00099368902432531,0.0876507315331486,0.638,TRUE,Zebrafish,Experimental
Acute LC50,4TOP,Acute LC50,0.00001,0.1,LC50,0.462,NA,NA,1,TRUE,Zebrafish,Literature
LOEC,4TOP,Behaviour,0.00001,0.1,LOEC,0.001,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,4TOP,Metabolic,0.00001,0.1,LOEC,0.1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,4TOP,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.0046,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,4TOP,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.012,NA,NA,1,TRUE,Other Fish,Literature
Metabolic Rate,Aniline,Metabolic,0.001,10,BMD,2.77607092484185,0.293942622466743,3.89004204169346,0.372,FALSE,Zebrafish,Experimental
Acute LC50,Aniline,Acute LC50,0.001,10,LC50,32,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,Aniline,Acute LC50,0.001,10,LC50,21.99,NA,NA,1,TRUE,Other Fish,Literature
LOEC,Aniline,Behaviour,0.001,10,LOEC,0.01,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Aniline,Chronic POD,0.001,10,NOEC/LOEC/EC10,5.6,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Aniline,Chronic POD,0.001,10,NOEC/LOEC/EC10,0.39,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,BPA,Behaviour,0.0001,1,BMD,0.607787386080155,0.607787386080155,0.909078449999025,0.232,FALSE,Zebrafish,Experimental
Metabolic Rate,BPA,Metabolic,0.0001,1,BMD,0.928693354653989,0.928693354653989,0.928693354653989,0.093,FALSE,Zebrafish,Experimental
Acute LC50,BPA,Acute LC50,0.0001,1,LC50,8.04,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,BPA,Acute LC50,0.0001,1,LC50,4.6,NA,NA,1,TRUE,Other Fish,Literature
Chronic POD,BPA,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.2,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,BPA,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.05,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,BPAF,Behaviour,0.0001,1,BMD,0.00849592053824255,9.86678437739827E-05,0.3970220442877,0.186,FALSE,Zebrafish,Experimental
Acute LC50,BPAF,Acute LC50,0.0001,1,LC50,1.95,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,BPAF,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.05,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,BPAF,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.07,NA,NA,1,TRUE,Other Fish,Literature
