.id,chemical,min,max,median_POD,POD_med,mean_POD,low_conf,high_conf,n_genes,Assay,confidence,species,.id_legacy
10th pct,1-Decanol,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,1-Octanol,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,17betaestradiol,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,24-DMP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,24-DNP,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,34-DCA,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,4-TPP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,4C3MP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,4TOP,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Aniline,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,BPA,1e-4,1,0.010539101421007,NA,NA,0.00615538,0.345630052591927,40,Transcriptomic,1,Zebrafish,NA
10th pct,BPAF,1e-4,1,0.00229133,NA,NA,0.00161762,0.00409252,397,Transcriptomic,1,Zebrafish,NA
10th pct,Clofibric-acid,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,DES,1e-5,0.1,0.0314965837139522,NA,NA,0.00150952,0.0368421995590654,146,Transcriptomic,1,Zebrafish,NA
10th pct,DMSO,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,EE2,1e-7,0.001,2.49e-5,NA,NA,9.82858e-6,3.05938e-4,273,Transcriptomic,1,Zebrafish,NA
10th pct,Fadrozole,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Fenitrothion,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Fluoxetine,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Flutamide,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Glyphosate,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Malathion,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,NN-Dimethylformamide,0.1,1000,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Prochloraz,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,SDS,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,TEG,0.1,1000,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,TGSH,1e-4,1,0.309303434846277,NA,NA,0.283756949857606,0.33376292467543,485,Transcriptomic,1,Zebrafish,NA
10th pct,Trenbolone,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
10th pct,Vinclozolin,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,1-Decanol,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,1-Octanol,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,17betaestradiol,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,24-DMP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,24-DNP,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,34-DCA,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,4-TPP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,4C3MP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,4TOP,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Aniline,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,BPA,1e-4,1,0.00976240381952766,NA,NA,0.00101869951683012,0.54329859110328,40,Transcriptomic,1,Zebrafish,NA
1st Mode,BPAF,1e-4,1,0.00128807863243476,NA,NA,0.00105628935269021,0.00919554490753454,397,Transcriptomic,1,Zebrafish,NA
1st Mode,Clofibric-acid,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,DES,1e-5,0.1,0.0502819420035881,NA,NA,1.1165065913167e-4,0.0535543000249013,146,Transcriptomic,1,Zebrafish,NA
1st Mode,DMSO,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,EE2,1e-7,0.001,8.7e-6,NA,NA,6.17e-6,4.7342805219682e-4,273,Transcriptomic,1,Zebrafish,NA
1st Mode,Fadrozole,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Fenitrothion,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Fluoxetine,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Flutamide,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Glyphosate,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Malathion,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,NN-Dimethylformamide,0.1,1000,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Prochloraz,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,SDS,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,TEG,0.1,1000,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,TGSH,1e-4,1,0.484458825388872,NA,NA,0.469238532668399,0.494562615390056,485,Transcriptomic,1,Zebrafish,NA
1st Mode,Trenbolone,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
1st Mode,Vinclozolin,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,1-Decanol,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,1-Octanol,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,17betaestradiol,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,24-DMP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,24-DNP,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,34-DCA,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,4-TPP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,4C3MP,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,4TOP,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Aniline,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,BPA,1e-4,1,0.477476,NA,NA,0.396638,0.562118,40,Transcriptomic,1,Zebrafish,NA
20th gene,BPAF,1e-4,1,0.00103987,NA,NA,9.76852e-4,0.00161762,397,Transcriptomic,1,Zebrafish,NA
20th gene,Clofibric-acid,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,DES,1e-5,0.1,0.0359441,NA,NA,0.0298255,0.0379274,146,Transcriptomic,1,Zebrafish,NA
20th gene,DMSO,0.001,10,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,EE2,1e-7,0.001,9.82858e-6,NA,NA,6.13555e-6,6.41283e-5,273,Transcriptomic,1,Zebrafish,NA
20th gene,Fadrozole,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Fenitrothion,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Fluoxetine,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Flutamide,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Glyphosate,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Malathion,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,NN-Dimethylformamide,0.1,1000,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,Prochloraz,1e-4,1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,SDS,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,TEG,0.1,1000,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
20th gene,TGSH,1e-4,1,0.043493,NA,NA,0.014793,0.251509,485,Transcriptomic,1,Zebrafish,NA
20th gene,Trenbolone,1e-5,0.1,NA,NA,NA,NA,NA,NA,Transcriptomic,0,Zebrafish,NA
