Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 03/16/22
Deduplicate Gene Sets: false
Data Source: SANT_DESeq_normData
Work Source: SANT_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/10/2022 17:44.48
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 2737
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	17460	18951	390	381	293	269	269	214	390	126	126	0	18825	0	1.0	1.0	1.0	0.66	103909302;101886483;101884640;101883702;100538337;100535437;100535325;100535284;100384898;100334705;100334106;100332714;100331428;100331020;100330526;100329955;100150771;100150195;100147904;100147894;100144566;100136847;100124609;100009658;100006896;100005108;100004856;100004611;100003852;100003413;100001372;799901;799771;797250;795902;795311;794676;793529;792608;791212;791153;777637;678619;678616;641326;571830;571372;571330;571285;571256;570189;570145;569989;569359;569270;568765;568512;568448;568274;568178;567411;567287;566751;566454;566358;565670;564886;564713;564702;564201;563356;562402;562311;562116;562104;562065;562062;561429;561268;561247;561028;560933;560912;559346;559050;558324;558239;557652;556421;555472;555341;555195;554842;554147;553418;553343;553304;550432;550289;497280;494472;492689;492461;450032;450002;446213;436762;436735;432386;407683;407667;403131;403118;393572;393353;378480;352938;336944;326729;324428;321240;81580;58113;58084;30733;30171	opn8c;cdhr5b;sh2b3;tet1;si:ch211-255p10.3;ano6;rgs7b;asb14b;ugt2a7;si:ch211-175m2.4;iqsec1;cenpx;c3a.4;chdh;znf1113;si:dkey-234i14.6;or137-3;cx31.7;zanl;jph1a;camk1da;zgc:172182;fut9;mansc1;mmp13b;slc26a6;si:ch211-137i24.12;sema3bl;npy2r;kdm4aa;lrrc3;reep1;ppp1r16b;slc7a5;epha3;npy2rl;si:dkey-221l4.11;c1s;knstrn;zgc:158296;ldlrap1b;otud7b;prkag3b;mcph1;zgc:152791;acp7;dlgap1b;kcnk3b;rps6ka2;wasa;npffr1l2;clec19a;ca5a;jade2;cenps;cyb561;slc8a4a;aco1;fndc3bb;si:ch211-102c2.4;ccndx;rnf217;si:ch211-131k2.3;six2b;cep170ab;zbtb7a;si:ch1073-296d18.1;frmd4a;syt14a;ca7;slc5a6a;phka1b;ftr64;tinagl1;grxcr1b;march4;socs2;syt7a;tnfsf13b;shda;b3gnt3.3;pvrl2l;si:dkey-92j12.5;slc4a11;sgk2b;sytl5;si:ch211-113j14.1;si:dkeyp-27c8.2;aff4;cnnm2a;tspan9a;nsmfa;acot11a;spc24;ppargc1a;si:ch211-266g18.10;slc18a2;slc27a4;pcyox1;ext1b;otop2;fam83d;zgc:103564;zgc:101785;tecrl2b;large1;sdhda;dusp23b;pih1d3;ca4c;asic4b;tlr4ba;ifi45;traf3ip1;clcnk;pdgfaa;chrm2a;ccr6b;pif1;hmga2;armc1l;cldna;cd74a;tnnt3a;rrm2;wnt10a	ENSDARG00000043479;ENSDARG00000098791;ENSDARG00000069958;ENSDARG00000075230;ENSDARG00000096616;ENSDARG00000061544;ENSDARG00000096687;ENSDARG00000087741;ENSDARG00000093043;ENSDARG00000104800;ENSDARG00000073822;ENSDARG00000089291;ENSDARG00000093198;ENSDARG00000100304;ENSDARG00000096172;ENSDARG00000097790;ENSDARG00000070344;ENSDARG00000100360;ENSDARG00000056781;ENSDARG00000058603;ENSDARG00000074905;ENSDARG00000039824;ENSDARG00000074362;ENSDARG00000104839;ENSDARG00000100794;ENSDARG00000055835;ENSDARG00000094537;ENSDARG00000007560;ENSDARG00000094763;ENSDARG00000018782;ENSDARG00000078415;ENSDARG00000014854;ENSDARG00000079860;ENSDARG00000099265;ENSDARG00000039373;ENSDARG00000089943;ENSDARG00000089553;ENSDARG00000100599;ENSDARG00000074379;ENSDARG00000070923;ENSDARG00000039750;ENSDARG00000017220;ENSDARG00000000369;ENSDARG00000058372;ENSDARG00000039243;ENSDARG00000102421;ENSDARG00000037415;ENSDARG00000052898;ENSDARG00000028469;ENSDARG00000015149;ENSDARG00000062631;ENSDARG00000115545;ENSDARG00000101778;ENSDARG00000053389;ENSDARG00000070485;ENSDARG00000038176;ENSDARG00000055154;ENSDARG00000026376;ENSDARG00000062023;ENSDARG00000079387;ENSDARG00000019741;ENSDARG00000060944;ENSDARG00000079462;ENSDARG00000054878;ENSDARG00000058892;ENSDARG00000039899;ENSDARG00000087145;ENSDARG00000042249;ENSDARG00000010934;ENSDARG00000045139;ENSDARG00000042859;ENSDARG00000105039;ENSDARG00000101514;ENSDARG00000061231;ENSDARG00000069865;ENSDARG00000056439;ENSDARG00000045557;ENSDARG00000063568;ENSDARG00000012945;ENSDARG00000094243;ENSDARG00000093521;ENSDARG00000063390;ENSDARG00000094677;ENSDARG00000075532;ENSDARG00000006598;ENSDARG00000062135;ENSDARG00000073764;ENSDARG00000088040;ENSDARG00000001857;ENSDARG00000061195;ENSDARG00000025299;ENSDARG00000060025;ENSDARG00000058229;ENSDARG00000093622;ENSDARG00000067829;ENSDARG00000057903;ENSDARG00000015110;ENSDARG00000017047;ENSDARG00000103052;ENSDARG00000101019;ENSDARG00000006522;ENSDARG00000077883;ENSDARG00000038186;ENSDARG00000100104;ENSDARG00000039979;ENSDARG00000005126;ENSDARG00000055712;ENSDARG00000089245;ENSDARG00000038612;ENSDARG00000044512;ENSDARG00000004243;ENSDARG00000019742;ENSDARG00000017489;ENSDARG00000010300;ENSDARG00000022560;ENSDARG00000110069;ENSDARG00000098612;ENSDARG00000038968;ENSDARG00000020289;ENSDARG00000069912;ENSDARG00000020887;ENSDARG00000069888;ENSDARG00000009087;ENSDARG00000030270;ENSDARG00000078069;ENSDARG00000017155	100150195(0.1762);378480(-0.04256)	1.2454551325396828	1.320385	0.00302387	0.502382032151276	1.0443245911205603	0.5857598411243634	0.6739446193650792	0.7428395000000001	7.99991E-4	0.23301468670808995	0.576793034290475	0.29943415333296897	2.3311054542063485	2.34696	0.00534868	1.1205468384669994	1.9193350266702998	1.1836171470903332					1.45622;1.39013;1.23814;1.67992;0.795201;1.2264;1.73341;0.995373;1.13633;2.16006;1.66864;1.49885;1.28191;0.911495;1.09676;0.986702;1.27115;0.0633793;1.33883;1.57029;1.47025;2.01712;1.36798;1.31782;1.53793;1.54789;1.15626;1.57455;1.06876;1.199;0.029663;0.00337779;1.63784;0.00302387;0.00310319;1.01493;1.3724;1.93225;0.105636;0.75691;1.07699;1.61884;0.851934;1.05014;1.54758;0.989904;0.00306152;0.0229065;1.87799;0.925677;0.888944;1.32295;1.12758;1.69832;0.76148;1.54645;2.01359;0.808775;1.55034;1.16607;1.36621;0.98229;0.772867;0.914427;1.61472;1.40036;1.59863;2.09356;0.00880833;0.0112801;1.55878;0.730036;0.831829;1.48602;1.39922;1.45578;1.44657;1.50428;1.38007;1.52688;1.78479;0.0109541;1.7818;1.56852;1.14451;1.72837;1.5116;1.15327;1.56034;1.45014;2.15659;1.94933;2.01324;1.32847;1.27879;1.10727;1.56709;2.03395;0.966169;1.64988;1.18791;1.19868;0.844901;1.23953;0.938946;1.51678;1.47369;0.817599;1.2341;1.07293;1.31213;1.86105;1.14825;1.58146;1.30121;1.65876;1.66675;1.33003;1.35334;1.56434;1.1467;1.8218;1.25149;0.875135;0.995919;1.24082	0.785208;0.765383;0.713149;0.842595;0.519288;0.710525;0.854457;0.616357;0.675721;0.923592;0.840257;0.797601;0.729932;0.577647;0.65954;0.612298;0.725519;0.0107587;0.748903;0.816334;0.78928;0.904427;0.758396;0.742002;0.807035;0.810455;0.683745;0.81742;0.646858;0.699932;0.0155329;7.99991E-4;0.833225;0.00170954;8.15302E-4;0.624967;0.759688;0.893189;0.0279408;0.498985;0.65172;0.828364;0.548303;0.640544;0.809746;0.613743;9.58947E-4;0.00395819;0.882305;0.5845;0.566104;0.743677;0.672257;0.8472;0.501376;0.810337;0.90377;0.526326;0.81114;0.687573;0.756862;0.610513;0.507483;0.578862;0.82754;0.768858;0.823602;0.91481;0.00164014;0.00184084;0.813007;0.484388;0.537882;0.793489;0.767543;0.784139;0.782365;0.799251;0.762899;0.803862;0.862516;0.00290269;0.864416;0.815899;0.678964;0.853292;0.800996;0.682504;0.813687;0.783574;0.922008;0.89477;0.904089;0.745338;0.728591;0.664068;0.814856;0.906682;0.603258;0.835677;0.695407;0.699579;0.545278;0.714663;0.590448;0.802168;0.790404;0.530935;0.712104;0.650201;0.740006;0.880312;0.680386;0.819108;0.736632;0.838628;0.839992;0.746121;0.753626;0.814828;0.679729;0.872116;0.718797;0.559858;0.616591;0.714812	2.70066;2.52481;2.1496;3.34934;1.21772;2.11682;3.51653;1.60746;1.91092;5.05187;3.3137;2.81665;2.25129;1.43829;1.82382;1.59004;2.22713;0.373366;2.39347;3.02059;2.73873;4.49875;2.46754;2.34048;2.93076;2.95631;1.95531;3.03296;1.76584;2.05392;0.0566473;0.014262;3.21942;0.00534868;0.0118113;1.64824;2.4793;4.18005;0.399381;1.14816;1.77978;3.16363;1.32371;1.72165;2.95771;1.59661;0.00977415;0.132563;3.99733;1.466;1.39589;2.35344;1.89131;3.40448;1.15652;2.95124;4.48625;1.2428;2.96318;1.97755;2.46615;1.58046;1.17703;1.44452;3.15068;2.55053;3.103;4.79114;0.0473048;0.0691209;2.98865;1.10026;1.28641;2.78297;2.55077;2.70269;2.67465;2.83122;2.49653;2.90021;3.69325;0.0413381;3.6728;3.01539;1.92928;3.50086;2.85263;1.94876;2.99213;2.68375;5.04429;4.24679;4.48312;2.36783;2.24448;1.84626;3.01375;4.56276;1.5474;3.25735;2.02923;2.05385;1.30916;2.14989;1.49314;2.868;2.74765;1.25904;2.13874;1.77048;2.32658;3.93442;1.93784;3.05335;2.29851;3.28093;3.30722;2.37091;2.43029;3.00328;1.93448;3.80563;2.17896;1.36796;1.60861;2.15391	50	76	50	103909302;100538337;100535284;100334705;100332714;100331428;100150195;100006896;100004856;100003852;793529;792608;791212;678619;678616;641326;571256;569270;568178;567411;566751;566454;564886;564201;562402;562311;562104;561268;559050;557652;554147;553343;492689;492461;450032;450002;436762;436735;432386;407683;403131;403118;378480;336944;326729;321240;81580;58113;58084;30733	ENSDARG00000043479;ENSDARG00000096616;ENSDARG00000087741;ENSDARG00000104800;ENSDARG00000089291;ENSDARG00000093198;ENSDARG00000100360;ENSDARG00000100794;ENSDARG00000094537;ENSDARG00000094763;ENSDARG00000100599;ENSDARG00000074379;ENSDARG00000070923;ENSDARG00000000369;ENSDARG00000058372;ENSDARG00000039243;ENSDARG00000015149;ENSDARG00000070485;ENSDARG00000079387;ENSDARG00000019741;ENSDARG00000079462;ENSDARG00000054878;ENSDARG00000087145;ENSDARG00000045139;ENSDARG00000105039;ENSDARG00000101514;ENSDARG00000069865;ENSDARG00000012945;ENSDARG00000006598;ENSDARG00000088040;ENSDARG00000093622;ENSDARG00000057903;ENSDARG00000077883;ENSDARG00000038186;ENSDARG00000100104;ENSDARG00000039979;ENSDARG00000055712;ENSDARG00000089245;ENSDARG00000038612;ENSDARG00000044512;ENSDARG00000019742;ENSDARG00000017489;ENSDARG00000110069;ENSDARG00000038968;ENSDARG00000020289;ENSDARG00000020887;ENSDARG00000069888;ENSDARG00000009087;ENSDARG00000030270;ENSDARG00000078069	1.1422511880000001	1.15076	0.4285114573926991	0.6456908668000001	0.6814450000000001	0.1970746344260782	2.051191158	1.9433	0.9573531911597584	1.45622;0.795201;0.995373;2.16006;1.49885;1.28191;0.0633793;1.53793;1.15626;1.06876;1.93225;0.105636;0.75691;0.851934;1.05014;1.54758;0.925677;0.76148;1.16607;1.36621;0.772867;0.914427;1.59863;0.0112801;0.730036;0.831829;1.39922;1.38007;1.14451;1.15327;1.32847;1.10727;1.19868;0.844901;1.23953;0.938946;1.47369;0.817599;1.2341;1.07293;1.86105;1.14825;1.65876;1.33003;1.35334;1.1467;1.8218;1.25149;0.875135;0.995919	0.785208;0.519288;0.616357;0.923592;0.797601;0.729932;0.0107587;0.807035;0.683745;0.646858;0.893189;0.0279408;0.498985;0.548303;0.640544;0.809746;0.5845;0.501376;0.687573;0.756862;0.507483;0.578862;0.823602;0.00184084;0.484388;0.537882;0.767543;0.762899;0.678964;0.682504;0.745338;0.664068;0.699579;0.545278;0.714663;0.590448;0.790404;0.530935;0.712104;0.650201;0.880312;0.680386;0.838628;0.746121;0.753626;0.679729;0.872116;0.718797;0.559858;0.616591	2.70066;1.21772;1.60746;5.05187;2.81665;2.25129;0.373366;2.93076;1.95531;1.76584;4.18005;0.399381;1.14816;1.32371;1.72165;2.95771;1.466;1.15652;1.97755;2.46615;1.17703;1.44452;3.103;0.0691209;1.10026;1.28641;2.55077;2.49653;1.92928;1.94876;2.36783;1.84626;2.05385;1.30916;2.14989;1.49314;2.74765;1.25904;2.13874;1.77048;3.93442;1.93784;3.28093;2.37091;2.43029;1.93448;3.80563;2.17896;1.36796;1.60861	76	101886483;101884640;101883702;100535437;100535325;100384898;100334106;100331020;100330526;100329955;100150771;100147904;100147894;100144566;100136847;100124609;100009658;100005108;100004611;100003413;100001372;799901;799771;797250;795902;795311;794676;791153;777637;571830;571372;571330;571285;570189;570145;569989;569359;568765;568512;568448;568274;567287;566358;565670;564713;564702;563356;562116;562065;562062;561429;561247;561028;560933;560912;559346;558324;558239;556421;555472;555341;555195;554842;553418;553304;550432;550289;497280;494472;446213;407667;393572;393353;352938;324428;30171	ENSDARG00000098791;ENSDARG00000069958;ENSDARG00000075230;ENSDARG00000061544;ENSDARG00000096687;ENSDARG00000093043;ENSDARG00000073822;ENSDARG00000100304;ENSDARG00000096172;ENSDARG00000097790;ENSDARG00000070344;ENSDARG00000056781;ENSDARG00000058603;ENSDARG00000074905;ENSDARG00000039824;ENSDARG00000074362;ENSDARG00000104839;ENSDARG00000055835;ENSDARG00000007560;ENSDARG00000018782;ENSDARG00000078415;ENSDARG00000014854;ENSDARG00000079860;ENSDARG00000099265;ENSDARG00000039373;ENSDARG00000089943;ENSDARG00000089553;ENSDARG00000039750;ENSDARG00000017220;ENSDARG00000102421;ENSDARG00000037415;ENSDARG00000052898;ENSDARG00000028469;ENSDARG00000062631;ENSDARG00000115545;ENSDARG00000101778;ENSDARG00000053389;ENSDARG00000038176;ENSDARG00000055154;ENSDARG00000026376;ENSDARG00000062023;ENSDARG00000060944;ENSDARG00000058892;ENSDARG00000039899;ENSDARG00000042249;ENSDARG00000010934;ENSDARG00000042859;ENSDARG00000061231;ENSDARG00000056439;ENSDARG00000045557;ENSDARG00000063568;ENSDARG00000094243;ENSDARG00000093521;ENSDARG00000063390;ENSDARG00000094677;ENSDARG00000075532;ENSDARG00000062135;ENSDARG00000073764;ENSDARG00000001857;ENSDARG00000061195;ENSDARG00000025299;ENSDARG00000060025;ENSDARG00000058229;ENSDARG00000067829;ENSDARG00000015110;ENSDARG00000017047;ENSDARG00000103052;ENSDARG00000101019;ENSDARG00000006522;ENSDARG00000005126;ENSDARG00000004243;ENSDARG00000010300;ENSDARG00000022560;ENSDARG00000098612;ENSDARG00000069912;ENSDARG00000017155	1.3133524644736838	1.45296	0.5375012007358858	0.6925326144736842	0.7838565	0.25344889307602714	2.515259596447369	2.69322	1.186302103930553	1.39013;1.23814;1.67992;1.2264;1.73341;1.13633;1.66864;0.911495;1.09676;0.986702;1.27115;1.33883;1.57029;1.47025;2.01712;1.36798;1.31782;1.54789;1.57455;1.199;0.029663;0.00337779;1.63784;0.00302387;0.00310319;1.01493;1.3724;1.07699;1.61884;0.989904;0.00306152;0.0229065;1.87799;0.888944;1.32295;1.12758;1.69832;1.54645;2.01359;0.808775;1.55034;0.98229;1.61472;1.40036;2.09356;0.00880833;1.55878;1.48602;1.45578;1.44657;1.50428;1.52688;1.78479;0.0109541;1.7818;1.56852;1.72837;1.5116;1.56034;1.45014;2.15659;1.94933;2.01324;1.27879;1.56709;2.03395;0.966169;1.64988;1.18791;1.51678;1.31213;1.58146;1.30121;1.66675;1.56434;1.24082	0.765383;0.713149;0.842595;0.710525;0.854457;0.675721;0.840257;0.577647;0.65954;0.612298;0.725519;0.748903;0.816334;0.78928;0.904427;0.758396;0.742002;0.810455;0.81742;0.699932;0.0155329;7.99991E-4;0.833225;0.00170954;8.15302E-4;0.624967;0.759688;0.65172;0.828364;0.613743;9.58947E-4;0.00395819;0.882305;0.566104;0.743677;0.672257;0.8472;0.810337;0.90377;0.526326;0.81114;0.610513;0.82754;0.768858;0.91481;0.00164014;0.813007;0.793489;0.784139;0.782365;0.799251;0.803862;0.862516;0.00290269;0.864416;0.815899;0.853292;0.800996;0.813687;0.783574;0.922008;0.89477;0.904089;0.728591;0.814856;0.906682;0.603258;0.835677;0.695407;0.802168;0.740006;0.819108;0.736632;0.839992;0.814828;0.714812	2.52481;2.1496;3.34934;2.11682;3.51653;1.91092;3.3137;1.43829;1.82382;1.59004;2.22713;2.39347;3.02059;2.73873;4.49875;2.46754;2.34048;2.95631;3.03296;2.05392;0.0566473;0.014262;3.21942;0.00534868;0.0118113;1.64824;2.4793;1.77978;3.16363;1.59661;0.00977415;0.132563;3.99733;1.39589;2.35344;1.89131;3.40448;2.95124;4.48625;1.2428;2.96318;1.58046;3.15068;2.55053;4.79114;0.0473048;2.98865;2.78297;2.70269;2.67465;2.83122;2.90021;3.69325;0.0413381;3.6728;3.01539;3.50086;2.85263;2.99213;2.68375;5.04429;4.24679;4.48312;2.24448;3.01375;4.56276;1.5474;3.25735;2.02923;2.868;2.32658;3.05335;2.29851;3.30722;3.00328;2.15391	0						Hill,11(0.09);Linear,115(0.92)	1.7781555073826334	227.87416541576385	1.5005338191986084	3.506877899169922	0.37038731258375335	1.6844897270202637	1.1577338652658873	1.3331763998134778	0.6332577669235	0.7146314718066595	2.135446010955458	2.526764897457239	DOWN	0.3968253968253968	0.6031746031746031	0.0	
GO:0000002	7	mitochondrial genome maintenance	1	1	1	1	1	1	1	1	1	1	1	125	0	18825	1.0	0.0066487	0.0066487	100.0	326729	pif1	ENSDARG00000020289		1.35334	1.35334	1.35334		1.35334		0.753626	0.753626	0.753626		0.753626		2.43029	2.43029	2.43029		2.43029		0.0	1.35334	0.0	1.35334	1.35334	0.753626	2.43029	1	0	1	326729	ENSDARG00000020289	1.35334	1.35334		0.753626	0.753626		2.43029	2.43029		1.35334	0.753626	2.43029	0															0						Linear,1(1)	1.7088148593902588	1.7088148593902588	1.7088148593902588	1.7088148593902588	0.0	1.7088148593902588	1.35334	1.35334	0.753626	0.753626	2.43029	2.43029	UP	1.0	0.0	0.0	
GO:0000003	2	reproduction	5	5	1	1	0	1	1	1	1	0	0	126	5	18820	0.96719	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000038	7	very long-chain fatty acid metabolic process	28	28	2	2	2	2	2	2	2	2	2	124	26	18799	0.99917	0.014807	0.014807	7.14	550432;450002	slc27a4;tecrl2b	ENSDARG00000017047;ENSDARG00000039979		1.486448	1.486448	0.938946	0.7742847538263944	1.3577765999083458	0.7525983135809612	0.7485649999999999	0.7485649999999999	0.590448	0.22361120584174715	0.7114050704138212	0.21734822438727328	3.0279499999999997	3.0279499999999997	1.49314	2.1705491176658502	2.667246017960351	2.1097556130702633	0.5	1.486448			2.03395;0.938946	0.906682;0.590448	4.56276;1.49314	1	1	1	450002	ENSDARG00000039979	0.938946	0.938946		0.590448	0.590448		1.49314	1.49314		0.938946	0.590448	1.49314	1	550432	ENSDARG00000017047	2.03395	2.03395		0.906682	0.906682		4.56276	4.56276		2.03395	0.906682	4.56276	0						Linear,2(1)	1.7828290870410515	3.5958253145217896	1.5655113458633423	2.0303139686584473	0.32866508649171167	1.7979126572608948	0.4133440800000001	2.5595519199999996	0.43865567999999994	1.05847432	0.019722400000000473	6.0361775999999985	CONFLICT	0.5	0.5	0.0	
GO:0000041	8	transition metal ion transport	69	69	2	2	0	2	2	2	2	0	0	126	69	18756	0.63057	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000045	7	autophagosome assembly	42	42	1	1	1	0	0	0	1	0	0	126	42	18783	0.75542	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000062	8	fatty-acyl-CoA binding	17	17	2	2	1	2	2	2	2	1	1	125	16	18809	0.99441	0.10725	0.10725	5.88	554842	acot11a	ENSDARG00000058229		2.01324	2.01324	2.01324		2.01324		0.904089	0.904089	0.904089		0.904089		4.48312	4.48312	4.48312		4.48312		0.0	2.01324			2.01324	0.904089	4.48312	0	1	0															1	554842	ENSDARG00000058229	2.01324	2.01324		0.904089	0.904089		4.48312	4.48312		2.01324	0.904089	4.48312	0						Linear,1(1)	1.531630039215088	1.531630039215088	1.531630039215088	1.531630039215088	0.0	1.531630039215088	2.01324	2.01324	0.904089	0.904089	4.48312	4.48312	DOWN	0.0	1.0	0.0	
GO:0000070	6	mitotic sister chromatid segregation	16	17	1	1	1	1	1	1	1	1	1	125	16	18809	0.99441	0.10725	0.10725	5.88	792608	knstrn	ENSDARG00000074379		0.105636	0.105636	0.105636		0.105636		0.0279408	0.0279408	0.0279408		0.0279408		0.399381	0.399381	0.399381		0.399381		0.0	0.105636			0.105636	0.0279408	0.399381	1	0	1	792608	ENSDARG00000074379	0.105636	0.105636		0.0279408	0.0279408		0.399381	0.399381		0.105636	0.0279408	0.399381	0															0						Hill,1(1)	1.5200088024139404	1.5200088024139404	1.5200088024139404	1.5200088024139404	0.0	1.5200088024139404	0.105636	0.105636	0.0279408	0.0279408	0.399381	0.399381	UP	1.0	0.0	0.0	
GO:0000075	6	cell cycle checkpoint signaling	58	62	1	1	0	0	0	0	1	0	0	126	62	18763	0.66082	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000077	8	DNA damage checkpoint signaling	32	33	1	1	0	0	0	0	1	0	0	126	33	18792	0.80226	1.0	1.0	0.0																														0	0	0															0															0																							
