.id,chemical,median_POD,POD_med,mean_POD,ciu_POD,cil_POD,hit_confidence,lowest_conc,highest_conc
z_score_pos_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,24-DNP,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,34-DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,4-TPP,0.041730208798677684,0.1097110064647897,0.042296634225843815,0.7087494142212009,7.116814326156405e-5,0.9,9.999999999999999e-5,1.0000000
z_score_pos_dir,4C3MP,0.9021371463372408,0.9072891079605648,0.4600966345703498,0.9124704916165302,0.007914354074938098,0.7,9.999999999999999e-5,1.0000000
z_score_pos_dir,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Aniline,3.890042041693458,10,3.890042041693458,3.890042041693458,3.890042041693458,0.1,0.001,10.0000000
z_score_pos_dir,BPA,0.9286933546539895,1,0.9286933546539895,0.9286933546539895,0.9286933546539895,0.1,9.999999999999999e-5,1.0000000
z_score_pos_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,DES,7.332416131677499e-4,0.05757874892356804,0.001249727376014894,0.03315312327603295,8.267174031400599e-6,0.5,9.999999999999999e-6,0.1000000
z_score_pos_dir,DMSO,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
z_score_pos_dir,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Fenitrothione,0.41588039606348676,1,0.05323384347889862,0.41588039606348676,8.722210671712055e-4,0.3,9.999999999999999e-5,1.0000000
z_score_pos_dir,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Flutamide,6.245174847827901e-4,0.004025662397584642,4.967222329573811e-4,0.027496095019627464,2.8553952379926003e-5,0.7,9.999999999999999e-5,1.0000000
z_score_pos_dir,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
z_score_pos_dir,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,TEG,342.4766321984638,1000,342.4766321984638,342.4766321984638,342.4766321984638,0.2,0.09999999999999999,1000.0000000
z_score_pos_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
