.id,chemical,median_POD,POD_med,mean_POD,ciu_POD,cil_POD,hit_confidence,lowest_conc,highest_conc
z_score_pos_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,24-DNP,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,34-DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,4-TPP,0.21957066667232628,0.23796088348999794,0.038289348605215476,0.7087494142212009,3.238595920013243e-4,0.896,9.999999999999999e-5,1.0000000
z_score_pos_dir,4C3MP,0.9021371463372408,1,0.40241891516085826,0.9124704916165302,0.007914354074938098,0.332,9.999999999999999e-5,1.0000000
z_score_pos_dir,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Aniline,2.776070924841854,10,2.402278706429371,3.890042041693458,0.29394262246674346,0.372,0.001,10.0000000
z_score_pos_dir,BPA,0.9286933546539895,1,0.9286933546539895,0.9286933546539895,0.9286933546539895,0.093,9.999999999999999e-5,1.0000000
z_score_pos_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,DES,0.020687150790652545,0.09999999999999999,0.004548734365686044,0.03315312327603295,8.267174031400599e-6,0.264,9.999999999999999e-6,0.1000000
z_score_pos_dir,DMSO,0.03525453226120727,10,0.03017474035996517,0.08486823669616775,0.00655416040125892,0.022,0.001,10.0000000
z_score_pos_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
z_score_pos_dir,Fadrozole,0.2843465680240106,1,0.035329476924503285,0.2843465680240106,7.397225645213518e-5,0.126,9.999999999999999e-5,1.0000000
z_score_pos_dir,Fenitrothione,0.008214793933462515,1,0.036685313590017,0.41588039606348676,8.808362450879211e-4,0.158,9.999999999999999e-5,1.0000000
z_score_pos_dir,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Flutamide,0.0055762035297739895,0.00841084577354501,0.0019266038780790596,0.0398460454753993,2.8553952379926003e-5,0.627,9.999999999999999e-5,1.0000000
z_score_pos_dir,Glyphosate,0.09934358605700518,1,0.0557064884080147,0.28858460436069383,0.004841125434809194,0.173,9.999999999999999e-5,1.0000000
z_score_pos_dir,Malathion,0.9281824427798397,1,0.9281824427798397,0.9281824427798397,0.9281824427798397,0.106,9.999999999999999e-5,1.0000000
z_score_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
z_score_pos_dir,Prochloraz,0.761556487972011,1,0.761556487972011,0.761556487972011,0.761556487972011,0.107,9.999999999999999e-5,1.0000000
z_score_pos_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,TEG,342.4766321984638,1000,109.30934313167442,342.4766321984638,0.04537185607964716,0.112,0.09999999999999999,1000.0000000
z_score_pos_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Trenbolone,8.280765485259946e-6,0.09999999999999999,1.3238003041264258e-5,7.458622569047238e-4,3.8182407506236584e-6,0.075,9.999999999999999e-6,0.1000000
z_score_pos_dir,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
