D11,Counts
ENSDARG00000000001,3
ENSDARG00000000002,47
ENSDARG00000000018,21
ENSDARG00000000019,94
ENSDARG00000000068,28
ENSDARG00000000069,169
ENSDARG00000000086,146
ENSDARG00000000103,243
ENSDARG00000000142,6
ENSDARG00000000151,27
ENSDARG00000000161,40
ENSDARG00000000175,2
ENSDARG00000000183,70
ENSDARG00000000189,161
ENSDARG00000000212,859
ENSDARG00000000229,16
ENSDARG00000000241,68
ENSDARG00000000349,5
ENSDARG00000000369,12
ENSDARG00000000370,151
ENSDARG00000000380,18
ENSDARG00000000394,110
ENSDARG00000000423,17
ENSDARG00000000442,6
ENSDARG00000000460,0
ENSDARG00000000472,36
ENSDARG00000000474,0
ENSDARG00000000476,6
ENSDARG00000000489,45
ENSDARG00000000503,343
ENSDARG00000000516,0
ENSDARG00000000529,21
ENSDARG00000000540,81
ENSDARG00000000542,6
ENSDARG00000000551,8
ENSDARG00000000563,18783
ENSDARG00000000567,25
ENSDARG00000000568,10
ENSDARG00000000588,12
ENSDARG00000000606,26
ENSDARG00000000631,95
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,45
ENSDARG00000000690,11
ENSDARG00000000729,46
ENSDARG00000000730,24
ENSDARG00000000747,3
ENSDARG00000000760,17
ENSDARG00000000767,22
ENSDARG00000000779,105
ENSDARG00000000796,22
ENSDARG00000000804,10
ENSDARG00000000830,0
ENSDARG00000000837,80
ENSDARG00000000853,15
ENSDARG00000000857,18
ENSDARG00000000861,605
ENSDARG00000000887,0
ENSDARG00000000906,15
ENSDARG00000000935,6
ENSDARG00000000943,48
ENSDARG00000000966,459
ENSDARG00000001014,519
ENSDARG00000001015,50
ENSDARG00000001057,57
ENSDARG00000001127,30
ENSDARG00000001129,204
ENSDARG00000001154,23
ENSDARG00000001162,147
ENSDARG00000001169,3
ENSDARG00000001210,11
ENSDARG00000001220,189
ENSDARG00000001234,52
ENSDARG00000001241,165
ENSDARG00000001244,423
ENSDARG00000001249,11
ENSDARG00000001259,18
ENSDARG00000001303,0
ENSDARG00000001313,7
ENSDARG00000001354,31
ENSDARG00000001414,14
ENSDARG00000001431,937
ENSDARG00000001437,16
ENSDARG00000001442,11
ENSDARG00000001447,15
ENSDARG00000001452,15
ENSDARG00000001463,22
ENSDARG00000001470,93
ENSDARG00000001498,0
ENSDARG00000001549,51
ENSDARG00000001557,3
ENSDARG00000001558,18
ENSDARG00000001559,166
ENSDARG00000001572,0
ENSDARG00000001578,49
ENSDARG00000001621,11
ENSDARG00000001634,159
ENSDARG00000001656,0
ENSDARG00000001676,77
ENSDARG00000001686,3
ENSDARG00000001710,95
ENSDARG00000001712,9
ENSDARG00000001721,0
ENSDARG00000001729,233
ENSDARG00000001733,17
ENSDARG00000001734,16
ENSDARG00000001754,11
ENSDARG00000001760,54
ENSDARG00000001767,3
ENSDARG00000001769,64
ENSDARG00000001771,0
ENSDARG00000001776,17
ENSDARG00000001777,111
ENSDARG00000001781,0
ENSDARG00000001782,1
ENSDARG00000001785,13
ENSDARG00000001788,151
ENSDARG00000001803,11
ENSDARG00000001804,0
ENSDARG00000001807,31
ENSDARG00000001817,10
ENSDARG00000001818,270
ENSDARG00000001825,2
ENSDARG00000001829,158
ENSDARG00000001835,15
ENSDARG00000001857,211
ENSDARG00000001859,0
ENSDARG00000001870,1254
ENSDARG00000001873,31
ENSDARG00000001879,47
