F1,Counts
ENSDARG00000000001,0
ENSDARG00000000002,51
ENSDARG00000000018,93
ENSDARG00000000019,218
ENSDARG00000000068,32
ENSDARG00000000069,287
ENSDARG00000000086,462
ENSDARG00000000103,577
ENSDARG00000000142,8
ENSDARG00000000151,115
ENSDARG00000000161,140
ENSDARG00000000175,28
ENSDARG00000000183,232
ENSDARG00000000189,308
ENSDARG00000000212,1011
ENSDARG00000000229,84
ENSDARG00000000241,100
ENSDARG00000000349,0
ENSDARG00000000369,6
ENSDARG00000000370,343
ENSDARG00000000380,108
ENSDARG00000000394,245
ENSDARG00000000423,57
ENSDARG00000000442,19
ENSDARG00000000460,0
ENSDARG00000000472,32
ENSDARG00000000474,5
ENSDARG00000000476,40
ENSDARG00000000489,102
ENSDARG00000000503,1440
ENSDARG00000000516,3
ENSDARG00000000529,64
ENSDARG00000000540,82
ENSDARG00000000542,8
ENSDARG00000000551,28
ENSDARG00000000563,67169
ENSDARG00000000567,110
ENSDARG00000000568,88
ENSDARG00000000588,0
ENSDARG00000000606,41
ENSDARG00000000631,222
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,50
ENSDARG00000000690,25
ENSDARG00000000729,58
ENSDARG00000000730,67
ENSDARG00000000747,6
ENSDARG00000000760,59
ENSDARG00000000767,25
ENSDARG00000000779,180
ENSDARG00000000796,50
ENSDARG00000000804,25
ENSDARG00000000830,43
ENSDARG00000000837,87
ENSDARG00000000853,87
ENSDARG00000000857,11
ENSDARG00000000861,1078
ENSDARG00000000887,24
ENSDARG00000000906,1
ENSDARG00000000935,267
ENSDARG00000000943,103
ENSDARG00000000966,1120
ENSDARG00000001014,883
ENSDARG00000001015,362
ENSDARG00000001057,76
ENSDARG00000001127,80
ENSDARG00000001129,318
ENSDARG00000001154,135
ENSDARG00000001162,261
ENSDARG00000001169,14
ENSDARG00000001210,24
ENSDARG00000001220,522
ENSDARG00000001234,176
ENSDARG00000001241,166
ENSDARG00000001244,1103
ENSDARG00000001249,13
ENSDARG00000001259,12
ENSDARG00000001303,0
ENSDARG00000001313,40
ENSDARG00000001354,7
ENSDARG00000001414,50
ENSDARG00000001431,1888
ENSDARG00000001437,78
ENSDARG00000001442,36
ENSDARG00000001447,21
ENSDARG00000001452,5
ENSDARG00000001463,77
ENSDARG00000001470,109
ENSDARG00000001498,0
ENSDARG00000001549,156
ENSDARG00000001557,15
