D12,Counts
ENSDARG00000000001,0
ENSDARG00000000002,0
ENSDARG00000000018,1
ENSDARG00000000019,8
ENSDARG00000000068,3
ENSDARG00000000069,10
ENSDARG00000000086,16
ENSDARG00000000103,30
ENSDARG00000000142,0
ENSDARG00000000151,34
ENSDARG00000000161,0
ENSDARG00000000175,4
ENSDARG00000000183,6
ENSDARG00000000189,21
ENSDARG00000000212,33
ENSDARG00000000229,2
ENSDARG00000000241,13
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,0
ENSDARG00000000380,1
ENSDARG00000000394,11
ENSDARG00000000423,3
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,11
ENSDARG00000000503,52
ENSDARG00000000516,0
ENSDARG00000000529,2
ENSDARG00000000540,12
ENSDARG00000000542,0
ENSDARG00000000551,3
ENSDARG00000000563,2668
ENSDARG00000000567,3
ENSDARG00000000568,0
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,4
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,2
ENSDARG00000000690,0
ENSDARG00000000729,9
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,0
ENSDARG00000000767,0
ENSDARG00000000779,5
ENSDARG00000000796,0
ENSDARG00000000804,0
ENSDARG00000000830,0
ENSDARG00000000837,5
ENSDARG00000000853,0
ENSDARG00000000857,0
ENSDARG00000000861,17
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,0
ENSDARG00000000943,4
ENSDARG00000000966,53
ENSDARG00000001014,30
ENSDARG00000001015,12
ENSDARG00000001057,5
ENSDARG00000001127,11
ENSDARG00000001129,15
ENSDARG00000001154,0
ENSDARG00000001162,6
ENSDARG00000001169,1
ENSDARG00000001210,5
ENSDARG00000001220,61
ENSDARG00000001234,0
ENSDARG00000001241,7
ENSDARG00000001244,29
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,0
ENSDARG00000001354,0
ENSDARG00000001414,1
ENSDARG00000001431,65
ENSDARG00000001437,0
ENSDARG00000001442,1
ENSDARG00000001447,4
ENSDARG00000001452,0
ENSDARG00000001463,4
ENSDARG00000001470,0
ENSDARG00000001498,0
ENSDARG00000001549,4
ENSDARG00000001557,0
ENSDARG00000001558,3
ENSDARG00000001559,2
ENSDARG00000001572,0
ENSDARG00000001578,8
ENSDARG00000001621,4
ENSDARG00000001634,3
ENSDARG00000001656,0
ENSDARG00000001676,2
ENSDARG00000001686,0
ENSDARG00000001710,5
ENSDARG00000001712,2
ENSDARG00000001721,0
ENSDARG00000001729,9
ENSDARG00000001733,4
ENSDARG00000001734,0
ENSDARG00000001754,0
