E7,Counts
ENSDARG00000000001,24
ENSDARG00000000002,48
ENSDARG00000000018,29
ENSDARG00000000019,162
ENSDARG00000000068,0
ENSDARG00000000069,130
ENSDARG00000000086,244
ENSDARG00000000103,362
ENSDARG00000000142,5
ENSDARG00000000151,30
ENSDARG00000000161,115
ENSDARG00000000175,10
ENSDARG00000000183,192
ENSDARG00000000189,159
ENSDARG00000000212,341
ENSDARG00000000229,109
ENSDARG00000000241,146
ENSDARG00000000349,0
ENSDARG00000000369,6
ENSDARG00000000370,211
ENSDARG00000000380,52
ENSDARG00000000394,125
ENSDARG00000000423,14
ENSDARG00000000442,3
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,6
ENSDARG00000000489,82
ENSDARG00000000503,629
ENSDARG00000000516,0
ENSDARG00000000529,34
ENSDARG00000000540,57
ENSDARG00000000542,43
ENSDARG00000000551,33
ENSDARG00000000563,54341
ENSDARG00000000567,138
ENSDARG00000000568,53
ENSDARG00000000588,8
ENSDARG00000000606,0
ENSDARG00000000631,58
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,36
ENSDARG00000000690,13
ENSDARG00000000729,92
ENSDARG00000000730,12
ENSDARG00000000747,0
ENSDARG00000000760,26
ENSDARG00000000767,15
ENSDARG00000000779,155
ENSDARG00000000796,43
ENSDARG00000000804,5
ENSDARG00000000830,21
ENSDARG00000000837,124
ENSDARG00000000853,82
ENSDARG00000000857,35
ENSDARG00000000861,320
ENSDARG00000000887,6
ENSDARG00000000906,5
ENSDARG00000000935,258
ENSDARG00000000943,89
ENSDARG00000000966,619
ENSDARG00000001014,597
ENSDARG00000001015,189
ENSDARG00000001057,46
ENSDARG00000001127,148
ENSDARG00000001129,311
ENSDARG00000001154,51
ENSDARG00000001162,128
ENSDARG00000001169,0
ENSDARG00000001210,19
ENSDARG00000001220,313
ENSDARG00000001234,22
ENSDARG00000001241,137
ENSDARG00000001244,251
ENSDARG00000001249,6
ENSDARG00000001259,10
ENSDARG00000001303,0
ENSDARG00000001313,12
ENSDARG00000001354,10
ENSDARG00000001414,7
ENSDARG00000001431,1235
ENSDARG00000001437,58
ENSDARG00000001442,36
ENSDARG00000001447,13
ENSDARG00000001452,34
ENSDARG00000001463,61
ENSDARG00000001470,37
ENSDARG00000001498,0
ENSDARG00000001549,66
ENSDARG00000001557,11
ENSDARG00000001558,35
ENSDARG00000001559,133
ENSDARG00000001572,0
ENSDARG00000001578,67
ENSDARG00000001621,22
ENSDARG00000001634,140
ENSDARG00000001656,0
ENSDARG00000001676,113
ENSDARG00000001686,4
ENSDARG00000001710,182
ENSDARG00000001712,1
ENSDARG00000001721,0
ENSDARG00000001729,249
ENSDARG00000001733,51
ENSDARG00000001734,8
ENSDARG00000001754,84
ENSDARG00000001760,98
ENSDARG00000001767,4
ENSDARG00000001769,53
ENSDARG00000001771,3
ENSDARG00000001776,14
ENSDARG00000001777,50
ENSDARG00000001781,19
ENSDARG00000001782,1
ENSDARG00000001785,31
ENSDARG00000001788,224
ENSDARG00000001803,11
ENSDARG00000001804,2
ENSDARG00000001807,45
ENSDARG00000001817,28
ENSDARG00000001818,185
ENSDARG00000001825,7
ENSDARG00000001829,173
ENSDARG00000001835,68
ENSDARG00000001857,196
ENSDARG00000001859,14
ENSDARG00000001870,1435
ENSDARG00000001873,21
ENSDARG00000001879,99
ENSDARG00000001880,27
ENSDARG00000001881,18
ENSDARG00000001882,38
ENSDARG00000001888,56
ENSDARG00000001889,331
