C5,Counts
ENSDARG00000000001,2
ENSDARG00000000002,29
ENSDARG00000000018,3
ENSDARG00000000019,52
ENSDARG00000000068,8
ENSDARG00000000069,44
ENSDARG00000000086,114
ENSDARG00000000103,113
ENSDARG00000000142,1
ENSDARG00000000151,24
ENSDARG00000000161,19
ENSDARG00000000175,3
ENSDARG00000000183,99
ENSDARG00000000189,56
ENSDARG00000000212,114
ENSDARG00000000229,12
ENSDARG00000000241,31
ENSDARG00000000349,0
ENSDARG00000000369,7
ENSDARG00000000370,166
ENSDARG00000000380,33
ENSDARG00000000394,50
ENSDARG00000000423,0
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,8
ENSDARG00000000474,0
ENSDARG00000000476,3
ENSDARG00000000489,27
ENSDARG00000000503,289
ENSDARG00000000516,0
ENSDARG00000000529,33
ENSDARG00000000540,23
ENSDARG00000000542,0
ENSDARG00000000551,6
ENSDARG00000000563,18476
ENSDARG00000000567,19
ENSDARG00000000568,38
ENSDARG00000000588,0
ENSDARG00000000606,13
ENSDARG00000000631,22
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,25
ENSDARG00000000690,6
ENSDARG00000000729,38
ENSDARG00000000730,6
ENSDARG00000000747,0
ENSDARG00000000760,18
ENSDARG00000000767,11
ENSDARG00000000779,47
ENSDARG00000000796,0
ENSDARG00000000804,4
ENSDARG00000000830,0
ENSDARG00000000837,70
ENSDARG00000000853,40
ENSDARG00000000857,4
ENSDARG00000000861,147
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,13
ENSDARG00000000943,0
ENSDARG00000000966,234
ENSDARG00000001014,218
ENSDARG00000001015,29
ENSDARG00000001057,37
ENSDARG00000001127,46
ENSDARG00000001129,90
ENSDARG00000001154,66
ENSDARG00000001162,74
ENSDARG00000001169,2
ENSDARG00000001210,0
ENSDARG00000001220,172
ENSDARG00000001234,7
ENSDARG00000001241,39
ENSDARG00000001244,215
ENSDARG00000001249,9
ENSDARG00000001259,1
ENSDARG00000001303,0
ENSDARG00000001313,4
ENSDARG00000001354,0
ENSDARG00000001414,2
ENSDARG00000001431,806
ENSDARG00000001437,29
ENSDARG00000001442,4
ENSDARG00000001447,6
ENSDARG00000001452,0
ENSDARG00000001463,47
ENSDARG00000001470,22
ENSDARG00000001498,0
ENSDARG00000001549,36
ENSDARG00000001557,10
ENSDARG00000001558,11
ENSDARG00000001559,161
ENSDARG00000001572,0
ENSDARG00000001578,13
ENSDARG00000001621,7
ENSDARG00000001634,114
ENSDARG00000001656,0
ENSDARG00000001676,42
ENSDARG00000001686,4
ENSDARG00000001710,49
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,109
ENSDARG00000001733,5
ENSDARG00000001734,2
ENSDARG00000001754,57
ENSDARG00000001760,20
ENSDARG00000001767,0
ENSDARG00000001769,49
ENSDARG00000001771,0
ENSDARG00000001776,3
ENSDARG00000001777,28
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,13
ENSDARG00000001788,25
ENSDARG00000001803,2
ENSDARG00000001804,0
ENSDARG00000001807,42
ENSDARG00000001817,1
ENSDARG00000001818,51
ENSDARG00000001825,2
