A7,Counts
ENSDARG00000000001,3
ENSDARG00000000002,104
ENSDARG00000000018,32
ENSDARG00000000019,163
ENSDARG00000000068,22
ENSDARG00000000069,265
ENSDARG00000000086,212
ENSDARG00000000103,473
ENSDARG00000000142,14
ENSDARG00000000151,130
ENSDARG00000000161,65
ENSDARG00000000175,21
ENSDARG00000000183,182
ENSDARG00000000189,299
ENSDARG00000000212,1111
ENSDARG00000000229,53
ENSDARG00000000241,111
ENSDARG00000000349,2
ENSDARG00000000369,14
ENSDARG00000000370,238
ENSDARG00000000380,29
ENSDARG00000000394,189
ENSDARG00000000423,32
ENSDARG00000000442,19
ENSDARG00000000460,2
ENSDARG00000000472,84
ENSDARG00000000474,0
ENSDARG00000000476,7
ENSDARG00000000489,90
ENSDARG00000000503,753
ENSDARG00000000516,0
ENSDARG00000000529,10
ENSDARG00000000540,118
ENSDARG00000000542,22
ENSDARG00000000551,26
ENSDARG00000000563,22728
ENSDARG00000000567,112
ENSDARG00000000568,52
ENSDARG00000000588,9
ENSDARG00000000606,26
ENSDARG00000000631,87
ENSDARG00000000638,0
ENSDARG00000000651,13
ENSDARG00000000656,0
ENSDARG00000000666,70
ENSDARG00000000690,13
ENSDARG00000000729,143
ENSDARG00000000730,37
ENSDARG00000000747,14
ENSDARG00000000760,15
ENSDARG00000000767,38
ENSDARG00000000779,204
ENSDARG00000000796,41
ENSDARG00000000804,17
ENSDARG00000000830,0
ENSDARG00000000837,57
ENSDARG00000000853,91
ENSDARG00000000857,20
ENSDARG00000000861,342
ENSDARG00000000887,16
ENSDARG00000000906,13
ENSDARG00000000935,43
ENSDARG00000000943,51
ENSDARG00000000966,592
ENSDARG00000001014,945
ENSDARG00000001015,133
ENSDARG00000001057,107
ENSDARG00000001127,43
ENSDARG00000001129,276
ENSDARG00000001154,72
ENSDARG00000001162,204
ENSDARG00000001169,3
ENSDARG00000001210,30
ENSDARG00000001220,344
ENSDARG00000001234,113
ENSDARG00000001241,158
ENSDARG00000001244,562
ENSDARG00000001249,17
ENSDARG00000001259,20
ENSDARG00000001303,0
ENSDARG00000001313,74
ENSDARG00000001354,8
ENSDARG00000001414,23
ENSDARG00000001431,1668
ENSDARG00000001437,53
ENSDARG00000001442,23
ENSDARG00000001447,42
ENSDARG00000001452,30
ENSDARG00000001463,46
ENSDARG00000001470,222
ENSDARG00000001498,2
ENSDARG00000001549,184
ENSDARG00000001557,37
ENSDARG00000001558,59
ENSDARG00000001559,115
ENSDARG00000001572,0
ENSDARG00000001578,82
ENSDARG00000001621,34
ENSDARG00000001634,153
ENSDARG00000001656,0
ENSDARG00000001676,76
ENSDARG00000001686,3
ENSDARG00000001710,122
ENSDARG00000001712,5
ENSDARG00000001721,4
ENSDARG00000001729,278
ENSDARG00000001733,43
ENSDARG00000001734,13
ENSDARG00000001754,87
ENSDARG00000001760,37
ENSDARG00000001767,18
ENSDARG00000001769,55
ENSDARG00000001771,0
ENSDARG00000001776,32
ENSDARG00000001777,97
ENSDARG00000001781,9
ENSDARG00000001782,6
ENSDARG00000001785,38
ENSDARG00000001788,397
ENSDARG00000001803,23
ENSDARG00000001804,4
ENSDARG00000001807,37
ENSDARG00000001817,13
ENSDARG00000001818,319
ENSDARG00000001825,0
ENSDARG00000001829,268
ENSDARG00000001835,54
ENSDARG00000001857,248
ENSDARG00000001859,5
ENSDARG00000001870,2481
ENSDARG00000001873,25
ENSDARG00000001879,165
ENSDARG00000001880,162
ENSDARG00000001881,12
ENSDARG00000001882,28
ENSDARG00000001888,78
ENSDARG00000001889,190
ENSDARG00000001890,208
ENSDARG00000001891,9
ENSDARG00000001897,61
ENSDARG00000001898,11
ENSDARG00000001906,0
ENSDARG00000001909,14
ENSDARG00000001910,267
ENSDARG00000001912,6
ENSDARG00000001913,64
ENSDARG00000001929,42
ENSDARG00000001930,35
ENSDARG00000001933,10
ENSDARG00000001937,32
ENSDARG00000001939,32
ENSDARG00000001940,66
ENSDARG00000001950,1795
ENSDARG00000001953,51
ENSDARG00000001968,253
ENSDARG00000001969,38
ENSDARG00000001971,20
ENSDARG00000001975,17
ENSDARG00000001976,39
ENSDARG00000001993,840
ENSDARG00000001994,392
ENSDARG00000001999,48
ENSDARG00000002002,7
ENSDARG00000002006,62
ENSDARG00000002013,102
ENSDARG00000002016,29
ENSDARG00000002020,64
ENSDARG00000002021,49
ENSDARG00000002026,64
ENSDARG00000002031,26
ENSDARG00000002037,16
ENSDARG00000002060,5
ENSDARG00000002071,227
ENSDARG00000002077,38
ENSDARG00000002082,136
ENSDARG00000002084,293
ENSDARG00000002097,32
ENSDARG00000002127,141
ENSDARG00000002128,51
ENSDARG00000002131,225
ENSDARG00000002165,21
ENSDARG00000002167,94
ENSDARG00000002168,30
ENSDARG00000002172,27
ENSDARG00000002174,14
ENSDARG00000002184,18
ENSDARG00000002190,289
ENSDARG00000002192,40
ENSDARG00000002193,991
ENSDARG00000002194,2
ENSDARG00000002196,218
ENSDARG00000002197,132
ENSDARG00000002204,37
ENSDARG00000002210,22
ENSDARG00000002213,25
ENSDARG00000002215,57
ENSDARG00000002216,31
ENSDARG00000002217,159
ENSDARG00000002219,19
ENSDARG00000002220,70
ENSDARG00000002230,78
ENSDARG00000002231,71
ENSDARG00000002235,247
ENSDARG00000002240,96
ENSDARG00000002241,13
ENSDARG00000002249,61
ENSDARG00000002255,90
ENSDARG00000002259,5
ENSDARG00000002264,29
ENSDARG00000002267,61
ENSDARG00000002271,227
ENSDARG00000002285,57
ENSDARG00000002293,0
ENSDARG00000002295,2
ENSDARG00000002298,12
ENSDARG00000002299,19
ENSDARG00000002300,1
ENSDARG00000002304,6
ENSDARG00000002305,214
ENSDARG00000002311,1
ENSDARG00000002330,0
ENSDARG00000002332,142
ENSDARG00000002333,61
ENSDARG00000002336,190
ENSDARG00000002339,26
ENSDARG00000002344,667
ENSDARG00000002347,3
ENSDARG00000002353,2
ENSDARG00000002355,15
ENSDARG00000002362,49
ENSDARG00000002365,39
ENSDARG00000002369,205
