A12,Counts
ENSDARG00000000001,7
ENSDARG00000000002,36
ENSDARG00000000018,12
ENSDARG00000000019,149
ENSDARG00000000068,16
ENSDARG00000000069,208
ENSDARG00000000086,108
ENSDARG00000000103,313
ENSDARG00000000142,15
ENSDARG00000000151,14
ENSDARG00000000161,38
ENSDARG00000000175,11
ENSDARG00000000183,86
ENSDARG00000000189,126
ENSDARG00000000212,754
ENSDARG00000000229,31
ENSDARG00000000241,62
ENSDARG00000000349,5
ENSDARG00000000369,2
ENSDARG00000000370,78
ENSDARG00000000380,16
ENSDARG00000000394,115
ENSDARG00000000423,24
ENSDARG00000000442,12
ENSDARG00000000460,0
ENSDARG00000000472,12
ENSDARG00000000474,0
ENSDARG00000000476,15
ENSDARG00000000489,36
ENSDARG00000000503,615
ENSDARG00000000516,0
ENSDARG00000000529,18
ENSDARG00000000540,43
ENSDARG00000000542,71
ENSDARG00000000551,48
ENSDARG00000000563,10900
ENSDARG00000000567,67
ENSDARG00000000568,26
ENSDARG00000000588,2
ENSDARG00000000606,8
ENSDARG00000000631,39
ENSDARG00000000638,0
ENSDARG00000000651,2
ENSDARG00000000656,0
ENSDARG00000000666,61
ENSDARG00000000690,5
ENSDARG00000000729,45
ENSDARG00000000730,1
ENSDARG00000000747,6
ENSDARG00000000760,18
ENSDARG00000000767,7
ENSDARG00000000779,120
ENSDARG00000000796,13
ENSDARG00000000804,10
ENSDARG00000000830,22
ENSDARG00000000837,64
ENSDARG00000000853,87
ENSDARG00000000857,33
ENSDARG00000000861,128
ENSDARG00000000887,5
ENSDARG00000000906,10
ENSDARG00000000935,14
ENSDARG00000000943,49
ENSDARG00000000966,352
ENSDARG00000001014,650
ENSDARG00000001015,112
ENSDARG00000001057,38
ENSDARG00000001127,54
ENSDARG00000001129,118
ENSDARG00000001154,40
ENSDARG00000001162,105
ENSDARG00000001169,8
ENSDARG00000001210,18
ENSDARG00000001220,218
ENSDARG00000001234,68
ENSDARG00000001241,79
ENSDARG00000001244,220
ENSDARG00000001249,6
ENSDARG00000001259,1
ENSDARG00000001303,0
ENSDARG00000001313,8
ENSDARG00000001354,10
ENSDARG00000001414,9
ENSDARG00000001431,1049
ENSDARG00000001437,11
ENSDARG00000001442,12
ENSDARG00000001447,26
ENSDARG00000001452,5
ENSDARG00000001463,22
ENSDARG00000001470,50
ENSDARG00000001498,0
ENSDARG00000001549,72
ENSDARG00000001557,31
ENSDARG00000001558,15
ENSDARG00000001559,20
ENSDARG00000001572,1
ENSDARG00000001578,37
ENSDARG00000001621,31
ENSDARG00000001634,83
ENSDARG00000001656,4
ENSDARG00000001676,56
ENSDARG00000001686,1
ENSDARG00000001710,79
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,151
ENSDARG00000001733,23
ENSDARG00000001734,10
ENSDARG00000001754,35
ENSDARG00000001760,59
ENSDARG00000001767,10
ENSDARG00000001769,35
ENSDARG00000001771,0
ENSDARG00000001776,11
ENSDARG00000001777,91
ENSDARG00000001781,3
ENSDARG00000001782,10
ENSDARG00000001785,14
