A9,Counts
ENSDARG00000000001,20
ENSDARG00000000002,188
ENSDARG00000000018,73
ENSDARG00000000019,382
ENSDARG00000000068,53
ENSDARG00000000069,637
ENSDARG00000000086,618
ENSDARG00000000103,1042
ENSDARG00000000142,18
ENSDARG00000000151,148
ENSDARG00000000161,81
ENSDARG00000000175,41
ENSDARG00000000183,315
ENSDARG00000000189,389
ENSDARG00000000212,2301
ENSDARG00000000229,66
ENSDARG00000000241,269
ENSDARG00000000349,1
ENSDARG00000000369,19
ENSDARG00000000370,417
ENSDARG00000000380,116
ENSDARG00000000394,402
ENSDARG00000000423,47
ENSDARG00000000442,42
ENSDARG00000000460,2
ENSDARG00000000472,177
ENSDARG00000000474,3
ENSDARG00000000476,26
ENSDARG00000000489,196
ENSDARG00000000503,1910
ENSDARG00000000516,0
ENSDARG00000000529,36
ENSDARG00000000540,212
ENSDARG00000000542,10
ENSDARG00000000551,81
ENSDARG00000000563,35696
ENSDARG00000000567,91
ENSDARG00000000568,124
ENSDARG00000000588,22
ENSDARG00000000606,6
ENSDARG00000000631,154
ENSDARG00000000638,0
ENSDARG00000000651,5
ENSDARG00000000656,0
ENSDARG00000000666,100
ENSDARG00000000690,14
ENSDARG00000000729,287
ENSDARG00000000730,62
ENSDARG00000000747,0
ENSDARG00000000760,54
ENSDARG00000000767,53
ENSDARG00000000779,356
ENSDARG00000000796,43
ENSDARG00000000804,12
ENSDARG00000000830,0
ENSDARG00000000837,222
ENSDARG00000000853,113
ENSDARG00000000857,47
ENSDARG00000000861,889
ENSDARG00000000887,14
ENSDARG00000000906,34
ENSDARG00000000935,48
ENSDARG00000000943,125
ENSDARG00000000966,1385
ENSDARG00000001014,1715
ENSDARG00000001015,345
ENSDARG00000001057,145
ENSDARG00000001127,159
ENSDARG00000001129,398
ENSDARG00000001154,123
ENSDARG00000001162,330
ENSDARG00000001169,14
ENSDARG00000001210,62
ENSDARG00000001220,535
ENSDARG00000001234,233
ENSDARG00000001241,327
ENSDARG00000001244,702
ENSDARG00000001249,3
ENSDARG00000001259,8
ENSDARG00000001303,0
ENSDARG00000001313,22
ENSDARG00000001354,22
ENSDARG00000001414,34
ENSDARG00000001431,3751
ENSDARG00000001437,133
ENSDARG00000001442,60
ENSDARG00000001447,60
ENSDARG00000001452,28
ENSDARG00000001463,173
ENSDARG00000001470,249
ENSDARG00000001498,4
ENSDARG00000001549,293
ENSDARG00000001557,40
ENSDARG00000001558,92
ENSDARG00000001559,364
ENSDARG00000001572,3
ENSDARG00000001578,180
ENSDARG00000001621,82
ENSDARG00000001634,303
ENSDARG00000001656,0
ENSDARG00000001676,236
ENSDARG00000001686,8
ENSDARG00000001710,346
ENSDARG00000001712,16
ENSDARG00000001721,1
ENSDARG00000001729,544
ENSDARG00000001733,80
ENSDARG00000001734,57
ENSDARG00000001754,174
ENSDARG00000001760,206
ENSDARG00000001767,17
ENSDARG00000001769,120
ENSDARG00000001771,0
ENSDARG00000001776,51
ENSDARG00000001777,229
ENSDARG00000001781,10
ENSDARG00000001782,9
ENSDARG00000001785,118
ENSDARG00000001788,635
ENSDARG00000001803,33
ENSDARG00000001804,0
ENSDARG00000001807,78
ENSDARG00000001817,27
ENSDARG00000001818,867
ENSDARG00000001825,11
ENSDARG00000001829,540
ENSDARG00000001835,112
ENSDARG00000001857,714
ENSDARG00000001859,17
ENSDARG00000001870,4984
ENSDARG00000001873,62
ENSDARG00000001879,244
ENSDARG00000001880,47
ENSDARG00000001881,38
ENSDARG00000001882,96
ENSDARG00000001888,244
ENSDARG00000001889,465
ENSDARG00000001890,441
ENSDARG00000001891,25
ENSDARG00000001897,196
ENSDARG00000001898,48
ENSDARG00000001906,0
ENSDARG00000001909,17
ENSDARG00000001910,463
ENSDARG00000001912,54
ENSDARG00000001913,96
ENSDARG00000001929,63
ENSDARG00000001930,58
ENSDARG00000001933,26
ENSDARG00000001937,22
ENSDARG00000001939,23
ENSDARG00000001940,161
ENSDARG00000001950,3187
ENSDARG00000001953,102
ENSDARG00000001968,332
ENSDARG00000001969,59
ENSDARG00000001971,47
ENSDARG00000001975,43
ENSDARG00000001976,62
ENSDARG00000001993,2123
ENSDARG00000001994,1134
ENSDARG00000001999,89
ENSDARG00000002002,28
ENSDARG00000002006,254
ENSDARG00000002013,188
ENSDARG00000002016,46
ENSDARG00000002020,101
ENSDARG00000002021,158
ENSDARG00000002026,100
ENSDARG00000002031,12
ENSDARG00000002037,25
ENSDARG00000002060,0
ENSDARG00000002071,400
ENSDARG00000002077,29
ENSDARG00000002082,256
ENSDARG00000002084,439
ENSDARG00000002097,19
ENSDARG00000002127,243
ENSDARG00000002128,78
ENSDARG00000002131,475
ENSDARG00000002165,24
ENSDARG00000002167,304
ENSDARG00000002168,129
ENSDARG00000002172,29
ENSDARG00000002174,32
ENSDARG00000002184,70
ENSDARG00000002190,412
ENSDARG00000002192,152
ENSDARG00000002193,3424
ENSDARG00000002194,4
ENSDARG00000002196,292
ENSDARG00000002197,340
ENSDARG00000002204,85
ENSDARG00000002210,55
ENSDARG00000002213,36
ENSDARG00000002215,84
ENSDARG00000002216,67
ENSDARG00000002217,309
ENSDARG00000002219,51
ENSDARG00000002220,75
ENSDARG00000002230,556
ENSDARG00000002231,139
ENSDARG00000002235,467
ENSDARG00000002240,193
ENSDARG00000002241,9
ENSDARG00000002249,96
ENSDARG00000002255,174
ENSDARG00000002259,13
ENSDARG00000002264,62
ENSDARG00000002267,79
ENSDARG00000002271,365
ENSDARG00000002285,96
ENSDARG00000002293,2
ENSDARG00000002295,3
ENSDARG00000002298,14
ENSDARG00000002299,24
ENSDARG00000002300,9
ENSDARG00000002304,9
ENSDARG00000002305,459
ENSDARG00000002311,2
ENSDARG00000002330,18
ENSDARG00000002332,266
ENSDARG00000002333,99
