D10,Counts
ENSDARG00000000001,1
ENSDARG00000000002,27
ENSDARG00000000018,13
ENSDARG00000000019,86
ENSDARG00000000068,45
ENSDARG00000000069,117
ENSDARG00000000086,112
ENSDARG00000000103,244
ENSDARG00000000142,4
ENSDARG00000000151,24
ENSDARG00000000161,22
ENSDARG00000000175,11
ENSDARG00000000183,44
ENSDARG00000000189,98
ENSDARG00000000212,400
ENSDARG00000000229,23
ENSDARG00000000241,48
ENSDARG00000000349,0
ENSDARG00000000369,3
ENSDARG00000000370,55
ENSDARG00000000380,37
ENSDARG00000000394,67
ENSDARG00000000423,10
ENSDARG00000000442,7
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,4
ENSDARG00000000489,11
ENSDARG00000000503,347
ENSDARG00000000516,0
ENSDARG00000000529,31
ENSDARG00000000540,62
ENSDARG00000000542,20
ENSDARG00000000551,21
ENSDARG00000000563,16473
ENSDARG00000000567,15
ENSDARG00000000568,33
ENSDARG00000000588,3
ENSDARG00000000606,0
ENSDARG00000000631,33
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,26
ENSDARG00000000690,2
ENSDARG00000000729,24
ENSDARG00000000730,20
ENSDARG00000000747,0
ENSDARG00000000760,11
ENSDARG00000000767,11
ENSDARG00000000779,87
ENSDARG00000000796,7
ENSDARG00000000804,14
ENSDARG00000000830,10
ENSDARG00000000837,18
ENSDARG00000000853,35
ENSDARG00000000857,9
ENSDARG00000000861,167
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,7
ENSDARG00000000943,22
ENSDARG00000000966,310
ENSDARG00000001014,415
ENSDARG00000001015,70
ENSDARG00000001057,48
ENSDARG00000001127,35
ENSDARG00000001129,79
ENSDARG00000001154,16
ENSDARG00000001162,39
ENSDARG00000001169,0
ENSDARG00000001210,10
ENSDARG00000001220,231
ENSDARG00000001234,16
ENSDARG00000001241,81
ENSDARG00000001244,104
ENSDARG00000001249,1
ENSDARG00000001259,1
ENSDARG00000001303,0
ENSDARG00000001313,96
ENSDARG00000001354,16
ENSDARG00000001414,1
ENSDARG00000001431,624
ENSDARG00000001437,26
ENSDARG00000001442,16
ENSDARG00000001447,6
ENSDARG00000001452,14
ENSDARG00000001463,48
ENSDARG00000001470,61
ENSDARG00000001498,3
ENSDARG00000001549,59
ENSDARG00000001557,6
ENSDARG00000001558,14
ENSDARG00000001559,42
ENSDARG00000001572,0
ENSDARG00000001578,29
ENSDARG00000001621,20
ENSDARG00000001634,68
ENSDARG00000001656,0
ENSDARG00000001676,42
ENSDARG00000001686,0
ENSDARG00000001710,64
ENSDARG00000001712,1
ENSDARG00000001721,0
ENSDARG00000001729,114
ENSDARG00000001733,10
ENSDARG00000001734,11
ENSDARG00000001754,45
ENSDARG00000001760,31
ENSDARG00000001767,5
ENSDARG00000001769,70
ENSDARG00000001771,3
ENSDARG00000001776,22
ENSDARG00000001777,84
ENSDARG00000001781,3
ENSDARG00000001782,2
ENSDARG00000001785,11
ENSDARG00000001788,145
ENSDARG00000001803,0
ENSDARG00000001804,0
