F5,Counts
ENSDARG00000000001,1
ENSDARG00000000002,65
ENSDARG00000000018,75
ENSDARG00000000019,163
ENSDARG00000000068,12
ENSDARG00000000069,182
ENSDARG00000000086,305
ENSDARG00000000103,514
ENSDARG00000000142,4
ENSDARG00000000151,62
ENSDARG00000000161,52
ENSDARG00000000175,19
ENSDARG00000000183,291
ENSDARG00000000189,215
ENSDARG00000000212,806
ENSDARG00000000229,33
ENSDARG00000000241,76
ENSDARG00000000349,0
ENSDARG00000000369,3
ENSDARG00000000370,395
ENSDARG00000000380,54
ENSDARG00000000394,166
ENSDARG00000000423,20
ENSDARG00000000442,21
ENSDARG00000000460,0
ENSDARG00000000472,22
ENSDARG00000000474,4
ENSDARG00000000476,24
ENSDARG00000000489,43
ENSDARG00000000503,647
ENSDARG00000000516,0
ENSDARG00000000529,31
ENSDARG00000000540,85
ENSDARG00000000542,25
ENSDARG00000000551,8
ENSDARG00000000563,58024
ENSDARG00000000567,174
ENSDARG00000000568,78
ENSDARG00000000588,2
ENSDARG00000000606,6
ENSDARG00000000631,123
ENSDARG00000000638,0
ENSDARG00000000651,12
ENSDARG00000000656,0
ENSDARG00000000666,53
ENSDARG00000000690,17
ENSDARG00000000729,77
ENSDARG00000000730,25
ENSDARG00000000747,0
ENSDARG00000000760,17
ENSDARG00000000767,15
ENSDARG00000000779,147
ENSDARG00000000796,74
ENSDARG00000000804,8
ENSDARG00000000830,27
ENSDARG00000000837,127
ENSDARG00000000853,94
ENSDARG00000000857,55
ENSDARG00000000861,1090
ENSDARG00000000887,1
ENSDARG00000000906,16
ENSDARG00000000935,17
ENSDARG00000000943,42
ENSDARG00000000966,806
ENSDARG00000001014,769
ENSDARG00000001015,137
ENSDARG00000001057,109
ENSDARG00000001127,123
ENSDARG00000001129,317
ENSDARG00000001154,76
ENSDARG00000001162,173
ENSDARG00000001169,0
ENSDARG00000001210,27
ENSDARG00000001220,363
ENSDARG00000001234,142
ENSDARG00000001241,101
ENSDARG00000001244,292
ENSDARG00000001249,3
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,10
ENSDARG00000001354,34
ENSDARG00000001414,2
ENSDARG00000001431,1578
ENSDARG00000001437,78
ENSDARG00000001442,56
ENSDARG00000001447,45
ENSDARG00000001452,22
ENSDARG00000001463,92
ENSDARG00000001470,66
ENSDARG00000001498,0
ENSDARG00000001549,101
ENSDARG00000001557,9
ENSDARG00000001558,48
ENSDARG00000001559,445
ENSDARG00000001572,0
ENSDARG00000001578,45
ENSDARG00000001621,35
ENSDARG00000001634,158
ENSDARG00000001656,0
ENSDARG00000001676,147
ENSDARG00000001686,0
ENSDARG00000001710,232
ENSDARG00000001712,1
ENSDARG00000001721,5
ENSDARG00000001729,207
ENSDARG00000001733,31
