B5,Counts
ENSDARG00000000001,9
ENSDARG00000000002,93
ENSDARG00000000018,43
ENSDARG00000000019,148
ENSDARG00000000068,42
ENSDARG00000000069,276
ENSDARG00000000086,209
ENSDARG00000000103,480
ENSDARG00000000142,0
ENSDARG00000000151,37
ENSDARG00000000161,31
ENSDARG00000000175,11
ENSDARG00000000183,172
ENSDARG00000000189,170
ENSDARG00000000212,960
ENSDARG00000000229,52
ENSDARG00000000241,95
ENSDARG00000000349,2
ENSDARG00000000369,5
ENSDARG00000000370,183
ENSDARG00000000380,31
ENSDARG00000000394,154
ENSDARG00000000423,1
ENSDARG00000000442,20
ENSDARG00000000460,1
ENSDARG00000000472,63
ENSDARG00000000474,0
ENSDARG00000000476,6
ENSDARG00000000489,25
ENSDARG00000000503,826
ENSDARG00000000516,0
ENSDARG00000000529,20
ENSDARG00000000540,70
ENSDARG00000000542,18
ENSDARG00000000551,38
ENSDARG00000000563,18678
ENSDARG00000000567,83
ENSDARG00000000568,38
ENSDARG00000000588,1
ENSDARG00000000606,0
ENSDARG00000000631,64
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,22
ENSDARG00000000690,13
ENSDARG00000000729,70
ENSDARG00000000730,20
ENSDARG00000000747,0
ENSDARG00000000760,24
ENSDARG00000000767,38
ENSDARG00000000779,123
ENSDARG00000000796,42
ENSDARG00000000804,6
ENSDARG00000000830,21
ENSDARG00000000837,74
ENSDARG00000000853,72
ENSDARG00000000857,40
ENSDARG00000000861,474
ENSDARG00000000887,5
ENSDARG00000000906,1
ENSDARG00000000935,10
ENSDARG00000000943,45
ENSDARG00000000966,545
ENSDARG00000001014,760
ENSDARG00000001015,94
ENSDARG00000001057,35
ENSDARG00000001127,83
ENSDARG00000001129,192
ENSDARG00000001154,76
ENSDARG00000001162,96
ENSDARG00000001169,3
ENSDARG00000001210,13
ENSDARG00000001220,185
ENSDARG00000001234,70
ENSDARG00000001241,113
ENSDARG00000001244,270
ENSDARG00000001249,18
ENSDARG00000001259,3
ENSDARG00000001303,0
