G9,Counts
ENSDARG00000000001,6
ENSDARG00000000002,12
ENSDARG00000000018,47
ENSDARG00000000019,208
ENSDARG00000000068,19
ENSDARG00000000069,72
ENSDARG00000000086,393
ENSDARG00000000103,386
ENSDARG00000000142,8
ENSDARG00000000151,84
ENSDARG00000000161,69
ENSDARG00000000175,8
ENSDARG00000000183,294
ENSDARG00000000189,268
ENSDARG00000000212,315
ENSDARG00000000229,66
ENSDARG00000000241,64
ENSDARG00000000349,0
ENSDARG00000000369,1
ENSDARG00000000370,457
ENSDARG00000000380,97
ENSDARG00000000394,162
ENSDARG00000000423,2
ENSDARG00000000442,4
ENSDARG00000000460,0
ENSDARG00000000472,119
ENSDARG00000000474,0
ENSDARG00000000476,14
ENSDARG00000000489,16
ENSDARG00000000503,1039
ENSDARG00000000516,0
ENSDARG00000000529,16
ENSDARG00000000540,47
ENSDARG00000000542,30
ENSDARG00000000551,21
ENSDARG00000000563,28644
ENSDARG00000000567,120
ENSDARG00000000568,41
ENSDARG00000000588,4
ENSDARG00000000606,0
ENSDARG00000000631,73
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,25
ENSDARG00000000690,6
ENSDARG00000000729,178
ENSDARG00000000730,2
ENSDARG00000000747,8
ENSDARG00000000760,49
ENSDARG00000000767,4
ENSDARG00000000779,104
ENSDARG00000000796,54
ENSDARG00000000804,23
ENSDARG00000000830,0
ENSDARG00000000837,33
ENSDARG00000000853,107
ENSDARG00000000857,9
ENSDARG00000000861,266
ENSDARG00000000887,0
ENSDARG00000000906,12
ENSDARG00000000935,108
ENSDARG00000000943,76
ENSDARG00000000966,1066
ENSDARG00000001014,525
ENSDARG00000001015,97
ENSDARG00000001057,38
ENSDARG00000001127,132
ENSDARG00000001129,280
ENSDARG00000001154,242
ENSDARG00000001162,232
ENSDARG00000001169,2
ENSDARG00000001210,10
ENSDARG00000001220,511
ENSDARG00000001234,66
ENSDARG00000001241,89
ENSDARG00000001244,632
ENSDARG00000001249,4
ENSDARG00000001259,8
ENSDARG00000001303,0
ENSDARG00000001313,30
ENSDARG00000001354,0
ENSDARG00000001414,22
ENSDARG00000001431,804
ENSDARG00000001437,74
ENSDARG00000001442,17
ENSDARG00000001447,29
ENSDARG00000001452,21
ENSDARG00000001463,215
ENSDARG00000001470,98
ENSDARG00000001498,0
ENSDARG00000001549,74
ENSDARG00000001557,5
ENSDARG00000001558,63
ENSDARG00000001559,522
ENSDARG00000001572,0
ENSDARG00000001578,13
ENSDARG00000001621,42
ENSDARG00000001634,140
ENSDARG00000001656,0
ENSDARG00000001676,172
ENSDARG00000001686,5
ENSDARG00000001710,188
ENSDARG00000001712,4
ENSDARG00000001721,0
ENSDARG00000001729,159
ENSDARG00000001733,69
ENSDARG00000001734,40
ENSDARG00000001754,41
ENSDARG00000001760,50
ENSDARG00000001767,0
ENSDARG00000001769,71
ENSDARG00000001771,0
ENSDARG00000001776,3
ENSDARG00000001777,62
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,55
ENSDARG00000001788,55
ENSDARG00000001803,36
ENSDARG00000001804,2
ENSDARG00000001807,59
ENSDARG00000001817,21
ENSDARG00000001818,135
ENSDARG00000001825,0
ENSDARG00000001829,438
ENSDARG00000001835,173
ENSDARG00000001857,893
ENSDARG00000001859,0
ENSDARG00000001870,819
ENSDARG00000001873,40
ENSDARG00000001879,57
ENSDARG00000001880,31
ENSDARG00000001881,58
ENSDARG00000001882,13
ENSDARG00000001888,126
ENSDARG00000001889,173
ENSDARG00000001890,190
ENSDARG00000001891,16
ENSDARG00000001897,24
ENSDARG00000001898,1
ENSDARG00000001906,1
ENSDARG00000001909,0
ENSDARG00000001910,218
ENSDARG00000001912,3
ENSDARG00000001913,34
ENSDARG00000001929,41
ENSDARG00000001930,13
ENSDARG00000001933,1
ENSDARG00000001937,6
ENSDARG00000001939,20
ENSDARG00000001940,61
ENSDARG00000001950,537
ENSDARG00000001953,47
ENSDARG00000001968,81
ENSDARG00000001969,17
ENSDARG00000001971,12
ENSDARG00000001975,1
ENSDARG00000001976,33
ENSDARG00000001993,62
ENSDARG00000001994,723
ENSDARG00000001999,60
ENSDARG00000002002,0
ENSDARG00000002006,105
ENSDARG00000002013,105
ENSDARG00000002016,7
ENSDARG00000002020,59
ENSDARG00000002021,21
ENSDARG00000002026,113
ENSDARG00000002031,0
ENSDARG00000002037,24
ENSDARG00000002060,0
ENSDARG00000002071,56
ENSDARG00000002077,14
ENSDARG00000002082,84
ENSDARG00000002084,69
ENSDARG00000002097,2
ENSDARG00000002127,106
ENSDARG00000002128,43
ENSDARG00000002131,410
ENSDARG00000002165,3
ENSDARG00000002167,133
ENSDARG00000002168,72
ENSDARG00000002172,7
ENSDARG00000002174,28
ENSDARG00000002184,29
ENSDARG00000002190,53
ENSDARG00000002192,17
ENSDARG00000002193,2848
ENSDARG00000002194,0
ENSDARG00000002196,21
ENSDARG00000002197,43
ENSDARG00000002204,12
ENSDARG00000002210,20
ENSDARG00000002213,6
ENSDARG00000002215,8
ENSDARG00000002216,37
ENSDARG00000002217,200
ENSDARG00000002219,0
ENSDARG00000002220,0
ENSDARG00000002230,129
ENSDARG00000002231,42
ENSDARG00000002235,71
ENSDARG00000002240,57
ENSDARG00000002241,13
ENSDARG00000002249,60
ENSDARG00000002255,89
ENSDARG00000002259,0
ENSDARG00000002264,21
ENSDARG00000002267,13
ENSDARG00000002271,75
ENSDARG00000002285,60
ENSDARG00000002293,0
ENSDARG00000002295,2
ENSDARG00000002298,0
ENSDARG00000002299,0
ENSDARG00000002300,1
ENSDARG00000002304,1
ENSDARG00000002305,101
ENSDARG00000002311,0
ENSDARG00000002330,2
ENSDARG00000002332,139
ENSDARG00000002333,51
ENSDARG00000002336,111
ENSDARG00000002339,38
ENSDARG00000002344,753
ENSDARG00000002347,0
ENSDARG00000002353,13
ENSDARG00000002355,0
ENSDARG00000002362,52
ENSDARG00000002365,7
ENSDARG00000002369,96
ENSDARG00000002377,43
ENSDARG00000002385,70
ENSDARG00000002391,5
ENSDARG00000002394,2
ENSDARG00000002396,92
ENSDARG00000002401,0
ENSDARG00000002402,42
ENSDARG00000002403,70
ENSDARG00000002405,25
ENSDARG00000002406,7
ENSDARG00000002411,49
ENSDARG00000002445,4
ENSDARG00000002463,37
ENSDARG00000002467,27
ENSDARG00000002479,33
ENSDARG00000002483,0
ENSDARG00000002487,43
ENSDARG00000002494,11
ENSDARG00000002506,25
ENSDARG00000002507,18
ENSDARG00000002508,75
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,74
ENSDARG00000002533,28
ENSDARG00000002536,57
ENSDARG00000002538,23
ENSDARG00000002546,34
ENSDARG00000002549,42
ENSDARG00000002552,103
ENSDARG00000002564,85
ENSDARG00000002571,18
ENSDARG00000002576,22
ENSDARG00000002582,38
ENSDARG00000002587,468
ENSDARG00000002589,217
ENSDARG00000002591,27
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,181
ENSDARG00000002601,0
ENSDARG00000002607,68
ENSDARG00000002609,63
ENSDARG00000002613,3
ENSDARG00000002632,32
ENSDARG00000002634,14
ENSDARG00000002635,317
ENSDARG00000002642,56
ENSDARG00000002644,21
ENSDARG00000002656,300
ENSDARG00000002659,85
ENSDARG00000002663,12
ENSDARG00000002666,5
ENSDARG00000002670,54
ENSDARG00000002682,54
ENSDARG00000002685,0
ENSDARG00000002690,41
ENSDARG00000002696,789
ENSDARG00000002701,1
ENSDARG00000002707,0
ENSDARG00000002710,614
ENSDARG00000002720,4
ENSDARG00000002722,0
ENSDARG00000002728,6
ENSDARG00000002731,117
ENSDARG00000002732,8
ENSDARG00000002745,102
ENSDARG00000002748,102
ENSDARG00000002750,54
ENSDARG00000002754,15
ENSDARG00000002758,1619
ENSDARG00000002760,9
ENSDARG00000002764,1
ENSDARG00000002768,1013
ENSDARG00000002771,42
ENSDARG00000002779,0
ENSDARG00000002787,77
ENSDARG00000002790,226
ENSDARG00000002791,1583
ENSDARG00000002792,86
ENSDARG00000002795,28
ENSDARG00000002797,0
ENSDARG00000002798,12
ENSDARG00000002816,113
ENSDARG00000002826,10
ENSDARG00000002830,74
ENSDARG00000002831,12
ENSDARG00000002840,121
ENSDARG00000002847,12
ENSDARG00000002872,25
ENSDARG00000002877,153
ENSDARG00000002880,124
ENSDARG00000002894,1
ENSDARG00000002897,61
ENSDARG00000002909,24
ENSDARG00000002912,49
ENSDARG00000002916,115
ENSDARG00000002917,1
ENSDARG00000002933,70
ENSDARG00000002937,63
ENSDARG00000002945,0
ENSDARG00000002947,47
ENSDARG00000002949,131
ENSDARG00000002952,124
ENSDARG00000002956,7
ENSDARG00000002959,0
ENSDARG00000002967,52
ENSDARG00000002968,54
ENSDARG00000002970,120
ENSDARG00000002971,35
ENSDARG00000002986,17
ENSDARG00000002988,84
ENSDARG00000002991,47
ENSDARG00000002994,67
ENSDARG00000003008,225
ENSDARG00000003017,33
ENSDARG00000003020,34
ENSDARG00000003021,7
ENSDARG00000003022,4
ENSDARG00000003027,9
ENSDARG00000003032,916
ENSDARG00000003035,200
ENSDARG00000003041,8
ENSDARG00000003046,169
ENSDARG00000003054,7
ENSDARG00000003058,84
ENSDARG00000003061,11
ENSDARG00000003068,52
ENSDARG00000003069,44
ENSDARG00000003077,1
ENSDARG00000003081,1933
ENSDARG00000003084,42
ENSDARG00000003085,22
ENSDARG00000003087,157
ENSDARG00000003090,0
ENSDARG00000003091,14
ENSDARG00000003098,282
ENSDARG00000003109,43
ENSDARG00000003113,59
ENSDARG00000003127,85
ENSDARG00000003132,2
ENSDARG00000003142,18
ENSDARG00000003144,10
ENSDARG00000003146,8
ENSDARG00000003151,140
ENSDARG00000003153,12
ENSDARG00000003157,22
ENSDARG00000003165,46
ENSDARG00000003167,2
ENSDARG00000003169,403
ENSDARG00000003175,32
ENSDARG00000003181,1
ENSDARG00000003189,156
ENSDARG00000003193,10
ENSDARG00000003197,0
ENSDARG00000003200,15
ENSDARG00000003203,34
ENSDARG00000003205,22
ENSDARG00000003206,7
ENSDARG00000003207,22
ENSDARG00000003208,15
ENSDARG00000003210,46
ENSDARG00000003213,149
ENSDARG00000003216,71
ENSDARG00000003217,13
ENSDARG00000003219,8
ENSDARG00000003229,0
ENSDARG00000003235,20
ENSDARG00000003244,5
ENSDARG00000003250,46
ENSDARG00000003251,24
ENSDARG00000003257,9
ENSDARG00000003259,14
ENSDARG00000003269,134
ENSDARG00000003270,16
ENSDARG00000003281,54
ENSDARG00000003287,4
ENSDARG00000003290,26
ENSDARG00000003293,175
ENSDARG00000003303,0
ENSDARG00000003307,41
ENSDARG00000003308,36
ENSDARG00000003311,157
ENSDARG00000003313,7
ENSDARG00000003320,122
ENSDARG00000003326,0
ENSDARG00000003328,31
ENSDARG00000003344,0
ENSDARG00000003373,6
ENSDARG00000003375,24
ENSDARG00000003380,0
ENSDARG00000003381,10
ENSDARG00000003382,41
ENSDARG00000003383,68
ENSDARG00000003395,20
ENSDARG00000003398,32
ENSDARG00000003399,2
ENSDARG00000003403,297
ENSDARG00000003411,14
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,104
ENSDARG00000003429,226
ENSDARG00000003444,2
ENSDARG00000003446,28
ENSDARG00000003449,115
ENSDARG00000003462,142
ENSDARG00000003469,39
ENSDARG00000003475,1
ENSDARG00000003486,154
ENSDARG00000003487,76
ENSDARG00000003495,426
ENSDARG00000003512,359
ENSDARG00000003517,12
ENSDARG00000003519,24
ENSDARG00000003520,45
ENSDARG00000003523,0
ENSDARG00000003526,86
ENSDARG00000003527,42
ENSDARG00000003531,55
ENSDARG00000003533,8
ENSDARG00000003544,134
ENSDARG00000003553,0
ENSDARG00000003564,9
ENSDARG00000003570,109
ENSDARG00000003573,23
ENSDARG00000003576,52
ENSDARG00000003584,29
ENSDARG00000003592,12
ENSDARG00000003599,2467
ENSDARG00000003607,71
ENSDARG00000003615,9
ENSDARG00000003616,108
ENSDARG00000003631,141
ENSDARG00000003632,0
ENSDARG00000003635,0
ENSDARG00000003641,140
ENSDARG00000003642,20
ENSDARG00000003655,431
ENSDARG00000003675,2
ENSDARG00000003680,369
ENSDARG00000003681,182
ENSDARG00000003684,32
ENSDARG00000003693,36
ENSDARG00000003695,365
ENSDARG00000003697,0
ENSDARG00000003699,65
ENSDARG00000003701,0
ENSDARG00000003705,118
ENSDARG00000003706,1
ENSDARG00000003732,27
ENSDARG00000003749,32
ENSDARG00000003750,46
ENSDARG00000003751,66
ENSDARG00000003754,107
ENSDARG00000003757,0
ENSDARG00000003769,24
ENSDARG00000003776,67
ENSDARG00000003779,490
ENSDARG00000003789,210
ENSDARG00000003795,753
ENSDARG00000003797,84
ENSDARG00000003803,17
ENSDARG00000003808,33
ENSDARG00000003811,268
ENSDARG00000003818,87
ENSDARG00000003820,341
ENSDARG00000003822,0
ENSDARG00000003827,0
ENSDARG00000003829,146
ENSDARG00000003835,196
ENSDARG00000003841,1
ENSDARG00000003845,31
ENSDARG00000003846,2
ENSDARG00000003854,170
ENSDARG00000003860,30
ENSDARG00000003865,40
ENSDARG00000003866,110
ENSDARG00000003867,1
ENSDARG00000003869,13
ENSDARG00000003872,62
ENSDARG00000003877,235
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,79
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,1
ENSDARG00000003910,143
ENSDARG00000003920,108
ENSDARG00000003925,0
ENSDARG00000003927,56
ENSDARG00000003931,6
ENSDARG00000003934,2
ENSDARG00000003938,70
ENSDARG00000003940,103
ENSDARG00000003941,10
ENSDARG00000003944,0
ENSDARG00000003952,190
ENSDARG00000003961,6
ENSDARG00000003963,74
ENSDARG00000003965,2
ENSDARG00000003968,0
ENSDARG00000003970,12
ENSDARG00000003971,36
ENSDARG00000003973,11
ENSDARG00000003974,68
ENSDARG00000003977,1
ENSDARG00000003984,44
ENSDARG00000003989,157
ENSDARG00000003991,34
ENSDARG00000003994,28
ENSDARG00000003998,47
ENSDARG00000004015,0
ENSDARG00000004017,26
ENSDARG00000004018,3
ENSDARG00000004023,353
ENSDARG00000004034,29
ENSDARG00000004037,33
ENSDARG00000004046,22
ENSDARG00000004049,44
ENSDARG00000004051,0
ENSDARG00000004055,166
ENSDARG00000004059,0
ENSDARG00000004060,828
ENSDARG00000004074,268
ENSDARG00000004078,51
ENSDARG00000004082,35
ENSDARG00000004094,124
ENSDARG00000004105,39
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,21
ENSDARG00000004115,41
ENSDARG00000004130,0
ENSDARG00000004131,15
ENSDARG00000004132,281
ENSDARG00000004150,28
ENSDARG00000004151,49
ENSDARG00000004154,5
ENSDARG00000004158,43
ENSDARG00000004160,19
ENSDARG00000004161,117
ENSDARG00000004167,2
ENSDARG00000004169,32
ENSDARG00000004171,18
ENSDARG00000004173,194
ENSDARG00000004174,721
ENSDARG00000004176,5
ENSDARG00000004177,28
ENSDARG00000004184,216
ENSDARG00000004187,49
ENSDARG00000004189,81
ENSDARG00000004196,45
ENSDARG00000004199,7
ENSDARG00000004204,9
ENSDARG00000004211,32
ENSDARG00000004218,48
ENSDARG00000004219,2
ENSDARG00000004227,75
ENSDARG00000004232,28
ENSDARG00000004243,6
ENSDARG00000004246,281
ENSDARG00000004251,10
ENSDARG00000004256,8
ENSDARG00000004260,7
ENSDARG00000004261,101
ENSDARG00000004262,7
ENSDARG00000004270,35
ENSDARG00000004274,7
ENSDARG00000004280,21
ENSDARG00000004282,94
ENSDARG00000004291,201
ENSDARG00000004296,3
ENSDARG00000004297,266
ENSDARG00000004301,26
ENSDARG00000004302,85
ENSDARG00000004305,73
ENSDARG00000004306,16
ENSDARG00000004307,23
ENSDARG00000004308,5
ENSDARG00000004311,3
ENSDARG00000004318,16
ENSDARG00000004322,8
ENSDARG00000004325,16
ENSDARG00000004328,4
ENSDARG00000004336,184
ENSDARG00000004343,18
ENSDARG00000004358,62
ENSDARG00000004363,0
ENSDARG00000004372,25
ENSDARG00000004377,196
ENSDARG00000004378,33
ENSDARG00000004386,195
ENSDARG00000004392,37
ENSDARG00000004396,0
ENSDARG00000004402,52
ENSDARG00000004405,9
ENSDARG00000004406,4
ENSDARG00000004415,198
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,2
ENSDARG00000004445,77
ENSDARG00000004447,0
ENSDARG00000004451,29
ENSDARG00000004452,492
ENSDARG00000004455,0
ENSDARG00000004459,9
ENSDARG00000004460,18
ENSDARG00000004470,134
ENSDARG00000004472,36
ENSDARG00000004473,16
ENSDARG00000004492,16
ENSDARG00000004497,1
ENSDARG00000004498,0
ENSDARG00000004502,38
ENSDARG00000004517,10
ENSDARG00000004525,4
ENSDARG00000004527,14
ENSDARG00000004529,3
ENSDARG00000004537,905
ENSDARG00000004539,7
ENSDARG00000004561,6
ENSDARG00000004574,21
ENSDARG00000004576,25
ENSDARG00000004580,92
ENSDARG00000004581,101
ENSDARG00000004586,0
ENSDARG00000004587,120
ENSDARG00000004588,600
ENSDARG00000004592,35
ENSDARG00000004594,58
ENSDARG00000004597,86
ENSDARG00000004598,0
ENSDARG00000004616,18
ENSDARG00000004618,5
ENSDARG00000004621,411
ENSDARG00000004627,0
ENSDARG00000004632,0
ENSDARG00000004633,6
ENSDARG00000004634,1023
ENSDARG00000004635,178
ENSDARG00000004636,76
ENSDARG00000004643,83
ENSDARG00000004647,7
ENSDARG00000004648,3
ENSDARG00000004658,57
ENSDARG00000004672,122
ENSDARG00000004680,17
ENSDARG00000004687,9
ENSDARG00000004692,126
ENSDARG00000004695,2
ENSDARG00000004696,33
ENSDARG00000004697,37
ENSDARG00000004702,286
ENSDARG00000004706,41
ENSDARG00000004712,91
ENSDARG00000004713,0
ENSDARG00000004714,152
ENSDARG00000004721,26
ENSDARG00000004724,60
ENSDARG00000004726,116
ENSDARG00000004735,443
ENSDARG00000004745,17
ENSDARG00000004748,16
ENSDARG00000004753,71
ENSDARG00000004754,22
ENSDARG00000004757,1318
ENSDARG00000004763,16
ENSDARG00000004771,58
ENSDARG00000004774,54
ENSDARG00000004782,242
ENSDARG00000004785,69
ENSDARG00000004789,247
ENSDARG00000004794,14
ENSDARG00000004796,184
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,156
ENSDARG00000004836,201
ENSDARG00000004840,49
ENSDARG00000004843,38
ENSDARG00000004851,11
ENSDARG00000004861,88
ENSDARG00000004864,0
ENSDARG00000004866,42
ENSDARG00000004869,24
ENSDARG00000004870,36
ENSDARG00000004871,0
ENSDARG00000004874,9
ENSDARG00000004875,19
ENSDARG00000004877,447
ENSDARG00000004880,11
ENSDARG00000004889,4
ENSDARG00000004891,20
ENSDARG00000004898,0
ENSDARG00000004904,19
ENSDARG00000004906,83
ENSDARG00000004925,0
ENSDARG00000004930,250
ENSDARG00000004931,14
