B8,Counts
ENSDARG00000000001,1
ENSDARG00000000002,9
ENSDARG00000000018,45
ENSDARG00000000019,73
ENSDARG00000000068,20
ENSDARG00000000069,61
ENSDARG00000000086,167
ENSDARG00000000103,204
ENSDARG00000000142,1
ENSDARG00000000151,39
ENSDARG00000000161,25
ENSDARG00000000175,0
ENSDARG00000000183,152
ENSDARG00000000189,152
ENSDARG00000000212,159
ENSDARG00000000229,16
ENSDARG00000000241,34
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,156
ENSDARG00000000380,46
ENSDARG00000000394,129
ENSDARG00000000423,22
ENSDARG00000000442,4
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,7
ENSDARG00000000489,18
ENSDARG00000000503,595
ENSDARG00000000516,0
ENSDARG00000000529,6
ENSDARG00000000540,20
ENSDARG00000000542,6
ENSDARG00000000551,5
ENSDARG00000000563,30107
ENSDARG00000000567,22
ENSDARG00000000568,19
ENSDARG00000000588,2
ENSDARG00000000606,245
ENSDARG00000000631,45
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,17
ENSDARG00000000690,2
ENSDARG00000000729,66
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,3
ENSDARG00000000767,36
ENSDARG00000000779,75
ENSDARG00000000796,11
ENSDARG00000000804,11
ENSDARG00000000830,13
ENSDARG00000000837,29
ENSDARG00000000853,43
ENSDARG00000000857,10
ENSDARG00000000861,571
ENSDARG00000000887,10
ENSDARG00000000906,0
ENSDARG00000000935,1
ENSDARG00000000943,0
ENSDARG00000000966,338
ENSDARG00000001014,408
ENSDARG00000001015,79
ENSDARG00000001057,29
ENSDARG00000001127,75
ENSDARG00000001129,170
ENSDARG00000001154,33
ENSDARG00000001162,45
ENSDARG00000001169,0
ENSDARG00000001210,10
ENSDARG00000001220,231
ENSDARG00000001234,13
ENSDARG00000001241,85
ENSDARG00000001244,284
ENSDARG00000001249,10
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,1
ENSDARG00000001354,11
ENSDARG00000001414,0
ENSDARG00000001431,638
ENSDARG00000001437,44
ENSDARG00000001442,17
ENSDARG00000001447,14
ENSDARG00000001452,1
ENSDARG00000001463,21
ENSDARG00000001470,32
ENSDARG00000001498,0
ENSDARG00000001549,32
ENSDARG00000001557,7
ENSDARG00000001558,25
ENSDARG00000001559,732
ENSDARG00000001572,0
ENSDARG00000001578,9
ENSDARG00000001621,11
ENSDARG00000001634,64
ENSDARG00000001656,0
ENSDARG00000001676,90
ENSDARG00000001686,0
ENSDARG00000001710,70
ENSDARG00000001712,0
ENSDARG00000001721,3
ENSDARG00000001729,90
ENSDARG00000001733,5
ENSDARG00000001734,2
ENSDARG00000001754,31
ENSDARG00000001760,34
