D7,Counts
ENSDARG00000000001,1
ENSDARG00000000002,122
ENSDARG00000000018,46
ENSDARG00000000019,161
ENSDARG00000000068,35
ENSDARG00000000069,724
ENSDARG00000000086,310
ENSDARG00000000103,454
ENSDARG00000000142,5
ENSDARG00000000151,120
ENSDARG00000000161,109
ENSDARG00000000175,19
ENSDARG00000000183,121
ENSDARG00000000189,196
ENSDARG00000000212,1393
ENSDARG00000000229,41
ENSDARG00000000241,124
ENSDARG00000000349,0
ENSDARG00000000369,11
ENSDARG00000000370,262
ENSDARG00000000380,38
ENSDARG00000000394,142
ENSDARG00000000423,27
ENSDARG00000000442,7
ENSDARG00000000460,0
ENSDARG00000000472,57
ENSDARG00000000474,0
ENSDARG00000000476,28
ENSDARG00000000489,112
ENSDARG00000000503,443
ENSDARG00000000516,0
ENSDARG00000000529,24
ENSDARG00000000540,116
ENSDARG00000000542,15
ENSDARG00000000551,52
ENSDARG00000000563,34038
ENSDARG00000000567,56
ENSDARG00000000568,54
ENSDARG00000000588,8
ENSDARG00000000606,0
ENSDARG00000000631,89
ENSDARG00000000638,0
ENSDARG00000000651,3
ENSDARG00000000656,0
ENSDARG00000000666,57
ENSDARG00000000690,12
ENSDARG00000000729,103
ENSDARG00000000730,38
ENSDARG00000000747,3
ENSDARG00000000760,62
ENSDARG00000000767,15
ENSDARG00000000779,198
ENSDARG00000000796,22
ENSDARG00000000804,10
ENSDARG00000000830,0
ENSDARG00000000837,78
ENSDARG00000000853,77
ENSDARG00000000857,43
ENSDARG00000000861,822
ENSDARG00000000887,6
ENSDARG00000000906,22
ENSDARG00000000935,18
ENSDARG00000000943,81
ENSDARG00000000966,732
ENSDARG00000001014,923
ENSDARG00000001015,109
ENSDARG00000001057,94
ENSDARG00000001127,62
ENSDARG00000001129,186
ENSDARG00000001154,81
ENSDARG00000001162,178
ENSDARG00000001169,10
ENSDARG00000001210,20
ENSDARG00000001220,555
ENSDARG00000001234,87
ENSDARG00000001241,164
ENSDARG00000001244,377
ENSDARG00000001249,8
ENSDARG00000001259,22
ENSDARG00000001303,0
ENSDARG00000001313,25
ENSDARG00000001354,11
ENSDARG00000001414,15
ENSDARG00000001431,1271
ENSDARG00000001437,54
ENSDARG00000001442,40
ENSDARG00000001447,35
ENSDARG00000001452,5
ENSDARG00000001463,65
ENSDARG00000001470,98
ENSDARG00000001498,0
ENSDARG00000001549,112
ENSDARG00000001557,39
ENSDARG00000001558,22
ENSDARG00000001559,72
ENSDARG00000001572,0
ENSDARG00000001578,95
ENSDARG00000001621,8
ENSDARG00000001634,125
ENSDARG00000001656,0
ENSDARG00000001676,68
ENSDARG00000001686,3
ENSDARG00000001710,69
ENSDARG00000001712,8
ENSDARG00000001721,0
ENSDARG00000001729,248
ENSDARG00000001733,41
ENSDARG00000001734,30
ENSDARG00000001754,114
ENSDARG00000001760,129
ENSDARG00000001767,14
ENSDARG00000001769,83
ENSDARG00000001771,0
ENSDARG00000001776,43
ENSDARG00000001777,157
ENSDARG00000001781,1
ENSDARG00000001782,7
ENSDARG00000001785,33
ENSDARG00000001788,431
ENSDARG00000001803,27
ENSDARG00000001804,0
ENSDARG00000001807,37
ENSDARG00000001817,6
ENSDARG00000001818,564
ENSDARG00000001825,6
ENSDARG00000001829,210
ENSDARG00000001835,27
ENSDARG00000001857,443
ENSDARG00000001859,0
ENSDARG00000001870,2660
ENSDARG00000001873,29
ENSDARG00000001879,139
ENSDARG00000001880,40
ENSDARG00000001881,1
ENSDARG00000001882,35
ENSDARG00000001888,110
ENSDARG00000001889,179
ENSDARG00000001890,289
ENSDARG00000001891,18
ENSDARG00000001897,78
ENSDARG00000001898,23
ENSDARG00000001906,6
ENSDARG00000001909,16
ENSDARG00000001910,163
ENSDARG00000001912,22
ENSDARG00000001913,34
ENSDARG00000001929,42
ENSDARG00000001930,25
ENSDARG00000001933,10
ENSDARG00000001937,11
ENSDARG00000001939,16
ENSDARG00000001940,65
ENSDARG00000001950,1528
ENSDARG00000001953,75
ENSDARG00000001968,317
ENSDARG00000001969,36
ENSDARG00000001971,20
ENSDARG00000001975,22
ENSDARG00000001976,22
ENSDARG00000001993,427
ENSDARG00000001994,277
ENSDARG00000001999,45
ENSDARG00000002002,15
ENSDARG00000002006,89
ENSDARG00000002013,157
ENSDARG00000002016,4
ENSDARG00000002020,70
ENSDARG00000002021,62
ENSDARG00000002026,52
ENSDARG00000002031,0
ENSDARG00000002037,19
ENSDARG00000002060,1
ENSDARG00000002071,138
ENSDARG00000002077,18
ENSDARG00000002082,150
ENSDARG00000002084,266
ENSDARG00000002097,33
ENSDARG00000002127,86
ENSDARG00000002128,21
ENSDARG00000002131,178
ENSDARG00000002165,0
ENSDARG00000002167,106
ENSDARG00000002168,51
ENSDARG00000002172,11
ENSDARG00000002174,11
ENSDARG00000002184,51
ENSDARG00000002190,298
ENSDARG00000002192,36
ENSDARG00000002193,1287
ENSDARG00000002194,6
ENSDARG00000002196,62
ENSDARG00000002197,140
ENSDARG00000002204,38
ENSDARG00000002210,27
ENSDARG00000002213,45
ENSDARG00000002215,26
ENSDARG00000002216,16
ENSDARG00000002217,181
ENSDARG00000002219,22
ENSDARG00000002220,65
ENSDARG00000002230,104
ENSDARG00000002231,41
ENSDARG00000002235,313
ENSDARG00000002240,141
ENSDARG00000002241,4
ENSDARG00000002249,40
ENSDARG00000002255,97
ENSDARG00000002259,6
ENSDARG00000002264,46
ENSDARG00000002267,45
ENSDARG00000002271,188
ENSDARG00000002285,63
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,31
ENSDARG00000002299,17
ENSDARG00000002300,0
ENSDARG00000002304,13
ENSDARG00000002305,174
ENSDARG00000002311,19
ENSDARG00000002330,14
ENSDARG00000002332,133
ENSDARG00000002333,69
ENSDARG00000002336,80
ENSDARG00000002339,10
ENSDARG00000002344,676
ENSDARG00000002347,0
ENSDARG00000002353,7
ENSDARG00000002355,1
ENSDARG00000002362,55
ENSDARG00000002365,70
ENSDARG00000002369,195
ENSDARG00000002377,46
ENSDARG00000002385,62
ENSDARG00000002391,13
ENSDARG00000002394,35
ENSDARG00000002396,184
ENSDARG00000002401,28
ENSDARG00000002402,21
ENSDARG00000002403,54
ENSDARG00000002405,88
ENSDARG00000002406,0
ENSDARG00000002411,59
ENSDARG00000002445,37
ENSDARG00000002463,0
ENSDARG00000002467,18
ENSDARG00000002479,32
ENSDARG00000002483,5
ENSDARG00000002487,74
ENSDARG00000002494,68
ENSDARG00000002506,11
ENSDARG00000002507,42
ENSDARG00000002508,17
ENSDARG00000002509,7
ENSDARG00000002510,1
ENSDARG00000002523,281
ENSDARG00000002533,22
ENSDARG00000002536,92
ENSDARG00000002538,59
ENSDARG00000002546,11
ENSDARG00000002549,4
ENSDARG00000002552,237
ENSDARG00000002564,50
ENSDARG00000002571,76
ENSDARG00000002576,24
ENSDARG00000002582,50
ENSDARG00000002587,238
ENSDARG00000002589,1053
ENSDARG00000002591,81
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,50
ENSDARG00000002601,8
ENSDARG00000002607,27
ENSDARG00000002609,17
ENSDARG00000002613,5
ENSDARG00000002632,132
ENSDARG00000002634,62
ENSDARG00000002635,74
ENSDARG00000002642,45
ENSDARG00000002644,56
ENSDARG00000002656,63
ENSDARG00000002659,202
ENSDARG00000002663,84
ENSDARG00000002666,0
ENSDARG00000002670,101
ENSDARG00000002682,44
ENSDARG00000002685,0
ENSDARG00000002690,50
ENSDARG00000002696,452
ENSDARG00000002701,1
ENSDARG00000002707,0
ENSDARG00000002710,757
ENSDARG00000002720,38
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,310
ENSDARG00000002732,20
ENSDARG00000002745,500
ENSDARG00000002748,59
ENSDARG00000002750,48
ENSDARG00000002754,19
ENSDARG00000002758,1135
ENSDARG00000002760,16
ENSDARG00000002764,25
ENSDARG00000002768,6443
ENSDARG00000002771,40
ENSDARG00000002779,23
ENSDARG00000002787,72
ENSDARG00000002790,269
ENSDARG00000002791,1339
ENSDARG00000002792,137
ENSDARG00000002795,36
ENSDARG00000002797,0
ENSDARG00000002798,15
ENSDARG00000002816,87
ENSDARG00000002826,22
ENSDARG00000002830,8
ENSDARG00000002831,100
ENSDARG00000002840,109
ENSDARG00000002847,53
ENSDARG00000002872,35
ENSDARG00000002877,144
ENSDARG00000002880,135
ENSDARG00000002894,18
ENSDARG00000002897,59
ENSDARG00000002909,77
ENSDARG00000002912,50
ENSDARG00000002916,116
ENSDARG00000002917,16
ENSDARG00000002933,28
ENSDARG00000002937,118
ENSDARG00000002945,26
ENSDARG00000002947,42
ENSDARG00000002949,191
ENSDARG00000002952,83
ENSDARG00000002956,34
ENSDARG00000002959,0
ENSDARG00000002967,91
ENSDARG00000002968,212
ENSDARG00000002970,52
ENSDARG00000002971,74
ENSDARG00000002986,39
ENSDARG00000002988,300
ENSDARG00000002991,31
ENSDARG00000002994,67
ENSDARG00000003008,60
ENSDARG00000003017,78
ENSDARG00000003020,31
ENSDARG00000003021,11
ENSDARG00000003022,24
ENSDARG00000003027,9
ENSDARG00000003032,1652
ENSDARG00000003035,543
ENSDARG00000003041,21
ENSDARG00000003046,70
ENSDARG00000003054,1
ENSDARG00000003058,115
ENSDARG00000003061,7
ENSDARG00000003068,153
ENSDARG00000003069,8
ENSDARG00000003077,6
ENSDARG00000003081,6297
ENSDARG00000003084,14
ENSDARG00000003085,28
ENSDARG00000003087,202
ENSDARG00000003090,0
ENSDARG00000003091,89
ENSDARG00000003098,415
ENSDARG00000003109,63
ENSDARG00000003113,374
ENSDARG00000003127,85
ENSDARG00000003132,53
ENSDARG00000003142,20
ENSDARG00000003144,11
ENSDARG00000003146,8
ENSDARG00000003151,328
ENSDARG00000003153,53
ENSDARG00000003157,36
ENSDARG00000003165,160
ENSDARG00000003167,33
ENSDARG00000003169,599
ENSDARG00000003175,87
ENSDARG00000003181,4
ENSDARG00000003189,163
ENSDARG00000003193,45
ENSDARG00000003197,13
ENSDARG00000003200,14
ENSDARG00000003203,342
ENSDARG00000003205,52
ENSDARG00000003206,48
ENSDARG00000003207,17
ENSDARG00000003208,38
ENSDARG00000003210,5
ENSDARG00000003213,303
ENSDARG00000003216,284
ENSDARG00000003217,81
ENSDARG00000003219,63
ENSDARG00000003229,0
ENSDARG00000003235,29
ENSDARG00000003244,10
ENSDARG00000003250,38
ENSDARG00000003251,10
ENSDARG00000003257,23
ENSDARG00000003259,3
ENSDARG00000003269,230
ENSDARG00000003270,45
ENSDARG00000003281,82
ENSDARG00000003287,17
ENSDARG00000003290,46
ENSDARG00000003293,182
ENSDARG00000003303,0
ENSDARG00000003307,111
ENSDARG00000003308,110
ENSDARG00000003311,116
ENSDARG00000003313,1
ENSDARG00000003320,66
ENSDARG00000003326,0
ENSDARG00000003328,24
ENSDARG00000003344,7
ENSDARG00000003373,14
ENSDARG00000003375,15
ENSDARG00000003380,0
ENSDARG00000003381,19
ENSDARG00000003382,35
ENSDARG00000003383,60
ENSDARG00000003395,7
ENSDARG00000003398,67
ENSDARG00000003399,20
ENSDARG00000003403,143
ENSDARG00000003411,77
ENSDARG00000003414,3
ENSDARG00000003420,1
ENSDARG00000003421,128
ENSDARG00000003429,174
ENSDARG00000003444,10
ENSDARG00000003446,39
ENSDARG00000003449,77
ENSDARG00000003462,89
ENSDARG00000003469,30
ENSDARG00000003475,0
ENSDARG00000003486,230
ENSDARG00000003487,102
ENSDARG00000003495,255
ENSDARG00000003512,234
ENSDARG00000003517,18
ENSDARG00000003519,19
ENSDARG00000003520,68
ENSDARG00000003523,0
ENSDARG00000003526,335
ENSDARG00000003527,43
ENSDARG00000003531,67
ENSDARG00000003533,16
ENSDARG00000003544,52
ENSDARG00000003553,0
ENSDARG00000003564,22
