G10,Counts
ENSDARG00000000001,32
ENSDARG00000000002,64
ENSDARG00000000018,126
ENSDARG00000000019,411
ENSDARG00000000068,17
ENSDARG00000000069,188
ENSDARG00000000086,764
ENSDARG00000000103,838
ENSDARG00000000142,36
ENSDARG00000000151,294
ENSDARG00000000161,122
ENSDARG00000000175,7
ENSDARG00000000183,469
ENSDARG00000000189,486
ENSDARG00000000212,730
ENSDARG00000000229,69
ENSDARG00000000241,184
ENSDARG00000000349,0
ENSDARG00000000369,20
ENSDARG00000000370,782
ENSDARG00000000380,92
ENSDARG00000000394,389
ENSDARG00000000423,5
ENSDARG00000000442,2
ENSDARG00000000460,0
ENSDARG00000000472,7
ENSDARG00000000474,0
ENSDARG00000000476,20
ENSDARG00000000489,83
ENSDARG00000000503,1862
ENSDARG00000000516,0
ENSDARG00000000529,61
ENSDARG00000000540,83
ENSDARG00000000542,52
ENSDARG00000000551,61
ENSDARG00000000563,93350
ENSDARG00000000567,238
ENSDARG00000000568,62
ENSDARG00000000588,23
ENSDARG00000000606,0
ENSDARG00000000631,214
ENSDARG00000000638,0
ENSDARG00000000651,3
ENSDARG00000000656,0
ENSDARG00000000666,98
ENSDARG00000000690,4
ENSDARG00000000729,232
ENSDARG00000000730,20
ENSDARG00000000747,21
ENSDARG00000000760,32
ENSDARG00000000767,4
ENSDARG00000000779,214
ENSDARG00000000796,85
ENSDARG00000000804,6
ENSDARG00000000830,0
ENSDARG00000000837,134
ENSDARG00000000853,134
ENSDARG00000000857,50
ENSDARG00000000861,1503
ENSDARG00000000887,0
ENSDARG00000000906,4
ENSDARG00000000935,130
ENSDARG00000000943,116
ENSDARG00000000966,1525
ENSDARG00000001014,623
ENSDARG00000001015,402
ENSDARG00000001057,88
ENSDARG00000001127,268
ENSDARG00000001129,499
ENSDARG00000001154,204
ENSDARG00000001162,579
ENSDARG00000001169,3
ENSDARG00000001210,33
ENSDARG00000001220,921
ENSDARG00000001234,142
ENSDARG00000001241,227
ENSDARG00000001244,970
ENSDARG00000001249,22
ENSDARG00000001259,2
ENSDARG00000001303,0
ENSDARG00000001313,33
ENSDARG00000001354,0
ENSDARG00000001414,5
ENSDARG00000001431,2520
ENSDARG00000001437,116
ENSDARG00000001442,62
ENSDARG00000001447,85
ENSDARG00000001452,5
ENSDARG00000001463,251
ENSDARG00000001470,73
ENSDARG00000001498,0
ENSDARG00000001549,161
ENSDARG00000001557,19
ENSDARG00000001558,81
ENSDARG00000001559,372
ENSDARG00000001572,0
ENSDARG00000001578,58
ENSDARG00000001621,26
ENSDARG00000001634,445
ENSDARG00000001656,4
ENSDARG00000001676,253
ENSDARG00000001686,10
ENSDARG00000001710,371
ENSDARG00000001712,0
ENSDARG00000001721,17
ENSDARG00000001729,374
ENSDARG00000001733,97
ENSDARG00000001734,40
ENSDARG00000001754,108
ENSDARG00000001760,131
ENSDARG00000001767,8
ENSDARG00000001769,134
ENSDARG00000001771,0
ENSDARG00000001776,7
ENSDARG00000001777,128
ENSDARG00000001781,6
ENSDARG00000001782,0
ENSDARG00000001785,90
ENSDARG00000001788,255
ENSDARG00000001803,69
ENSDARG00000001804,0
ENSDARG00000001807,107
ENSDARG00000001817,53
ENSDARG00000001818,285
ENSDARG00000001825,3
ENSDARG00000001829,467
ENSDARG00000001835,179
ENSDARG00000001857,631
ENSDARG00000001859,7
ENSDARG00000001870,1650
ENSDARG00000001873,103
ENSDARG00000001879,179
ENSDARG00000001880,138
ENSDARG00000001881,76
ENSDARG00000001882,49
ENSDARG00000001888,116
ENSDARG00000001889,356
ENSDARG00000001890,164
ENSDARG00000001891,34
ENSDARG00000001897,82
ENSDARG00000001898,11
ENSDARG00000001906,13
ENSDARG00000001909,32
ENSDARG00000001910,425
ENSDARG00000001912,57
ENSDARG00000001913,82
ENSDARG00000001929,65
ENSDARG00000001930,42
ENSDARG00000001933,16
ENSDARG00000001937,32
