B10,Counts
ENSDARG00000000001,2
ENSDARG00000000002,6
ENSDARG00000000018,0
ENSDARG00000000019,49
ENSDARG00000000068,0
ENSDARG00000000069,2
ENSDARG00000000086,74
ENSDARG00000000103,40
ENSDARG00000000142,0
ENSDARG00000000151,10
ENSDARG00000000161,12
ENSDARG00000000175,0
ENSDARG00000000183,55
ENSDARG00000000189,13
ENSDARG00000000212,48
ENSDARG00000000229,0
ENSDARG00000000241,17
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,14
ENSDARG00000000380,18
ENSDARG00000000394,8
ENSDARG00000000423,1
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,8
ENSDARG00000000489,7
ENSDARG00000000503,91
ENSDARG00000000516,0
ENSDARG00000000529,4
ENSDARG00000000540,28
ENSDARG00000000542,0
ENSDARG00000000551,3
ENSDARG00000000563,5507
ENSDARG00000000567,3
ENSDARG00000000568,0
ENSDARG00000000588,0
ENSDARG00000000606,2
ENSDARG00000000631,25
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,3
ENSDARG00000000690,1
ENSDARG00000000729,4
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,2
ENSDARG00000000767,0
ENSDARG00000000779,17
ENSDARG00000000796,0
ENSDARG00000000804,9
ENSDARG00000000830,0
ENSDARG00000000837,11
ENSDARG00000000853,5
ENSDARG00000000857,0
ENSDARG00000000861,36
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,0
ENSDARG00000000943,10
ENSDARG00000000966,81
ENSDARG00000001014,38
ENSDARG00000001015,10
ENSDARG00000001057,12
ENSDARG00000001127,1
ENSDARG00000001129,6
ENSDARG00000001154,21
ENSDARG00000001162,8
ENSDARG00000001169,0
ENSDARG00000001210,4
ENSDARG00000001220,30
ENSDARG00000001234,17
ENSDARG00000001241,8
ENSDARG00000001244,28
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,3
ENSDARG00000001354,0
ENSDARG00000001414,0
ENSDARG00000001431,110
ENSDARG00000001437,1
ENSDARG00000001442,0
ENSDARG00000001447,2
ENSDARG00000001452,0
ENSDARG00000001463,10
ENSDARG00000001470,12
ENSDARG00000001498,0
ENSDARG00000001549,13
ENSDARG00000001557,7
ENSDARG00000001558,17
ENSDARG00000001559,14
ENSDARG00000001572,0
ENSDARG00000001578,11
ENSDARG00000001621,3
ENSDARG00000001634,5
ENSDARG00000001656,0
ENSDARG00000001676,17
ENSDARG00000001686,0
ENSDARG00000001710,14
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,13
ENSDARG00000001733,0
ENSDARG00000001734,0
ENSDARG00000001754,4
ENSDARG00000001760,19
ENSDARG00000001767,1
ENSDARG00000001769,0
ENSDARG00000001771,0
ENSDARG00000001776,1
ENSDARG00000001777,7
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,4
ENSDARG00000001788,33
ENSDARG00000001803,0
ENSDARG00000001804,0
ENSDARG00000001807,13
ENSDARG00000001817,0
ENSDARG00000001818,0
ENSDARG00000001825,0
ENSDARG00000001829,11
ENSDARG00000001835,18
ENSDARG00000001857,25
ENSDARG00000001859,0
ENSDARG00000001870,71
ENSDARG00000001873,0
ENSDARG00000001879,4
ENSDARG00000001880,9
ENSDARG00000001881,0
ENSDARG00000001882,16
ENSDARG00000001888,59
ENSDARG00000001889,15
ENSDARG00000001890,11
ENSDARG00000001891,2
ENSDARG00000001897,1
ENSDARG00000001898,0
ENSDARG00000001906,0
ENSDARG00000001909,2
ENSDARG00000001910,13
ENSDARG00000001912,0
ENSDARG00000001913,1
ENSDARG00000001929,21
ENSDARG00000001930,7
ENSDARG00000001933,0
ENSDARG00000001937,10
ENSDARG00000001939,51
ENSDARG00000001940,0
ENSDARG00000001950,119
ENSDARG00000001953,0
ENSDARG00000001968,5
ENSDARG00000001969,0
ENSDARG00000001971,0
ENSDARG00000001975,0
ENSDARG00000001976,2
ENSDARG00000001993,10
ENSDARG00000001994,25
ENSDARG00000001999,0
ENSDARG00000002002,0
ENSDARG00000002006,0
ENSDARG00000002013,1
ENSDARG00000002016,0
ENSDARG00000002020,17
ENSDARG00000002021,0
ENSDARG00000002026,4
ENSDARG00000002031,0
ENSDARG00000002037,0
ENSDARG00000002060,0
ENSDARG00000002071,29
ENSDARG00000002077,0
ENSDARG00000002082,82
ENSDARG00000002084,25
ENSDARG00000002097,0
ENSDARG00000002127,15
