F6,Counts
ENSDARG00000000001,7
ENSDARG00000000002,1
ENSDARG00000000018,7
ENSDARG00000000019,18
ENSDARG00000000068,12
ENSDARG00000000069,13
ENSDARG00000000086,47
ENSDARG00000000103,93
ENSDARG00000000142,6
ENSDARG00000000151,5
ENSDARG00000000161,19
ENSDARG00000000175,0
ENSDARG00000000183,40
ENSDARG00000000189,63
ENSDARG00000000212,54
ENSDARG00000000229,24
ENSDARG00000000241,8
ENSDARG00000000349,0
ENSDARG00000000369,2
ENSDARG00000000370,28
ENSDARG00000000380,17
ENSDARG00000000394,39
ENSDARG00000000423,0
ENSDARG00000000442,5
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,7
ENSDARG00000000503,148
ENSDARG00000000516,0
ENSDARG00000000529,4
ENSDARG00000000540,16
ENSDARG00000000542,0
ENSDARG00000000551,1
ENSDARG00000000563,11950
ENSDARG00000000567,7
ENSDARG00000000568,13
ENSDARG00000000588,1
ENSDARG00000000606,8
ENSDARG00000000631,31
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,2
ENSDARG00000000690,0
ENSDARG00000000729,6
ENSDARG00000000730,3
ENSDARG00000000747,0
ENSDARG00000000760,7
ENSDARG00000000767,0
ENSDARG00000000779,7
ENSDARG00000000796,1
ENSDARG00000000804,2
ENSDARG00000000830,0
ENSDARG00000000837,53
ENSDARG00000000853,16
ENSDARG00000000857,4
ENSDARG00000000861,35
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,8
ENSDARG00000000943,25
ENSDARG00000000966,167
ENSDARG00000001014,66
ENSDARG00000001015,10
ENSDARG00000001057,11
ENSDARG00000001127,42
ENSDARG00000001129,40
ENSDARG00000001154,14
ENSDARG00000001162,29
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,3
ENSDARG00000001234,46
ENSDARG00000001241,18
ENSDARG00000001244,96
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,0
ENSDARG00000001354,0
ENSDARG00000001414,2
ENSDARG00000001431,318
ENSDARG00000001437,24
ENSDARG00000001442,3
ENSDARG00000001447,0
ENSDARG00000001452,0
ENSDARG00000001463,22
ENSDARG00000001470,6
ENSDARG00000001498,0
ENSDARG00000001549,23
ENSDARG00000001557,3
ENSDARG00000001558,2
ENSDARG00000001559,92
ENSDARG00000001572,0
ENSDARG00000001578,1
ENSDARG00000001621,3
ENSDARG00000001634,25
ENSDARG00000001656,0
ENSDARG00000001676,16
ENSDARG00000001686,0
ENSDARG00000001710,27
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,36
ENSDARG00000001733,4
ENSDARG00000001734,1
ENSDARG00000001754,14
ENSDARG00000001760,34
ENSDARG00000001767,0
ENSDARG00000001769,27
ENSDARG00000001771,10
ENSDARG00000001776,12
ENSDARG00000001777,2
ENSDARG00000001781,0
ENSDARG00000001782,1
ENSDARG00000001785,19
ENSDARG00000001788,51
ENSDARG00000001803,3
ENSDARG00000001804,0
ENSDARG00000001807,3
ENSDARG00000001817,1
ENSDARG00000001818,28
ENSDARG00000001825,0
ENSDARG00000001829,98
ENSDARG00000001835,12
ENSDARG00000001857,41
ENSDARG00000001859,6
ENSDARG00000001870,179
ENSDARG00000001873,15
ENSDARG00000001879,21
ENSDARG00000001880,3
ENSDARG00000001881,1
ENSDARG00000001882,1
ENSDARG00000001888,13
ENSDARG00000001889,98
ENSDARG00000001890,18
ENSDARG00000001891,0
ENSDARG00000001897,14
ENSDARG00000001898,3
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,28
ENSDARG00000001912,0
ENSDARG00000001913,5
ENSDARG00000001929,4
ENSDARG00000001930,4
ENSDARG00000001933,8
ENSDARG00000001937,0
ENSDARG00000001939,3
ENSDARG00000001940,3
ENSDARG00000001950,217
ENSDARG00000001953,17
ENSDARG00000001968,19
ENSDARG00000001969,10
ENSDARG00000001971,0
ENSDARG00000001975,7
ENSDARG00000001976,6
ENSDARG00000001993,31
ENSDARG00000001994,142
ENSDARG00000001999,1
ENSDARG00000002002,5
ENSDARG00000002006,0
ENSDARG00000002013,14
ENSDARG00000002016,0
ENSDARG00000002020,15
ENSDARG00000002021,0
ENSDARG00000002026,28
ENSDARG00000002031,0
ENSDARG00000002037,5
ENSDARG00000002060,0
ENSDARG00000002071,19
ENSDARG00000002077,1
ENSDARG00000002082,11
ENSDARG00000002084,31
ENSDARG00000002097,0
ENSDARG00000002127,18
ENSDARG00000002128,0
ENSDARG00000002131,53
ENSDARG00000002165,0
ENSDARG00000002167,60
ENSDARG00000002168,9
ENSDARG00000002172,1
ENSDARG00000002174,2
ENSDARG00000002184,4
ENSDARG00000002190,23
ENSDARG00000002192,28
ENSDARG00000002193,285
ENSDARG00000002194,0
ENSDARG00000002196,10
ENSDARG00000002197,11
ENSDARG00000002204,0
ENSDARG00000002210,4
ENSDARG00000002213,0
ENSDARG00000002215,10
ENSDARG00000002216,7
ENSDARG00000002217,17
ENSDARG00000002219,5
ENSDARG00000002220,0
ENSDARG00000002230,36
ENSDARG00000002231,10
ENSDARG00000002235,17
ENSDARG00000002240,0
ENSDARG00000002241,0
ENSDARG00000002249,2
ENSDARG00000002255,11
ENSDARG00000002259,0
ENSDARG00000002264,3
ENSDARG00000002267,10
ENSDARG00000002271,34
ENSDARG00000002285,2
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,0
ENSDARG00000002299,0
ENSDARG00000002300,5
ENSDARG00000002304,0
ENSDARG00000002305,28
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,6
ENSDARG00000002333,14
ENSDARG00000002336,1
ENSDARG00000002339,0
ENSDARG00000002344,89
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,13
ENSDARG00000002365,5
ENSDARG00000002369,26
ENSDARG00000002377,2
ENSDARG00000002385,11
ENSDARG00000002391,0
ENSDARG00000002394,10
ENSDARG00000002396,57
ENSDARG00000002401,1
ENSDARG00000002402,1
ENSDARG00000002403,9
ENSDARG00000002405,7
ENSDARG00000002406,0
ENSDARG00000002411,2
ENSDARG00000002445,4
ENSDARG00000002463,0
ENSDARG00000002467,0
ENSDARG00000002479,3
ENSDARG00000002483,0
ENSDARG00000002487,7
ENSDARG00000002494,11
ENSDARG00000002506,5
ENSDARG00000002507,1
ENSDARG00000002508,16
ENSDARG00000002509,5
ENSDARG00000002510,0
ENSDARG00000002523,10
ENSDARG00000002533,0
ENSDARG00000002536,5
ENSDARG00000002538,14
ENSDARG00000002546,5
ENSDARG00000002549,0
ENSDARG00000002552,24
ENSDARG00000002564,11
ENSDARG00000002571,15
ENSDARG00000002576,5
ENSDARG00000002582,13
ENSDARG00000002587,56
ENSDARG00000002589,134
ENSDARG00000002591,9
ENSDARG00000002593,1
ENSDARG00000002597,0
ENSDARG00000002600,58
ENSDARG00000002601,2
ENSDARG00000002607,12
ENSDARG00000002609,2
ENSDARG00000002613,0
ENSDARG00000002632,1
ENSDARG00000002634,1
ENSDARG00000002635,14
ENSDARG00000002642,8
ENSDARG00000002644,11
ENSDARG00000002656,90
ENSDARG00000002659,25
ENSDARG00000002663,0
ENSDARG00000002666,0
ENSDARG00000002670,1
ENSDARG00000002682,40
ENSDARG00000002685,0
ENSDARG00000002690,7
ENSDARG00000002696,162
ENSDARG00000002701,19
ENSDARG00000002707,0
ENSDARG00000002710,66
ENSDARG00000002720,13
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,11
ENSDARG00000002732,1
ENSDARG00000002745,74
ENSDARG00000002748,3
ENSDARG00000002750,22
ENSDARG00000002754,0
ENSDARG00000002758,178
ENSDARG00000002760,2
ENSDARG00000002764,0
ENSDARG00000002768,480
ENSDARG00000002771,4
ENSDARG00000002779,0
ENSDARG00000002787,23
ENSDARG00000002790,14
ENSDARG00000002791,292
ENSDARG00000002792,28
ENSDARG00000002795,4
ENSDARG00000002797,0
ENSDARG00000002798,0
ENSDARG00000002816,0
ENSDARG00000002826,0
ENSDARG00000002830,0
ENSDARG00000002831,5
ENSDARG00000002840,33
ENSDARG00000002847,0
ENSDARG00000002872,5
ENSDARG00000002877,20
ENSDARG00000002880,25
ENSDARG00000002894,13
ENSDARG00000002897,10
ENSDARG00000002909,10
ENSDARG00000002912,0
ENSDARG00000002916,258
ENSDARG00000002917,3
ENSDARG00000002933,10
ENSDARG00000002937,8
ENSDARG00000002945,16
ENSDARG00000002947,1
ENSDARG00000002949,29
ENSDARG00000002952,18
ENSDARG00000002956,3
ENSDARG00000002959,0
ENSDARG00000002967,13
ENSDARG00000002968,14
ENSDARG00000002970,7
ENSDARG00000002971,0
ENSDARG00000002986,0
ENSDARG00000002988,21
ENSDARG00000002991,18
ENSDARG00000002994,7
ENSDARG00000003008,36
ENSDARG00000003017,6
ENSDARG00000003020,0
ENSDARG00000003021,2
ENSDARG00000003022,0
ENSDARG00000003027,3
ENSDARG00000003032,168
ENSDARG00000003035,21
ENSDARG00000003041,0
ENSDARG00000003046,12
ENSDARG00000003054,1
ENSDARG00000003058,1
ENSDARG00000003061,5
ENSDARG00000003068,12
ENSDARG00000003069,2
ENSDARG00000003077,1
ENSDARG00000003081,1175
ENSDARG00000003084,2
ENSDARG00000003085,1
ENSDARG00000003087,33
ENSDARG00000003090,0
ENSDARG00000003091,14
ENSDARG00000003098,46
ENSDARG00000003109,1
ENSDARG00000003113,27
ENSDARG00000003127,0
ENSDARG00000003132,4
ENSDARG00000003142,0
ENSDARG00000003144,3
ENSDARG00000003146,0
ENSDARG00000003151,57
ENSDARG00000003153,16
ENSDARG00000003157,0
ENSDARG00000003165,11
ENSDARG00000003167,20
ENSDARG00000003169,191
ENSDARG00000003175,1
ENSDARG00000003181,0
ENSDARG00000003189,47
ENSDARG00000003193,1
ENSDARG00000003197,0
ENSDARG00000003200,5
ENSDARG00000003203,14
ENSDARG00000003205,9
ENSDARG00000003206,5
ENSDARG00000003207,4
ENSDARG00000003208,2
ENSDARG00000003210,4
ENSDARG00000003213,37
ENSDARG00000003216,30
ENSDARG00000003217,13
ENSDARG00000003219,3
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,0
ENSDARG00000003250,0
ENSDARG00000003251,9
ENSDARG00000003257,3
ENSDARG00000003259,0
ENSDARG00000003269,20
ENSDARG00000003270,35
ENSDARG00000003281,14
ENSDARG00000003287,0
ENSDARG00000003290,35
ENSDARG00000003293,6
ENSDARG00000003303,0
ENSDARG00000003307,21
ENSDARG00000003308,18
ENSDARG00000003311,14
ENSDARG00000003313,1
ENSDARG00000003320,22
ENSDARG00000003326,0
ENSDARG00000003328,49
ENSDARG00000003344,4
ENSDARG00000003373,8
ENSDARG00000003375,1
ENSDARG00000003380,0
ENSDARG00000003381,1
ENSDARG00000003382,6
ENSDARG00000003383,2
ENSDARG00000003395,32
ENSDARG00000003398,5
ENSDARG00000003399,2
ENSDARG00000003403,59
ENSDARG00000003411,1
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,20
ENSDARG00000003429,16
ENSDARG00000003444,12
ENSDARG00000003446,1
ENSDARG00000003449,7
ENSDARG00000003462,23
ENSDARG00000003469,0
ENSDARG00000003475,3
ENSDARG00000003486,25
ENSDARG00000003487,0
ENSDARG00000003495,42
ENSDARG00000003512,149
ENSDARG00000003517,0
ENSDARG00000003519,0
ENSDARG00000003520,3
ENSDARG00000003523,0
ENSDARG00000003526,25
ENSDARG00000003527,7
ENSDARG00000003531,6
ENSDARG00000003533,0
ENSDARG00000003544,25
ENSDARG00000003553,0
ENSDARG00000003564,6
ENSDARG00000003570,21
ENSDARG00000003573,17
ENSDARG00000003576,2
ENSDARG00000003584,1
ENSDARG00000003592,6
ENSDARG00000003599,596
ENSDARG00000003607,9
ENSDARG00000003615,0
ENSDARG00000003616,33
ENSDARG00000003631,55
ENSDARG00000003632,0
ENSDARG00000003635,3
ENSDARG00000003641,0
ENSDARG00000003642,26
ENSDARG00000003655,109
ENSDARG00000003675,0
ENSDARG00000003680,44
ENSDARG00000003681,101
ENSDARG00000003684,16
ENSDARG00000003693,17
ENSDARG00000003695,114
ENSDARG00000003697,0
ENSDARG00000003699,26
ENSDARG00000003701,0
ENSDARG00000003705,33
ENSDARG00000003706,4
ENSDARG00000003732,4
ENSDARG00000003749,12
ENSDARG00000003750,2
ENSDARG00000003751,15
ENSDARG00000003754,4
ENSDARG00000003757,3
ENSDARG00000003769,5
ENSDARG00000003776,12
ENSDARG00000003779,9
ENSDARG00000003789,19
ENSDARG00000003795,184
ENSDARG00000003797,5
ENSDARG00000003803,9
ENSDARG00000003808,8
ENSDARG00000003811,46
ENSDARG00000003818,16
ENSDARG00000003820,38
ENSDARG00000003822,0
ENSDARG00000003827,0
ENSDARG00000003829,32
ENSDARG00000003835,61
ENSDARG00000003841,5
ENSDARG00000003845,11
ENSDARG00000003846,0
