A5,Counts
ENSDARG00000000001,0
ENSDARG00000000002,143
ENSDARG00000000018,70
ENSDARG00000000019,314
ENSDARG00000000068,57
ENSDARG00000000069,555
ENSDARG00000000086,437
ENSDARG00000000103,889
ENSDARG00000000142,22
ENSDARG00000000151,132
ENSDARG00000000161,163
ENSDARG00000000175,18
ENSDARG00000000183,271
ENSDARG00000000189,388
ENSDARG00000000212,2061
ENSDARG00000000229,29
ENSDARG00000000241,195
ENSDARG00000000349,8
ENSDARG00000000369,6
ENSDARG00000000370,434
ENSDARG00000000380,66
ENSDARG00000000394,305
ENSDARG00000000423,30
ENSDARG00000000442,10
ENSDARG00000000460,0
ENSDARG00000000472,157
ENSDARG00000000474,0
ENSDARG00000000476,21
ENSDARG00000000489,107
ENSDARG00000000503,1468
ENSDARG00000000516,0
ENSDARG00000000529,48
ENSDARG00000000540,130
ENSDARG00000000542,52
ENSDARG00000000551,95
ENSDARG00000000563,32670
ENSDARG00000000567,235
ENSDARG00000000568,73
ENSDARG00000000588,17
ENSDARG00000000606,5
ENSDARG00000000631,135
ENSDARG00000000638,0
ENSDARG00000000651,13
ENSDARG00000000656,1
ENSDARG00000000666,141
ENSDARG00000000690,15
ENSDARG00000000729,163
ENSDARG00000000730,28
ENSDARG00000000747,17
ENSDARG00000000760,37
ENSDARG00000000767,9
ENSDARG00000000779,257
ENSDARG00000000796,96
ENSDARG00000000804,19
ENSDARG00000000830,61
ENSDARG00000000837,89
ENSDARG00000000853,142
ENSDARG00000000857,43
ENSDARG00000000861,744
ENSDARG00000000887,0
ENSDARG00000000906,7
ENSDARG00000000935,37
ENSDARG00000000943,117
ENSDARG00000000966,1099
ENSDARG00000001014,1608
ENSDARG00000001015,251
ENSDARG00000001057,114
ENSDARG00000001127,139
ENSDARG00000001129,323
ENSDARG00000001154,148
ENSDARG00000001162,203
ENSDARG00000001169,8
ENSDARG00000001210,34
ENSDARG00000001220,597
ENSDARG00000001234,111
ENSDARG00000001241,204
ENSDARG00000001244,753
ENSDARG00000001249,21
ENSDARG00000001259,11
ENSDARG00000001303,0
ENSDARG00000001313,25
ENSDARG00000001354,6
ENSDARG00000001414,30
ENSDARG00000001431,3274
ENSDARG00000001437,122
ENSDARG00000001442,47
ENSDARG00000001447,40
ENSDARG00000001452,11
ENSDARG00000001463,117
ENSDARG00000001470,171
ENSDARG00000001498,0
ENSDARG00000001549,178
ENSDARG00000001557,16
ENSDARG00000001558,89
ENSDARG00000001559,173
ENSDARG00000001572,0
ENSDARG00000001578,99
ENSDARG00000001621,47
ENSDARG00000001634,218
ENSDARG00000001656,0
ENSDARG00000001676,205
ENSDARG00000001686,17
ENSDARG00000001710,322
ENSDARG00000001712,15
ENSDARG00000001721,3
ENSDARG00000001729,395
ENSDARG00000001733,73
ENSDARG00000001734,60
ENSDARG00000001754,131
ENSDARG00000001760,147
ENSDARG00000001767,17
ENSDARG00000001769,141
ENSDARG00000001771,0
ENSDARG00000001776,12
ENSDARG00000001777,185
ENSDARG00000001781,27
ENSDARG00000001782,24
ENSDARG00000001785,78
ENSDARG00000001788,465
ENSDARG00000001803,36
ENSDARG00000001804,3
ENSDARG00000001807,49
ENSDARG00000001817,15
ENSDARG00000001818,957
ENSDARG00000001825,15
ENSDARG00000001829,350
ENSDARG00000001835,75
ENSDARG00000001857,517
ENSDARG00000001859,8
ENSDARG00000001870,5048
ENSDARG00000001873,51
ENSDARG00000001879,227
ENSDARG00000001880,44
ENSDARG00000001881,45
ENSDARG00000001882,70
ENSDARG00000001888,125
ENSDARG00000001889,453
ENSDARG00000001890,381
ENSDARG00000001891,19
ENSDARG00000001897,91
ENSDARG00000001898,15
ENSDARG00000001906,0
ENSDARG00000001909,24
ENSDARG00000001910,328
ENSDARG00000001912,8
ENSDARG00000001913,131
ENSDARG00000001929,58
ENSDARG00000001930,122
ENSDARG00000001933,20
ENSDARG00000001937,26
ENSDARG00000001939,28
ENSDARG00000001940,143
ENSDARG00000001950,2423
ENSDARG00000001953,160
ENSDARG00000001968,298
ENSDARG00000001969,48
ENSDARG00000001971,29
ENSDARG00000001975,69
ENSDARG00000001976,36
ENSDARG00000001993,1620
ENSDARG00000001994,908
ENSDARG00000001999,52
ENSDARG00000002002,21
ENSDARG00000002006,144
ENSDARG00000002013,126
ENSDARG00000002016,31
ENSDARG00000002020,99
ENSDARG00000002021,71
ENSDARG00000002026,123
ENSDARG00000002031,0
ENSDARG00000002037,15
ENSDARG00000002060,1
ENSDARG00000002071,211
ENSDARG00000002077,19
ENSDARG00000002082,183
ENSDARG00000002084,408
ENSDARG00000002097,12
ENSDARG00000002127,189
ENSDARG00000002128,43
ENSDARG00000002131,377
ENSDARG00000002165,25
ENSDARG00000002167,213
ENSDARG00000002168,62
