#Highest Dose information in mg/L,,,,,,
Chemical,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6
17beta_estradiol,0.1,0.01,0.001,0.0001,1E-05,0
1decanol,1,0.1,0.01,0.001,0.0001,0
1octanol,10,1,0.1,0.01,0.001,0
24DMP,1,0.1,0.01,0.001,0.0001,0
24DNP,10,1,0.1,0.01,0.001,0
34DCA,1,0.1,0.01,0.001,0.0001,0
4TOP,0.1,0.01,0.001,0.0001,1E-05,0
4TPP,1,0.1,0.01,0.001,0.0001,0
Analine,10,1,0.1,0.01,0.001,0
BPA,1,0.1,0.01,0.001,0.0001,0
BPAF,1,0.1,0.01,0.001,0.0001,0
Clofibric Acid,10,1,0.1,0.01,0.001,0
DES,0.1,0.01,0.001,0.0001,1E-05,0
Dimethylformamide,1000,100,10,1,0.1,0
DMSO,10,1,0.1,0.01,0.001,0
EE2,0.001,0.0001,1E-05,1E-06,1E-07,0
Fadrozole,1,0.1,0.01,0.001,0.0001,0
Fenitrothione,1,0.1,0.01,0.001,0.0001,0
Fluoxetine,0.1,0.01,0.001,0.0001,1E-05,0
Flutamide,1,0.1,0.01,0.001,0.0001,0
Glyphosate,1,0.1,0.01,0.001,0.0001,0
Prochloraz,1,0.1,0.01,0.001,0.0001,0
SDS,0.1,0.01,0.001,0.0001,1E-05,0
TEG,1000,100,10,1,0.1,0
TGSH,1,0.1,0.01,0.001,0.0001,0
Vinclozilin,1,0.1,0.01,0.001,0.0001,0
