.id,term,df,sumsq,meansq,statistic,p.value,adj.p.value
1-Decanol,as.factor(Dose),5,0.024444444444444564,0.004888888888888913,0.7364016736401708,0.6129747975522619,0.9355931120534524
1-Decanol,as.factor(Replicate),2,0.010277777777777759,0.0051388888888888795,0.7740585774058562,0.48690484315279514,0.8557721485715793
1-Decanol,Residuals,10,0.0663888888888889,0.00663888888888889,NA,NA,NA
1-Octanol,as.factor(Dose),5,0.05624999999999994,0.011249999999999987,1.4210526315789471,0.2969516423298373,0.7828725115968437
1-Octanol,as.factor(Replicate),2,0.04083333333333353,0.020416666666666763,2.5789473684210673,0.12496994133998762,0.5573048910343834
1-Octanol,Residuals,10,0.07916666666666658,0.007916666666666659,NA,NA,NA
17betaestradiol,as.factor(Dose),5,0.01666666666666667,0.003333333333333334,4.444444444444444,0.02158531461500749,0.39153222593898646
17betaestradiol,as.factor(Replicate),2,8.333333333333309e-4,4.1666666666666545e-4,0.5555555555555538,0.5904900000000011,0.9256329729729746
17betaestradiol,Residuals,10,0.007500000000000002,7.500000000000002e-4,NA,NA,NA
24-DMP,as.factor(Dose),5,0.004583333333333335,9.16666666666667e-4,0.2340425531914894,0.9387267488225535,1
24-DMP,as.factor(Replicate),2,0.0075000000000000015,0.0037500000000000007,0.9574468085106383,0.41643685182966456,0.8085430886400037
24-DMP,Residuals,10,0.039166666666666676,0.003916666666666667,NA,NA,NA
24-DNP,as.factor(Dose),5,2.179583333333333,0.4359166666666666,163.46875,2.9805131933478597e-9,1.7286976521417586e-7
24-DNP,as.factor(Replicate),2,0.009999999999999969,0.0049999999999999845,1.8749999999999944,0.20346349914002493,0.6210991026379709
24-DNP,Residuals,10,0.02666666666666666,0.002666666666666666,NA,NA,NA
34-DCA,as.factor(Dose),5,1.8406944444444444,0.3681388888888889,46.17770034843205,1.3718476089796879e-6,3.978358066041095e-5
34-DCA,as.factor(Replicate),2,0.0019444444444444407,9.722222222222204e-4,0.12195121951219486,0.8864879397571218,1
34-DCA,Residuals,10,0.07972222222222224,0.007972222222222224,NA,NA,NA
4-TPP,as.factor(Dose),5,0.009583333333333359,0.0019166666666666718,0.7931034482758641,0.5783145228321034,0.9256329729729746
4-TPP,as.factor(Replicate),2,0.007499999999999986,0.003749999999999993,1.5517241379310314,0.2588642078729493,0.7507062028315529
4-TPP,Residuals,10,0.02416666666666667,0.002416666666666667,NA,NA,NA
