Identifier,BPA-1ug/L-B
ENSDARG00000099104,143
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,3
ENSDARG00000104071,0
ENSDARG00000102746,2
ENSDARG00000103929,0
ENSDARG00000101073,0
ENSDARG00000100223,2
ENSDARG00000096573,0
ENSDARG00000100782,0
ENSDARG00000034862,2
ENSDARG00000075827,1
ENSDARG00000088581,1
ENSDARG00000076900,0
ENSDARG00000013802,2
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,1
ENSDARG00000041589,1
ENSDARG00000041592,1
ENSDARG00000075108,0
ENSDARG00000016304,0
ENSDARG00000058803,2
ENSDARG00000063385,0
ENSDARG00000007804,1
ENSDARG00000068261,0
ENSDARG00000063371,0
ENSDARG00000078751,0
ENSDARG00000078878,0
ENSDARG00000016343,1
ENSDARG00000023678,1
ENSDARG00000011299,5
ENSDARG00000041575,0
ENSDARG00000058962,1
ENSDARG00000089799,0
ENSDARG00000075325,5
ENSDARG00000041570,5
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,0
ENSDARG00000014313,58
ENSDARG00000104279,16
ENSDARG00000103783,0
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,0
ENSDARG00000115421,2
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,0
ENSDARG00000099108,0
ENSDARG00000001870,31
ENSDARG00000002791,13
ENSDARG00000007739,1
ENSDARG00000039131,0
ENSDARG00000040252,0
ENSDARG00000089477,1
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,6
ENSDARG00000040246,0
ENSDARG00000040245,0
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,0
ENSDARG00000070581,0
ENSDARG00000096559,0
ENSDARG00000103156,1
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,0
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,0
ENSDARG00000033928,4
ENSDARG00000031164,14
ENSDARG00000037777,0
ENSDARG00000016706,1
ENSDARG00000030350,0
ENSDARG00000006526,14
ENSDARG00000077688,0
ENSDARG00000096546,1
ENSDARG00000092671,0
ENSDARG00000113935,0
ENSDARG00000063297,1
ENSDARG00000027078,0
ENSDARG00000017537,0
ENSDARG00000063270,2
ENSDARG00000018008,1
ENSDARG00000074031,0
ENSDARG00000043247,1
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,1
ENSDARG00000107682,0
ENSDARG00000070558,0
ENSDARG00000025754,0
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,0
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,0
ENSDARG00000013741,0
ENSDARG00000017441,1610
ENSDARG00000037713,0
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,1
ENSDARG00000018319,3
ENSDARG00000098730,2
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
