Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: EE2_DESeq_normData
Work Source: EE2_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:42.13
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 514
Total Run Time: 20 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	276	308	18	18	15	15	15	14	18	12	12	77	296	4517	0.99661	0.0091455	0.012085	3.9	678512;569386;568996;561190;558219;449788;402962;337401;335655;325449;30627;100144561	vegfd;pecam1;zfpm2a;atp2b1b;kif25;s100a10a;lhfpl2a;ehd2b;gngt2a;kif20a;kif23;prkcha	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000040123;ENSDARG00000007788;ENSDARG00000017532;ENSDARG00000037425;ENSDARG00000009653;ENSDARG00000040362;ENSDARG00000010680;ENSDARG00000044491;ENSDARG00000014943;ENSDARG00000018382		7.433898333333333E-5	3.796405E-5	2.72331E-5	1.3094328995342594E-4	6.92974584182049E-5	1.1899275673068696E-4	4.228519166666667E-5	2.21277E-5	1.76652E-5	7.249007836247107E-5	3.910224498771467E-5	6.595105243886612E-5	1.3109895833333333E-4	6.513485E-5	4.19831E-5	2.3646150674746372E-4	1.232670338647836E-4	2.1471151866074358E-4									3.47824E-5;3.82568E-5;3.97563E-5;2.84637E-5;4.35337E-5;3.76713E-5;4.89529E-4;3.19267E-5;2.90352E-5;5.23032E-5;3.95764E-5;2.72331E-5	2.09719E-5;2.22282E-5;2.27509E-5;1.82569E-5;2.39361E-5;2.20272E-5;2.72334E-4;1.97938E-5;1.85155E-5;2.6237E-5;2.27056E-5;1.76652E-5	5.76876E-5;6.58434E-5;6.94726E-5;4.43768E-5;7.91768E-5;6.44263E-5;8.79944E-4;5.14968E-5;4.55315E-5;1.04266E-4;6.89826E-5;4.19831E-5	6	6	6	678512;569386;449788;402962;337401;100144561	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000037425;ENSDARG00000009653;ENSDARG00000040362;ENSDARG00000018382	1.0989988333333334E-4	3.622685E-5	1.8602377081927373E-4	6.250338333333333E-5	2.1499550000000003E-5	1.0280927468034033E-4	1.9356353333333334E-4	6.105695E-5	3.3637147806018077E-4	3.47824E-5;3.82568E-5;3.76713E-5;4.89529E-4;3.19267E-5;2.72331E-5	2.09719E-5;2.22282E-5;2.20272E-5;2.72334E-4;1.97938E-5;1.76652E-5	5.76876E-5;6.58434E-5;6.44263E-5;8.79944E-4;5.14968E-5;4.19831E-5	6	568996;561190;558219;335655;325449;30627	ENSDARG00000040123;ENSDARG00000007788;ENSDARG00000017532;ENSDARG00000010680;ENSDARG00000044491;ENSDARG00000014943	3.877808333333334E-5	3.966635E-5	9.038242829978968E-6	2.2067E-5	2.272825E-5	3.126914717097346E-6	6.863438333333333E-5	6.922760000000001E-5	2.237745331787479E-5	3.97563E-5;2.84637E-5;4.35337E-5;2.90352E-5;5.23032E-5;3.95764E-5	2.27509E-5;1.82569E-5;2.39361E-5;1.85155E-5;2.6237E-5;2.27056E-5	6.94726E-5;4.43768E-5;7.91768E-5;4.55315E-5;1.04266E-4;6.89826E-5	0						Linear,1(0.09);Poly 2,11(0.92)	1.7335264468277114	21.113602995872498	1.519762396812439	2.627546787261963	0.34233774580591075	1.6036752462387085	2.508425042113807E-7	1.484271241624553E-4	1.2700687356399212E-6	8.330031459769341E-5	-2.6917339488267413E-6	2.6488965061549337E-4	CONFLICT	0.5	0.5	0.0	
R-DRE-114608	Platelet degranulation 	56	69	3	3	3	3	3	3	3	3	3	86	66	4747	0.96411	0.12937	0.12937	4.35	678512;569386;402962	vegfd;pecam1;lhfpl2a	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000009653		1.8752273333333335E-4	3.82568E-5	3.47824E-5	2.6155086827096054E-4	1.6259850278050543E-4	2.485640538116822E-4	1.0517803333333333E-4	2.22282E-5	2.09719E-5	1.447626763590095E-4	9.13693623292044E-5	1.375846687787487E-4	3.3449166666666666E-4	6.58434E-5	5.76876E-5	4.7239317863670866E-4	2.895141385004379E-4	4.489098093162421E-4									3.47824E-5;3.82568E-5;4.89529E-4	2.09719E-5;2.22282E-5;2.72334E-4	5.76876E-5;6.58434E-5;8.79944E-4	3	0	3	678512;569386;402962	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000009653	1.8752273333333335E-4	3.82568E-5	2.6155086827096054E-4	1.0517803333333333E-4	2.22282E-5	1.447626763590095E-4	3.3449166666666666E-4	6.58434E-5	4.7239317863670866E-4	3.47824E-5;3.82568E-5;4.89529E-4	2.09719E-5;2.22282E-5;2.72334E-4	5.76876E-5;6.58434E-5;8.79944E-4	0															0						Linear,1(0.34);Poly 2,2(0.67)	1.7167154995143137	5.182514548301697	1.546850323677063	2.001594305038452	0.2413412246857916	1.6340699195861816	-1.084499365045847E-4	4.8349540317125145E-4	-5.86363561890569E-5	2.6899242285572354E-4	-2.0007153787785685E-4	8.690548712111902E-4	UP	1.0	0.0	0.0	
R-DRE-168249	Innate Immune System	449	502	10	9	7	10	10	8	10	6	6	83	496	4317	0.17952	0.90556	0.37545	1.2	569386;559679;445498;431762;335119;101882127	pecam1;ptprja;rab4b;mgst1.2;serpinb1l3;asgrl2	ENSDARG00000060263;ENSDARG00000033042;ENSDARG00000012177;ENSDARG00000022165;ENSDARG00000014556;ENSDARG00000095963		1.8211801666666666E-4	3.66122E-5	3.16615E-5	3.4040128667541447E-4	9.369546357444228E-5	2.2114622955587043E-4	7.901194999999999E-5	2.1627049999999998E-5	1.96682E-5	1.2525712916974826E-4	4.5718542500545265E-5	8.213508426672363E-5	4.4021794999999996E-4	6.199855E-5	5.09681E-5	9.138464527566865E-4	2.054239228348277E-4	5.922248355680814E-4									3.82568E-5;8.76088E-4;3.16615E-5;3.49676E-5;3.45857E-5;7.71485E-5	2.22282E-5;3.32956E-4;1.96682E-5;2.10259E-5;2.08724E-5;5.7321E-5	6.58434E-5;0.0023052;5.09681E-5;5.81537E-5;5.73085E-5;1.03834E-4	5	1	5	569386;445498;431762;335119;101882127	ENSDARG00000060263;ENSDARG00000012177;ENSDARG00000022165;ENSDARG00000014556;ENSDARG00000095963	4.3324019999999995E-5	3.49676E-5	1.9052391780220153E-5	2.822314E-5	2.10259E-5	1.6291450232806167E-5	6.722154E-5	5.81537E-5	2.1136697313274816E-5	3.82568E-5;3.16615E-5;3.49676E-5;3.45857E-5;7.71485E-5	2.22282E-5;1.96682E-5;2.10259E-5;2.08724E-5;5.7321E-5	6.58434E-5;5.09681E-5;5.81537E-5;5.73085E-5;1.03834E-4	1	559679	ENSDARG00000033042	8.76088E-4	8.76088E-4		3.32956E-4	3.32956E-4		0.0023052	0.0023052		8.76088E-4	3.32956E-4	0.0023052	0						Linear,1(0.17);Poly 2,5(0.84)	2.4325885922189836	16.962148308753967	1.5220147371292114	5.507603168487549	1.7849300088836542	1.807769775390625	-9.025974031293051E-5	4.5449577364626377E-4	-2.1214627349843573E-5	1.7923852734984356E-4	-2.9101150408539006E-4	0.0011714474040853899	UP	0.8333333333333334	0.16666666666666666	0.0	
R-DRE-168256	Immune System	724	837	19	18	13	18	18	16	19	11	11	78	826	3987	0.14554	0.91382	0.25834	1.31	64274;569386;559679;553341;445498;436866;431762;406353;335119;101882127;100000526	csf1ra;pecam1;ptprja;lmo7a;rab4b;tnfsf10;mgst1.2;cdc20;serpinb1l3;asgrl2;sec24a	ENSDARG00000102986;ENSDARG00000060263;ENSDARG00000033042;ENSDARG00000004930;ENSDARG00000012177;ENSDARG00000057241;ENSDARG00000022165;ENSDARG00000100741;ENSDARG00000014556;ENSDARG00000095963;ENSDARG00000104375		1.1657128181818181E-4	3.49676E-5	2.54593E-5	2.523266132463828E-4	5.762826047220852E-5	1.3425699858303432E-4	5.285504545454545E-5	2.10259E-5	1.67807E-5	9.356352892137366E-5	3.021673516229073E-5	5.025464692428338E-5	2.710218E-4	5.81537E-5	3.86263E-5	6.751029522684359E-4	1.1635624978336353E-4	3.5818392532630563E-4									3.42514E-5;3.82568E-5;8.76088E-4;2.54593E-5;3.16615E-5;4.21006E-5;3.49676E-5;5.71596E-5;3.45857E-5;7.71485E-5;3.06051E-5	2.07426E-5;2.22282E-5;3.32956E-4;1.67807E-5;1.96682E-5;2.34883E-5;2.10259E-5;2.7102E-5;2.08724E-5;5.7321E-5;1.92202E-5	5.65577E-5;6.58434E-5;0.0023052;3.86263E-5;5.09681E-5;7.54613E-5;5.81537E-5;1.20553E-4;5.73085E-5;1.03834E-4;4.87338E-5	9	2	9	64274;569386;553341;445498;436866;431762;335119;101882127;100000526	ENSDARG00000102986;ENSDARG00000060263;ENSDARG00000004930;ENSDARG00000012177;ENSDARG00000057241;ENSDARG00000022165;ENSDARG00000014556;ENSDARG00000095963;ENSDARG00000104375	3.878183333333333E-5	3.45857E-5	1.5128696777812716E-5	2.4594166666666666E-5	2.08724E-5	1.2417124898602733E-5	6.172075555555555E-5	5.73085E-5	1.8893807309149703E-5	3.42514E-5;3.82568E-5;2.54593E-5;3.16615E-5;4.21006E-5;3.49676E-5;3.45857E-5;7.71485E-5;3.06051E-5	2.07426E-5;2.22282E-5;1.67807E-5;1.96682E-5;2.34883E-5;2.10259E-5;2.08724E-5;5.7321E-5;1.92202E-5	5.65577E-5;6.58434E-5;3.86263E-5;5.09681E-5;7.54613E-5;5.81537E-5;5.73085E-5;1.03834E-4;4.87338E-5	2	559679;406353	ENSDARG00000033042;ENSDARG00000100741	4.666238E-4	4.666238E-4	5.790698249462495E-4	1.8002899999999998E-4	1.8002899999999998E-4	2.162714374530303E-4	0.0012128764999999998	0.0012128764999999998	0.0015447787081988476	8.76088E-4;5.71596E-5	3.32956E-4;2.7102E-5	0.0023052;1.20553E-4	0						Linear,1(0.1);Poly 2,10(0.91)	2.158989037952628	26.470332145690918	1.5071502923965454	5.507603168487549	1.37375636284241	1.8566336631774902	-3.254421758985182E-5	2.6568678122621545E-4	-2.437466746161283E-6	1.0814755765525218E-4	-1.2793854977907282E-4	6.699821497790728E-4	UP	0.8181818181818182	0.18181818181818182	0.0	
R-DRE-6798695	Neutrophil degranulation	261	300	6	6	6	6	6	5	6	5	5	84	295	4518	0.53503	0.64343	1.0	1.67	569386;559679;445498;431762;335119	pecam1;ptprja;rab4b;mgst1.2;serpinb1l3	ENSDARG00000060263;ENSDARG00000033042;ENSDARG00000012177;ENSDARG00000022165;ENSDARG00000014556		2.0311192000000002E-4	3.49676E-5	3.16615E-5	3.7621232719579645E-4	9.643113194207075E-5	2.435154943859612E-4	8.335014E-5	2.10259E-5	1.96682E-5	1.395368636462709E-4	4.3800337034919085E-5	9.031413602489948E-5	5.0749474E-4	5.81537E-5	5.09681E-5	0.001004961653733461	2.2221953232044435E-4	6.505843438127265E-4									3.82568E-5;8.76088E-4;3.16615E-5;3.49676E-5;3.45857E-5	2.22282E-5;3.32956E-4;1.96682E-5;2.10259E-5;2.08724E-5	6.58434E-5;0.0023052;5.09681E-5;5.81537E-5;5.73085E-5	4	1	4	569386;445498;431762;335119	ENSDARG00000060263;ENSDARG00000012177;ENSDARG00000022165;ENSDARG00000014556	3.48679E-5	3.477665E-5	2.6990875680496462E-6	2.0948675000000003E-5	2.0949150000000003E-5	1.046992841029214E-6	5.8068424999999996E-5	5.77311E-5	6.095069296502467E-6	3.82568E-5;3.16615E-5;3.49676E-5;3.45857E-5	2.22282E-5;1.96682E-5;2.10259E-5;2.08724E-5	6.58434E-5;5.09681E-5;5.81537E-5;5.73085E-5	1	559679	ENSDARG00000033042	8.76088E-4	8.76088E-4		3.32956E-4	3.32956E-4		0.0023052	0.0023052		8.76088E-4	3.32956E-4	0.0023052	0						Linear,1(0.2);Poly 2,4(0.8)	2.133391861632925	12.273379445075989	1.5220147371292114	5.507603168487549	1.7154129362101866	1.6340699195861816	-1.2665272433261195E-4	5.328765643326119E-4	-3.89593136922309E-5	2.0565959369223087E-4	-3.733929884312207E-4	0.0013883824684312205	UP	0.8	0.2	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	125	141	8	8	6	6	6	6	8	5	5	84	136	4677	0.95791	0.11219	0.11219	3.55	678512;569386;402962;335655;100144561	vegfd;pecam1;lhfpl2a;gngt2a;prkcha	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000009653;ENSDARG00000010680;ENSDARG00000018382		1.2376730000000002E-4	3.47824E-5	2.72331E-5	2.0451467047940595E-4	1.154948123749229E-4	1.9628607524552365E-4	7.034296E-5	2.09719E-5	1.76652E-5	1.1293133305722995E-4	6.569044499553375E-5	1.0843094819629613E-4	2.1819792E-4	5.76876E-5	4.19831E-5	3.7005023049903243E-4	2.0344107045678782E-4	3.550541488035756E-4									3.47824E-5;3.82568E-5;4.89529E-4;2.90352E-5;2.72331E-5	2.09719E-5;2.22282E-5;2.72334E-4;1.85155E-5;1.76652E-5	5.76876E-5;6.58434E-5;8.79944E-4;4.55315E-5;4.19831E-5	4	1	4	678512;569386;402962;100144561	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000009653;ENSDARG00000018382	1.47450325E-4	3.65196E-5	2.2809887351920257E-4	8.3299825E-5	2.160005E-5	1.260374771404224E-4	2.61364525E-4	6.17655E-5	4.1250518244220373E-4	3.47824E-5;3.82568E-5;4.89529E-4;2.72331E-5	2.09719E-5;2.22282E-5;2.72334E-4;1.76652E-5	5.76876E-5;6.58434E-5;8.79944E-4;4.19831E-5	1	335655	ENSDARG00000010680	2.90352E-5	2.90352E-5		1.85155E-5	1.85155E-5		4.55315E-5	4.55315E-5		2.90352E-5	1.85155E-5	4.55315E-5	0						Linear,1(0.2);Poly 2,4(0.8)	1.7692245032453582	8.934606671333313	1.546850323677063	2.181485652923584	0.2870345151233946	1.6340699195861816	-5.54977125904651E-5	3.0303231259046513E-4	-2.8645717902209042E-5	1.6933163790220902E-4	-1.061654084302385E-4	5.425612484302385E-4	UP	0.8	0.2	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	58	71	3	3	3	3	3	3	3	3	3	86	68	4745	0.96074	0.13764	0.13764	4.23	678512;569386;402962	vegfd;pecam1;lhfpl2a	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000009653		1.8752273333333335E-4	3.82568E-5	3.47824E-5	2.6155086827096054E-4	1.6259850278050543E-4	2.485640538116822E-4	1.0517803333333333E-4	2.22282E-5	2.09719E-5	1.447626763590095E-4	9.13693623292044E-5	1.375846687787487E-4	3.3449166666666666E-4	6.58434E-5	5.76876E-5	4.7239317863670866E-4	2.895141385004379E-4	4.489098093162421E-4									3.47824E-5;3.82568E-5;4.89529E-4	2.09719E-5;2.22282E-5;2.72334E-4	5.76876E-5;6.58434E-5;8.79944E-4	3	0	3	678512;569386;402962	ENSDARG00000056624;ENSDARG00000060263;ENSDARG00000009653	1.8752273333333335E-4	3.82568E-5	2.6155086827096054E-4	1.0517803333333333E-4	2.22282E-5	1.447626763590095E-4	3.3449166666666666E-4	6.58434E-5	4.7239317863670866E-4	3.47824E-5;3.82568E-5;4.89529E-4	2.09719E-5;2.22282E-5;2.72334E-4	5.76876E-5;6.58434E-5;8.79944E-4	0															0						Linear,1(0.34);Poly 2,2(0.67)	1.7167154995143137	5.182514548301697	1.546850323677063	2.001594305038452	0.2413412246857916	1.6340699195861816	-1.084499365045847E-4	4.8349540317125145E-4	-5.86363561890569E-5	2.6899242285572354E-4	-2.0007153787785685E-4	8.690548712111902E-4	UP	1.0	0.0	0.0	
R-DRE-1430728	Metabolism	989	1029	30	29	19	28	28	26	30	16	16	73	1013	3800	0.28905	0.79631	0.59897	1.55	777792;572074;569770;567547;565669;564852;557716;557218;436672;431762;402880;393105;386663;335655;100535432;100005587	sult2st3;prkaa2;cox8b;mthfr;plcd4a;pfkfb2b;nags;usta;pdha1b;mgst1.2;cox4i1l;hsd17b4;pfkfb4b;gngt2a;ltc4s;aldh9a1a.1	ENSDARG00000028367;ENSDARG00000060641;ENSDARG00000097209;ENSDARG00000053087;ENSDARG00000057975;ENSDARG00000002037;ENSDARG00000077193;ENSDARG00000006044;ENSDARG00000010555;ENSDARG00000022165;ENSDARG00000012388;ENSDARG00000101239;ENSDARG00000029075;ENSDARG00000010680;ENSDARG00000062598;ENSDARG00000069100		6.378528125E-5	3.476875E-5	2.2559E-5	8.953400058124824E-5	4.3153285096861834E-5	4.4563248210804036E-5	3.47262E-5	2.095105E-5	1.5266E-5	5.381720680504827E-5	2.3196537755372095E-5	2.4057355277770396E-5	1.3764840625E-4	5.769975E-5	3.33358E-5	2.0789831031759563E-4	9.640996317293353E-5	1.570666878654192E-4									2.99445E-5;3.32172E-5;3.35065E-5;3.75819E-5;4.12967E-5;2.2559E-5;4.20259E-5;5.6506E-5;3.45699E-5;3.49676E-5;4.4203E-5;3.31827E-5;3.86808E-4;2.90352E-5;1.29113E-4;3.20474E-5	1.89534E-5;2.03286E-5;2.04318E-5;2.20471E-5;2.32811E-5;1.5266E-5;2.35032E-5;2.70608E-5;2.08762E-5;2.10259E-5;2.41105E-5;2.03098E-5;2.36282E-4;1.85155E-5;2.37846E-5;1.98427E-5	4.73096E-5;5.42774E-5;5.49479E-5;6.40629E-5;7.32531E-5;3.33358E-5;7.51462E-5;1.17991E-4;5.72458E-5;5.81537E-5;8.10397E-5;5.4215E-5;6.33229E-4;4.55315E-5;7.00877E-4;5.17589E-5	11	5	11	777792;572074;569770;567547;565669;557716;557218;431762;402880;393105;100005587	ENSDARG00000028367;ENSDARG00000060641;ENSDARG00000097209;ENSDARG00000053087;ENSDARG00000057975;ENSDARG00000077193;ENSDARG00000006044;ENSDARG00000022165;ENSDARG00000012388;ENSDARG00000101239;ENSDARG00000069100	3.804358181818182E-5	3.49676E-5	7.641808263339039E-6	2.1899536363636365E-5	2.10259E-5	2.3843682871035958E-6	6.655958181818182E-5	5.81537E-5	2.0194018651215416E-5	2.99445E-5;3.32172E-5;3.35065E-5;3.75819E-5;4.12967E-5;4.20259E-5;5.6506E-5;3.49676E-5;4.4203E-5;3.31827E-5;3.20474E-5	1.89534E-5;2.03286E-5;2.04318E-5;2.20471E-5;2.32811E-5;2.35032E-5;2.70608E-5;2.10259E-5;2.41105E-5;2.03098E-5;1.98427E-5	4.73096E-5;5.42774E-5;5.49479E-5;6.40629E-5;7.32531E-5;7.51462E-5;1.17991E-4;5.81537E-5;8.10397E-5;5.4215E-5;5.17589E-5	5	564852;436672;386663;335655;100535432	ENSDARG00000002037;ENSDARG00000010555;ENSDARG00000029075;ENSDARG00000010680;ENSDARG00000062598	1.2041702E-4	3.45699E-5	1.5519047281538259E-4	6.294486E-5	2.08762E-5	9.694883178996021E-5	2.9404382E-4	5.72458E-5	3.4145284075570676E-4	2.2559E-5;3.45699E-5;3.86808E-4;2.90352E-5;1.29113E-4	1.5266E-5;2.08762E-5;2.36282E-4;1.85155E-5;2.37846E-5	3.33358E-5;5.72458E-5;6.33229E-4;4.55315E-5;7.00877E-4	0						Linear,1(0.07);Poly 2,15(0.94)	1.851951687138239	30.009823322296143	1.5067654848098755	2.5454516410827637	0.31731241359589524	1.7671489119529724	1.9913620965188358E-5	1.0765694153481162E-4	8.355768665526351E-6	6.109663133447364E-5	3.5778234194378146E-5	2.3951857830562188E-4	UP	0.6875	0.3125	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	47	48	3	3	2	3	3	3	3	2	2	87	46	4767	0.94429	0.21639	0.21639	4.17	777792;431762	sult2st3;mgst1.2	ENSDARG00000028367;ENSDARG00000022165		3.245605E-5	3.245605E-5	2.99445E-5	3.551868072578187E-6	3.221667179362547E-5	3.535698368586618E-6	1.998965E-5	1.998965E-5	1.89534E-5	1.4654788040091397E-6	1.9890884032228857E-5	1.4588072841264811E-6	5.273165E-5	5.273165E-5	4.73096E-5	7.667936645865102E-6	5.2214869285352446E-5	7.633028742965423E-6									2.99445E-5;3.49676E-5	1.89534E-5;2.10259E-5	4.73096E-5;5.81537E-5	2	0	2	777792;431762	ENSDARG00000028367;ENSDARG00000022165	3.245605E-5	3.245605E-5	3.551868072578187E-6	1.998965E-5	1.998965E-5	1.4654788040091397E-6	5.273165E-5	5.273165E-5	7.667936645865102E-6	2.99445E-5;3.49676E-5	1.89534E-5;2.10259E-5	4.73096E-5;5.81537E-5	0															0						Poly 2,2(1)	1.84720067799015	3.7238516807556152	1.6282219886779785	2.0956296920776367	0.33050715665272884	1.8619258403778076	2.7533412000000003E-5	3.7378687999999996E-5	1.7958599999999998E-5	2.20207E-5	4.2104432E-5	6.3358868E-5	UP	1.0	0.0	0.0	
R-DRE-156582	Acetylation	2	2	1	1	0	1	1	1	1	0	0	89	2	4811	0.96401	1.0	1.0	0.0																																		0	0	0															0															0																							
