Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Glyphosate_DESeq_normData
Work Source: Glyphosate_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:43.18
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 340
Total Run Time: 21 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	275	308	3	2	0	3	3	3	3	0	0	9	308	4585	0.55737	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-168249	Innate Immune System	448	502	4	3	3	3	3	3	4	3	3	6	499	4394	0.991	0.056081	0.056081	0.6	573769;565155;335722	cst14a.1;hsp90aa1.2;gsdmeb	ENSDARG00000028164;ENSDARG00000024746;ENSDARG00000040485		0.49909766666666666	0.426689	0.384984	0.1628734551126528	0.437298490251921	0.12621507470665835	0.24294066666666667	0.232706	0.219839	0.029578256580355573	0.23076587656204883	0.02369238380550597	1.0526746666666666	0.782376	0.674188	0.5644625473823157	0.8454125884610675	0.4325752809253462									0.68562;0.426689;0.384984	0.276277;0.232706;0.219839	1.70146;0.782376;0.674188	1	2	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	2	573769;565155	ENSDARG00000028164;ENSDARG00000024746	0.5561545	0.5561545	0.18309186595941376	0.2544915	0.2544915	0.030809349563079406	1.241918	1.241918	0.6498905288800564	0.68562;0.426689	0.276277;0.232706	1.70146;0.782376	0						Linear,3(1)	1.8221483480312308	5.481668829917908	1.7207666635513306	2.0227725505828857	0.16957330187023256	1.7381296157836914	0.3147890016865229	0.6834063316468104	0.20946971844496387	0.27641161488836946	0.4139251634565282	1.691424169876805	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168256	Immune System	724	837	7	4	3	4	4	4	7	3	3	6	834	4059	0.94822	0.18776	0.18776	0.36	573769;565155;335722	cst14a.1;hsp90aa1.2;gsdmeb	ENSDARG00000028164;ENSDARG00000024746;ENSDARG00000040485		0.49909766666666666	0.426689	0.384984	0.1628734551126528	0.437298490251921	0.12621507470665835	0.24294066666666667	0.232706	0.219839	0.029578256580355573	0.23076587656204883	0.02369238380550597	1.0526746666666666	0.782376	0.674188	0.5644625473823157	0.8454125884610675	0.4325752809253462									0.68562;0.426689;0.384984	0.276277;0.232706;0.219839	1.70146;0.782376;0.674188	1	2	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	2	573769;565155	ENSDARG00000028164;ENSDARG00000024746	0.5561545	0.5561545	0.18309186595941376	0.2544915	0.2544915	0.030809349563079406	1.241918	1.241918	0.6498905288800564	0.68562;0.426689	0.276277;0.232706	1.70146;0.782376	0						Linear,3(1)	1.8221483480312308	5.481668829917908	1.7207666635513306	2.0227725505828857	0.16957330187023256	1.7381296157836914	0.3147890016865229	0.6834063316468104	0.20946971844496387	0.27641161488836946	0.4139251634565282	1.691424169876805	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-6798695	Neutrophil degranulation	264	300	3	2	2	2	2	2	3	2	2	7	298	4595	0.98554	0.10107	0.10107	0.67	573769;565155	cst14a.1;hsp90aa1.2	ENSDARG00000028164;ENSDARG00000024746		0.5561545	0.5561545	0.426689	0.18309186595941376	0.5290655090182645	0.1790391144853074	0.2544915	0.2544915	0.232706	0.030809349563079406	0.24993316428096604	0.030127382419405904	1.241918	1.241918	0.782376	0.6498905288800564	1.1457647460927534	0.6355051558044965									0.68562;0.426689	0.276277;0.232706	1.70146;0.782376	0	2	0															2	573769;565155	ENSDARG00000028164;ENSDARG00000024746	0.5561545	0.5561545	0.18309186595941376	0.2544915	0.2544915	0.030809349563079406	1.241918	1.241918	0.6498905288800564	0.68562;0.426689	0.276277;0.232706	1.70146;0.782376	0						Linear,2(1)	1.7294263499125537	3.458896279335022	1.7207666635513306	1.7381296157836914	0.012277461264920454	1.729448139667511	0.30240212	0.80990688	0.21179191999999997	0.29719108	0.34121568000000024	2.14262032	DOWN	0.0	1.0	0.0	
R-DRE-1430728	Metabolism	980	1029	11	7	2	10	10	7	11	1	1	8	1028	3865	0.40663	0.88027	0.69485	0.097	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-211859	Biological oxidations	107	112	2	1	0	2	2	1	2	0	0	9	112	4781	0.81205	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1266738	Developmental Biology	200	204	2	2	1	2	2	2	2	1	1	8	203	4690	0.94884	0.3181	0.3181	0.49	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	67	73	1	1	0	0	0	0	1	0	0	9	73	4820	0.87359	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-392499	Metabolism of proteins	936	977	11	7	2	7	7	5	11	1	1	8	976	3917	0.43812	0.86498	1.0	0.1	553792	fpgt	ENSDARG00000042139		0.431302	0.431302	0.431302		0.431302		0.23429	0.23429	0.23429		0.23429		0.793979	0.793979	0.793979		0.7939790000000001										0.431302	0.23429	0.793979	0	1	0															1	553792	ENSDARG00000042139	0.431302	0.431302		0.23429	0.23429		0.793979	0.793979		0.431302	0.23429	0.793979	0						Linear,1(1)	1.697011113166809	1.697011113166809	1.697011113166809	1.697011113166809	0.0	1.697011113166809	0.431302	0.431302	0.23429	0.23429	0.793979	0.793979	DOWN	0.0	1.0	0.0	
R-DRE-597592	Post-translational protein modification	721	752	10	7	2	6	6	5	10	1	1	8	751	4142	0.58764	0.7769	1.0	0.13	553792	fpgt	ENSDARG00000042139		0.431302	0.431302	0.431302		0.431302		0.23429	0.23429	0.23429		0.23429		0.793979	0.793979	0.793979		0.7939790000000001										0.431302	0.23429	0.793979	0	1	0															1	553792	ENSDARG00000042139	0.431302	0.431302		0.23429	0.23429		0.793979	0.793979		0.431302	0.23429	0.793979	0						Linear,1(1)	1.697011113166809	1.697011113166809	1.697011113166809	1.697011113166809	0.0	1.697011113166809	0.431302	0.431302	0.23429	0.23429	0.793979	0.793979	DOWN	0.0	1.0	0.0	
R-DRE-8957275	Post-translational protein phosphorylation	57	60	1	1	0	0	0	0	1	0	0	9	60	4833	0.895	1.0	1.0	0.0																																		0	0	0															0															0																							
