Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Fenitrothion_DESeq_normData
Work Source: Fenitrothion_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:42.56
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 690
Total Run Time: 24 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	290	308	13	11	6	13	13	12	13	6	6	69	302	4525	0.8102	0.33151	0.47189	1.95	798069;568465;567406;406650;335656;335655	zgc:158445;si:dkey-93h22.7;ahsg2;timp2b;gngt1;gngt2a	ENSDARG00000071223;ENSDARG00000099600;ENSDARG00000069293;ENSDARG00000075261;ENSDARG00000035798;ENSDARG00000010680		0.34608295	0.37458	0.0312898	0.2635995726351752	0.3497316676869471	0.2635605255628596	0.18490183333333332	0.2292205	0.0195385	0.1303873713250891	0.18528932075552457	0.13229356962205185	0.6584448333333333	0.6137935	0.050109	0.5555620466012475	0.6689305742742736	0.5433715015812278									0.313284;0.688669;0.0605529;0.546826;0.0312898;0.435876	0.203627;0.315488;0.0277455;0.288198;0.0195385;0.254814	0.481992;1.50328;0.132153;1.03754;0.050109;0.745595	4	2	4	798069;568465;406650;335655	ENSDARG00000071223;ENSDARG00000099600;ENSDARG00000075261;ENSDARG00000010680	0.49616375	0.491351	0.15990054264317966	0.26553175	0.271506	0.04815410692332815	0.94210175	0.8915675	0.43754823455125114	0.313284;0.688669;0.546826;0.435876	0.203627;0.315488;0.288198;0.254814	0.481992;1.50328;1.03754;0.745595	2	567406;335656	ENSDARG00000069293;ENSDARG00000035798	0.04592135	0.04592135	0.020692136448540056	0.023642	0.023642	0.005803225353197996	0.09113099999999999	0.09113099999999999	0.05801386875566912	0.0605529;0.0312898	0.0277455;0.0195385	0.132153;0.050109	0						Linear,4(0.67);Poly 2,2(0.34)	2.6090712323509893	18.042049884796143	1.5128885507583618	5.5472731590271	1.7086214868753247	2.7001787424087524	0.13515936320518232	0.5570065367948177	0.08057020730790601	0.28923345935876066	0.2139026120210673	1.1029870546455993	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-114608	Platelet degranulation 	62	69	4	4	3	4	4	4	4	3	3	72	66	4761	0.97934	0.088085	0.088085	4.35	798069;567406;406650	zgc:158445;ahsg2;timp2b	ENSDARG00000071223;ENSDARG00000069293;ENSDARG00000075261		0.30688763333333335	0.313284	0.0605529	0.2431996444812437	0.3228217876881661	0.26131647715552614	0.17319016666666667	0.203627	0.0277455	0.13286713967939295	0.17729755105650033	0.14099213853079293	0.5505616666666666	0.481992	0.132153	0.4565717406195146	0.5934198679443075	0.4918995335457739									0.313284;0.0605529;0.546826	0.203627;0.0277455;0.288198	0.481992;0.132153;1.03754	2	1	2	798069;406650	ENSDARG00000071223;ENSDARG00000075261	0.430055	0.430055	0.16513913189186868	0.2459125	0.2459125	0.05980072759172753	0.7597659999999999	0.7597659999999999	0.39283175807462406	0.313284;0.546826	0.203627;0.288198	0.481992;1.03754	1	567406	ENSDARG00000069293	0.0605529	0.0605529		0.0277455	0.0277455		0.132153	0.132153		0.0605529	0.0277455	0.132153	0						Linear,2(0.67);Poly 2,1(0.34)	4.40826353592351	13.408950567245483	3.8370420932769775	5.5472731590271	0.9379505601143704	4.024635314941406	0.03168132812552138	0.5820939385411453	0.02283684410037448	0.32354348923295884	0.03390210465860333	1.0672212286747298	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-168249	Innate Immune System	471	502	18	17	11	16	16	16	18	10	10	65	492	4335	0.85959	0.23451	0.33921	1.99	791159;570832;568465;567406;566185;553249;492520;448856;322544;30647	galns;c7b;si:dkey-93h22.7;ahsg2;caspbl;cela1.1;pgrmc1;s100a1;dnajc3a;psme2	ENSDARG00000051853;ENSDARG00000057121;ENSDARG00000099600;ENSDARG00000069293;ENSDARG00000094433;ENSDARG00000043175;ENSDARG00000054172;ENSDARG00000015543;ENSDARG00000041110;ENSDARG00000033144		0.25481591	0.1753882	0.0373563	0.24336230849559562	0.218267003557167	0.21988960604436067	0.1359339	0.10521485	0.0219307	0.12227327336900372	0.11822733457174213	0.11528959327075002	0.49181328	0.313898	0.0636318	0.5083571331242387	0.4165473465740757	0.4472382700445517									0.292203;0.370838;0.688669;0.0605529;0.0820844;0.0624956;0.268692;0.627654;0.0576139;0.0373563	0.193279;0.229732;0.315488;0.0277455;0.0294337;0.0279426;0.180996;0.305389;0.0274025;0.0219307	0.441758;0.598614;1.50328;0.132153;0.228916;0.139776;0.39888;1.28999;0.121134;0.0636318	9	1	9	791159;570832;568465;566185;553249;492520;448856;322544;30647	ENSDARG00000051853;ENSDARG00000057121;ENSDARG00000099600;ENSDARG00000094433;ENSDARG00000043175;ENSDARG00000054172;ENSDARG00000015543;ENSDARG00000041110;ENSDARG00000033144	0.2764006888888889	0.268692	0.2477639192849084	0.14795483333333334	0.180996	0.12326370359159872	0.5317755333333333	0.39888	0.5222684200858404	0.292203;0.370838;0.688669;0.0820844;0.0624956;0.268692;0.627654;0.0576139;0.0373563	0.193279;0.229732;0.315488;0.0294337;0.0279426;0.180996;0.305389;0.0274025;0.0219307	0.441758;0.598614;1.50328;0.228916;0.139776;0.39888;1.28999;0.121134;0.0636318	1	567406	ENSDARG00000069293	0.0605529	0.0605529		0.0277455	0.0277455		0.132153	0.132153		0.0605529	0.0277455	0.132153	0						Linear,5(0.5);Poly 2,5(0.5)	2.116313365081365	22.81983780860901	1.511512279510498	3.8370420932769775	0.997049830079622	1.764895737171173	0.10397838846940502	0.40565343153059497	0.060148140001149514	0.21171965999885048	0.17673026452865942	0.8068962954713406	UP	0.9	0.1	0.0	
R-DRE-168256	Immune System	766	837	29	26	16	26	26	26	29	15	15	60	822	4005	0.80059	0.29204	0.53516	1.79	791159;570832;568465;567406;566185;563727;553249;503595;492520;448856;406596;368481;322544;30647;100134976	galns;c7b;si:dkey-93h22.7;ahsg2;caspbl;map3k8;cela1.1;tnfsf10l4;pgrmc1;s100a1;socs3b;stat1b;dnajc3a;psme2;il21r.1	ENSDARG00000051853;ENSDARG00000057121;ENSDARG00000099600;ENSDARG00000069293;ENSDARG00000094433;ENSDARG00000061710;ENSDARG00000043175;ENSDARG00000058068;ENSDARG00000054172;ENSDARG00000015543;ENSDARG00000026611;ENSDARG00000076182;ENSDARG00000041110;ENSDARG00000033144;ENSDARG00000069961	368481(0.3211)	0.28992278	0.292203	0.0365066	0.23039593813812662	0.2612651156142524	0.20518859313413562	0.15911319333333337	0.193279	0.0215299	0.11890590496014941	0.1479900550906182	0.11182964964083575	0.5401235333333333	0.441758	0.0619012	0.4683065041123795	0.4729814639489814	0.40248123050277523									0.292203;0.370838;0.688669;0.0605529;0.0820844;0.0365066;0.0624956;0.589829;0.268692;0.627654;0.396132;0.30948;0.0576139;0.0373563;0.468735	0.193279;0.229732;0.315488;0.0277455;0.0294337;0.0215299;0.0279426;0.298005;0.180996;0.305389;0.240012;0.201825;0.0274025;0.0219307;0.265987	0.441758;0.598614;1.50328;0.132153;0.228916;0.0619012;0.139776;1.16743;0.39888;1.28999;0.653802;0.47456;0.121134;0.0636318;0.826027	13	2	13	791159;570832;568465;566185;553249;503595;492520;448856;406596;368481;322544;30647;100134976	ENSDARG00000051853;ENSDARG00000057121;ENSDARG00000099600;ENSDARG00000094433;ENSDARG00000043175;ENSDARG00000058068;ENSDARG00000054172;ENSDARG00000015543;ENSDARG00000026611;ENSDARG00000076182;ENSDARG00000041110;ENSDARG00000033144;ENSDARG00000069961	0.32706016923076925	0.30948	0.22516518388086554	0.1798017307692308	0.201825	0.11408686868246767	0.6082922153846154	0.47456	0.4667981888340003	0.292203;0.370838;0.688669;0.0820844;0.0624956;0.589829;0.268692;0.627654;0.396132;0.30948;0.0576139;0.0373563;0.468735	0.193279;0.229732;0.315488;0.0294337;0.0279426;0.298005;0.180996;0.305389;0.240012;0.201825;0.0274025;0.0219307;0.265987	0.441758;0.598614;1.50328;0.228916;0.139776;1.16743;0.39888;1.28999;0.653802;0.47456;0.121134;0.0636318;0.826027	2	567406;563727	ENSDARG00000069293;ENSDARG00000061710	0.048529749999999997	0.048529749999999997	0.0170033017924461	0.0246377	0.0246377	0.004395092909143144	0.0970271	0.0970271	0.049675524170561064	0.0605529;0.0365066	0.0277455;0.0215299	0.132153;0.0619012	0						Linear,9(0.6);Poly 2,6(0.4)	2.149820334660619	37.57183754444122	1.511512279510498	8.386012077331543	1.8395427926736994	1.6571528911590576	0.17332634815814102	0.40651921184185896	0.09893850294895293	0.21928788371771377	0.3031277432638796	0.7771193234027872	UP	0.8666666666666667	0.13333333333333333	0.0	
R-DRE-6798695	Neutrophil degranulation	274	300	12	11	8	10	10	10	12	7	7	68	293	4534	0.91403	0.17314	0.22358	2.33	791159;568465;567406;553249;492520;448856;322544	galns;si:dkey-93h22.7;ahsg2;cela1.1;pgrmc1;s100a1;dnajc3a	ENSDARG00000051853;ENSDARG00000099600;ENSDARG00000069293;ENSDARG00000043175;ENSDARG00000054172;ENSDARG00000015543;ENSDARG00000041110		0.2939829142857143	0.268692	0.0576139	0.26823576610186567	0.23054904480071034	0.25030707411851116	0.15403465714285716	0.180996	0.0274025	0.12853418013991266	0.12123825478618104	0.12276511002859154	0.5752815714285714	0.39888	0.121134	0.5792543094398341	0.4509592244886138	0.5340421035801179									0.292203;0.688669;0.0605529;0.0624956;0.268692;0.627654;0.0576139	0.193279;0.315488;0.0277455;0.0279426;0.180996;0.305389;0.0274025	0.441758;1.50328;0.132153;0.139776;0.39888;1.28999;0.121134	6	1	6	791159;568465;553249;492520;448856;322544	ENSDARG00000051853;ENSDARG00000099600;ENSDARG00000043175;ENSDARG00000054172;ENSDARG00000015543;ENSDARG00000041110	0.33288791666666667	0.28044749999999996	0.2713416261713372	0.17508285	0.1871375	0.12690082981468248	0.6491363333333333	0.420319	0.5973480131506813	0.292203;0.688669;0.0624956;0.268692;0.627654;0.0576139	0.193279;0.315488;0.0279426;0.180996;0.305389;0.0274025	0.441758;1.50328;0.139776;0.39888;1.28999;0.121134	1	567406	ENSDARG00000069293	0.0605529	0.0605529		0.0277455	0.0277455		0.132153	0.132153		0.0605529	0.0277455	0.132153	0						Linear,4(0.58);Poly 2,3(0.43)	2.080201980158044	15.674633145332336	1.511512279510498	3.8370420932769775	0.9967926365761806	1.823847770690918	0.0952710779309551	0.4926947506404735	0.05881520396875703	0.2492541103169573	0.14616397380929996	1.0043991690478429	UP	0.8571428571428571	0.14285714285714285	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	133	141	7	7	5	7	7	7	7	5	5	70	136	4691	0.97984	0.06367	0.06367	3.55	798069;567406;406650;335656;335655	zgc:158445;ahsg2;timp2b;gngt1;gngt2a	ENSDARG00000071223;ENSDARG00000069293;ENSDARG00000075261;ENSDARG00000035798;ENSDARG00000010680		0.27756574	0.313284	0.0312898	0.22725835049658355	0.2985281391384548	0.2414932881416836	0.1587846	0.203627	0.0195385	0.12702464002674838	0.16562010419512221	0.13153036069316534	0.48947779999999996	0.481992	0.050109	0.41435196014825365	0.5428847523283263	0.45022223534448064									0.313284;0.0605529;0.546826;0.0312898;0.435876	0.203627;0.0277455;0.288198;0.0195385;0.254814	0.481992;0.132153;1.03754;0.050109;0.745595	3	2	3	798069;406650;335655	ENSDARG00000071223;ENSDARG00000075261;ENSDARG00000010680	0.43199533333333334	0.435876	0.11681935251204459	0.2488796666666667	0.254814	0.04259666353522671	0.7550423333333333	0.745595	0.27789446586129324	0.313284;0.546826;0.435876	0.203627;0.288198;0.254814	0.481992;1.03754;0.745595	2	567406;335656	ENSDARG00000069293;ENSDARG00000035798	0.04592135	0.04592135	0.020692136448540056	0.023642	0.023642	0.005803225353197996	0.09113099999999999	0.09113099999999999	0.05801386875566912	0.0605529;0.0312898	0.0277455;0.0195385	0.132153;0.050109	0						Linear,3(0.6);Poly 2,2(0.4)	2.8928854543914415	16.485154509544373	1.5128885507583618	5.5472731590271	1.7373502730054462	3.8370420932769775	0.07836501289538517	0.47676646710461484	0.047442593872438	0.270126606127562	0.12628229339530261	0.8526733066046973	UP	0.6	0.4	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	64	71	4	4	3	4	4	4	4	3	3	72	68	4759	0.9773	0.094075	0.094075	4.23	798069;567406;406650	zgc:158445;ahsg2;timp2b	ENSDARG00000071223;ENSDARG00000069293;ENSDARG00000075261		0.30688763333333335	0.313284	0.0605529	0.2431996444812437	0.3228217876881661	0.26131647715552614	0.17319016666666667	0.203627	0.0277455	0.13286713967939295	0.17729755105650033	0.14099213853079293	0.5505616666666666	0.481992	0.132153	0.4565717406195146	0.5934198679443075	0.4918995335457739									0.313284;0.0605529;0.546826	0.203627;0.0277455;0.288198	0.481992;0.132153;1.03754	2	1	2	798069;406650	ENSDARG00000071223;ENSDARG00000075261	0.430055	0.430055	0.16513913189186868	0.2459125	0.2459125	0.05980072759172753	0.7597659999999999	0.7597659999999999	0.39283175807462406	0.313284;0.546826	0.203627;0.288198	0.481992;1.03754	1	567406	ENSDARG00000069293	0.0605529	0.0605529		0.0277455	0.0277455		0.132153	0.132153		0.0605529	0.0277455	0.132153	0						Linear,2(0.67);Poly 2,1(0.34)	4.40826353592351	13.408950567245483	3.8370420932769775	5.5472731590271	0.9379505601143704	4.024635314941406	0.03168132812552138	0.5820939385411453	0.02283684410037448	0.32354348923295884	0.03390210465860333	1.0672212286747298	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-1430728	Metabolism	1005	1029	58	54	35	51	51	50	58	32	32	43	997	3830	0.99999	1.6106E-5	2.0189E-5	3.11	791159;791130;768185;724080;678614;678609;567897;557854;556193;555510;554265;492781;447803;436968;436584;406409;404730;402880;402826;394060;393481;386663;353221;337272;335656;335655;30647;140634;140615;114426;100321249;100150054	galns;galt;hsd17b7;b4galt5;elovl2;slc52a3;ca14;slc19a3a;sgms2a;cyp2aa12;ahr1b;mvda;pon1;cox6b1;gcgb;cyb5a;mao;cox4i1l;amdhd1;hmgcs1;cyp2k6;pfkfb4b;pomca;pitpnm3;gngt1;gngt2a;psme2;cyp1a;fads2;odc1;slc23a2;cyp1b1	ENSDARG00000051853;ENSDARG00000069543;ENSDARG00000088140;ENSDARG00000037815;ENSDARG00000045414;ENSDARG00000042737;ENSDARG00000061697;ENSDARG00000006447;ENSDARG00000052520;ENSDARG00000102805;ENSDARG00000023537;ENSDARG00000099336;ENSDARG00000032496;ENSDARG00000045230;ENSDARG00000040907;ENSDARG00000098589;ENSDARG00000023712;ENSDARG00000012388;ENSDARG00000007366;ENSDARG00000103025;ENSDARG00000098995;ENSDARG00000029075;ENSDARG00000043135;ENSDARG00000055255;ENSDARG00000035798;ENSDARG00000010680;ENSDARG00000033144;ENSDARG00000098315;ENSDARG00000019532;ENSDARG00000007377;ENSDARG00000017365;ENSDARG00000068934		0.19888075937500002	0.1308745	0.0227096	0.165869615074289	0.1833099149353026	0.1505692782946939	0.12080677499999998	0.09622295	0.0153449	0.10080044396638661	0.11263763141943911	0.09420021554208753	0.33421711249999997	0.270504	0.0336088	0.2781847997026516	0.3087614485962893	0.2470656672186297									0.292203;0.406761;0.274486;0.0654388;0.095129;0.534901;0.0369361;0.265831;0.0343204;0.0420458;0.0411529;0.307595;0.139633;0.448514;0.328424;0.03343;0.033928;0.460207;0.352908;0.0751222;0.0330463;0.0227096;0.320538;0.0520034;0.0312898;0.435876;0.0373563;0.122116;0.363112;0.373494;0.0592827;0.244394	0.193279;0.244086;0.18407;0.0282744;0.0260939;0.284991;0.0217236;0.17949;0.020766;0.0235901;0.0232694;0.200987;0.102261;0.259189;0.210949;0.0204887;0.0206502;0.262993;0.222043;0.0290591;0.0202707;0.0153449;0.207183;0.0260526;0.0195385;0.254814;0.0219307;0.0901849;0.226441;0.230809;0.0273591;0.167635	0.441758;0.677851;0.409314;0.151453;0.346806;1.00396;0.0628015;0.393703;0.0567221;0.0749405;0.0727807;0.470749;0.190662;0.77613;0.511319;0.0545454;0.0557431;0.805308;0.5609;0.194202;0.0538737;0.0336088;0.495911;0.103804;0.050109;0.745595;0.0636318;0.165352;0.582271;0.604387;0.128456;0.3563	25	7	25	791159;791130;768185;678609;557854;556193;555510;492781;447803;436968;436584;406409;404730;402880;402826;394060;393481;386663;353221;335655;30647;140634;140615;114426;100150054	ENSDARG00000051853;ENSDARG00000069543;ENSDARG00000088140;ENSDARG00000042737;ENSDARG00000006447;ENSDARG00000052520;ENSDARG00000102805;ENSDARG00000099336;ENSDARG00000032496;ENSDARG00000045230;ENSDARG00000040907;ENSDARG00000098589;ENSDARG00000023712;ENSDARG00000012388;ENSDARG00000007366;ENSDARG00000103025;ENSDARG00000098995;ENSDARG00000029075;ENSDARG00000043135;ENSDARG00000010680;ENSDARG00000033144;ENSDARG00000098315;ENSDARG00000019532;ENSDARG00000007377;ENSDARG00000068934	0.23931806400000002	0.274486	0.1662318378873159	0.147740212	0.18407	0.09832291495679478	0.39114949599999993	0.409314	0.28622805361761294	0.292203;0.406761;0.274486;0.534901;0.265831;0.0343204;0.0420458;0.307595;0.139633;0.448514;0.328424;0.03343;0.033928;0.460207;0.352908;0.0751222;0.0330463;0.0227096;0.320538;0.435876;0.0373563;0.122116;0.363112;0.373494;0.244394	0.193279;0.244086;0.18407;0.284991;0.17949;0.020766;0.0235901;0.200987;0.102261;0.259189;0.210949;0.0204887;0.0206502;0.262993;0.222043;0.0290591;0.0202707;0.0153449;0.207183;0.254814;0.0219307;0.0901849;0.226441;0.230809;0.167635	0.441758;0.677851;0.409314;1.00396;0.393703;0.0567221;0.0749405;0.470749;0.190662;0.77613;0.511319;0.0545454;0.0557431;0.805308;0.5609;0.194202;0.0538737;0.0336088;0.495911;0.745595;0.0636318;0.165352;0.582271;0.604387;0.3563	7	724080;678614;567897;554265;337272;335656;100321249	ENSDARG00000037815;ENSDARG00000045414;ENSDARG00000061697;ENSDARG00000023537;ENSDARG00000055255;ENSDARG00000035798;ENSDARG00000017365	0.05446181428571429	0.0520034	0.02169799935442808	0.024615928571428573	0.0260526	0.003191572540151273	0.1308871714285714	0.103804	0.10191535397960923	0.0654388;0.095129;0.0369361;0.0411529;0.0520034;0.0312898;0.0592827	0.0282744;0.0260939;0.0217236;0.0232694;0.0260526;0.0195385;0.0273591	0.151453;0.346806;0.0628015;0.0727807;0.103804;0.050109;0.128456	0						Linear,17(0.54);Poly 2,15(0.47)	1.8001875263438258	62.06557881832123	1.511512279510498	8.705374717712402	1.2501446056198433	1.6842661499977112	0.14140986986520218	0.25635164888479767	0.0858812030371292	0.15573234696287086	0.2378309969365445	0.4306032280634555	UP	0.78125	0.21875	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	47	48	4	4	1	4	4	4	4	1	1	74	47	4780	0.83338	0.52463	0.52463	2.08	140634	cyp1a	ENSDARG00000098315		0.122116	0.122116	0.122116		0.122116		0.0901849	0.0901849	0.0901849		0.0901849		0.165352	0.165352	0.165352		0.165352										0.122116	0.0901849	0.165352	1	0	1	140634	ENSDARG00000098315	0.122116	0.122116		0.0901849	0.0901849		0.165352	0.165352		0.122116	0.0901849	0.165352	0															0						Linear,1(1)	8.705374717712404	8.705374717712402	8.705374717712402	8.705374717712402	0.0	8.705374717712402	0.122116	0.122116	0.0901849	0.0901849	0.165352	0.165352	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	110	112	11	11	7	11	11	11	11	7	7	68	105	4722	0.99973	0.0014851	0.0014851	6.25	555510;554265;404730;393481;353221;140634;100150054	cyp2aa12;ahr1b;mao;cyp2k6;pomca;cyp1a;cyp1b1	ENSDARG00000102805;ENSDARG00000023537;ENSDARG00000023712;ENSDARG00000098995;ENSDARG00000043135;ENSDARG00000098315;ENSDARG00000068934		0.119603	0.0420458	0.0330463	0.11758386260930252	0.1418668683426898	0.12108443476744025	0.07896904285714286	0.0235901	0.0202707	0.07899591405730758	0.09422247612298552	0.08066189469568595	0.18212871428571425	0.0749405	0.0538737	0.175568311223613	0.21476632205199514	0.18237651798163412	4.5	0.183255			0.12890995		0.260826		0.0420458;0.0411529;0.033928;0.0330463;0.320538;0.122116;0.244394	0.0235901;0.0232694;0.0206502;0.0202707;0.207183;0.0901849;0.167635	0.0749405;0.0727807;0.0557431;0.0538737;0.495911;0.165352;0.3563	6	1	6	555510;404730;393481;353221;140634;100150054	ENSDARG00000102805;ENSDARG00000023712;ENSDARG00000098995;ENSDARG00000043135;ENSDARG00000098315;ENSDARG00000068934	0.13267801666666668	0.0820809	0.12310616062710127	0.08825231666666666	0.0568875	0.08224670373498058	0.20035338333333333	0.12014625	0.1849300255966393	0.0420458;0.033928;0.0330463;0.320538;0.122116;0.244394	0.0235901;0.0206502;0.0202707;0.207183;0.0901849;0.167635	0.0749405;0.0557431;0.0538737;0.495911;0.165352;0.3563	1	554265	ENSDARG00000023537	0.0411529	0.0411529		0.0232694	0.0232694		0.0727807	0.0727807		0.0411529	0.0232694	0.0727807	0						Linear,3(0.43);Poly 2,4(0.58)	2.2274201659622235	19.38975167274475	1.526652216911316	8.705374717712402	2.621137504284054	1.8811675310134888	0.03249565557559175	0.20671034442440822	0.020448050765100034	0.13749003494918569	0.05206588919735866	0.3121915393740699	UP	0.8571428571428571	0.14285714285714285	0.0	
