B7,Counts
ENSDARG00000000001,0
ENSDARG00000000002,92
ENSDARG00000000018,77
ENSDARG00000000019,363
ENSDARG00000000068,40
ENSDARG00000000069,261
ENSDARG00000000086,580
ENSDARG00000000103,1036
ENSDARG00000000142,26
ENSDARG00000000151,117
ENSDARG00000000161,133
ENSDARG00000000175,51
ENSDARG00000000183,489
ENSDARG00000000189,586
ENSDARG00000000212,512
ENSDARG00000000229,53
ENSDARG00000000241,140
ENSDARG00000000349,0
ENSDARG00000000369,3
ENSDARG00000000370,836
ENSDARG00000000380,115
ENSDARG00000000394,414
ENSDARG00000000423,37
ENSDARG00000000442,19
ENSDARG00000000460,0
ENSDARG00000000472,7
ENSDARG00000000474,0
ENSDARG00000000476,26
ENSDARG00000000489,198
ENSDARG00000000503,2983
ENSDARG00000000516,2
ENSDARG00000000529,84
ENSDARG00000000540,165
ENSDARG00000000542,9
ENSDARG00000000551,136
ENSDARG00000000563,130920
ENSDARG00000000567,95
ENSDARG00000000568,135
ENSDARG00000000588,16
ENSDARG00000000606,16
ENSDARG00000000631,485
ENSDARG00000000638,0
ENSDARG00000000651,7
ENSDARG00000000656,1
ENSDARG00000000666,61
ENSDARG00000000690,36
ENSDARG00000000729,314
ENSDARG00000000730,32
ENSDARG00000000747,7
ENSDARG00000000760,37
ENSDARG00000000767,8
ENSDARG00000000779,264
ENSDARG00000000796,55
ENSDARG00000000804,12
ENSDARG00000000830,5
ENSDARG00000000837,206
ENSDARG00000000853,292
ENSDARG00000000857,24
ENSDARG00000000861,516
ENSDARG00000000887,16
ENSDARG00000000906,12
ENSDARG00000000935,25
ENSDARG00000000943,138
ENSDARG00000000966,2127
ENSDARG00000001014,1399
ENSDARG00000001015,272
ENSDARG00000001057,62
ENSDARG00000001127,227
ENSDARG00000001129,771
ENSDARG00000001154,111
ENSDARG00000001162,292
ENSDARG00000001169,2
ENSDARG00000001210,42
ENSDARG00000001220,889
ENSDARG00000001234,117
ENSDARG00000001241,246
ENSDARG00000001244,1209
ENSDARG00000001249,22
ENSDARG00000001259,24
ENSDARG00000001303,0
ENSDARG00000001313,32
ENSDARG00000001354,25
ENSDARG00000001414,59
ENSDARG00000001431,2990
ENSDARG00000001437,178
ENSDARG00000001442,26
ENSDARG00000001447,75
ENSDARG00000001452,7
ENSDARG00000001463,117
ENSDARG00000001470,70
ENSDARG00000001498,28
ENSDARG00000001549,379
ENSDARG00000001557,21
ENSDARG00000001558,53
ENSDARG00000001559,327
ENSDARG00000001572,0
ENSDARG00000001578,119
ENSDARG00000001621,47
ENSDARG00000001634,323
ENSDARG00000001656,0
ENSDARG00000001676,379
ENSDARG00000001686,9
ENSDARG00000001710,302
ENSDARG00000001712,3
ENSDARG00000001721,0
ENSDARG00000001729,563
ENSDARG00000001733,61
ENSDARG00000001734,28
ENSDARG00000001754,149
ENSDARG00000001760,177
ENSDARG00000001767,15
ENSDARG00000001769,234
ENSDARG00000001771,3
ENSDARG00000001776,67
ENSDARG00000001777,215
ENSDARG00000001781,3
ENSDARG00000001782,5
ENSDARG00000001785,80
ENSDARG00000001788,287
ENSDARG00000001803,20
ENSDARG00000001804,1
ENSDARG00000001807,90
ENSDARG00000001817,98
ENSDARG00000001818,220
ENSDARG00000001825,26
ENSDARG00000001829,573
ENSDARG00000001835,119
ENSDARG00000001857,1178
ENSDARG00000001859,2
ENSDARG00000001870,1278
ENSDARG00000001873,75
ENSDARG00000001879,239
ENSDARG00000001880,128
ENSDARG00000001881,63
ENSDARG00000001882,33
ENSDARG00000001888,150
ENSDARG00000001889,761
ENSDARG00000001890,357
ENSDARG00000001891,18
ENSDARG00000001897,77
ENSDARG00000001898,2
ENSDARG00000001906,2
ENSDARG00000001909,5
ENSDARG00000001910,482
ENSDARG00000001912,19
ENSDARG00000001913,107
ENSDARG00000001929,58
ENSDARG00000001930,116
ENSDARG00000001933,54
ENSDARG00000001937,62
ENSDARG00000001939,36
ENSDARG00000001940,167
ENSDARG00000001950,2151
ENSDARG00000001953,18
ENSDARG00000001968,405
ENSDARG00000001969,79
ENSDARG00000001971,28
ENSDARG00000001975,90
ENSDARG00000001976,69
ENSDARG00000001993,147
ENSDARG00000001994,1160
ENSDARG00000001999,95
ENSDARG00000002002,1
ENSDARG00000002006,177
ENSDARG00000002013,142
ENSDARG00000002016,36
ENSDARG00000002020,191
ENSDARG00000002021,109
ENSDARG00000002026,196
ENSDARG00000002031,0
ENSDARG00000002037,37
ENSDARG00000002060,3
ENSDARG00000002071,313
ENSDARG00000002077,24
ENSDARG00000002082,220
ENSDARG00000002084,421
ENSDARG00000002097,1
ENSDARG00000002127,253
ENSDARG00000002128,101
ENSDARG00000002131,796
ENSDARG00000002165,7
ENSDARG00000002167,392
ENSDARG00000002168,74
ENSDARG00000002172,41
ENSDARG00000002174,10
ENSDARG00000002184,80
ENSDARG00000002190,189
ENSDARG00000002192,56
ENSDARG00000002193,4367
ENSDARG00000002194,17
ENSDARG00000002196,182
ENSDARG00000002197,96
ENSDARG00000002204,20
ENSDARG00000002210,93
ENSDARG00000002213,12
ENSDARG00000002215,136
ENSDARG00000002216,77
ENSDARG00000002217,427
ENSDARG00000002219,0
ENSDARG00000002220,42
ENSDARG00000002230,205
ENSDARG00000002231,73
ENSDARG00000002235,334
ENSDARG00000002240,156
ENSDARG00000002241,37
ENSDARG00000002249,47
ENSDARG00000002255,285
ENSDARG00000002259,2
ENSDARG00000002264,52
ENSDARG00000002267,22
ENSDARG00000002271,225
ENSDARG00000002285,73
ENSDARG00000002293,0
ENSDARG00000002295,20
ENSDARG00000002298,45
ENSDARG00000002299,7
ENSDARG00000002300,24
ENSDARG00000002304,6
ENSDARG00000002305,312
ENSDARG00000002311,8
ENSDARG00000002330,11
ENSDARG00000002332,284
ENSDARG00000002333,154
ENSDARG00000002336,172
ENSDARG00000002339,0
ENSDARG00000002344,1486
ENSDARG00000002347,0
ENSDARG00000002353,8
ENSDARG00000002355,3
ENSDARG00000002362,112
ENSDARG00000002365,38
ENSDARG00000002369,119
ENSDARG00000002377,37
ENSDARG00000002385,100
ENSDARG00000002391,3
ENSDARG00000002394,2
ENSDARG00000002396,185
ENSDARG00000002401,8
ENSDARG00000002402,42
ENSDARG00000002403,123
ENSDARG00000002405,65
ENSDARG00000002406,0
ENSDARG00000002411,79
ENSDARG00000002445,75
ENSDARG00000002463,0
ENSDARG00000002467,26
ENSDARG00000002479,68
ENSDARG00000002483,17
ENSDARG00000002487,127
ENSDARG00000002494,137
ENSDARG00000002506,52
ENSDARG00000002507,70
