Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Decanol_DESeq_normData
Work Source: Decanol_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:41.53
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 371
Total Run Time: 18 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	288	308	6	6	6	6	6	5	6	5	5	59	303	4535	0.78803	0.37532	0.59899	1.62	798998;568465;195818;114433;100534752	gp1bb;si:dkey-93h22.7;kif11;igf1;slc16a1a	ENSDARG00000074441;ENSDARG00000099600;ENSDARG00000010948;ENSDARG00000094132;ENSDARG00000016963		0.21618843999999998	0.104174	0.0596749	0.19144116546065268	0.2513652145924402	0.20450952127901134	0.11668205999999999	0.0285025	0.0268392	0.1221356457595734	0.14007699983964403	0.12662421434392274	0.427611	0.404343	0.129506	0.289484276850229	0.4638674963475299	0.3213621791969588									0.449294;0.0686883;0.104174;0.0596749;0.399111	0.259436;0.0285025;0.0268392;0.0274976;0.241135	0.778091;0.165533;0.404343;0.129506;0.660582	3	2	3	798998;195818;100534752	ENSDARG00000074441;ENSDARG00000010948;ENSDARG00000016963	0.31752633333333335	0.399111	0.18646446572023667	0.17580340000000003	0.241135	0.12933089851802615	0.6143386666666667	0.660582	0.19111704864907622	0.449294;0.104174;0.399111	0.259436;0.0268392;0.241135	0.778091;0.404343;0.660582	2	568465;114433	ENSDARG00000099600;ENSDARG00000094132	0.0641816	0.0641816	0.006373436261546721	0.02800005	0.02800005	7.105716044145692E-4	0.14751950000000003	0.14751950000000003	0.025474936005807695	0.0686883;0.0596749	0.0285025;0.0274976	0.165533;0.129506	0						Linear,2(0.4);Poly 2,3(0.6)	1.6206666673790564	8.138829827308655	1.501281499862671	1.920430302619934	0.175432806115231	1.5392005443572998	0.048382859812572704	0.38399402018742723	0.009625446293457879	0.2237386737065421	0.17386684358984367	0.6813551564101563	UP	0.6	0.4	0.0	
R-DRE-114608	Platelet degranulation 	60	69	1	1	1	1	1	1	1	1	1	63	68	4770	0.77271	0.59875	0.59875	1.45	114433	igf1	ENSDARG00000094132		0.0596749	0.0596749	0.0596749		0.0596749		0.0274976	0.0274976	0.0274976		0.0274976		0.129506	0.129506	0.129506		0.129506										0.0596749	0.0274976	0.129506	0	1	0															1	114433	ENSDARG00000094132	0.0596749	0.0596749		0.0274976	0.0274976		0.129506	0.129506		0.0596749	0.0274976	0.129506	0						Poly 2,1(1)	1.920430302619934	1.920430302619934	1.920430302619934	1.920430302619934	0.0	1.920430302619934	0.0596749	0.0596749	0.0274976	0.0274976	0.129506	0.129506	DOWN	0.0	1.0	0.0	
R-DRE-168249	Innate Immune System	469	502	6	4	3	6	6	5	6	3	3	61	499	4339	0.094298	0.9665	0.20842	0.6	568465;565124;553579	si:dkey-93h22.7;si:ch211-194p6.10;fabp11b	ENSDARG00000099600;ENSDARG00000105568;ENSDARG00000002311		0.36004976666666666	0.485751	0.0686883	0.253116195874273	0.2612687742316851	0.2617249178578043	0.19412383333333336	0.271195	0.0285025	0.1435470703343796	0.13899649227724215	0.1499814142146734	0.6710963333333333	0.870055	0.165533	0.441126544584809	0.49620345316276027	0.45047020064549304									0.0686883;0.52571;0.485751	0.0285025;0.282674;0.271195	0.165533;0.977701;0.870055	1	2	1	553579	ENSDARG00000002311	0.485751	0.485751		0.271195	0.271195		0.870055	0.870055		0.485751	0.271195	0.870055	2	568465;565124	ENSDARG00000099600;ENSDARG00000105568	0.29719915	0.29719915	0.32316314321940387	0.15558824999999998	0.15558824999999998	0.17972639123435655	0.571617	0.571617	0.574289500262716	0.0686883;0.52571	0.0285025;0.282674	0.165533;0.977701	0						Linear,2(0.67);Poly 2,1(0.34)	1.6635806448728674	5.007683515548706	1.5048296451568604	1.84109365940094	0.16825633989400945	1.6617602109909058	0.0736218271711061	0.6464777061622272	0.03168503152341831	0.3565626351432484	0.1719146559783849	1.170278010688282	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168256	Immune System	764	837	14	12	10	14	14	12	14	9	9	55	828	4010	0.32689	0.78798	0.61762	1.08	792957;678605;568465;567287;566761;565124;553579;436866;100331628	trib1;crfb12;si:dkey-93h22.7;rnf217;edaradd;si:ch211-194p6.10;fabp11b;tnfsf10;tnfsf11	ENSDARG00000110963;ENSDARG00000052413;ENSDARG00000099600;ENSDARG00000060944;ENSDARG00000062289;ENSDARG00000105568;ENSDARG00000002311;ENSDARG00000057241;ENSDARG00000068141		0.3255168011111111	0.369253	0.00637201	0.3041670981649651	0.1991999769924425	0.2511296395030483	0.16276062	0.229035	0.00114438	0.13816420264944934	0.10435008566035447	0.12767032399866673	0.6787601555555556	0.595315	0.0354801	0.7560174147800831	0.3957689745119209	0.5483381953671863									0.00637201;0.369253;0.0686883;0.900937;0.0410732;0.52571;0.485751;0.0591187;0.472748	0.00114438;0.229035;0.0285025;0.334078;0.0232427;0.282674;0.271195;0.027573;0.267401	0.0354801;0.595315;0.165533;2.42963;0.0725823;0.977701;0.870055;0.126755;0.83579	7	2	7	792957;678605;567287;566761;553579;436866;100331628	ENSDARG00000110963;ENSDARG00000052413;ENSDARG00000060944;ENSDARG00000062289;ENSDARG00000002311;ENSDARG00000057241;ENSDARG00000068141	0.33360755857142854	0.369253	0.32497296566802963	0.1648098685714286	0.229035	0.14158679182934247	0.7093724857142857	0.595315	0.8379708732632108	0.00637201;0.369253;0.900937;0.0410732;0.485751;0.0591187;0.472748	0.00114438;0.229035;0.334078;0.0232427;0.271195;0.027573;0.267401	0.0354801;0.595315;2.42963;0.0725823;0.870055;0.126755;0.83579	2	568465;565124	ENSDARG00000099600;ENSDARG00000105568	0.29719915	0.29719915	0.32316314321940387	0.15558824999999998	0.15558824999999998	0.17972639123435655	0.571617	0.571617	0.574289500262716	0.0686883;0.52571	0.0285025;0.282674	0.165533;0.977701	0						Hill,1(0.12);Linear,5(0.56);Poly 2,3(0.34)	1.6662109705277994	15.043738007545471	1.5048296451568604	1.9219368696212769	0.1428891978596983	1.6617602109909058	0.12679429697666725	0.524239305245555	0.07249334093569308	0.2530278990643069	0.18482877789923463	1.1726915332118766	UP	0.7777777777777778	0.2222222222222222	0.0	
R-DRE-6798695	Neutrophil degranulation	275	300	3	2	2	3	3	3	3	2	2	62	298	4540	0.23946	0.91058	0.43493	0.67	568465;553579	si:dkey-93h22.7;fabp11b	ENSDARG00000099600;ENSDARG00000002311		0.27721965	0.27721965	0.0686883	0.2949078633499707	0.22057051749527276	0.2838175460371834	0.14984875	0.14984875	0.0285025	0.17160951249311618	0.11688411520910762	0.16515595806488845	0.517794	0.517794	0.165533	0.49817228369510896	0.4220996112893926	0.47943799617949184									0.0686883;0.485751	0.0285025;0.271195	0.165533;0.870055	1	1	1	553579	ENSDARG00000002311	0.485751	0.485751		0.271195	0.271195		0.870055	0.870055		0.485751	0.271195	0.870055	1	568465	ENSDARG00000099600	0.0686883	0.0686883		0.0285025	0.0285025		0.165533	0.165533		0.0686883	0.0285025	0.165533	0						Linear,1(0.5);Poly 2,1(0.5)	1.5813494328076998	3.166589856147766	1.5048296451568604	1.6617602109909058	0.11096666727669544	1.583294928073883	-0.13150179599999995	0.6859410959999999	-0.08798989999999998	0.3876874	-0.17263755999999997	1.2082255599999998	CONFLICT	0.5	0.5	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	131	141	2	2	2	2	2	2	2	2	2	62	139	4699	0.72064	0.55438	0.70695	1.42	798998;114433	gp1bb;igf1	ENSDARG00000074441;ENSDARG00000094132		0.25448445000000003	0.25448445000000003	0.0596749	0.2755023076897996	0.34059502578726203	0.24712640291473803	0.1434668	0.1434668	0.0274976	0.16400521545755795	0.19472801684274793	0.14711317409695693	0.4537985	0.4537985	0.129506	0.45861885167587696	0.597143699958065	0.41138249648042235									0.449294;0.0596749	0.259436;0.0274976	0.778091;0.129506	1	1	1	798998	ENSDARG00000074441	0.449294	0.449294		0.259436	0.259436		0.778091	0.778091		0.449294	0.259436	0.778091	1	114433	ENSDARG00000094132	0.0596749	0.0596749		0.0274976	0.0274976		0.129506	0.129506		0.0596749	0.0274976	0.129506	0						Linear,1(0.5);Poly 2,1(0.5)	1.6979712851220359	3.421711802482605	1.501281499862671	1.920430302619934	0.29638296075588344	1.7108559012413025	-0.12734226799999987	0.636311168	-0.08383283199999997	0.370766432	-0.18181479999999994	1.0894118	CONFLICT	0.5	0.5	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	62	71	1	1	1	1	1	1	1	1	1	63	70	4768	0.76302	0.60931	0.60931	1.41	114433	igf1	ENSDARG00000094132		0.0596749	0.0596749	0.0596749		0.0596749		0.0274976	0.0274976	0.0274976		0.0274976		0.129506	0.129506	0.129506		0.129506										0.0596749	0.0274976	0.129506	0	1	0															1	114433	ENSDARG00000094132	0.0596749	0.0596749		0.0274976	0.0274976		0.129506	0.129506		0.0596749	0.0274976	0.129506	0						Poly 2,1(1)	1.920430302619934	1.920430302619934	1.920430302619934	1.920430302619934	0.0	1.920430302619934	0.0596749	0.0596749	0.0274976	0.0274976	0.129506	0.129506	DOWN	0.0	1.0	0.0	
R-DRE-1430728	Metabolism	1009	1029	29	24	18	25	25	22	29	13	13	51	1016	3822	0.51977	0.60302	1.0	1.26	794081;767718;565335;564304;563369;561028;559721;554477;553579;436652;386663;100534752;100332380	ucp3;sult5a1;slc25a15b;cidec;cyp2r1;b3gnt3.3;chst3a;pfkfb3;fabp11b;entpd8;pfkfb4b;slc16a1a;cers3a	ENSDARG00000091209;ENSDARG00000007769;ENSDARG00000062271;ENSDARG00000059651;ENSDARG00000056587;ENSDARG00000093521;ENSDARG00000061070;ENSDARG00000001953;ENSDARG00000002311;ENSDARG00000005565;ENSDARG00000029075;ENSDARG00000016963;ENSDARG00000078541		0.14476037400000002	0.0344167	7.21262E-4	0.22299985475451065	0.12927375001766414	0.21890488342054995	0.07687688	0.0208366	1.42648E-4	0.1145834912393119	0.06931279760233222	0.11329072054420503	0.2782478476923077	0.0568474	0.00364688	0.44644227745504983	0.2461031103990272	0.43427930003210136									7.21262E-4;0.677704;0.0454605;0.080133;0.0015877;0.0346579;0.0344167;0.0300614;0.485751;0.0326919;0.0328541;0.399111;0.0267344	1.42648E-4;0.314468;0.0244483;0.0291928;2.93192E-4;0.020946;0.0208366;0.018992;0.271195;0.0201177;0.020201;0.241135;0.0174312	0.00364688;1.46051;0.0845318;0.219962;0.00859774;0.0573459;0.0568474;0.0475824;0.870055;0.0531255;0.0534327;0.660582;0.0410027	6	7	6	767718;563369;561028;559721;553579;100534752	ENSDARG00000007769;ENSDARG00000056587;ENSDARG00000093521;ENSDARG00000061070;ENSDARG00000002311;ENSDARG00000016963	0.2722047166666666	0.21688445	0.28717314963175383	0.14481229866666667	0.1310405	0.14534944993385124	0.5189896733333333	0.35896395	0.5859942245373817	0.677704;0.0015877;0.0346579;0.0344167;0.485751;0.399111	0.314468;2.93192E-4;0.020946;0.0208366;0.271195;0.241135	1.46051;0.00859774;0.0573459;0.0568474;0.870055;0.660582	7	794081;565335;564304;554477;436652;386663;100332380	ENSDARG00000091209;ENSDARG00000062271;ENSDARG00000059651;ENSDARG00000001953;ENSDARG00000005565;ENSDARG00000029075;ENSDARG00000078541	0.03552236600000001	0.0326919	0.02388225872273164	0.018646521142857142	0.0201177	0.00906876590092587	0.07189771142857142	0.0531255	0.06949810357712587	7.21262E-4;0.0454605;0.080133;0.0300614;0.0326919;0.0328541;0.0267344	1.42648E-4;0.0244483;0.0291928;0.018992;0.0201177;0.020201;0.0174312	0.00364688;0.0845318;0.219962;0.0475824;0.0531255;0.0534327;0.0410027	0						Exp 5,2(0.16);Linear,3(0.24);Poly 2,8(0.62)	1.9324785272623335	26.035672545433044	1.5048296451568604	3.437147378921509	0.6150789875260742	1.8710516691207886	0.02353627207328579	0.26598447592671415	0.014588584626874242	0.13916517537312578	0.035559061162904415	0.5209366342217109	CONFLICT	0.46153846153846156	0.5384615384615384	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	47	48	2	1	1	2	2	2	2	1	1	63	47	4791	0.87071	0.46947	0.46947	2.08	767718	sult5a1	ENSDARG00000007769		0.677704	0.677704	0.677704		0.677704		0.314468	0.314468	0.314468		0.314468		1.46051	1.46051	1.46051		1.46051										0.677704	0.314468	1.46051	1	0	1	767718	ENSDARG00000007769	0.677704	0.677704		0.314468	0.314468		1.46051	1.46051		0.677704	0.314468	1.46051	0															0						Linear,1(1)	2.008005142211914	2.008005142211914	2.008005142211914	2.008005142211914	0.0	2.008005142211914	0.677704	0.677704	0.314468	0.314468	1.46051	1.46051	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	111	112	4	3	2	4	4	4	4	2	2	62	110	4728	0.82075	0.43226	0.65788	1.79	767718;563369	sult5a1;cyp2r1	ENSDARG00000007769;ENSDARG00000056587		0.33964584999999997	0.33964584999999997	0.0015877	0.4780864206007581	0.17844894410816345	0.4202353395713428	0.157380596	0.157380596	2.93192E-4	0.2221551372147816	0.08247631258195223	0.19527314623925118	0.7345538699999999	0.7345538699999999	0.00859774	1.0266570047338857	0.3883948379837274	0.9024258720118059									0.677704;0.0015877	0.314468;2.93192E-4	1.46051;0.00859774	2	0	2	767718;563369	ENSDARG00000007769;ENSDARG00000056587	0.33964584999999997	0.33964584999999997	0.4780864206007581	0.157380596	0.157380596	0.2221551372147816	0.7345538699999999	0.7345538699999999	1.0266570047338857	0.677704;0.0015877	0.314468;2.93192E-4	1.46051;0.00859774	0															0						Exp 5,1(0.5);Linear,1(0.5)	2.520900782364524	5.1728081703186035	2.008005142211914	3.1648030281066895	0.8179796295784577	2.5864040851593018	-0.3229481239999999	1.002239824	-0.15051071584	0.46527190784000005	-0.6883201448000001	2.1574278848	UP	1.0	0.0	0.0	
