Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Malathion_DESeq_normData
Work Source: Malathion_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:43.42
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 435
Total Run Time: 24 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	290	308	9	9	8	8	8	7	9	6	6	87	302	4507	0.63269	0.53463	0.83031	1.95	677742;60658;570643;561406;100137107;100004856	lgals3bpa;nos1;vwf;ptgir;zgc:174260;si:ch211-137i24.12	ENSDARG00000037805;ENSDARG00000068910;ENSDARG00000077231;ENSDARG00000038278;ENSDARG00000091800;ENSDARG00000094537		0.3115722833333333	0.240754	0.0489552	0.29395288149940235	0.21512698493673268	0.2498995447279642	0.15010051666666666	0.12791375	0.0251659	0.13921380044316606	0.10865777369335934	0.1245438686651312	0.6944685833333334	0.562605	0.0952325	0.6742294950515302	0.4535900229373453	0.5565615274432705									0.364206;0.117302;0.0697095;0.800961;0.0489552;0.4683	0.22689;0.0254537;0.0289375;0.328503;0.0251659;0.265653	0.584628;0.540582;0.167928;1.95291;0.0952325;0.825531	3	3	3	60658;570643;100004856	ENSDARG00000068910;ENSDARG00000077231;ENSDARG00000094537	0.21843716666666668	0.117302	0.2176920718011644	0.1066814	0.0289375	0.13768446325032463	0.511347	0.540582	0.32977483275865666	0.117302;0.0697095;0.4683	0.0254537;0.0289375;0.265653	0.540582;0.167928;0.825531	3	677742;561406;100137107	ENSDARG00000037805;ENSDARG00000038278;ENSDARG00000091800	0.4047074	0.364206	0.3776353444261805	0.19351963333333333	0.22689	0.1543973286287795	0.8775901666666667	0.584628	0.9628663182524785	0.364206;0.800961;0.0489552	0.22689;0.328503;0.0251659	0.584628;1.95291;0.0952325	0						Linear,3(0.5);Poly 2,3(0.5)	2.10979451093893	13.359009265899658	1.5114734172821045	3.455353021621704	0.8339831692412268	1.8132936358451843	0.07636099108918054	0.5467835755774861	0.03870627642846283	0.26149475690487056	0.1549726274125356	1.2339645392541312	CONFLICT	0.5	0.5	0.0	
R-DRE-114608	Platelet degranulation 	61	69	5	5	5	4	4	3	5	3	3	90	66	4743	0.95883	0.14226	0.14226	4.35	677742;570643;100137107	lgals3bpa;vwf;zgc:174260	ENSDARG00000037805;ENSDARG00000077231;ENSDARG00000091800		0.16095689999999999	0.0697095	0.0489552	0.17632450972632818	0.13490657636456097	0.1615080261158028	0.09366446666666667	0.0289375	0.0251659	0.11539210670840243	0.07655756282831772	0.1056593637826563	0.2825961666666667	0.167928	0.0952325	0.2640806319859208	0.24401883998931886	0.24244436064383362									0.364206;0.0697095;0.0489552	0.22689;0.0289375;0.0251659	0.584628;0.167928;0.0952325	1	2	1	570643	ENSDARG00000077231	0.0697095	0.0697095		0.0289375	0.0289375		0.167928	0.167928		0.0697095	0.0289375	0.167928	2	677742;100137107	ENSDARG00000037805;ENSDARG00000091800	0.20658059999999998	0.20658059999999998	0.22291597845448408	0.12602795	0.12602795	0.14264047903875324	0.33993025	0.33993025	0.3460548767321811	0.364206;0.0489552	0.22689;0.0251659	0.584628;0.0952325	0						Linear,1(0.34);Poly 2,2(0.67)	2.2445000462972975	7.081940293312073	1.6882598400115967	3.455353021621704	0.9562529959375163	1.938327431678772	-0.03857306618423975	0.36048686618423975	-0.03691399451942348	0.22424292785275682	-0.016239200304415558	0.5814315336377489	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168249	Innate Immune System	470	502	22	20	13	22	22	21	22	12	12	81	490	4319	0.84811	0.24003	0.38649	2.39	798787;60658;574008;571738;570368;569427;565637;445032;436734;393342;100137107;100004856	rnasel3;nos1;cela1.4;pla2g1b;arg1;si:ch211-173a9.6;fgl2a;cela1.3;txn;zgc:64051;zgc:174260;si:ch211-137i24.12	ENSDARG00000036171;ENSDARG00000068910;ENSDARG00000043171;ENSDARG00000009153;ENSDARG00000057429;ENSDARG00000087625;ENSDARG00000019861;ENSDARG00000043173;ENSDARG00000044125;ENSDARG00000068233;ENSDARG00000091800;ENSDARG00000094537		0.21557428333333337	0.223739	0.0489552	0.14215106905116395	0.20669515116201648	0.14351820228769244	0.127220525	0.1557415	0.0251659	0.09460327200587941	0.12286440949970841	0.09515550621816755	0.39480304166666663	0.330959	0.0952325	0.22222685902785128	0.37186968132520454	0.22324337317392365									0.0875684;0.117302;0.234173;0.345675;0.222798;0.272912;0.421456;0.075059;0.22468;0.0680128;0.0489552;0.4683	0.0279606;0.0254537;0.161805;0.218807;0.1552;0.183252;0.249446;0.0292407;0.156283;0.0283794;0.0251659;0.265653	0.274251;0.540582;0.338907;0.546102;0.319837;0.40644;0.712076;0.192671;0.323011;0.162996;0.0952325;0.825531	3	9	3	60658;436734;100004856	ENSDARG00000068910;ENSDARG00000044125;ENSDARG00000094537	0.270094	0.22468	0.1798519461890808	0.1491299	0.156283	0.12025930758086874	0.5630413333333334	0.540582	0.2520117136966718	0.117302;0.22468;0.4683	0.0254537;0.156283;0.265653	0.540582;0.323011;0.825531	9	798787;574008;571738;570368;569427;565637;445032;393342;100137107	ENSDARG00000036171;ENSDARG00000043171;ENSDARG00000009153;ENSDARG00000057429;ENSDARG00000087625;ENSDARG00000019861;ENSDARG00000043173;ENSDARG00000068233;ENSDARG00000091800	0.19740104444444442	0.222798	0.13495052224733253	0.1199174	0.1552	0.09192584296946918	0.33872361111111116	0.319837	0.19461379922647082	0.0875684;0.234173;0.345675;0.222798;0.272912;0.421456;0.075059;0.0680128;0.0489552	0.0279606;0.161805;0.218807;0.1552;0.183252;0.249446;0.0292407;0.0283794;0.0251659	0.274251;0.338907;0.546102;0.319837;0.40644;0.712076;0.192671;0.162996;0.0952325	0						Linear,7(0.59);Poly 2,5(0.42)	2.095761617721162	26.320114254951477	1.5513757467269897	3.732847213745117	0.7376198125034863	1.8265005946159363	0.13514474451069636	0.2960038221559703	0.07369368493236242	0.18074736506763758	0.26906635952338964	0.5205397238099437	DOWN	0.25	0.75	0.0	
R-DRE-168256	Immune System	764	837	30	27	17	30	30	29	30	16	16	77	821	3988	0.5797	0.53032	1.0	1.91	798787;60658;574008;571738;570368;569427;565637;564855;562677;445032;436734;393342;101885596;100286774;100137107;100004856	rnasel3;nos1;cela1.4;pla2g1b;arg1;si:ch211-173a9.6;fgl2a;fbxl3l;si:ch211-188c16.1;cela1.3;txn;zgc:64051;hck;mrc1a;zgc:174260;si:ch211-137i24.12	ENSDARG00000036171;ENSDARG00000068910;ENSDARG00000043171;ENSDARG00000009153;ENSDARG00000057429;ENSDARG00000087625;ENSDARG00000019861;ENSDARG00000037738;ENSDARG00000077288;ENSDARG00000043173;ENSDARG00000044125;ENSDARG00000068233;ENSDARG00000058647;ENSDARG00000102100;ENSDARG00000091800;ENSDARG00000094537		0.20440173125	0.17005	0.0489552	0.1535150769876137	0.2131512955170191	0.1576347966312703	0.11751391249999998	0.092251	0.0251659	0.0987175969280849	0.12389048612370168	0.10031840942836535	0.3807470312499999	0.321424	0.0952325	0.24545043821638546	0.3884136621793077	0.25240528405752766									0.0875684;0.117302;0.234173;0.345675;0.222798;0.272912;0.421456;0.0593744;0.0813118;0.075059;0.22468;0.0680128;0.477047;0.0658031;0.0489552;0.4683	0.0279606;0.0254537;0.161805;0.218807;0.1552;0.183252;0.249446;0.0274661;0.029302;0.0292407;0.156283;0.0283794;0.268406;0.0284022;0.0251659;0.265653	0.274251;0.540582;0.338907;0.546102;0.319837;0.40644;0.712076;0.128352;0.225637;0.192671;0.323011;0.162996;0.847872;0.152455;0.0952325;0.825531	4	12	4	60658;562677;436734;100004856	ENSDARG00000068910;ENSDARG00000077288;ENSDARG00000044125;ENSDARG00000094537	0.22289845	0.170991	0.17456850076080932	0.119172925	0.0927925	0.11502702049731256	0.47869025000000004	0.4317965	0.2660833646276731	0.117302;0.0813118;0.22468;0.4683	0.0254537;0.029302;0.156283;0.265653	0.540582;0.225637;0.323011;0.825531	12	798787;574008;571738;570368;569427;565637;564855;445032;393342;101885596;100286774;100137107	ENSDARG00000036171;ENSDARG00000043171;ENSDARG00000009153;ENSDARG00000057429;ENSDARG00000087625;ENSDARG00000019861;ENSDARG00000037738;ENSDARG00000043173;ENSDARG00000068233;ENSDARG00000058647;ENSDARG00000102100;ENSDARG00000091800	0.19823615833333333	0.1551832	0.15381689606722465	0.11696090833333332	0.09222035	0.09838197070702133	0.3480992916666667	0.297044	0.2412327616675399	0.0875684;0.234173;0.345675;0.222798;0.272912;0.421456;0.0593744;0.075059;0.0680128;0.477047;0.0658031;0.0489552	0.0279606;0.161805;0.218807;0.1552;0.183252;0.249446;0.0274661;0.0292407;0.0283794;0.268406;0.0284022;0.0251659	0.274251;0.338907;0.546102;0.319837;0.40644;0.712076;0.128352;0.192671;0.162996;0.847872;0.152455;0.0952325	0						Linear,8(0.5);Poly 2,8(0.5)	2.0113587100975403	33.51168763637543	1.5176563262939453	3.732847213745117	0.6712022213008583	1.7934818863868713	0.1291793435260693	0.2796241189739307	0.06914229000523842	0.1658855349947616	0.26047631652397113	0.5010177459760288	DOWN	0.25	0.75	0.0	
R-DRE-6798695	Neutrophil degranulation	274	300	15	15	9	15	15	14	15	8	8	85	292	4517	0.88625	0.20755	0.27675	2.67	798787;574008;570368;569427;565637;445032;393342;100137107	rnasel3;cela1.4;arg1;si:ch211-173a9.6;fgl2a;cela1.3;zgc:64051;zgc:174260	ENSDARG00000036171;ENSDARG00000043171;ENSDARG00000057429;ENSDARG00000087625;ENSDARG00000019861;ENSDARG00000043173;ENSDARG00000068233;ENSDARG00000091800		0.1788668	0.1551832	0.0489552	0.13145332469061843	0.17522514128301558	0.1424324717677671	0.10755619999999999	0.09222035	0.0251659	0.08992166252077417	0.10335579382905649	0.09532100109628984	0.31280131250000004	0.297044	0.0952325	0.19071846344601723	0.31329990088346155	0.2124583198964146									0.0875684;0.234173;0.222798;0.272912;0.421456;0.075059;0.0680128;0.0489552	0.0279606;0.161805;0.1552;0.183252;0.249446;0.0292407;0.0283794;0.0251659	0.274251;0.338907;0.319837;0.40644;0.712076;0.192671;0.162996;0.0952325	0	8	0															8	798787;574008;570368;569427;565637;445032;393342;100137107	ENSDARG00000036171;ENSDARG00000043171;ENSDARG00000057429;ENSDARG00000087625;ENSDARG00000019861;ENSDARG00000043173;ENSDARG00000068233;ENSDARG00000091800	0.1788668	0.1551832	0.13145332469061843	0.10755619999999999	0.09222035	0.08992166252077417	0.31280131250000004	0.297044	0.19071846344601723	0.0875684;0.234173;0.222798;0.272912;0.421456;0.075059;0.0680128;0.0489552	0.0279606;0.161805;0.1552;0.183252;0.249446;0.0292407;0.0283794;0.0251659	0.274251;0.338907;0.319837;0.40644;0.712076;0.192671;0.162996;0.0952325	0						Linear,4(0.5);Poly 2,4(0.5)	2.050261121818198	17.26391327381134	1.5513757467269897	3.732847213745117	0.8081036771153679	1.8265005946159363	0.08777429344771179	0.26995930655228817	0.04524366700287255	0.1698687329971275	0.18064016007584568	0.44496246492415437	DOWN	0.0	1.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	132	141	5	5	5	4	4	3	5	3	3	90	138	4671	0.72142	0.50422	0.75003	2.13	677742;570643;100137107	lgals3bpa;vwf;zgc:174260	ENSDARG00000037805;ENSDARG00000077231;ENSDARG00000091800		0.16095689999999999	0.0697095	0.0489552	0.17632450972632818	0.13490657636456097	0.1615080261158028	0.09366446666666667	0.0289375	0.0251659	0.11539210670840243	0.07655756282831772	0.1056593637826563	0.2825961666666667	0.167928	0.0952325	0.2640806319859208	0.24401883998931886	0.24244436064383362									0.364206;0.0697095;0.0489552	0.22689;0.0289375;0.0251659	0.584628;0.167928;0.0952325	1	2	1	570643	ENSDARG00000077231	0.0697095	0.0697095		0.0289375	0.0289375		0.167928	0.167928		0.0697095	0.0289375	0.167928	2	677742;100137107	ENSDARG00000037805;ENSDARG00000091800	0.20658059999999998	0.20658059999999998	0.22291597845448408	0.12602795	0.12602795	0.14264047903875324	0.33993025	0.33993025	0.3460548767321811	0.364206;0.0489552	0.22689;0.0251659	0.584628;0.0952325	0						Linear,1(0.34);Poly 2,2(0.67)	2.2445000462972975	7.081940293312073	1.6882598400115967	3.455353021621704	0.9562529959375163	1.938327431678772	-0.03857306618423975	0.36048686618423975	-0.03691399451942348	0.22424292785275682	-0.016239200304415558	0.5814315336377489	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	63	71	5	5	5	4	4	3	5	3	3	90	68	4741	0.95501	0.15119	0.15119	4.23	677742;570643;100137107	lgals3bpa;vwf;zgc:174260	ENSDARG00000037805;ENSDARG00000077231;ENSDARG00000091800		0.16095689999999999	0.0697095	0.0489552	0.17632450972632818	0.13490657636456097	0.1615080261158028	0.09366446666666667	0.0289375	0.0251659	0.11539210670840243	0.07655756282831772	0.1056593637826563	0.2825961666666667	0.167928	0.0952325	0.2640806319859208	0.24401883998931886	0.24244436064383362									0.364206;0.0697095;0.0489552	0.22689;0.0289375;0.0251659	0.584628;0.167928;0.0952325	1	2	1	570643	ENSDARG00000077231	0.0697095	0.0697095		0.0289375	0.0289375		0.167928	0.167928		0.0697095	0.0289375	0.167928	2	677742;100137107	ENSDARG00000037805;ENSDARG00000091800	0.20658059999999998	0.20658059999999998	0.22291597845448408	0.12602795	0.12602795	0.14264047903875324	0.33993025	0.33993025	0.3460548767321811	0.364206;0.0489552	0.22689;0.0251659	0.584628;0.0952325	0						Linear,1(0.34);Poly 2,2(0.67)	2.2445000462972975	7.081940293312073	1.6882598400115967	3.455353021621704	0.9562529959375163	1.938327431678772	-0.03857306618423975	0.36048686618423975	-0.03691399451942348	0.22424292785275682	-0.016239200304415558	0.5814315336377489	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-1430728	Metabolism	1009	1029	40	40	30	40	40	38	40	28	28	65	1001	3808	0.98695	0.02339	0.038674	2.72	768185;751668;678614;571738;570866;570368;566323;565316;565194;562250;559435;558758;556193;550419;492781;436734;414331;406662;402826;394060;393481;393393;334098;322482;116991;100137107;100048920;100002812	hsd17b7;gck;elovl2;pla2g1b;pank2;arg1;qdpra;dgat2;stab2;fut7;slc23a1;acp6;sgms2a;zgc:112160;mvda;txn;cyp51;msmo1;amdhd1;hmgcs1;cyp2k6;adprm;hsd11b2;adh8a;ugdh;zgc:174260;thtpa;phospho1	ENSDARG00000088140;ENSDARG00000068006;ENSDARG00000045414;ENSDARG00000009153;ENSDARG00000003311;ENSDARG00000057429;ENSDARG00000040190;ENSDARG00000018846;ENSDARG00000045748;ENSDARG00000044775;ENSDARG00000015033;ENSDARG00000040064;ENSDARG00000052520;ENSDARG00000039730;ENSDARG00000099336;ENSDARG00000044125;ENSDARG00000042641;ENSDARG00000055876;ENSDARG00000007366;ENSDARG00000103025;ENSDARG00000098995;ENSDARG00000026090;ENSDARG00000001975;ENSDARG00000091211;ENSDARG00000019838;ENSDARG00000091800;ENSDARG00000063049;ENSDARG00000008403		0.23343416785714283	0.223739	0.0338043	0.15905632031506153	0.21542756253555953	0.1559682016683364	0.13929575	0.1557415	0.0205501	0.09412208818255192	0.12934900968559995	0.09412383813453054	0.4103700642857144	0.3363255	0.0556071	0.29323081385702143	0.37433078228659955	0.2806217627741428									0.289388;0.325015;0.202365;0.345675;0.0917503;0.222798;0.207579;0.0939378;0.240564;0.0338043;0.691546;0.19044;0.110625;0.31204;0.38794;0.22468;0.0579867;0.0576595;0.0747547;0.37606;0.416454;0.334486;0.441972;0.0696821;0.240501;0.0489552;0.404534;0.0429641	0.19184;0.209323;0.142895;0.218807;0.0276875;0.1552;0.146076;0.0277272;0.165462;0.0205501;0.316522;0.135486;0.026745;0.203122;0.236728;0.156283;0.0273051;0.027296;0.0282483;0.2319;0.247858;0.21382;0.256964;0.0287462;0.165429;0.0251659;0.243282;0.0238127	0.436539;0.50465;0.286585;0.546102;0.30404;0.319837;0.294978;0.318254;0.349754;0.0556071;1.51091;0.267684;0.457576;0.479361;0.63574;0.323011;0.123144;0.121799;0.197826;0.609836;0.69973;0.523248;0.760182;0.168912;0.34964;0.0952325;0.672666;0.0775182	19	9	19	768185;751668;678614;570866;566323;565316;565194;559435;558758;556193;492781;436734;414331;406662;394060;393481;393393;116991;100048920	ENSDARG00000088140;ENSDARG00000068006;ENSDARG00000045414;ENSDARG00000003311;ENSDARG00000040190;ENSDARG00000018846;ENSDARG00000045748;ENSDARG00000015033;ENSDARG00000040064;ENSDARG00000052520;ENSDARG00000099336;ENSDARG00000044125;ENSDARG00000042641;ENSDARG00000055876;ENSDARG00000103025;ENSDARG00000098995;ENSDARG00000026090;ENSDARG00000019838;ENSDARG00000063049	0.2601848052631579	0.240501	0.1572222323072856	0.1547192	0.165429	0.0898030348828108	0.46262021052631574	0.349754	0.30518861006553144	0.289388;0.325015;0.202365;0.0917503;0.207579;0.0939378;0.240564;0.691546;0.19044;0.110625;0.38794;0.22468;0.0579867;0.0576595;0.37606;0.416454;0.334486;0.240501;0.404534	0.19184;0.209323;0.142895;0.0276875;0.146076;0.0277272;0.165462;0.316522;0.135486;0.026745;0.236728;0.156283;0.0273051;0.027296;0.2319;0.247858;0.21382;0.165429;0.243282	0.436539;0.50465;0.286585;0.30404;0.294978;0.318254;0.349754;1.51091;0.267684;0.457576;0.63574;0.323011;0.123144;0.121799;0.609836;0.69973;0.523248;0.34964;0.672666	9	571738;570368;562250;550419;402826;334098;322482;100137107;100002812	ENSDARG00000009153;ENSDARG00000057429;ENSDARG00000044775;ENSDARG00000039730;ENSDARG00000007366;ENSDARG00000001975;ENSDARG00000091211;ENSDARG00000091800;ENSDARG00000008403	0.1769606	0.0747547	0.15645766027451327	0.10673513333333334	0.0287462	0.09998004395958225	0.30006419999999995	0.197826	0.2458853557303536	0.345675;0.222798;0.0338043;0.31204;0.0747547;0.441972;0.0696821;0.0489552;0.0429641	0.218807;0.1552;0.0205501;0.203122;0.0282483;0.256964;0.0287462;0.0251659;0.0238127	0.546102;0.319837;0.0556071;0.479361;0.197826;0.760182;0.168912;0.0952325;0.0775182	0						Linear,18(0.65);Poly 2,10(0.36)	2.142024233471796	67.21923017501831	1.501545786857605	9.460317611694336	1.610046962075106	1.786615252494812	0.17451888233620722	0.29234945337807855	0.10443244065072274	0.17415905934927736	0.3017558508567691	0.5189842777146596	UP	0.6785714285714286	0.32142857142857145	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	47	48	2	2	2	2	2	1	2	1	1	92	47	4762	0.76911	0.60302	0.60302	2.08	116991	ugdh	ENSDARG00000019838		0.240501	0.240501	0.240501		0.24050099999999996		0.165429	0.165429	0.165429		0.165429		0.34964	0.34964	0.34964		0.34964										0.240501	0.165429	0.34964	1	0	1	116991	ENSDARG00000019838	0.240501	0.240501		0.165429	0.165429		0.34964	0.34964		0.240501	0.165429	0.34964	0															0						Linear,1(1)	1.5288608074188232	1.5288608074188232	1.5288608074188232	1.5288608074188232	0.0	1.5288608074188232	0.240501	0.240501	0.165429	0.165429	0.34964	0.34964	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	111	112	5	5	5	5	5	4	5	4	4	89	108	4701	0.93939	0.16247	0.16247	3.57	414331;393481;322482;116991	cyp51;cyp2k6;adh8a;ugdh	ENSDARG00000042641;ENSDARG00000098995;ENSDARG00000091211;ENSDARG00000019838		0.19615595	0.15509155	0.0579867	0.16890242811821862	0.19666788507264074	0.1785636959655571	0.117334575	0.0970876	0.0273051	0.10847833077582436	0.11572879429781856	0.1132964801697599	0.3353565	0.259276	0.123144	0.2618587294776835	0.3410737603755624	0.27926106788113336									0.0579867;0.416454;0.0696821;0.240501	0.0273051;0.247858;0.0287462;0.165429	0.123144;0.69973;0.168912;0.34964	3	1	3	414331;393481;116991	ENSDARG00000042641;ENSDARG00000098995;ENSDARG00000019838	0.2383139	0.240501	0.1792436577598493	0.14686403333333334	0.165429	0.1114423120502412	0.390838	0.34964	0.2904923583366695	0.0579867;0.416454;0.240501	0.0273051;0.247858;0.165429	0.123144;0.69973;0.34964	1	322482	ENSDARG00000091211	0.0696821	0.0696821		0.0287462	0.0287462		0.168912	0.168912		0.0696821	0.0287462	0.168912	0						Linear,2(0.5);Poly 2,2(0.5)	2.2811637038599666	9.911855459213257	1.5288608074188232	4.239800453186035	1.2333205771746196	2.071597099304199	0.030631570444145773	0.3616803295558542	0.011025810839692105	0.22364333916030787	0.07873494511187012	0.5919780548881297	UP	0.75	0.25	0.0	
