"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"Analine","Individual_Gene_countsAnaline_0_A_Gene_Counts_Illuminaseq-Salmon.csv",0,12059266,24064,21314,2776
"Analine","Individual_Gene_countsAnaline_0_B_Gene_Counts_Illuminaseq-Salmon.csv",0,13267212,24019,21109,3317
"Analine","Individual_Gene_countsAnaline_0_C_Gene_Counts_Illuminaseq-Salmon.csv",0,7327668,22843,19477,1347
"Analine","Individual_Gene_countsAnaline_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv",0.001,11956270,23911,21039,3482
"Analine","Individual_Gene_countsAnaline_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv",0.001,13239411,23670,20356,2620
"Analine","Individual_Gene_countsAnaline_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv",0.001,13979211,24114,21361,3368
"Analine","Individual_Gene_countsAnaline_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv",0.01,12473945,24215,21466,3571
"Analine","Individual_Gene_countsAnaline_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv",0.01,13706884,23499,20323,2690
"Analine","Individual_Gene_countsAnaline_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv",0.1,12414702,23815,20790,3025
"Analine","Individual_Gene_countsAnaline_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv",0.1,14329717,23633,20475,2755
"Analine","Individual_Gene_countsAnaline_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv",0.1,13367063,23502,20160,2778
"Analine","Individual_Gene_countsAnaline_1_A_Gene_Counts_Illuminaseq-Salmon.csv",1,11987791,23456,20084,2856
"Analine","Individual_Gene_countsAnaline_1_C_Gene_Counts_Illuminaseq-Salmon.csv",1,12493678,23530,20272,2837
"Analine","Individual_Gene_countsAnaline_10_A_Gene_Counts_Illuminaseq-Salmon.csv",10,12337112,24135,21449,3298
"Analine","Individual_Gene_countsAnaline_10_B_Gene_Counts_Illuminaseq-Salmon.csv",10,11695755,23824,20951,3343
"Analine","Individual_Gene_countsAnaline_10_C_Gene_Counts_Illuminaseq-Salmon.csv",10,16581482,24201,21497,2759
"Decanol","Individual_Gene_countsX1.Decanol_0_A_Gene_Counts_Illuminaseq-Salmon.csv",0,12258327,24435,22082,4255
"Decanol","Individual_Gene_countsX1.Decanol_0_B_Gene_Counts_Illuminaseq-Salmon.csv",0,13476451,24600,22260,4108
"Decanol","Individual_Gene_countsX1.Decanol_0_C_Gene_Counts_Illuminaseq-Salmon.csv",0,15169509,24746,22548,4287
"Decanol","Individual_Gene_countsX1.Decanol_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv",0.0001,11739336,24415,22089,4172
"Decanol","Individual_Gene_countsX1.Decanol_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv",0.0001,16013188,24842,22612,4214
"Decanol","Individual_Gene_countsX1.Decanol_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv",0.0001,16290090,24811,22668,4160
"Decanol","Individual_Gene_countsX1.Decanol_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv",0.001,14533886,24589,22327,4151
"Decanol","Individual_Gene_countsX1.Decanol_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv",0.001,12630130,24542,22219,4247
"Decanol","Individual_Gene_countsX1.Decanol_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv",0.001,14131925,24626,22406,4272
"Decanol","Individual_Gene_countsX1.Decanol_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv",0.01,15546382,24830,22589,4333
"Decanol","Individual_Gene_countsX1.Decanol_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv",0.01,13890778,24625,22418,4350
"Decanol","Individual_Gene_countsX1.Decanol_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv",0.01,16504906,24799,22648,4247
"Decanol","Individual_Gene_countsX1.Decanol_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv",0.1,10576740,24396,21964,4427
"Decanol","Individual_Gene_countsX1.Decanol_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv",0.1,13412698,24649,22369,4324
"Decanol","Individual_Gene_countsX1.Decanol_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv",0.1,14760373,24751,22552,4386
"Decanol","Individual_Gene_countsX1.Decanol_1_A_Gene_Counts_Illuminaseq-Salmon.csv",1,15286819,24769,22552,3879
"Decanol","Individual_Gene_countsX1.Decanol_1_B_Gene_Counts_Illuminaseq-Salmon.csv",1,11234379,24458,22128,4233
