Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
1-Decanol,,Dose,5,132.31623367845913,26.463246735691826,1.9938061487973353,0.1038374270219164,0.20075235890903836,FALSE
1-Decanol,,Group,2,28.26251401509663,14.131257007548315,1.064683687277297,0.35574078421398836,0.4792163217400674,FALSE
1-Decanol,,Dose:Group,10,241.81599152656997,24.181599152656997,1.8219012035772986,0.09290805203224442,0.19245239349536347,FALSE
1-Decanol,,Residuals,35,464.5454806666668,13.272728019047623,NA,NA,NA,NA
1-Octanol,,Dose,5,26.811164381111112,5.3622328762222224,1.0973182641420645,0.3810605413637683,0.49480995669623645,FALSE
1-Octanol,,Group,2,14.235117271480316,7.117558635740158,1.456525157967809,0.24808182268137202,0.38541283166570295,FALSE
1-Octanol,,Dose:Group,10,72.42643136740858,7.242643136740858,1.4821222386387745,0.1914863403663361,0.3028965747612953,FALSE
1-Octanol,,Residuals,32,156.37345849999997,4.886670578124999,NA,NA,NA,NA
17betaestradiol,,Dose,5,3684.334841259263,736.8669682518527,13.089703443140749,2.736077824925736e-7,1.1901938538426953e-5,TRUE
17betaestradiol,,Group,2,36.56729270370368,18.28364635185184,0.3247906595308306,0.7247741507559511,0.7784611248860216,FALSE
17betaestradiol,,Dose:Group,10,486.58253951851844,48.65825395185185,0.8643651320153619,0.5732696114461919,0.7024571295185732,FALSE
17betaestradiol,,Residuals,36,2026.570805999998,56.29363349999994,NA,NA,NA,NA
24-DMP,,Dose,5,64.1790507832809,12.83581015665618,3.2266814366026995,0.01686403305784192,0.053384085716979876,FALSE
24-DMP,,Group,2,51.07179272403381,25.535896362016906,6.419244422651632,0.0042177939448118425,0.018347403659931514,TRUE
24-DMP,,Dose:Group,10,43.37661753985503,4.337661753985503,1.09040664274616,0.39573167570276385,0.506303761560889,FALSE
24-DMP,,Residuals,35,139.23077449999994,3.978022128571427,NA,NA,NA,NA
