Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
1-Decanol,,as.factor(`Dose(mg/L)`),5,132.31582156105858,26.463164312211717,1.6859165461021546,0.15749488016593072,0.31498976033186143,FALSE
1-Decanol,,as.factor(Group),2,28.263068361714964,14.131534180857482,0.9002924599731887,0.41364496079820545,0.41364496079820545,FALSE
1-Decanol,,Residuals,45,706.3471776243963,15.696603947208807,NA,NA,NA,NA
1-Octanol,,as.factor(`Dose(mg/L)`),5,26.811164381111098,5.36223287622222,0.9843264388450818,0.43869104100711764,0.43869104100711764,FALSE
1-Octanol,,as.factor(Group),2,14.235117271480346,7.117558635740173,1.3065454833668142,0.2815311840845122,0.43869104100711764,FALSE
1-Octanol,,Residuals,42,228.79988986740864,5.447616425414491,NA,NA,NA,NA
17betaestradiol,,as.factor(`Dose(mg/L)`),5,3684.334841259261,736.8669682518522,13.487390492915475,4.140326754290569e-8,8.280653508581137e-8,TRUE
17betaestradiol,,as.factor(Group),2,36.56729270370367,18.283646351851836,0.3346583421520813,0.7173101221874685,0.7173101221874685,FALSE
17betaestradiol,,Residuals,46,2513.1533455185195,54.63376838083738,NA,NA,NA,NA
24-DMP,,as.factor(`Dose(mg/L)`),5,64.17905078328094,12.835810156656189,3.163132941099458,0.015685146132609205,0.015685146132609205,TRUE
24-DMP,,as.factor(Group),2,51.071792724033756,25.535896362016878,6.292819384003681,0.0038923538646863706,0.007784707729372741,TRUE
24-DMP,,Residuals,45,182.60739203985509,4.057942045330113,NA,NA,NA,NA
24-DNP,,as.factor(`Dose(mg/L)`),5,16.516676410714282,3.3033352821428563,0.47607763623674226,0.7920348651297987,0.7920348651297987,FALSE
24-DNP,,as.factor(Group),2,70.32706595029266,35.16353297514633,5.06777854220141,0.010563046076963482,0.021126092153926964,TRUE
24-DNP,,Residuals,43,298.36187697232634,6.938648301682008,NA,NA,NA,NA
34-DCA,,as.factor(`Dose(mg/L)`),5,404.908895425926,80.9817790851852,1.317885051580287,0.27325464080393325,0.27325464080393325,FALSE
