Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
1-Decanol,,Dose,5,132.31623367845913,26.463246735691826,1.6930737628063124,0.1548232866014732,0.22449376557213616,FALSE
1-Decanol,,Residuals,47,734.6239862083335,15.630297578900713,NA,NA,NA,NA
1-Octanol,,Dose,5,26.811164381111112,5.3622328762222224,0.9707994306307673,0.4461174927400877,0.5174962915785017,FALSE
1-Octanol,,Residuals,44,243.03500713888886,5.523522889520201,NA,NA,NA,NA
17betaestradiol,,Dose,5,3684.334841259263,736.8669682518527,13.871956772782065,2.1692419686018212e-8,6.290801708945282e-7,TRUE
17betaestradiol,,Residuals,48,2549.72063822222,53.11917996296291,NA,NA,NA,NA
24-DMP,,Dose,5,64.1790507832809,12.83581015665618,2.5816722955979245,0.03826316592652131,0.08535629322070139,FALSE
24-DMP,,Residuals,47,233.67918476388883,4.971897548167847,NA,NA,NA,NA
24-DNP,,Dose,5,16.51667641071428,3.303335282142856,0.40318564076825986,0.84403712858898,0.8741813117528722,FALSE
24-DNP,,Residuals,45,368.68894292261893,8.193087620502643,NA,NA,NA,NA
34-DCA,,Dose,5,404.9088954259258,80.98177908518515,1.1913065727033634,0.3275384252577765,0.41298323184676167,FALSE
34-DCA,,Residuals,48,3262.909384666667,67.97727884722222,NA,NA,NA,NA
4-TPP,,Dose,5,742.7903389419938,148.55806778839877,7.36226132756314,4.091936271100549e-5,2.966653796547898e-4,TRUE
4-TPP,,Residuals,45,908.0244170972227,20.17832037993828,NA,NA,NA,NA
4C3MP,,Dose,5,226.04715281481464,45.20943056296293,5.420435552760292,4.955574585253467e-4,0.0023951943828725087,TRUE
4C3MP,,Residuals,48,400.346548888889,8.340553101851855,NA,NA,NA,NA
4TOP,,Dose,5,894.7040858493592,178.94081716987185,5.034608422240674,9.226048423751389e-4,0.0033444425536098784,TRUE
4TOP,,Residuals,46,1634.9389862083335,35.54215187409421,NA,NA,NA,NA
Aniline,,Dose,5,292.3606495263892,58.47212990527784,5.219284473666071,8.161548735918306e-4,0.0033444425536098784,TRUE
Aniline,,Residuals,42,470.52991045277764,11.203093106018516,NA,NA,NA,NA
BPA,,Dose,5,2190.0375301666677,438.0075060333335,4.209507783979785,0.0029779126867083314,0.008635946791454161,TRUE
BPA,,Residuals,48,4994.493743333334,104.05195298611113,NA,NA,NA,NA
BPAF,,Dose,5,8.863000493972747,1.7726000987945494,0.6125400277597421,0.6907203967568993,0.7418848705907438,FALSE
BPAF,,Residuals,47,136.01103743055555,2.893851860224586,NA,NA,NA,NA
Clofibric-acid,,Dose,5,227.26144837960297,45.452289675920596,8.432284471984081,1.17111808430825e-5,1.1320808148313082e-4,TRUE
Clofibric-acid,,Residuals,44,237.17187820039686,5.390269959099928,NA,NA,NA,NA
DES,,Dose,5,93.39076103703704,18.678152207407408,0.3188967065173037,0.8992006382528885,0.8992006382528885,FALSE
DES,,Residuals,48,2811.416009111112,58.571166856481504,NA,NA,NA,NA
DMSO,,Dose,5,609.9285970555554,121.98571941111109,5.580225817209315,3.940585640272324e-4,0.0022855396713579476,TRUE
DMSO,,Residuals,48,1049.2970577777783,21.86035537037038,NA,NA,NA,NA
EE2,,Dose,5,43.71787565330189,8.743575130660378,1.2893239736347755,0.28451442925265846,0.3750417476512316,FALSE
EE2,,Residuals,47,318.7313968750001,6.781519082446811,NA,NA,NA,NA
Fadrozole,,Dose,5,258.33268539727464,51.666537079454926,1.8837210763594525,0.11515151502122117,0.18552188531196745,FALSE
Fadrozole,,Residuals,47,1289.111893055555,27.427912618203298,NA,NA,NA,NA
Fenitrothione,,Dose,5,163.12879459643602,32.62575891928721,2.055459829062888,0.08795886218392272,0.1700538002222506,FALSE
Fenitrothione,,Residuals,47,746.018310611111,15.872730013002363,NA,NA,NA,NA
Fluoxetine,,Dose,5,208.9714754814814,41.79429509629628,9.589520406842363,2.160580151391864e-6,3.132841219518203e-5,TRUE
Fluoxetine,,Residuals,48,209.19984311111116,4.358330064814816,NA,NA,NA,NA
Flutamide,,Dose,5,263.9702290314465,52.7940458062893,4.76040204479794,0.0013367968911548573,0.004307456649276763,TRUE
Flutamide,,Residuals,47,521.2417206666668,11.090249375886527,NA,NA,NA,NA
