Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
1-Decanol,,Dose,5,9.121386654657854,1.824277330931571,1.6858876793047346,0.15750184331028816,0.3150036866205763,FALSE
1-Decanol,,Group,2,1.9483120929125382,0.9741560464562691,0.9002565830285146,0.413659230412863,0.413659230412863,FALSE
1-Decanol,,Residuals,45,48.69392006339111,1.0820871125198024,NA,NA,NA,NA
1-Octanol,,Dose,5,3.4405411436778213,0.6881082287355642,0.9843264388450824,0.43869104100711676,0.43869104100711676,FALSE
1-Octanol,,Group,2,1.8267206138988712,0.9133603069494356,1.306545483366813,0.2815311840845125,0.43869104100711676,FALSE
1-Octanol,,Residuals,42,29.360732848751805,0.699065067827424,NA,NA,NA,NA
17betaestradiol,,Dose,5,62.65354077256733,12.530708154513466,13.487390492915488,4.140326754290512e-8,8.280653508581024e-8,TRUE
17betaestradiol,,Group,2,0.6218409734905757,0.3109204867452878,0.33465834215208196,0.7173101221874681,0.7173101221874681,FALSE
17betaestradiol,,Residuals,46,42.73714588529125,0.9290683888106793,NA,NA,NA,NA
24-DMP,,Dose,5,19.178478065533195,3.835695613106639,3.1631329410994575,0.015685146132609244,0.015685146132609244,TRUE
24-DMP,,Group,2,15.261666300314028,7.630833150157014,6.292819384003695,0.003892353864686332,0.007784707729372664,TRUE
24-DMP,,Residuals,45,54.5681467721693,1.2126254838259845,NA,NA,NA,NA
24-DNP,,Dose,5,3.604703323653628,0.7209406647307256,0.4760776362367421,0.792034865129799,0.792034865129799,FALSE
24-DNP,,Group,2,15.348621119039322,7.674310559519661,5.067778542201407,0.0105630460769635,0.021126092153927,TRUE
24-DNP,,Residuals,43,65.11637225489292,1.514334238485882,NA,NA,NA,NA
34-DCA,,Dose,5,6.602937011646578,1.3205874023293156,1.3178850515802862,0.2732546408039337,0.2732546408039337,FALSE
34-DCA,,Group,2,7.114645726253498,3.557322863126749,3.5500434251382043,0.03683323010832109,0.07366646021664218,FALSE
34-DCA,,Residuals,46,46.094323958152714,1.0020505208294068,NA,NA,NA,NA
4-TPP,,Dose,5,71.00644657506025,14.201289315012051,7.8123387851142185,2.661796205471626e-5,5.323592410943252e-5,TRUE
4-TPP,,Group,2,8.63635634876089,4.318178174380445,2.3754935262874355,0.10506333933127583,0.10506333933127583,FALSE
4-TPP,,Residuals,43,78.16550937461557,1.8178025435957108,NA,NA,NA,NA
4C3MP,,Dose,5,21.46259910731662,4.2925198214633244,5.449391330006804,5.097497011603781e-4,0.0010194994023207562,TRUE
4C3MP,,Group,2,1.7773917519523925,0.8886958759761963,1.1282071610578033,0.3324022919359885,0.3324022919359885,FALSE
4C3MP,,Residuals,46,36.23448929058034,0.7877062889256596,NA,NA,NA,NA
4TOP,,Dose,5,25.486626002963398,5.09732520059268,5.559659419512642,4.711981992494156e-4,9.423963984988312e-4,TRUE
4TOP,,Group,2,6.232012180238263,3.1160060901191313,3.3986320135461017,0.04241034534200981,0.04241034534200981,TRUE
4TOP,,Residuals,44,40.341015861316635,0.916841269575378,NA,NA,NA,NA
Aniline,,Dose,5,41.478685687344125,8.295737137468825,5.594509509038376,5.332851917078563e-4,0.0010665703834157126,TRUE
Aniline,,Group,2,7.443042075748126,3.721521037874063,2.509732949521275,0.09401411455566246,0.09401411455566246,FALSE
Aniline,,Residuals,40,59.31341880153318,1.4828354700383295,NA,NA,NA,NA
BPA,,Dose,5,10.786286255973627,2.1572572511947254,4.554385498879386,0.0018614801769608303,0.0037229603539216606,TRUE
BPA,,Group,2,2.8100502534369887,1.4050251267184943,2.9662786202915727,0.06142099308103604,0.06142099308103604,FALSE
BPA,,Residuals,46,21.78863286372531,0.47366593182011546,NA,NA,NA,NA
BPAF,,Dose,5,1.6687109829851279,0.3337421965970256,0.6814652975118796,0.6397986459972533,0.6397986459972533,FALSE
BPAF,,Group,2,3.569540528962488,1.784770264481244,3.64430692815158,0.03412881081801398,0.06825762163602796,FALSE
BPAF,,Residuals,45,22.038391245600213,0.48974202768000474,NA,NA,NA,NA
Clofibric-acid,,Dose,5,27.830700919704693,5.566140183940939,8.287744706073026,1.6236373955678155e-05,3.247274791135631e-5,TRUE
Clofibric-acid,,Group,2,0.8366833172700372,0.4183416586350186,0.6228928399405496,0.5412718896001092,0.5412718896001092,FALSE
Clofibric-acid,,Residuals,42,28.207660348684918,0.6716109606829742,NA,NA,NA,NA
DES,,Dose,5,9.439487206721308,1.8878974413442617,0.9333052216279331,0.4683682955644861,0.4683682955644861,FALSE
DES,,Group,2,191.11517932562745,95.55758966281373,47.24006476484254,7.051596468524073e-12,1.4103192937048146e-11,TRUE
DES,,Residuals,46,93.04917650665043,2.0228081849271833,NA,NA,NA,NA
DMSO,,Dose,5,29.36261522200677,5.872523044401354,5.444902234249102,5.130000690447219e-4,0.0010260001380894437,TRUE
DMSO,,Group,2,0.9016272673865557,0.45081363369327787,0.4179866375606042,0.660846341061152,0.660846341061152,FALSE
DMSO,,Residuals,46,49.61265573204849,1.078535994174967,NA,NA,NA,NA
EE2,,Dose,5,3.0354890283768583,0.6070978056753716,1.2664967520140262,0.29494308919525747,0.5618679412826209,FALSE
EE2,,Group,2,0.559823005386487,0.2799115026932435,0.5839372267504469,0.5618679412826209,0.5618679412826209,FALSE
EE2,,Residuals,45,21.570841940137218,0.4793520431141604,NA,NA,NA,NA
Fadrozole,,Dose,5,21.637271586213814,4.327454317242763,3.300064250693581,0.012687083207994984,0.012687083207994984,TRUE
Fadrozole,,Group,2,48.96305632908243,24.481528164541213,18.66931687210189,1.2479560493665491e-6,2.4959120987330983e-6,TRUE
Fadrozole,,Residuals,45,59.00959177840141,1.3113242617422536,NA,NA,NA,NA
Fenitrothione,,Dose,5,16.723155842167145,3.344631168433429,3.0058500169301987,0.020033370056342724,0.020033370056342724,TRUE
Fenitrothione,,Group,2,26.40627406615373,13.203137033076866,11.865777622647228,7.265536834713018e-5,1.4531073669426037e-4,TRUE
