Identifier,EE2-10ng/L-A
ENSDARG00000099104,735
ENSDARG00000102407,4
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,17
ENSDARG00000104071,15
ENSDARG00000102746,10
ENSDARG00000103929,13
ENSDARG00000101073,0
ENSDARG00000100223,27
ENSDARG00000096573,0
ENSDARG00000100782,7
ENSDARG00000034862,10
ENSDARG00000075827,17
ENSDARG00000088581,31
ENSDARG00000076900,6
ENSDARG00000013802,11
ENSDARG00000096578,1
ENSDARG00000109848,0
ENSDARG00000100181,2
ENSDARG00000029936,8
ENSDARG00000041589,0
ENSDARG00000041592,26
ENSDARG00000075108,0
ENSDARG00000016304,4
ENSDARG00000058803,1
ENSDARG00000063385,6
ENSDARG00000007804,9
ENSDARG00000068261,11
ENSDARG00000063371,0
ENSDARG00000078751,9
ENSDARG00000078878,0
ENSDARG00000016343,4
ENSDARG00000023678,6
ENSDARG00000011299,6
ENSDARG00000041575,10
ENSDARG00000058962,6
ENSDARG00000089799,0
ENSDARG00000075325,39
ENSDARG00000041570,21
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,7
ENSDARG00000014313,255
ENSDARG00000104279,114
ENSDARG00000103783,8
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,1
ENSDARG00000115421,9
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,1
ENSDARG00000080051,0
ENSDARG00000067781,0
ENSDARG00000099108,0
ENSDARG00000001870,161
ENSDARG00000002791,162
ENSDARG00000007739,58
ENSDARG00000039131,38
ENSDARG00000040252,4
ENSDARG00000089477,1
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,1
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,66
ENSDARG00000040246,0
ENSDARG00000040245,30
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,3
ENSDARG00000070581,9
ENSDARG00000096559,0
ENSDARG00000103156,2
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,12
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,18
ENSDARG00000033928,28
ENSDARG00000031164,82
ENSDARG00000037777,3
ENSDARG00000016706,18
ENSDARG00000030350,0
ENSDARG00000006526,147
ENSDARG00000077688,5
ENSDARG00000096546,18
ENSDARG00000092671,5
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,34
ENSDARG00000017537,1
ENSDARG00000063270,3
ENSDARG00000018008,0
ENSDARG00000074031,3
ENSDARG00000043247,9
ENSDARG00000113848,0
ENSDARG00000063253,3
ENSDARG00000073857,8
ENSDARG00000107682,0
ENSDARG00000070558,2
ENSDARG00000025754,17
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,4
ENSDARG00000013741,10
ENSDARG00000017441,5135
ENSDARG00000037713,22
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,0
ENSDARG00000018319,12
ENSDARG00000098730,15
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,3
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,1
ENSDARG00000092361,7
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,1
ENSDARG00000029720,1
ENSDARG00000100166,3
ENSDARG00000074212,0
ENSDARG00000062929,12
ENSDARG00000022668,1
ENSDARG00000099708,1
ENSDARG00000025034,26
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,0
ENSDARG00000015803,0
ENSDARG00000037739,7
ENSDARG00000076176,7
ENSDARG00000096526,0
ENSDARG00000113858,0
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,1
ENSDARG00000079332,0
ENSDARG00000007443,2
ENSDARG00000037746,998
ENSDARG00000037747,6
ENSDARG00000079361,6
ENSDARG00000012458,70
ENSDARG00000070543,4
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,4
ENSDARG00000094206,3
ENSDARG00000037758,0
ENSDARG00000008723,3
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,6
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,98
ENSDARG00000076716,5
ENSDARG00000058464,2
ENSDARG00000058471,7
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,6
ENSDARG00000024740,3
ENSDARG00000101597,6
ENSDARG00000058445,11
ENSDARG00000063169,1
ENSDARG00000092791,0
ENSDARG00000037760,9
ENSDARG00000117314,0
ENSDARG00000017834,0
ENSDARG00000074282,8
ENSDARG00000074372,1
ENSDARG00000104203,1
ENSDARG00000101495,17
ENSDARG00000091916,35
ENSDARG00000099276,21
ENSDARG00000104995,11
ENSDARG00000033852,6
ENSDARG00000037654,7
ENSDARG00000037652,3
ENSDARG00000037646,3
ENSDARG00000032795,0
ENSDARG00000018263,55
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,1
ENSDARG00000076174,3
ENSDARG00000037647,8
ENSDARG00000008969,105
ENSDARG00000020741,87
ENSDARG00000104660,3
ENSDARG00000096594,4
ENSDARG00000077652,22
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,185
ENSDARG00000030563,3
ENSDARG00000026387,7
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,4
ENSDARG00000070512,12
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,1
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,4
ENSDARG00000076833,151
ENSDARG00000012297,4
ENSDARG00000087107,1
ENSDARG00000099342,0
ENSDARG00000008487,18
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,2
ENSDARG00000074379,8
ENSDARG00000062854,1
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,2
ENSDARG00000074213,1
ENSDARG00000062606,3
ENSDARG00000077198,0
ENSDARG00000007678,9
ENSDARG00000089930,6
ENSDARG00000078057,8
ENSDARG00000070448,25
ENSDARG00000070449,1
ENSDARG00000042988,29
ENSDARG00000096506,2
ENSDARG00000070452,11
ENSDARG00000070454,0
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,122
ENSDARG00000091609,35
ENSDARG00000002634,1
ENSDARG00000062467,6
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,35
ENSDARG00000099771,12
ENSDARG00000045620,14
ENSDARG00000045618,96
ENSDARG00000057248,2
ENSDARG00000017985,18
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,11
ENSDARG00000105122,2
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,1
ENSDARG00000089805,7
ENSDARG00000117726,0
ENSDARG00000117541,6
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,16
ENSDARG00000057114,7
ENSDARG00000009026,14
ENSDARG00000085400,0
ENSDARG00000014273,15
ENSDARG00000104795,0
ENSDARG00000056806,3
ENSDARG00000056797,4
ENSDARG00000062341,2
ENSDARG00000107022,0
ENSDARG00000056742,1
ENSDARG00000037576,0
ENSDARG00000070431,12
ENSDARG00000022690,10
ENSDARG00000056677,1
ENSDARG00000012903,26
ENSDARG00000003398,15
ENSDARG00000074867,5
ENSDARG00000109597,3
ENSDARG00000111274,0
ENSDARG00000110922,9
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,1
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,20
ENSDARG00000007534,0
ENSDARG00000077804,17
ENSDARG00000013881,3
ENSDARG00000079317,1
ENSDARG00000117428,2
ENSDARG00000106258,0
ENSDARG00000078854,17
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,6
ENSDARG00000115704,1
ENSDARG00000109375,0
ENSDARG00000017119,9
ENSDARG00000070412,0
ENSDARG00000034105,7
ENSDARG00000062198,9
ENSDARG00000034817,12
ENSDARG00000056504,11
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,65
ENSDARG00000092708,0
ENSDARG00000017905,15
ENSDARG00000030514,21
ENSDARG00000056400,7
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,273
ENSDARG00000092022,1
ENSDARG00000056381,5
ENSDARG00000056376,0
ENSDARG00000056369,18
ENSDARG00000011023,3
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,1
ENSDARG00000062132,45
ENSDARG00000117687,0
ENSDARG00000117295,4
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,2
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,7
ENSDARG00000015495,71
ENSDARG00000062081,16
ENSDARG00000018178,5
ENSDARG00000093886,0
ENSDARG00000056163,1
ENSDARG00000079488,0
ENSDARG00000062055,12
ENSDARG00000074275,5
ENSDARG00000075330,0
ENSDARG00000006392,10
ENSDARG00000073902,1
ENSDARG00000019945,11
ENSDARG00000086957,1
ENSDARG00000056151,257
ENSDARG00000061985,39
ENSDARG00000061981,10
ENSDARG00000003631,11
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,13
ENSDARG00000070320,0
ENSDARG00000061952,8
ENSDARG00000061936,0
ENSDARG00000006434,12
ENSDARG00000037484,3
ENSDARG00000094729,0
ENSDARG00000095388,6
ENSDARG00000085360,0
ENSDARG00000037487,0
