Name	pathBMD	pval	adj.pval	perc.path	num.hits
Regulation of actin cytoskeleton	3.90705430103386	0.257214826488371	0.99999	0.0238095238095238	3
Phagosome	4.02463621304316	0.588110774733156	0.99999	0.0158730158730159	1
Oxidative phosphorylation	4.64482578694577	0.183685044099357	0.99999	0.0357142857142857	2
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	4.87814463015521	0.0283177577112372	0.99999	0.105263157894737	2
Ribosome biogenesis in eukaryotes	5.01287279378067	0.46153998031826	0.99999	0.0227272727272727	1
Tryptophan metabolism	5.20357163075637	0.00075590244462083	0.0937319031329829	0.133333333333333	4
Neuroactive ligand-receptor interaction	5.22432406903871	0.530969845180049	0.99999	0.0146520146520147	4
Calcium signaling pathway	5.30703270734693	0.599677511746395	0.99999	0.0138888888888889	2
Starch and sucrose metabolism	5.49652901884246	0.190066518533848	0.99999	0.0666666666666667	1
Glycolysis / Gluconeogenesis	5.49652901884246	0.371290616121228	0.99999	0.0303030303030303	1
Carbon metabolism	5.49652901884246	0.476506073061545	0.99999	0.0217391304347826	1
Mitophagy - animal	5.54596179851254	0.453898125816028	0.99999	0.0232558139534884	1
RIG-I-like receptor signaling pathway	5.55337073765489	0.430319350583989	0.99999	0.025	1
Adipocytokine signaling pathway	5.55337073765489	0.430319350583989	0.99999	0.025	1
FoxO signaling pathway	5.66207067167785	0.112598495600336	0.99999	0.0357142857142857	3
Proteasome	5.7288749640076	0.266010587888534	0.99999	0.0454545454545455	1
Salmonella infection	5.7572641698318	0.476506073061545	0.99999	0.0217391304347826	1
Cellular senescence	5.77537488285052	0.388181090973884	0.99999	0.0208333333333333	2
Cytokine-cytokine receptor interaction	5.78877458070346	0.115585230465277	0.99999	0.0352941176470588	3
TGF-beta signaling pathway	5.78877458070346	0.570298973328631	0.99999	0.0166666666666667	1
Amino sugar and nucleotide sugar metabolism	5.79129130754421	0.102573992591704	0.99999	0.0512820512820513	2
Metabolic pathways	5.83637220812726	0.183894469426098	0.99999	0.017877094972067	16
p53 signaling pathway	5.88867909402319	0.039417479168434	0.99999	0.0555555555555556	3
Cell cycle	5.88867909402319	0.081864062523057	0.99999	0.0410958904109589	3
RNA transport	5.88972316397879	0.337920912599584	0.99999	0.0232558139534884	2
Phosphatidylinositol signaling system	5.92004263106764	0.491058392573899	0.99999	0.0208333333333333	1
Spliceosome	5.92667117277171	0.626867223957868	0.99999	0.0142857142857143	1
Galactose metabolism	6.08605359624595	0.234371446843927	0.99999	0.0526315789473684	1
NOD-like receptor signaling pathway	6.25238874667869	0.332820465700232	0.99999	0.0235294117647059	2
Necroptosis	6.25238874667869	0.40294357127201	0.99999	0.0202020202020202	2
Herpes simplex infection	6.27267155368079	0.312316163215626	0.99999	0.0246913580246914	2
ErbB signaling pathway	6.31844078166675	0.158831550488348	0.99999	0.0392156862745098	2
Apoptosis	6.42004292486283	0.0370607039227837	0.99999	0.0444444444444444	4
Glycerophospholipid metabolism	6.44956851691823	0.229590947280796	0.99999	0.0307692307692308	2
Mannose type O-glycan biosynthesis	6.48993462460396	0.255611415498566	0.99999	0.0476190476190476	1
N-Glycan biosynthesis	6.48993462460396	0.38008174969017	0.99999	0.0294117647058824	1
Folate biosynthesis	6.78902429356943	0.245065719506245	0.99999	0.05	1
Cardiac muscle contraction	6.83360728936738	0.46153998031826	0.99999	0.0227272727272727	1
Alanine, aspartate and glutamate metabolism	6.90126359874611	0.276265261527752	0.99999	0.0434782608695652	1
Biosynthesis of amino acids	6.90126359874611	0.353334667175982	0.99999	0.032258064516129	1
Ubiquitin mediated proteolysis	6.95864206582674	0.124721574096016	0.99999	0.0340909090909091	3
Fanconi anemia pathway	6.95864206582674	0.446148415431187	0.99999	0.0238095238095238	1
Focal adhesion	6.96310882367907	0.41269190464933	0.99999	0.0198019801980198	2
Glycerolipid metabolism	6.97909440276883	0.438289335338593	0.99999	0.024390243902439	1
Progesterone-mediated oocyte maturation	6.98159378350614	0.558000937430299	0.99999	0.0172413793103448	1
Oocyte meiosis	6.98159378350614	0.588110774733156	0.99999	0.0158730158730159	1
Phototransduction	6.99186573883336	0.190066518533848	0.99999	0.0666666666666667	1
VEGF signaling pathway	6.99197236970668	0.430319350583989	0.99999	0.025	1
Glycosaminoglycan degradation	6.99636109108606	0.21252881580723	0.99999	0.0588235294117647	1
mRNA surveillance pathway	6.99865593051104	0.422236904790748	0.99999	0.0256410256410256	1
