.id,chemical,min,max,median_POD,POD_med,mean_POD,low_conf,high_conf,n_genes,Assay,confidence
tPOD,BPA,0.0001,1,0.00976240381952766,NA,NA,0.00101869951683012,0.54329859110328,40,Transcriptomic POD,1
tPOD,BPAF,0.0001,1,0.00128807863243476,NA,NA,0.00105628935269021,0.00919554490753454,397,Transcriptomic POD,1
tPOD,DES,0.00001,0.1,0.0502819420035881,NA,NA,0.00011165065913167,0.0535543000249013,146,Transcriptomic POD,1
tPOD,EE2,0.0000001,0.001,0.0000087,NA,NA,0.00000617,0.00047342805219682,273,Transcriptomic POD,1
tPOD,TGSH,0.0001,1,0.484458825388872,NA,NA,0.469238532668399,0.494562615390056,485,Transcriptomic POD,1
Pathway tPOD,BPA,0.0001,1,0.0105824,NA,NA,0.00101952,0.755821,40,Transcriptomic POD,1
Pathway tPOD,BPAF,0.0001,1,0.000664554,NA,NA,0.000493732,0.00920634,397,Transcriptomic POD,1
Pathway tPOD,DES,0.00001,0.1,0.0427958386304089,NA,NA,0.0307771,0.083383,146,Transcriptomic POD,1
Pathway tPOD,EE2,0.0000001,0.001,0.000299907,NA,NA,0.000000988065,0.000426884,273,Transcriptomic POD,1
Pathway tPOD,TGSH,0.0001,1,0.354295,NA,NA,0.338365,0.624139,485,Transcriptomic POD,1
Overt Toxicity,BPA,0.0001,1,1,1,1,1,1,NA,Lethality & Deformity,0
Overt Toxicity,BPAF,0.0001,1,1,1,1,1,1,NA,Lethality & Deformity,0
Overt Toxicity,DES,0.00001,0.1,1.10415267708552E-06,1.81440003434994E-06,7.51891835918493E-07,1.86369092854827E-08,7.22087960321737E-05,NA,Lethality & Deformity,0.706
Overt Toxicity,EE2,0.0000001,0.001,0.000269591459729907,0.001,0.000207254812840064,1.42658460688201E-05,0.001,NA,Lethality & Deformity,0.251
Overt Toxicity,TGSH,0.0001,1,1,1,1,1,1,NA,Lethality & Deformity,0
Behaviour,BPA,0.0001,1,1,1,1,1,1,NA,Swim Behaviour,0
Behaviour,BPAF,0.0001,1,1,1,1,1,1,NA,Swim Behaviour,0
Behaviour,DES,0.00001,0.1,0.1,0.1,0.1,0.1,0.1,NA,Swim Behaviour,0
Behaviour,EE2,0.0000001,0.001,0.001,0.001,0.001,0.001,0.001,NA,Swim Behaviour,0
Behaviour,TGSH,0.0001,1,1,1,1,1,1,NA,Swim Behaviour,0
Metabolic Rate,BPA,0.0001,1,1,1,1,1,1,NA,Metabolic Activity,0
Metabolic Rate,BPAF,0.0001,1,1,1,1,1,1,NA,Metabolic Activity,0
Metabolic Rate,DES,0.00001,0.1,4.46214019332482E-06,4.46283498640882E-06,4.14029360596214E-06,1.38325610382984E-06,9.33106189198403E-06,NA,Metabolic Activity,1
Metabolic Rate,EE2,0.0000001,0.001,0.001,0.001,0.001,0.001,0.001,NA,Metabolic Activity,0
Metabolic Rate,TGSH,0.0001,1,1,1,1,1,1,NA,Metabolic Activity,0
Acute LOEC,BPAF,0.0001,1,0.01,NA,NA,NA,NA,NA,Literature POD,1
Chronic LOEC,BPAF,0.0001,1,0.05,NA,NA,NA,NA,NA,Literature POD,1
Acute LOEC,BPA,0.0001,1,1.15,NA,NA,NA,NA,NA,Literature POD,1
Chronic LOEC,BPA,0.0001,1,0.001,NA,NA,NA,NA,NA,Literature POD,1
Acute LOEC,DES,0.00001,0.1,0.027,NA,NA,NA,NA,NA,Literature POD,1
Chronic LOEC,DES,0.00001,0.1,0.001,NA,NA,NA,NA,NA,Literature POD,1
Acute LOEC,TGSH,0.0001,1,33.4,NA,NA,NA,NA,NA,Literature POD,1
Chronic LOEC,TGSH,0.0001,1,0.24,NA,NA,NA,NA,NA,Literature POD,1
Acute LOEC,EE2,0.0000001,0.001,0.0000283,NA,NA,NA,NA,NA,Literature POD,1
Chronic LOEC,EE2,0.0000001,0.001,0.00000097,NA,NA,NA,NA,NA,Literature POD,1
