sample,chemical,dose
Individual_Gene_countsAnaline_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.001
Individual_Gene_countsAnaline_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.001
Individual_Gene_countsAnaline_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.001
Individual_Gene_countsAnaline_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.01
Individual_Gene_countsAnaline_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.01
Individual_Gene_countsAnaline_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.1
Individual_Gene_countsAnaline_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.1
Individual_Gene_countsAnaline_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0.1
Individual_Gene_countsAnaline_0_A_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0
Individual_Gene_countsAnaline_0_B_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0
Individual_Gene_countsAnaline_0_C_Gene_Counts_Illuminaseq-Salmon.csv,Analine,0
Individual_Gene_countsAnaline_1_A_Gene_Counts_Illuminaseq-Salmon.csv,Analine,1
Individual_Gene_countsAnaline_1_C_Gene_Counts_Illuminaseq-Salmon.csv,Analine,1
Individual_Gene_countsAnaline_10_A_Gene_Counts_Illuminaseq-Salmon.csv,Analine,10
Individual_Gene_countsAnaline_10_B_Gene_Counts_Illuminaseq-Salmon.csv,Analine,10
Individual_Gene_countsAnaline_10_C_Gene_Counts_Illuminaseq-Salmon.csv,Analine,10
Individual_Gene_countsX1.Decanol_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.0001
Individual_Gene_countsX1.Decanol_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.0001
Individual_Gene_countsX1.Decanol_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.0001
Individual_Gene_countsX1.Decanol_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.001
Individual_Gene_countsX1.Decanol_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.001
Individual_Gene_countsX1.Decanol_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.001
Individual_Gene_countsX1.Decanol_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.01
Individual_Gene_countsX1.Decanol_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.01
Individual_Gene_countsX1.Decanol_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.01
Individual_Gene_countsX1.Decanol_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.1
Individual_Gene_countsX1.Decanol_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.1
Individual_Gene_countsX1.Decanol_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0.1
Individual_Gene_countsX1.Decanol_0_A_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0
Individual_Gene_countsX1.Decanol_0_B_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0
Individual_Gene_countsX1.Decanol_0_C_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,0
Individual_Gene_countsX1.Decanol_1_A_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,1
Individual_Gene_countsX1.Decanol_1_B_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,1
Individual_Gene_countsX1.Decanol_1_C_Gene_Counts_Illuminaseq-Salmon.csv,Decanol,1
Individual_Gene_countsEE2_0.0000001_A_Gene_Counts_Illuminaseq-Salmon.csv,EE2,0.0000001
Individual_Gene_countsEE2_0.0000001_B_Gene_Counts_Illuminaseq-Salmon.csv,EE2,0.0000001
Individual_Gene_countsEE2_0.0000001_C_Gene_Counts_Illuminaseq-Salmon.csv,EE2,0.0000001
