"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"DEHP","DEHP_10-4_A-GQReadsPerGene.out.tab",0.0003,21972052,25062,22233,2727
"DEHP","DEHP_10-4_B-GQReadsPerGene.out.tab",0.0003,28441509,25479,22716,3356
"DEHP","DEHP_10-4_C-GQReadsPerGene.out.tab",0.0003,26700328,25394,22512,3169
"DEHP","DEHP_10-3_A-GQReadsPerGene.out.tab",0.003,22561013,25192,22295,2889
"DEHP","DEHP_10-3_B-GQReadsPerGene.out.tab",0.003,16565579,24840,21847,3113
"DEHP","DEHP_10-3_C-GQReadsPerGene.out.tab",0.003,25106554,25435,22479,3110
"DEHP","DEHP_10-2_A-GQReadsPerGene.out.tab",0.03,21358933,25084,22267,2930
"DEHP","DEHP_10-2_B-GQReadsPerGene.out.tab",0.03,22610576,25246,22419,3143
"DEHP","DEHP_10-2_C-GQReadsPerGene.out.tab",0.03,28068330,25474,22634,3069
"DEHP","DEHP_10-1_A-GQReadsPerGene.out.tab",0.3,20188432,25057,22187,2737
"DEHP","DEHP_10-1_B-GQReadsPerGene.out.tab",0.3,27133268,25529,22827,3317
"DEHP","DEHP_10-1_C-GQReadsPerGene.out.tab",0.3,22675541,25204,22370,3187
"DEHP","DEHP_3uM_A-GQReadsPerGene.out.tab",3,24879510,25359,22566,2658
"DEHP","DEHP_3uM_B-GQReadsPerGene.out.tab",3,23095398,25230,22433,3291
"DEHP","DEHP_3uM_C-GQReadsPerGene.out.tab",3,22051343,25249,22395,3139
"SANT","SANT_10-4_A-GQReadsPerGene.out.tab",0.0003,28974709,25442,22698,3213
"SANT","SANT_10-4_B-GQReadsPerGene.out.tab",0.0003,23607769,25197,22422,3415
"SANT","SANT_10-4_C-GQReadsPerGene.out.tab",0.0003,21483118,25158,22294,3484
"SANT","SANT_10-3_B-GQReadsPerGene.out.tab",0.003,22675882,24945,22135,3412
"SANT","SANT_10-3_C-GQReadsPerGene.out.tab",0.003,31175295,25605,22910,3461
"SANT","SANT_10-2_A-GQReadsPerGene.out.tab",0.03,21705297,25098,22313,2826
"SANT","SANT_10-2_B-GQReadsPerGene.out.tab",0.03,28664389,25458,22600,3433
"SANT","SANT_10-2_C-GQReadsPerGene.out.tab",0.03,25244626,25302,22419,3232
"SANT","SANT_10-1_A-GQReadsPerGene.out.tab",0.3,28666459,25440,22690,2816
"SANT","SANT_10-1_B-GQReadsPerGene.out.tab",0.3,23221668,25242,22331,3210
"SANT","SANT_10-1_C-GQReadsPerGene.out.tab",0.3,25357737,25303,22412,3271
"SANT","SANT_3uM_A-GQReadsPerGene.out.tab",3,24253165,25144,22269,2486
"SANT","SANT_3uM_B-GQReadsPerGene.out.tab",3,31013280,25737,22728,3190
"SANT","SANT_3uM_C-GQReadsPerGene.out.tab",3,24144636,25282,22460,3207
