Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 10/06/22
Deduplicate Gene Sets: false
Data Source: Analine_DEG_Norm_Counts_DataR-ODAF_DESeq2
Work Source: Analine_DEG_Norm_Counts_DataR-ODAF_DESeq2_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 07/13/2023 12:15.19
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 127
Total Run Time: 0 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	3	19076	3	3	1	3	3	3	3	1	1	0	19075	0	1.0	1.0	1.0	0.0052	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0000149	4	SNARE binding	1	112	1	1	1	1	1	1	1	1	1	0	111	18964	1.0	0.0058713	0.0058713	0.89	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0000166	4	nucleotide binding	1	2149	1	1	0	1	1	1	1	0	0	1	2149	16926	0.88735	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000381	9	regulation of alternative mRNA splicing, via spliceosome	1	52	1	1	0	1	1	1	1	0	0	1	52	19023	0.99727	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0002791	7	regulation of peptide secretion	1	20	1	1	1	1	1	1	1	1	1	0	19	19056	1.0	0.0010484	0.0010484	5.0	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014		0.0	2.23222			1.51908		3.28014		2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0003674	1	molecular_function	3	16273	3	3	1	3	3	3	3	1	1	0	16272	2803	1.0	0.85306	1.0	0.0061	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0003676	4	nucleic acid binding	1	2953	1	1	0	1	1	1	1	0	0	1	2953	16122	0.8452	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0003723	5	RNA binding	1	854	1	1	0	1	1	1	1	0	0	1	854	18221	0.95523	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0003774	2	cytoskeletal motor activity	1	121	1	1	0	1	1	1	1	0	0	1	121	18954	0.99366	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0003777	3	microtubule motor activity	1	55	1	1	0	1	1	1	1	0	0	1	55	19020	0.99712	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0003824	2	catalytic activity	1	5619	1	1	0	1	1	1	1	0	0	1	5619	13456	0.70544	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005488	2	binding	3	10458	3	3	1	3	3	3	3	1	1	0	10457	8618	1.0	0.54823	1.0	0.0096	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0005515	3	protein binding	2	3708	2	2	1	2	2	2	2	1	1	0	3707	15368	1.0	0.19438	0.19438	0.027	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0005524	6	ATP binding	1	1453	1	1	0	1	1	1	1	0	0	1	1453	17622	0.92383	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005575	1	cellular_component	3	17082	3	3	1	3	3	3	3	1	1	0	17081	1994	1.0	0.89547	1.0	0.0059	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0005654	3	nucleoplasm	1	251	1	1	0	1	1	1	1	0	0	1	251	18824	0.98684	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005737	3	cytoplasm	2	3988	2	2	0	2	2	2	2	0	0	1	3988	15087	0.79094	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005856	6	cytoskeleton	1	735	1	1	0	1	1	1	1	0	0	1	735	18340	0.96147	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005871	4	kinesin complex	1	47	1	1	0	1	1	1	1	0	0	1	47	19028	0.99754	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005874	7	microtubule	1	226	1	1	0	1	1	1	1	0	0	1	226	18849	0.98815	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005875	3	microtubule associated complex	1	118	1	1	0	1	1	1	1	0	0	1	118	18957	0.99381	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0005929	5	cilium	1	172	1	1	0	1	1	1	1	0	0	1	172	18903	0.99098	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0007017	3	microtubule-based process	1	471	1	1	0	1	1	1	1	0	0	1	471	18604	0.97531	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0007018	4	microtubule-based movement	1	203	1	1	0	1	1	1	1	0	0	1	203	18872	0.98936	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0007165	4	signal transduction	1	3102	1	1	1	1	1	1	1	1	1	0	3101	15974	1.0	0.16261	0.16261	0.032	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0007166	5	cell surface receptor signaling pathway	1	1015	1	1	1	1	1	1	1	1	1	0	1014	18061	1.0	0.053208	0.053208	0.099	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
GO:0007167	6	enzyme-linked receptor protein signaling pathway	1	357	1	1	1	1	1	1	1	1	1	0	356	18719	1.0	0.018715	0.018715	0.28	567916	stxbp4	ENSDARG00000076997		2.23222	2.23222	2.23222		2.23222		1.51908	1.51908	1.51908		1.5190799999999998		3.28014	3.28014	3.28014		3.28014										2.23222	1.51908	3.28014	0	1	0															1	567916	ENSDARG00000076997	2.23222	2.23222		1.51908	1.51908		3.28014	3.28014		2.23222	1.51908	3.28014	0						Linear,1(1)	3.3397810459136963	3.3397810459136963	3.3397810459136963	3.3397810459136963	0.0	3.3397810459136963	2.23222	2.23222	1.51908	1.51908	3.28014	3.28014	DOWN	0.0	1.0	0.0	
