"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"DBP","DBP_10-4_A-GQReadsPerGene.out.tab",0.0003,14607450,24514,21477,3060
"DBP","DBP_10-4_B-GQReadsPerGene.out.tab",0.0003,25912907,25303,22473,2820
"DBP","DBP_10-4_C-GQReadsPerGene.out.tab",0.0003,20175196,24865,22095,3376
"DBP","DBP_10-3_A-GQReadsPerGene.out.tab",0.003,25702006,25320,22451,2934
"DBP","DBP_10-3_B-GQReadsPerGene.out.tab",0.003,23399622,25135,22277,2898
"DBP","DBP_10-3_C-GQReadsPerGene.out.tab",0.003,23359363,25134,22328,3060
"DBP","DBP_10-2_A-GQReadsPerGene.out.tab",0.03,24027129,25300,22427,3164
"DBP","DBP_10-2_B-GQReadsPerGene.out.tab",0.03,25290273,25232,22509,2994
"DBP","DBP_10-2_C-GQReadsPerGene.out.tab",0.03,25966918,25366,22622,3100
"DBP","DBP_10-1_A-GQReadsPerGene.out.tab",0.3,26689918,25456,22579,3087
"DBP","DBP_10-1_B-GQReadsPerGene.out.tab",0.3,28839044,25342,22615,3043
"DBP","DBP_10-1_C-GQReadsPerGene.out.tab",0.3,20829281,25065,22301,3116
"DBP","DBP_3uM_A-GQReadsPerGene.out.tab",3,31899316,25526,22870,2931
"DBP","DBP_3uM_B-GQReadsPerGene.out.tab",3,28644721,25516,22685,2951
"DBP","DBP_3uM_C-GQReadsPerGene.out.tab",3,23318838,25211,22370,3146
