GO/Pathway/Gene Set/Gene ID,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
R-DRE-109582,Hemostasis,286,307,3,3,2,3,2,2,3,2,2,22,305,4563,0.81186,0.45007,0.66036,0.65,568465;557863,si:dkey-93h22.7;kif17,ENSDARG00000099600;ENSDARG00000055238,,1.62691,1.62691,1.52288,0.147120637,1.61234696,0.145671952,0.9052585,0.9052585,0.864995,0.056941188,0.910894941,0.056380492,5.544625,5.544625,3.85465,2.389985565,5.308047351,2.36645157,,,,,1.52288;1.73094,0.945522;0.864995,3.85465;7.2346,1,1,1,568465,ENSDARG00000099600,1.52288,1.52288,,0.945522,0.945522,,3.85465,3.85465,,1.52288,0.945522,3.85465,1,557863,ENSDARG00000055238,1.73094,1.73094,,0.864995,0.864995,,7.2346,7.2346,,1.73094,0.864995,7.2346,0,,,,,,"Exp 2,1(0.5);Linear,1(0.5)",1.755249926,3.511181712,1.720993876,1.790187836,0.048927518,1.755590856,1.4230112,1.8308088,0.82634204,0.98417496,2.232274,8.856976,CONFLICT,0.5,0.5,0
R-DRE-114608,Platelet degranulation ,60,69,1,1,0,1,0,0,1,0,0,24,69,4799,0.71054,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-168249,Innate Immune System,471,502,3,3,3,3,3,3,3,3,3,21,499,4369,0.77243,0.45327,0.73107,0.6,568465;101883814;100150018,si:dkey-93h22.7;si:dkey-23a13.2;mhc1lja,ENSDARG00000099600;ENSDARG00000105470;ENSDARG00000096830,,1.3079812,1.52288,0.0137536,1.201282072,0.837728013,1.039193167,0.73686078,0.945522,0.00273034,0.655211763,0.500582264,0.614497482,8.459898,3.85465,0.107744,11.37675376,3.321167218,6.714913287,,,,,1.52288;2.38731;0.0137536,0.945522;1.26233;0.00273034,3.85465;21.4173;0.107744,2,1,2,568465;100150018,ENSDARG00000099600;ENSDARG00000096830,0.7683168,0.7683168,1.067113511,0.47412617,0.47412617,0.666654376,1.981197,1.981197,2.649462641,1.52288;0.0137536,0.945522;0.00273034,3.85465;0.107744,1,101883814,ENSDARG00000105470,2.38731,2.38731,,1.26233,1.26233,,21.4173,21.4173,,2.38731,1.26233,21.4173,0,,,,,,"Exp 4,1(0.34);Linear,2(0.67)",1.910079411,5.830128312,1.58691442,2.453026056,0.452920882,1.790187836,-0.051397434,2.667359834,-0.004581128,1.478302688,-4.414110816,21.33390682,UP,0.666666667,0.333333333,0
R-DRE-168256,Immune System,760,839,5,4,3,5,4,4,5,3,3,21,836,4032,0.39057,0.80603,0.78605,0.36,568465;101883814;100150018,si:dkey-93h22.7;si:dkey-23a13.2;mhc1lja,ENSDARG00000099600;ENSDARG00000105470;ENSDARG00000096830,,1.3079812,1.52288,0.0137536,1.201282072,0.837728013,1.039193167,0.73686078,0.945522,0.00273034,0.655211763,0.500582264,0.614497482,8.459898,3.85465,0.107744,11.37675376,3.321167218,6.714913287,,,,,1.52288;2.38731;0.0137536,0.945522;1.26233;0.00273034,3.85465;21.4173;0.107744,2,1,2,568465;100150018,ENSDARG00000099600;ENSDARG00000096830,0.7683168,0.7683168,1.067113511,0.47412617,0.47412617,0.666654376,1.981197,1.981197,2.649462641,1.52288;0.0137536,0.945522;0.00273034,3.85465;0.107744,1,101883814,ENSDARG00000105470,2.38731,2.38731,,1.26233,1.26233,,21.4173,21.4173,,2.38731,1.26233,21.4173,0,,,,,,"Exp 4,1(0.34);Linear,2(0.67)",1.910079411,5.830128312,1.58691442,2.453026056,0.452920882,1.790187836,-0.051397434,2.667359834,-0.004581128,1.478302688,-4.414110816,21.33390682,UP,0.666666667,0.333333333,0
R-DRE-6798695,Neutrophil degranulation,275,300,3,3,3,3,3,3,3,3,3,21,297,4571,0.94425,0.17941,0.17941,1,568465;101883814;100150018,si:dkey-93h22.7;si:dkey-23a13.2;mhc1lja,ENSDARG00000099600;ENSDARG00000105470;ENSDARG00000096830,,1.3079812,1.52288,0.0137536,1.201282072,0.837728013,1.039193167,0.73686078,0.945522,0.00273034,0.655211763,0.500582264,0.614497482,8.459898,3.85465,0.107744,11.37675376,3.321167218,6.714913287,,,,,1.52288;2.38731;0.0137536,0.945522;1.26233;0.00273034,3.85465;21.4173;0.107744,2,1,2,568465;100150018,ENSDARG00000099600;ENSDARG00000096830,0.7683168,0.7683168,1.067113511,0.47412617,0.47412617,0.666654376,1.981197,1.981197,2.649462641,1.52288;0.0137536,0.945522;0.00273034,3.85465;0.107744,1,101883814,ENSDARG00000105470,2.38731,2.38731,,1.26233,1.26233,,21.4173,21.4173,,2.38731,1.26233,21.4173,0,,,,,,"Exp 4,1(0.34);Linear,2(0.67)",1.910079411,5.830128312,1.58691442,2.453026056,0.452920882,1.790187836,-0.051397434,2.667359834,-0.004581128,1.478302688,-4.414110816,21.33390682,UP,0.666666667,0.333333333,0
R-DRE-76002,"Platelet activation, signaling and aggregation",129,141,1,1,0,1,0,0,1,0,0,24,141,4727,0.49481,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-76005,Response to elevated platelet cytosolic Ca2+,62,71,1,1,0,1,0,0,1,0,0,24,71,4797,0.70348,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-1430728,Metabolism,1001,1029,11,10,8,11,7,7,11,7,7,17,1022,3846,0.88774,0.22616,0.31883,0.68,768298;565316;563369;559020;447920;116993;103909721,faah2b;dgat2;cyp2r1;ptgs2b;aldh3a2b;vcana;fo904880.1,ENSDARG00000054786;ENSDARG00000018846;ENSDARG00000056587;ENSDARG00000010276;ENSDARG00000029381;ENSDARG00000103515;ENSDARG00000110366,,0.773115674,1.18203,0.00351972,0.620203788,1.055134701,0.483265622,0.497857477,0.783712,0.00127034,0.410130236,0.686020246,0.318537291,1.845871814,2.36393,0.0121417,1.148351353,2.316361201,0.912457033,,,,,0.164508;1.25904;1.21118;0.00351972;1.18203;1.40772;0.183812,0.0896091;0.822528;0.798569;0.00127034;0.783712;0.893658;0.0956559,0.859721;2.64016;2.4652;0.0121417;2.36393;3.26463;1.31532,3,4,3,563369;559020;116993,ENSDARG00000056587;ENSDARG00000010276;ENSDARG00000103515,0.874139907,1.21118,0.760356249,0.564499113,0.798569,0.490082103,1.913990567,2.4652,1.694858081,1.21118;0.00351972;1.40772,0.798569;0.00127034;0.893658,2.4652;0.0121417;3.26463,4,768298;565316;447920;103909721,ENSDARG00000054786;ENSDARG00000018846;ENSDARG00000029381;ENSDARG00000110366,0.6973475,0.682921,0.604993728,0.44787625,0.43968395,0.410513544,1.79478275,1.839625,0.845146199,0.164508;1.25904;1.18203;0.183812,0.0896091;0.822528;0.783712;0.0956559,0.859721;2.64016;2.36393;1.31532,0,,,,,,"Exp 4,1(0.15);Linear,4(0.58);Poly 2,2(0.29)",1.806377347,12.87171721,1.511802554,2.521341562,0.392893831,1.6966995,0.313662278,1.23256907,0.194028747,0.801686208,0.995161227,2.696582402,CONFLICT,0.428571429,0.571428571,0
R-DRE-211859,Biological oxidations,110,112,4,4,4,4,3,3,4,3,3,21,109,4759,0.99806,0.016662,0.016662,2.68,563369;447920;103909721,cyp2r1;aldh3a2b;fo904880.1,ENSDARG00000056587;ENSDARG00000029381;ENSDARG00000110366,,0.859007333,1.18203,0.183812,0.584917929,1.079673709,0.401102647,0.5593123,0.783712,0.0956559,0.401606929,0.710439384,0.275151512,2.04815,2.36393,1.31532,0.636666129,2.293109858,0.441153852,,,,,1.21118;1.18203;0.183812,0.798569;0.783712;0.0956559,2.4652;2.36393;1.31532,1,2,1,563369,ENSDARG00000056587,1.21118,1.21118,,0.798569,0.798569,,2.4652,2.4652,,1.21118,0.798569,2.4652,2,447920;103909721,ENSDARG00000029381;ENSDARG00000110366,0.682921,0.682921,0.705846717,0.43968395,0.43968395,0.486529134,1.839625,1.839625,0.741479242,1.18203;0.183812,0.783712;0.0956559,2.36393;1.31532,0,,,,,,"Linear,2(0.67);Poly 2,1(0.34)",1.799953491,5.480299234,1.511802554,2.2669034,0.392804731,1.70159328,0.197110386,1.52090428,0.104851277,1.013773323,1.327694452,2.768605548,DOWN,0.333333333,0.666666667,0
R-DRE-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),66,73,2,1,1,2,1,1,2,1,1,23,72,4796,0.95093,0.3035,0.3035,1.37,116993,vcana,ENSDARG00000103515,,1.40772,1.40772,1.40772,,1.40772,,0.893658,0.893658,0.893658,,0.893658,,3.26463,3.26463,3.26463,,3.26463,,,,,,1.40772,0.893658,3.26463,1,0,1,116993,ENSDARG00000103515,1.40772,1.40772,,0.893658,0.893658,,3.26463,3.26463,,1.40772,0.893658,3.26463,0,,,,,,,,,,,,,,,0,,,,,,"Linear,1(1)",1.6966995,1.6966995,1.6966995,1.6966995,0,1.6966995,1.40772,1.40772,0.893658,0.893658,3.26463,3.26463,UP,1,0,0
