GO/Pathway/Gene Set/Gene ID,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
R-DRE-109582,Hemostasis,286,307,2,2,2,2,2,1,2,1,1,9,306,4576,0.87339,0.47729,0.47729,0.33,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-114608,Platelet degranulation ,61,69,1,1,1,1,1,1,1,1,1,9,68,4814,0.9918,0.13254,0.13254,1.45,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-168249,Innate Immune System,469,502,3,3,2,3,3,2,3,1,1,9,501,4381,0.72598,0.66168,1,0.2,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-168256,Immune System,762,839,5,5,2,4,5,3,5,1,1,9,838,4044,0.4676,0.84792,1,0.12,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-6798695,Neutrophil degranulation,275,300,2,2,2,2,2,1,2,1,1,9,299,4583,0.87818,0.46925,0.46925,0.33,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-76002,"Platelet activation, signaling and aggregation",130,141,1,1,1,1,1,1,1,1,1,9,140,4742,0.9681,0.25378,0.25378,0.71,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-76005,Response to elevated platelet cytosolic Ca2+,63,71,1,1,1,1,1,1,1,1,1,9,70,4812,0.99133,0.13613,0.13613,1.41,100002946,cxcl8a,ENSDARG00000104795,,0.0929318,0.0929318,0.0929318,,0.0929318,,0.0617677,0.0617677,0.0617677,,0.0617677,,0.183461,0.183461,0.183461,,0.183461,,,,,,0.0929318,0.0617677,0.183461,1,0,1,100002946,ENSDARG00000104795,0.0929318,0.0929318,,0.0617677,0.0617677,,0.183461,0.183461,,0.0929318,0.0617677,0.183461,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",3.232575893,3.232575893,3.232575893,3.232575893,0,3.232575893,0.0929318,0.0929318,0.0617677,0.0617677,0.183461,0.183461,UP,1,0,0
R-DRE-1430728,Metabolism,1002,1029,7,4,2,5,3,2,7,1,1,9,1028,3854,0.34513,0.90596,0.6987,0.097,559020,ptgs2b,ENSDARG00000010276,,1.46069,1.46069,1.46069,,1.46069,,0.906053,0.906053,0.906053,,0.906053,,3.69655,3.69655,3.69655,,3.69655,,,,,,1.46069,0.906053,3.69655,1,0,1,559020,ENSDARG00000010276,1.46069,1.46069,,0.906053,0.906053,,3.69655,3.69655,,1.46069,0.906053,3.69655,0,,,,,,,,,,,,,,,0,,,,,,"Linear,1(1)",2.955543756,2.955543756,2.955543756,2.955543756,0,2.955543756,1.46069,1.46069,0.906053,0.906053,3.69655,3.69655,UP,1,0,0
R-DRE-211859,Biological oxidations,109,112,1,1,0,1,0,0,1,0,0,10,112,4770,0.79309,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-15869,Metabolism of nucleotides,54,54,1,1,1,0,1,0,1,0,0,10,54,4828,0.89485,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
