F3,Counts
ENSDARG00000000001,24
ENSDARG00000000002,42
ENSDARG00000000018,58
ENSDARG00000000019,205
ENSDARG00000000068,41
ENSDARG00000000069,313
ENSDARG00000000086,337
ENSDARG00000000103,483
ENSDARG00000000142,6
ENSDARG00000000151,77
ENSDARG00000000161,59
ENSDARG00000000175,9
ENSDARG00000000183,185
ENSDARG00000000189,325
ENSDARG00000000212,967
ENSDARG00000000229,38
ENSDARG00000000241,150
ENSDARG00000000349,0
ENSDARG00000000369,19
ENSDARG00000000370,363
ENSDARG00000000380,60
ENSDARG00000000394,271
ENSDARG00000000423,19
ENSDARG00000000442,13
ENSDARG00000000460,0
ENSDARG00000000472,79
ENSDARG00000000474,0
ENSDARG00000000476,31
ENSDARG00000000489,118
ENSDARG00000000503,1271
ENSDARG00000000516,0
ENSDARG00000000529,50
ENSDARG00000000540,95
ENSDARG00000000542,14
ENSDARG00000000551,72
ENSDARG00000000563,86060
ENSDARG00000000567,67
ENSDARG00000000568,70
ENSDARG00000000588,4
ENSDARG00000000606,0
ENSDARG00000000631,96
ENSDARG00000000638,0
ENSDARG00000000651,8
ENSDARG00000000656,0
ENSDARG00000000666,37
ENSDARG00000000690,1
ENSDARG00000000729,104
ENSDARG00000000730,31
ENSDARG00000000747,19
ENSDARG00000000760,21
ENSDARG00000000767,25
ENSDARG00000000779,201
ENSDARG00000000796,115
ENSDARG00000000804,16
ENSDARG00000000830,14
ENSDARG00000000837,211
ENSDARG00000000853,113
ENSDARG00000000857,42
ENSDARG00000000861,1125
ENSDARG00000000887,19
ENSDARG00000000906,0
ENSDARG00000000935,40
ENSDARG00000000943,78
ENSDARG00000000966,965
ENSDARG00000001014,850
ENSDARG00000001015,146
ENSDARG00000001057,77
ENSDARG00000001127,128
ENSDARG00000001129,328
ENSDARG00000001154,108
ENSDARG00000001162,217
ENSDARG00000001169,0
ENSDARG00000001210,10
ENSDARG00000001220,570
ENSDARG00000001234,108
ENSDARG00000001241,169
ENSDARG00000001244,891
ENSDARG00000001249,7
ENSDARG00000001259,13
ENSDARG00000001303,0
ENSDARG00000001313,23
ENSDARG00000001354,3
ENSDARG00000001414,45
ENSDARG00000001431,2040
ENSDARG00000001437,72
ENSDARG00000001442,22
ENSDARG00000001447,32
ENSDARG00000001452,5
ENSDARG00000001463,66
ENSDARG00000001470,92
ENSDARG00000001498,0
ENSDARG00000001549,121
ENSDARG00000001557,38
ENSDARG00000001558,48
ENSDARG00000001559,1153
ENSDARG00000001572,0
ENSDARG00000001578,50
ENSDARG00000001621,16
ENSDARG00000001634,136
ENSDARG00000001656,0
ENSDARG00000001676,117
ENSDARG00000001686,17
ENSDARG00000001710,218
ENSDARG00000001712,19
ENSDARG00000001721,0
ENSDARG00000001729,291
ENSDARG00000001733,54
ENSDARG00000001734,31
ENSDARG00000001754,130
ENSDARG00000001760,123
ENSDARG00000001767,15
ENSDARG00000001769,123
