F10,Counts
ENSDARG00000000001,0
ENSDARG00000000002,31
ENSDARG00000000018,23
ENSDARG00000000019,93
ENSDARG00000000068,9
ENSDARG00000000069,67
ENSDARG00000000086,170
ENSDARG00000000103,235
ENSDARG00000000142,11
ENSDARG00000000151,80
ENSDARG00000000161,29
ENSDARG00000000175,3
ENSDARG00000000183,139
ENSDARG00000000189,224
ENSDARG00000000212,347
ENSDARG00000000229,26
ENSDARG00000000241,68
ENSDARG00000000349,0
ENSDARG00000000369,7
ENSDARG00000000370,158
ENSDARG00000000380,73
ENSDARG00000000394,143
ENSDARG00000000423,3
ENSDARG00000000442,2
ENSDARG00000000460,0
ENSDARG00000000472,33
ENSDARG00000000474,0
ENSDARG00000000476,8
ENSDARG00000000489,48
ENSDARG00000000503,480
ENSDARG00000000516,0
ENSDARG00000000529,25
ENSDARG00000000540,49
ENSDARG00000000542,33
ENSDARG00000000551,15
ENSDARG00000000563,43748
ENSDARG00000000567,54
ENSDARG00000000568,65
ENSDARG00000000588,0
ENSDARG00000000606,42
ENSDARG00000000631,54
ENSDARG00000000638,0
ENSDARG00000000651,3
ENSDARG00000000656,0
ENSDARG00000000666,16
ENSDARG00000000690,17
ENSDARG00000000729,99
ENSDARG00000000730,5
ENSDARG00000000747,0
ENSDARG00000000760,18
ENSDARG00000000767,19
ENSDARG00000000779,85
ENSDARG00000000796,11
ENSDARG00000000804,31
ENSDARG00000000830,3
ENSDARG00000000837,63
ENSDARG00000000853,42
ENSDARG00000000857,0
ENSDARG00000000861,691
ENSDARG00000000887,1
ENSDARG00000000906,8
ENSDARG00000000935,16
ENSDARG00000000943,22
ENSDARG00000000966,505
ENSDARG00000001014,328
ENSDARG00000001015,137
ENSDARG00000001057,57
ENSDARG00000001127,64
ENSDARG00000001129,153
ENSDARG00000001154,38
ENSDARG00000001162,88
ENSDARG00000001169,0
ENSDARG00000001210,8
ENSDARG00000001220,327
ENSDARG00000001234,78
ENSDARG00000001241,96
ENSDARG00000001244,514
ENSDARG00000001249,22
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,12
ENSDARG00000001354,1
ENSDARG00000001414,7
ENSDARG00000001431,1206
ENSDARG00000001437,20
ENSDARG00000001442,5
ENSDARG00000001447,5
ENSDARG00000001452,5
ENSDARG00000001463,25
ENSDARG00000001470,76
ENSDARG00000001498,0
ENSDARG00000001549,68
ENSDARG00000001557,11
ENSDARG00000001558,58
ENSDARG00000001559,81
ENSDARG00000001572,0
ENSDARG00000001578,23
ENSDARG00000001621,22
ENSDARG00000001634,101
ENSDARG00000001656,0
ENSDARG00000001676,99
ENSDARG00000001686,11
ENSDARG00000001710,204
ENSDARG00000001712,6
ENSDARG00000001721,6
ENSDARG00000001729,154
ENSDARG00000001733,51
ENSDARG00000001734,16
ENSDARG00000001754,33
ENSDARG00000001760,36
ENSDARG00000001767,18
ENSDARG00000001769,16
ENSDARG00000001771,0
ENSDARG00000001776,11
ENSDARG00000001777,88
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,34
ENSDARG00000001788,132
ENSDARG00000001803,2
ENSDARG00000001804,0
ENSDARG00000001807,30
ENSDARG00000001817,7
ENSDARG00000001818,129
ENSDARG00000001825,3
ENSDARG00000001829,299
ENSDARG00000001835,43
ENSDARG00000001857,217
ENSDARG00000001859,3
ENSDARG00000001870,772
ENSDARG00000001873,40
ENSDARG00000001879,71
ENSDARG00000001880,207
ENSDARG00000001881,8
