Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 10/06/22
Deduplicate Gene Sets: false
Data Source: Glyphosate_DESeq_normData
Work Source: Glyphosate_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:40.41
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 2639
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	16564	19076	332	235	82	276	276	245	332	47	47	0	19029	0	1.0	1.0	1.0	0.25	107988041;101886406;101883927;100332332;100332077;100331249;100329287;100170804;100151067;100149117;100037385;100006523;799377;798974;796740;777640;751785;678618;664770;606499;573769;569550;569109;565885;565707;565155;563394;562357;561889;561457;560212;558978;558421;558156;553792;548610;492486;442931;436884;436853;436730;432388;405825;335865;335722;117508;58024	si:dkeyp-51f12.3;cd28;ccser2b;zdhhc12a;cabz01076234.2;si:dkey-1k23.3;znf1136;rfxank;asb15a;foxl2b;cep128;fthl28;dkk1a;nadsyn1;si:ch211-114l13.4;bicdl2;aldh1a3;avil;slc6a4b;znf1024;cst14a.1;edn2;dbpb;nbeab;si:ch211-266g18.6;hsp90aa1.2;gtf3c2;si:dkey-219c10.4;gra;si:ch211-236p5.2;top3a;nkx6.3;efcab1;ttll11;fpgt;gli2b;adra1bb;gins3;tyw3;pmepa1;egfl6;lrrc6;mfap4;hspa4a;gsdmeb;klf2a;coil	ENSDARG00000091904;ENSDARG00000095070;ENSDARG00000091535;ENSDARG00000076632;ENSDARG00000067794;ENSDARG00000105422;ENSDARG00000090116;ENSDARG00000016730;ENSDARG00000045633;ENSDARG00000068417;ENSDARG00000103771;ENSDARG00000076221;ENSDARG00000014103;ENSDARG00000101378;ENSDARG00000078246;ENSDARG00000052427;ENSDARG00000076933;ENSDARG00000059342;ENSDARG00000057017;ENSDARG00000116815;ENSDARG00000028164;ENSDARG00000070578;ENSDARG00000057652;ENSDARG00000105184;ENSDARG00000003381;ENSDARG00000024746;ENSDARG00000004574;ENSDARG00000075929;ENSDARG00000078754;ENSDARG00000086256;ENSDARG00000052827;ENSDARG00000060529;ENSDARG00000061377;ENSDARG00000060374;ENSDARG00000042139;ENSDARG00000020884;ENSDARG00000041173;ENSDARG00000038847;ENSDARG00000038222;ENSDARG00000039325;ENSDARG00000045958;ENSDARG00000053318;ENSDARG00000090783;ENSDARG00000004754;ENSDARG00000040485;ENSDARG00000042667;ENSDARG00000040070		0.3906484038297872	0.431302	0.00101035	0.23848843404213613	0.3160976843973228	0.225848161065676	0.1851583377021277	0.23429	5.38982E-4	0.10310507758102579	0.15856675816494917	0.108357181358088	0.8594380074468085	0.793979	0.00189395	0.6517387010081946	0.65310204262154	0.5414734442218708									0.419819;0.92668;0.532926;0.410198;0.886424;0.470889;0.0569603;0.498894;0.0547285;0.402421;0.55634;0.450226;0.48768;0.608057;0.470714;0.00101035;0.126955;0.474152;0.632146;0.0598413;0.68562;0.0558636;0.478734;0.406533;0.0642058;0.426689;0.0601629;0.56663;0.376251;0.104659;0.681507;0.0576256;0.0416141;0.468959;0.431302;0.394489;0.441501;0.559714;0.430777;0.375052;0.771008;0.0796693;0.452603;0.587831;0.384984;0.00726523;0.442164	0.230538;0.279532;0.257565;0.228033;0.280806;0.24435;0.0269618;0.250193;0.0264906;0.225865;0.261419;0.239145;0.248204;0.269548;0.244194;5.38982E-4;0.0234166;0.245299;0.271861;0.0270912;0.276277;0.0266279;0.246198;0.226722;0.0280571;0.232706;0.0275297;0.26284;0.216983;0.0268807;0.276456;0.0266785;0.02326;0.243945;0.23429;0.222842;0.23684;0.262036;0.233816;0.216264;0.280804;0.0289546;0.239786;0.266419;0.219839;0.00115119;0.237188	0.764505;3.07205;1.10267;0.737886;2.79818;0.907456;0.120336;0.994813;0.113067;0.716989;1.18398;0.847619;0.958211;1.37168;0.907362;0.00189395;0.688297;0.916517;1.4699;0.132182;1.70146;0.117198;0.930904;0.728949;0.146929;0.782376;0.131479;1.22154;0.652423;0.407486;1.68002;0.124471;0.0744509;0.901522;0.793979;0.698351;0.823015;1.19556;0.793653;0.650426;2.11697;0.219212;0.8543;1.297;0.674188;0.0458515;0.824279	17	30	17	107988041;101883927;100332332;100331249;100151067;799377;796740;565885;563394;562357;561889;558156;548610;436853;432388;405825;335722	ENSDARG00000091904;ENSDARG00000091535;ENSDARG00000076632;ENSDARG00000105422;ENSDARG00000045633;ENSDARG00000014103;ENSDARG00000078246;ENSDARG00000105184;ENSDARG00000004574;ENSDARG00000075929;ENSDARG00000078754;ENSDARG00000060374;ENSDARG00000020884;ENSDARG00000039325;ENSDARG00000053318;ENSDARG00000090783;ENSDARG00000040485	0.377193394117647	0.410198	0.1583357903926632	0.1991223470588235	0.228033	0.08292167183062071	0.7190321764705883	0.737886	0.31182996261288676	0.419819;0.532926;0.410198;0.470889;0.0547285;0.48768;0.470714;0.406533;0.0601629;0.56663;0.376251;0.468959;0.394489;0.375052;0.0796693;0.452603;0.384984	0.230538;0.257565;0.228033;0.24435;0.0264906;0.248204;0.244194;0.226722;0.0275297;0.26284;0.216983;0.243945;0.222842;0.216264;0.0289546;0.239786;0.219839	0.764505;1.10267;0.737886;0.907456;0.113067;0.958211;0.907362;0.728949;0.131479;1.22154;0.652423;0.901522;0.698351;0.650426;0.219212;0.8543;0.674188	30	101886406;100332077;100329287;100170804;100149117;100037385;100006523;798974;777640;751785;678618;664770;606499;573769;569550;569109;565707;565155;561457;560212;558978;558421;553792;492486;442931;436884;436730;335865;117508;58024	ENSDARG00000095070;ENSDARG00000067794;ENSDARG00000090116;ENSDARG00000016730;ENSDARG00000068417;ENSDARG00000103771;ENSDARG00000076221;ENSDARG00000101378;ENSDARG00000052427;ENSDARG00000076933;ENSDARG00000059342;ENSDARG00000057017;ENSDARG00000116815;ENSDARG00000028164;ENSDARG00000070578;ENSDARG00000057652;ENSDARG00000003381;ENSDARG00000024746;ENSDARG00000086256;ENSDARG00000052827;ENSDARG00000060529;ENSDARG00000061377;ENSDARG00000042139;ENSDARG00000041173;ENSDARG00000038847;ENSDARG00000038222;ENSDARG00000045958;ENSDARG00000004754;ENSDARG00000042667;ENSDARG00000040070	0.3982729093333333	0.44183249999999996	0.2760799821144103	0.17724539906666664	0.237014	0.11353274419071487	0.9390013116666667	0.823647	0.7758924213560985	0.92668;0.886424;0.0569603;0.498894;0.402421;0.55634;0.450226;0.608057;0.00101035;0.126955;0.474152;0.632146;0.0598413;0.68562;0.0558636;0.478734;0.0642058;0.426689;0.104659;0.681507;0.0576256;0.0416141;0.431302;0.441501;0.559714;0.430777;0.771008;0.587831;0.00726523;0.442164	0.279532;0.280806;0.0269618;0.250193;0.225865;0.261419;0.239145;0.269548;5.38982E-4;0.0234166;0.245299;0.271861;0.0270912;0.276277;0.0266279;0.246198;0.0280571;0.232706;0.0268807;0.276456;0.0266785;0.02326;0.23429;0.23684;0.262036;0.233816;0.280804;0.266419;0.00115119;0.237188	3.07205;2.79818;0.120336;0.994813;0.716989;1.18398;0.847619;1.37168;0.00189395;0.688297;0.916517;1.4699;0.132182;1.70146;0.117198;0.930904;0.146929;0.782376;0.407486;1.68002;0.124471;0.0744509;0.793979;0.823015;1.19556;0.793653;2.11697;1.297;0.0458515;0.824279	0						Hill,2(0.05);Linear,34(0.73);Poly 2,11(0.24)	2.0629781742340927	100.40005135536194	1.5319035053253174	3.6990299224853516	0.6003412399145123	1.8591160774230957	0.32246566155813866	0.4588311461014359	0.15568107202322534	0.21463560338103	0.6731089216872466	1.0457670932063705	DOWN	0.3617021276595745	0.6382978723404256	0.0	
GO:0000041	8	transition metal ion transport	60	70	1	1	1	1	1	1	1	1	1	46	69	18960	0.9871	0.15886	0.15886	1.43	100006523	fthl28	ENSDARG00000076221		0.450226	0.450226	0.450226		0.450226		0.239145	0.239145	0.239145		0.239145		0.847619	0.847619	0.847619		0.847619										0.450226	0.239145	0.847619	0	1	0															1	100006523	ENSDARG00000076221	0.450226	0.450226		0.239145	0.239145		0.847619	0.847619		0.450226	0.239145	0.847619	0						Linear,1(1)	2.3998522758483887	2.3998522758483887	2.3998522758483887	2.3998522758483887	0.0	2.3998522758483887	0.450226	0.450226	0.239145	0.239145	0.847619	0.847619	DOWN	0.0	1.0	0.0	
GO:0000045	7	autophagosome assembly	40	42	1	0	0	1	1	1	1	0	0	47	42	18987	0.90148	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000049	6	tRNA binding	39	42	1	0	0	1	1	1	1	0	0	47	42	18987	0.90148	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000075	6	cell cycle checkpoint signaling	58	64	1	1	0	1	1	1	1	0	0	47	64	18965	0.85373	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000077	8	DNA damage checkpoint signaling	31	34	1	1	0	1	1	1	1	0	0	47	34	18995	0.91948	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000120	4	RNA polymerase I transcription regulator complex	2	2	1	1	0	1	1	1	1	0	0	47	2	19027	0.99508	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000122	9	negative regulation of transcription by RNA polymerase II	212	223	3	2	1	2	2	2	3	0	0	47	223	18806	0.57502	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000126	5	transcription factor TFIIIB complex	4	4	1	1	1	0	0	0	1	0	0	47	4	19025	0.99018	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000127	5	transcription factor TFIIIC complex	5	5	1	1	1	1	1	1	1	1	1	46	4	19025	0.99994	0.01226	0.01226	20.0	563394	gtf3c2	ENSDARG00000004574		0.0601629	0.0601629	0.0601629		0.0601629		0.0275297	0.0275297	0.0275297		0.0275297		0.131479	0.131479	0.131479		0.131479		0.0	0.0601629	0.0	0.0601629	0.0275297	0.0275297	0.131479	0.131479	0.0601629	0.0275297	0.131479	1	0	1	563394	ENSDARG00000004574	0.0601629	0.0601629		0.0275297	0.0275297		0.131479	0.131479		0.0601629	0.0275297	0.131479	0															0						Poly 2,1(1)	1.5949532985687256	1.5949532985687256	1.5949532985687256	1.5949532985687256	0.0	1.5949532985687256	0.0601629	0.0601629	0.0275297	0.0275297	0.131479	0.131479	UP	1.0	0.0	0.0	
