Identifier,BPAF-CC-A
ENSDARG00000099104,386
ENSDARG00000102407,1
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,7
ENSDARG00000104071,8
ENSDARG00000102746,6
ENSDARG00000103929,6
ENSDARG00000101073,0
ENSDARG00000100223,8
ENSDARG00000096573,0
ENSDARG00000100782,2
ENSDARG00000034862,1
ENSDARG00000075827,8
ENSDARG00000088581,8
ENSDARG00000076900,2
ENSDARG00000013802,4
ENSDARG00000096578,2
ENSDARG00000109848,0
ENSDARG00000100181,1
ENSDARG00000029936,5
ENSDARG00000041589,0
ENSDARG00000041592,16
ENSDARG00000075108,0
ENSDARG00000016304,1
ENSDARG00000058803,4
ENSDARG00000063385,10
ENSDARG00000007804,7
ENSDARG00000068261,2
ENSDARG00000063371,1
ENSDARG00000078751,9
ENSDARG00000078878,0
ENSDARG00000016343,9
ENSDARG00000023678,6
ENSDARG00000011299,5
ENSDARG00000041575,3
ENSDARG00000058962,5
ENSDARG00000089799,0
ENSDARG00000075325,11
ENSDARG00000041570,7
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,6
ENSDARG00000014313,96
ENSDARG00000104279,120
ENSDARG00000103783,5
ENSDARG00000103519,0
ENSDARG00000100307,1
ENSDARG00000101089,1
ENSDARG00000115421,2
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,1
ENSDARG00000080051,0
ENSDARG00000067781,2
ENSDARG00000099108,0
ENSDARG00000001870,71
ENSDARG00000002791,79
ENSDARG00000007739,5
ENSDARG00000039131,17
ENSDARG00000040252,1
ENSDARG00000089477,2
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,1
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,40
ENSDARG00000040246,1
ENSDARG00000040245,21
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,0
ENSDARG00000070581,1
ENSDARG00000096559,0
ENSDARG00000103156,3
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
