chemical,sample,dose,row_sum,genecount,nCovN,nSig80
DBC,DBC_10-4_A-GQReadsPerGene.out.tab,0.0003,22608293,25159,22356,3118
DBC,DBC_10-4_B-GQReadsPerGene.out.tab,0.0003,20612919,25034,22236,3236
DBC,DBC_10-4_C-GQReadsPerGene.out.tab,0.0003,27945971,25464,22771,3165
DBC,DBC_10-3_A-GQReadsPerGene.out.tab,0.003,23373908,25109,22340,2812
DBC,DBC_10-3_B-GQReadsPerGene.out.tab,0.003,21270534,25056,22216,2825
DBC,DBC_10-3_C-GQReadsPerGene.out.tab,0.003,21227752,24987,22180,2766
DBC,DBC_10-2_A-GQReadsPerGene.out.tab,0.03,27398805,25366,22617,2806
DBC,DBC_10-2_B-GQReadsPerGene.out.tab,0.03,29655312,25550,22893,2963
DBC,DBC_10-2_C-GQReadsPerGene.out.tab,0.03,26075772,25308,22565,2953
DBC,DBC_10-1_A-GQReadsPerGene.out.tab,0.3,32699236,25681,22988,3079
DBC,DBC_10-1_B-GQReadsPerGene.out.tab,0.3,24312846,25347,22510,2829
DBC,DBC_10-1_C-GQReadsPerGene.out.tab,0.3,30851864,25543,22803,2896
DBC,DBC_3uM_A-GQReadsPerGene.out.tab,3,26577046,25422,22674,2949
DBC,DBC_3uM_B-GQReadsPerGene.out.tab,3,24930741,25411,22554,3016
DBC,DBC_3uM_C-GQReadsPerGene.out.tab,3,21589717,25120,22213,2874
DBP,DBP_10-4_A-GQReadsPerGene.out.tab,0.0003,14607450,24514,21477,3060
DBP,DBP_10-4_B-GQReadsPerGene.out.tab,0.0003,25912907,25303,22473,2820
DBP,DBP_10-4_C-GQReadsPerGene.out.tab,0.0003,20175196,24865,22095,3376
DBP,DBP_10-3_A-GQReadsPerGene.out.tab,0.003,25702006,25320,22451,2934
DBP,DBP_10-3_B-GQReadsPerGene.out.tab,0.003,23399622,25135,22277,2898
DBP,DBP_10-3_C-GQReadsPerGene.out.tab,0.003,23359363,25134,22328,3060
DBP,DBP_10-2_A-GQReadsPerGene.out.tab,0.03,24027129,25300,22427,3164
DBP,DBP_10-2_B-GQReadsPerGene.out.tab,0.03,25290273,25232,22509,2994
DBP,DBP_10-2_C-GQReadsPerGene.out.tab,0.03,25966918,25366,22622,3100
DBP,DBP_10-1_A-GQReadsPerGene.out.tab,0.3,26689918,25456,22579,3087
