plate_id,Cycle,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
17betaestradiol,Dark,,Dose_mg_L,5,6115012.452093645,1223002.490418729,11.655005641404044,6.867180143703167e-11,3.2736106705521247e-10,TRUE
17betaestradiol,Dark,,time_end,1,989100.6298381712,989100.6298381712,9.425960708169331,0.0022116638418212355,0.003613422614806526,TRUE
17betaestradiol,Dark,,Residuals,800,83946934.25623412,104933.66782029266,NA,NA,NA,NA
17betaestradiol,Light,,Dose_mg_L,5,4237210.330321423,847442.0660642845,4.471584404960204,5.026908874548027e-4,9.111272335118298e-4,TRUE
17betaestradiol,Light,,time_end,1,1151661.0028214012,1151661.0028214012,6.076815851180984,0.013905205903643303,0.01897651629203086,TRUE
17betaestradiol,Light,,Residuals,802,151992778.27108464,189517.17988913297,NA,NA,NA,NA
1decanol,Dark,,Dose_mg_L,5,4555166.984885859,911033.3969771719,10.22440151287954,1.633502928430618e-9,6.7184810861373484e-9,TRUE
1decanol,Dark,,time_end,1,630581.4965134806,630581.4965134806,7.076928714511031,0.007964233346638764,0.011405568743334525,TRUE
1decanol,Dark,,Residuals,802,71461276.57988621,89103.83613452147,NA,NA,NA,NA
1decanol,Light,,Dose_mg_L,5,6907511.763913524,1381502.3527827049,9.51348530862813,7.898994655038052e-9,2.863385562451294e-8,TRUE
1decanol,Light,,time_end,1,3199739.0797283044,3199739.0797283044,22.034468971495485,3.148159262337361e-6,8.115254987358532e-6,TRUE
1decanol,Light,,Residuals,803,116607778.67375322,145215.16646793677,NA,NA,NA,NA
1octanol,Dark,,Dose_mg_L,5,9537278.771555541,1907455.7543111083,33.19345756763836,7.6291354735501905e-31,2.212449287329555e-29,TRUE
1octanol,Dark,,time_end,1,814908.6258151556,814908.6258151556,14.181002537732274,1.7815572171562597e-4,3.625625213861862e-4,TRUE
1octanol,Dark,,Residuals,803,46144242.96085151,57464.81066108532,NA,NA,NA,NA
1octanol,Light,,Dose_mg_L,5,3213372.498629621,642674.4997259242,5.058595585960925,1.4251777231301776e-4,2.952153855055368e-4,TRUE
1octanol,Light,,time_end,1,4368698.032297899,4368698.032297899,34.38673324054852,6.597673028333966e-9,2.4688066815701288e-8,TRUE
1octanol,Light,,Residuals,803,102017964.17807247,127046.03260033931,NA,NA,NA,NA
24DMP,Dark,,Dose_mg_L,5,321481.52983194246,64296.30596638849,0.8115606318757154,0.5415056741663071,0.5710423473026511,FALSE
24DMP,Dark,,time_end,1,71997.26075605104,71997.26075605104,0.9087635993123204,0.34072990658616953,0.3728742373961855,FALSE
24DMP,Dark,,Residuals,802,63538860.018213004,79225.51124465461,NA,NA,NA,NA
24DMP,Light,,Dose_mg_L,5,3218523.1399989,643704.62799978,4.656412447406486,3.3856075533922634e-4,6.545507936558376e-4,TRUE
24DMP,Light,,time_end,1,69357.93190607206,69357.93190607206,0.5017194585929181,0.47895139352577387,0.5097097398989887,FALSE
24DMP,Light,,Residuals,802,110868853.97004804,138240.466296818,NA,NA,NA,NA
24DNP,Dark,,Dose_mg_L,5,7136793.385098728,1427358.6770197456,20.81773403260855,1.3579759510064928e-19,1.5752521031675315e-18,TRUE
24DNP,Dark,,time_end,1,105916.38009512985,105916.38009512985,1.5447687158219343,0.21427217642996974,0.2436820829987891,FALSE
24DNP,Dark,,Residuals,803,55057337.93368269,68564.55533459861,NA,NA,NA,NA
24DNP,Light,,Dose_mg_L,5,6985827.980204461,1397165.5960408922,12.688834188711072,6.9715722297763566e-12,4.2563283087055656e-11,TRUE
24DNP,Light,,time_end,1,746126.0828956368,746126.0828956368,6.776197593587277,0.009409261602790648,0.013310662755167258,TRUE
24DNP,Light,,Residuals,800,88087877.90978713,110109.84738723392,NA,NA,NA,NA
34DCA,Dark,,Dose_mg_L,5,6490766.288878538,1298153.2577757076,22.038293754034257,9.939708961421082e-21,1.281118043916495e-19,TRUE
34DCA,Dark,,time_end,1,201459.07888242253,201459.07888242253,3.420100310371127,0.0647748754785593,0.07909353216329346,FALSE
34DCA,Dark,,Residuals,802,47241357.44608331,58904.43571830836,NA,NA,NA,NA
34DCA,Light,,Dose_mg_L,5,2106078.804423061,421215.7608846122,4.069606893612112,0.0011805857238803205,0.0019847528111611185,TRUE
34DCA,Light,,time_end,1,171215.64408446275,171215.64408446275,1.6542124729545513,0.19875774069278268,0.2305589792036279,FALSE
34DCA,Light,,Residuals,802,83009255.94550984,103502.8128996382,NA,NA,NA,NA
4C3MP,Dark,,Dose_mg_L,5,3625980.9895816008,725196.1979163202,8.124393759806118,1.7161702690890456e-7,4.976893780358232e-7,TRUE
4C3MP,Dark,,time_end,1,654666.5512018783,654666.5512018783,7.334248109160745,0.006909411411937077,0.010408983425775337,TRUE
4C3MP,Dark,,Residuals,802,71587784.63031663,89261.57684578134,NA,NA,NA,NA
4C3MP,Light,,Dose_mg_L,5,2562511.4935926027,512502.29871852056,3.202492286338059,0.00718183979023726,0.010545486274272433,TRUE
4C3MP,Light,,time_end,1,2977846.7579287374,2977846.7579287374,18.607782435335547,1.805650260139372e-5,4.274600615840146e-5,TRUE
4C3MP,Light,,Residuals,803,128505960.06947865,160032.32885364714,NA,NA,NA,NA
4TOP,Dark,,Dose_mg_L,5,2039447.473728388,407889.4947456776,6.319691397047404,9.15563007604863e-6,2.2596874230247685e-5,TRUE
4TOP,Dark,,time_end,1,189143.72726373904,189143.72726373904,2.9305240791735265,0.08730538972582941,0.10334107355302256,FALSE
4TOP,Dark,,Residuals,803,51827730.77081035,64542.62860623954,NA,NA,NA,NA
4TOP,Light,,Dose_mg_L,5,7697868.225246934,1539573.645049387,11.733156286937435,5.7569037285706194e-11,2.903481880496486e-10,TRUE
4TOP,Light,,time_end,1,1471063.2981015674,1471063.2981015674,11.211036016435346,8.509965166970307e-4,0.0014733671035351574,TRUE
4TOP,Light,,Residuals,803,105366161.22219475,131215.64286699222,NA,NA,NA,NA
