plate_id,Cycle,model,term,df,sumsq,meansq,statistic,p.value,is.significant
17betaestradiol,Dark,,Dose_mg_L,5,6115012.452093645,1223002.490418729,11.533679387546258,2.0821255842243117e-10,TRUE
17betaestradiol,Dark,,Residuals,801,84936034.8860723,106037.49673666953,NA,NA,NA
17betaestradiol,Light,,Dose_mg_L,5,4237210.330321423,847442.0660642845,4.443491270567921,6.190563101224333e-4,TRUE
17betaestradiol,Light,,Residuals,803,153144439.27390602,190715.36646812706,NA,NA,NA
1decanol,Dark,,Dose_mg_L,5,4555166.984885859,911033.3969771719,10.147606640924623,4.1166564443027566e-9,TRUE
1decanol,Dark,,Residuals,803,72091858.0763997,89778.15451606439,NA,NA,NA
1decanol,Light,,Dose_mg_L,5,6907511.763913524,1381502.3527827049,9.270936519382298,2.4499353245880492e-8,TRUE
1decanol,Light,,Residuals,804,119807517.7534815,149014.32556403172,NA,NA,NA
1octanol,Dark,,Dose_mg_L,5,9537278.771555541,1907455.7543111083,32.65805225709341,3.267568021113209e-29,TRUE
1octanol,Dark,,Residuals,804,46959151.586666666,58406.90495854063,NA,NA,NA
1octanol,Light,,Dose_mg_L,5,3213372.498629621,642674.4997259242,4.856908629748093,2.774696326280304e-4,TRUE
1octanol,Light,,Residuals,804,106386662.21037036,132321.7191671273,NA,NA,NA
24DMP,Dark,,Dose_mg_L,5,321481.52983194246,64296.30596638849,0.8116528514084307,0.5607766141504179,FALSE
24DMP,Dark,,Residuals,803,63610857.27896906,79216.50968738363,NA,NA,NA
24DMP,Light,,Dose_mg_L,5,3218523.1399989,643704.62799978,4.659303655810217,4.151534557238098e-4,TRUE
24DMP,Light,,Residuals,803,110938211.90195411,138154.68480940736,NA,NA,NA
24DNP,Dark,,Dose_mg_L,5,7136793.385098728,1427358.6770197456,20.803638048548684,8.091544665868699e-19,TRUE
24DNP,Dark,,Residuals,804,55163254.31377782,68611.01282808186,NA,NA,NA
24DNP,Light,,Dose_mg_L,5,6985827.980204461,1397165.5960408922,12.597987168527684,2.598209317092281e-11,TRUE
24DNP,Light,,Residuals,801,88834003.99268277,110903.87514691982,NA,NA,NA
34DCA,Dark,,Dose_mg_L,5,6490766.288878538,1298153.2577757076,21.972073800579366,7.353198000140045e-20,TRUE
34DCA,Dark,,Residuals,803,47442816.524965726,59081.9632938552,NA,NA,NA
34DCA,Light,,Dose_mg_L,5,2106078.804423061,421215.7608846122,4.066294041456917,0.0013519026664467792,TRUE
34DCA,Light,,Residuals,803,83180471.58959429,103587.13772054084,NA,NA,NA
4C3MP,Dark,,Dose_mg_L,5,3625980.9895816008,725196.1979163202,8.06080825612657,3.013553959012621e-7,TRUE
4C3MP,Dark,,Residuals,803,72242451.18151851,89965.69262953737,NA,NA,NA
4C3MP,Light,,Dose_mg_L,5,2562511.4935926027,512502.29871852056,3.1338600403513692,0.008874237595589855,TRUE
4C3MP,Light,,Residuals,804,131483806.82740739,163537.07316841715,NA,NA,NA
4TOP,Dark,,Dose_mg_L,5,2039447.473728388,407889.4947456776,6.304553223159665,1.3066012550169303e-5,TRUE
4TOP,Dark,,Residuals,804,52016874.49807409,64697.60509710708,NA,NA,NA
4TOP,Light,,Dose_mg_L,5,7697868.225246934,1539573.645049387,11.586010551823666,1.9253194383125357e-10,TRUE
4TOP,Light,,Residuals,804,106837224.5202963,132882.1200501198,NA,NA,NA
