.id,term,df.residual,rss,df,sumsq,statistic,p.value,adj.p.value
17betaestradiol_Dark,totaldist ~ Dose_mg_L,801,84936034.8860723,-2,-1576363.8768734932,7.554700746617227,5.619163715787328e-4,8.576618303043817e-4
17betaestradiol_Light,totaldist ~ Dose_mg_L,803,153144439.27390602,-2,-1074071.6399061382,2.828727900610611,0.05967840491173348,0.06786955852706944
1decanol_Dark,totaldist ~ Dose_mg_L,803,72091858.0763997,-2,-1815905.5710363686,10.34877728828452,3.653161729347491e-5,9.212320882702368e-5
1decanol_Light,totaldist ~ Dose_mg_L,804,119807517.7534815,-2,-229263.31772838533,0.7688236531206185,0.4638993937421019,0.4720379795972265
1octanol_Dark,totaldist ~ Dose_mg_L,804,46959151.586666666,-2,-661416.5760740787,5.7287477874462605,0.0033856393715626064,0.004363712967791804
1octanol_Light,totaldist ~ Dose_mg_L,804,106386662.21037036,-2,-4828127.360074073,19.063676669258832,8.156927080841721e-9,3.6392443899139984e-8
24DMP_Dark,totaldist ~ Dose_mg_L,804,64412244.73807407,-2,-1348430.7269876525,8.574183626556295,2.0679076211910086e-4,3.5276071185023086e-4
24DMP_Light,totaldist ~ Dose_mg_L,803,110938211.90195411,-2,-911873.883903876,3.319255162737389,0.03667807679099523,0.04254656907755446
24DNP_Dark,totaldist ~ Dose_mg_L,804,55163254.31377782,-2,-975191.118913576,7.216564232570809,7.829851823129177e-4,0.0011353285143537307
24DNP_Light,totaldist ~ Dose_mg_L,804,89197368.13940735,-2,-2223062.5533580333,10.249556784498889,4.023563086615339e-5,9.334666360947585e-5
34DCA_Dark,totaldist ~ Dose_mg_L,804,47500438.378962874,-2,-1594069.8599506095,13.92447354173656,1.1358048455784592e-6,3.875098884914743e-6
34DCA_Light,totaldist ~ Dose_mg_L,804,83353408.75762963,-2,-472768.5058518499,2.287387866100918,0.102193347113583,0.11398488716515026
4C3MP_Dark,totaldist ~ Dose_mg_L,804,72397987.68385187,-2,-16041383.571432129,114.1409230285166,2.3908187231537415e-44,1.38667485942917e-42
4C3MP_Light,totaldist ~ Dose_mg_L,804,131483806.82740739,-2,-3954665.982296288,12.434970144014773,4.803998477763213e-6,1.4523139252705327e-5
4TOP_Dark,totaldist ~ Dose_mg_L,804,52016874.49807409,-2,-813485.7636543289,6.370824261600163,0.0017986008230808845,0.002426019714853286
4TOP_Light,totaldist ~ Dose_mg_L,804,106837224.5202963,-2,-1908498.7089135796,7.2935983578990955,7.259263879846312e-4,0.0010795828334130412
4TPP_Dark,totaldist ~ Dose_mg_L,804,75297323.93199995,-2,-909415.7586172968,4.90235211824418,0.0076532282343776264,0.00964972255638918
4TPP_Light,totaldist ~ Dose_mg_L,804,124235054.55348152,-2,-2844270.2842222154,9.395708173721216,9.259050675575062e-5,1.7900831306111786e-4
Aniline_Dark,totaldist ~ Dose_mg_L,804,54115615.976740755,-2,-1355137.1989135891,10.299565685380395,3.8320820957565836e-5,9.260865064745077e-5
Aniline_Light,totaldist ~ Dose_mg_L,804,92806257.00533335,-2,-2494873.12535803,11.077718890878362,1.7958132574582466e-5,4.73441676966265e-5
BPA_Dark,totaldist ~ Dose_mg_L,804,39598524.68237037,-2,-1906801.6723950505,20.286349616547177,2.5430859515859713e-9,1.5599364575352688e-8
BPA_Light,totaldist ~ Dose_mg_L,804,86475148.2225185,-2,-290886.6194320917,1.35344356640739,0.25893851453595224,0.2730624335106405
BPAF_Dark,totaldist ~ Dose_mg_L,804,84774325.3893334,-2,-10786589.342691362,58.46134180524838,1.9909200571016025e-24,3.849112110396431e-23
BPAF_Light,totaldist ~ Dose_mg_L,804,128105935.58637041,-2,-2691583.607876539,8.606072668170988,2.0043444231127968e-4,3.5227871678952187e-4
ClofibricAcid_Dark,totaldist ~ Dose_mg_L,804,63200229.781629644,-2,-1763258.56918519,11.50881419265083,1.1807749109479613e-5,3.2611878492848457e-5
ClofibricAcid_Light,totaldist ~ Dose_mg_L,804,115730639.55674072,-2,-134088.91296295822,0.4651492955342826,0.6282106595653405,0.6282106595653405
DES_Dark,totaldist ~ Dose_mg_L,804,76688364.5198519,-2,-1535393.977555558,8.192530256049755,3.005293340387534e-4,4.841861492846583e-4
DES_Light,totaldist ~ Dose_mg_L,804,133523639.51674071,-2,-1141929.8815555423,3.4590419157274996,0.03193003289078304,0.03779473280949829
Dimethylformamide_Dark,totaldist ~ Dose_mg_L,803,69681686.89489886,-2,-3995386.339255348,24.360516809989353,5.3658313589858295e-11,5.186970313686302e-10
Dimethylformamide_Light,totaldist ~ Dose_mg_L,804,100416522.44548148,-2,-5549599.588320985,23.45801221219588,1.2565053185099546e-10,1.041104406765391e-9
DMSO_Dark,totaldist ~ Dose_mg_L,804,91837049.39214815,-2,-1545345.0768395066,6.863126358193872,0.0011081573405283093,0.0015676372134302912
DMSO_Light,totaldist ~ Dose_mg_L,804,84288614.57185185,-2,-189619.22251850367,0.9041405062459252,0.40530202605760596,0.4197770984168062
EE2_Dark,totaldist ~ Dose_mg_L,802,56790163.165188536,-2,-2685453.180854358,19.85374790203604,3.843994800520815e-9,2.0268336220927932e-8
EE2_Light,totaldist ~ Dose_mg_L,804,115743785.9797037,-2,-2731980.3084691316,9.693890803613368,6.919554309319997e-5,1.4864227775576293e-4
Fadrozole_Dark,totaldist ~ Dose_mg_L,803,128508835.7664609,-2,-19764601.012642205,72.79211374730129,8.975064204879549e-30,2.602768619415069e-28
Fadrozole_Light,totaldist ~ Dose_mg_L,804,204997185.58237034,-2,-6640284.008320957,13.42405465202662,1.842749392403056e-6,5.937748042187625e-6
Fenitrothion_Dark,totaldist ~ Dose_mg_L,804,44479359.004,-2,-1002525.897950612,9.246600001835441,1.0711548390205044e-4,2.0040961504254597e-4
Fenitrothion_Light,totaldist ~ Dose_mg_L,804,86588195.22755557,-2,-1007218.4290617257,4.71944356284632,0.009169362130981044,0.011315383055253203
Fluoxetine_Dark,totaldist ~ Dose_mg_L,803,72088567.44089498,-2,-7911030.536454938,49.36879604101795,6.045305934976162e-21,7.012554884572348e-20
Fluoxetine_Light,totaldist ~ Dose_mg_L,804,100068999.71555558,-2,-3996861.336074069,16.682686810143963,7.969982997237394e-8,3.0817267589317925e-7
Flutamide_Dark,totaldist ~ Dose_mg_L,804,83081712.00237036,-2,-9830277.16422221,53.813842030029534,1.173789571585873e-22,1.7019948787995157e-21
Flutamide_Light,totaldist ~ Dose_mg_L,803,124879065.02294908,-2,-4960149.354971319,16.565691956106335,8.921148868066108e-8,3.233916464673964e-7
Glyphosate_Dark,totaldist ~ Dose_mg_L,804,57460572.06903704,-2,-1097120.0086666644,7.805503520332843,4.3922105903899315e-4,6.885086871422054e-4
Glyphosate_Light,totaldist ~ Dose_mg_L,804,112212940.55111112,-2,-2428086.7386913598,8.868826148631138,1.5498631483237946e-4,2.809126956336878e-4
Malathion_Dark,totaldist ~ Dose_mg_L,801,58813165.09687371,-2,-2834577.878291741,20.229411256053428,2.6895456164401186e-9,1.5599364575352688e-8
Malathion_Light,totaldist ~ Dose_mg_L,804,82087090.81303702,-2,-1367590.9879506081,6.7939467830765485,0.0011861583875110034,0.001638028249419957
Prochloraz_Dark,totaldist ~ Dose_mg_L,804,64533551.12059262,-2,-1563759.6993580312,9.958229577859322,5.345927110187007e-5,1.1925529707340247e-4
Prochloraz_Light,totaldist ~ Dose_mg_L,804,106067291.71540739,-2,-2176770.0298024714,8.401967453704085,2.4477853491051396e-4,4.0563300070885173e-4
SDS_Dark,totaldist ~ Dose_mg_L,804,68413461.30237047,-2,-280558.0605432093,1.6512401046306815,0.1924633244212932,0.21062024181952843
SDS_Light,totaldist ~ Dose_mg_L,804,108429276.2145185,-2,-2532709.4862222224,9.590646187623111,7.653566105220706e-5,1.5853815503671465e-4
TEG_Dark,totaldist ~ Dose_mg_L,804,68353634.21570371,-2,-2900371.979629636,17.76915502907475,2.8121887366773957e-8,1.1650496194806354e-7
TEG_Light,totaldist ~ Dose_mg_L,804,104035962.16296296,-2,-4832187.245407417,19.532594268904873,5.214693864694655e-9,2.5204353679357497e-8
TGSH_Dark,totaldist ~ Dose_mg_L,804,48145429.059555545,-2,-1111164.684617281,9.473456095317415,8.581775094016176e-5,1.7163550188032352e-4
TGSH_Light,totaldist ~ Dose_mg_L,804,104225089.66,-2,-947770.8382469118,3.6799571335982555,0.02565095849376842,0.030994908179970172
Trenbolone_Dark,totaldist ~ Dose_mg_L,802,53402835.55368306,-2,-215401.32467329502,1.6199414602015882,0.19855879487669165,0.2132668537564466
Trenbolone_Light,totaldist ~ Dose_mg_L,804,77127801.97540739,-2,-2312031.0219506025,12.392098991788238,5.0079790526570096e-6,1.4523139252705327e-5
Vinclozolin_Dark,totaldist ~ Dose_mg_L,798,75855986.41317143,-2,-4163806.1094956845,23.11541962539973,1.7450481384696132e-10,1.2651599003904695e-9
Vinclozolin_Light,totaldist ~ Dose_mg_L,798,164158315.61243865,-2,-2482351.909255147,6.110840704171381,0.0023241453382823723,0.003063646127735854
