"",".id","Df","Sum Sq","Mean Sq","F value","Pr(>F)","is.significant"
"1","17beta_estradiol",5,5918.10846825829,1183.62169365166,1.22906640867771,0.310193600339956,FALSE
"2","1decanol",5,9064.43857726929,1812.88771545386,1.40070532292483,0.240946900784111,FALSE
"3","1octanol",5,11602.7892589619,2320.55785179237,2.17714415663639,0.0722091365659157,FALSE
"4","24DMP",5,2116.43012683408,423.286025366816,0.623038521558813,0.682878911268884,FALSE
"5","24DNP",5,3856.75259871521,771.350519743042,1.58146959446162,0.183292351122225,FALSE
"6","34DCA",4,8725.91034412033,2181.47758603008,1.22564667010742,0.315281547463421,FALSE
"7","4TOP",5,1399.64776775834,279.929553551669,0.89344625280551,0.493056320197123,FALSE
"8","4TPP",5,15095.9696771931,3019.19393543862,2.53630701821572,0.0407998134468805,TRUE
"9","Aniline",5,1943.73951200648,388.747902401296,0.700911388465441,0.625452141253082,FALSE
"10","BPA",5,3777.29570416126,755.459140832253,0.957723943816845,0.453013026355998,FALSE
"11","BPAF",5,1534.17302121553,306.834604243106,0.337255055108744,0.88784445317777,FALSE
"12","Clofibric_Acid",5,9874.90782879817,1974.98156575963,1.83347963669646,0.124096778897402,FALSE
"13","DES",5,3335.77842089085,667.155684178171,1.20125649472787,0.322890832667041,FALSE
"14","Dimethylformamide",5,1718.71506448551,343.743012897101,0.508515832186614,0.768386476816625,FALSE
"15","DMSO",5,7761.26839252724,1552.25367850545,1.40652413504776,0.238860282511871,FALSE
"16","EE2",5,3891.44636601396,778.289273202792,0.742743572903065,0.59532495122441,FALSE
"17","Fadrozole",5,4546.41391092249,909.282782184497,1.05258991445109,0.398230409909166,FALSE
"18","Fenitrothion",5,2770.79876428239,554.159752856479,0.989537446676695,0.434059974550043,FALSE
"19","Fluoxetine",5,4926.81808969726,985.363617939452,1.70147761494097,0.152380800007674,FALSE
"20","Flutamide",5,5361.87476797455,1072.37495359491,1.28138574601744,0.287454178740184,FALSE
"21","Glyphosate",5,3109.40988038372,621.881976076743,0.786336648736238,0.564649015372071,FALSE
"22","Prochloraz",5,7794.22498289062,1558.84499657812,2.15311955531452,0.0750114396166046,FALSE
"23","SDS",5,2153.67552580113,430.735105160226,0.564387187335743,0.72673286412436,FALSE
"24","TEG",5,2147.17693585413,429.435387170827,0.533914705922197,0.749504935287367,FALSE
"25","TGSH",5,2180.94413449262,436.188826898523,0.418438696132961,0.833597708604505,FALSE
"26","Vinclozolin",5,3852.99752311172,770.599504622345,0.739232249513083,0.597829426274955,FALSE
