plate_id,Cycle2,LOEC
1decanol,Dark,Dose3
1decanol,Light,Dose5
1octanol,Dark,Dose4
1octanol,Light,Dose5
24DNP,Dark,Dose4
24DNP,Light,Dose2
34DCA,Dark,Dose1
34DCA,Light,Dose3
4TOP,Light,Dose3
4TPP,Dark,Dose1
Aniline,Dark,Dose4
Aniline,Light,Dose2
BPAF,Light,Dose2
ClofibricAcid,Light,Dose1
DES,Dark,Dose1
DMSO,Dark,Dose1
DMSO,Light,Dose3
Dimethylformamide,Light,Dose3
EE2,Dark,Dose5
EE2,Light,Dose3
Fadrozole,Dark,Dose1
Fadrozole,Light,Dose1
Fenitrothion,Light,Dose5
Fluoxetine,Dark,Dose4
Flutamide,Dark,Dose4
Malathion,Dark,Dose4
Malathion,Light,Dose3
Prochloraz,Dark,Dose1
Prochloraz,Light,Dose4
SDS,Light,Dose5
TGSH,Dark,Dose1
Trenbolone,Light,Dose5
Vinclozolin,Dark,Dose4
