plate_id,Cycle,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
17betaestradiol,Dark,,Dose_mg_L,5,6115012.452093645,1223002.490418729,13.228710255061582,2.1485488131800607e-12,6.675848098095189e-12,TRUE
17betaestradiol,Dark,,Group,2,1576363.8768734965,788181.9384367482,8.525436843781636,2.1721511240532839e-4,2.699673539894796e-4,TRUE
17betaestradiol,Dark,,Dose_mg_L:Group,10,10416130.306040112,1041613.0306040111,11.266695765304096,3.667819264833512e-18,2.0587114583259067e-17,TRUE
17betaestradiol,Dark,,Residuals,789,72943540.70315868,92450.62193049262,NA,NA,NA,NA
17betaestradiol,Light,,Dose_mg_L,5,4237210.330321423,847442.0660642845,4.732280555847466,2.882452719338551e-4,3.557069313226297e-4,TRUE
17betaestradiol,Light,,Group,2,1074071.639906163,537035.8199530815,2.998911985052185,0.050408302575616466,0.053810089865995496,FALSE
17betaestradiol,Light,,Dose_mg_L:Group,10,10420550.73365644,1042055.073365644,5.819037264355447,1.7042033143617002e-8,3.258586557131163e-8,TRUE
17betaestradiol,Light,,Residuals,791,141649816.90034345,179076.88609398666,NA,NA,NA,NA
1decanol,Dark,,Dose_mg_L,5,4555166.984885859,911033.3969771719,11.241946841748257,1.7304595542974621e-10,4.5621206431478547e-10,TRUE
1decanol,Dark,,Group,2,1815905.571036378,907952.785518189,11.203932790477605,1.5916215359905312e-5,2.30785122718627e-5,TRUE
1decanol,Dark,,Dose_mg_L:Group,10,6174295.81251986,617429.5812519861,7.618941911447446,1.1112330291792604e-11,3.3336990875377815e-11,TRUE
1decanol,Dark,,Residuals,791,64101656.6928435,81038.75688096523,NA,NA,NA,NA
1decanol,Light,,Dose_mg_L,5,6907511.763913524,1381502.3527827049,9.657996099889782,5.78014923456499e-9,1.1428931441071685e-8,TRUE
1decanol,Light,,Group,2,229263.31772839458,114631.65886419729,0.8013827207780732,0.44907160088652215,0.4569500500248822,FALSE
1decanol,Light,,Dose_mg_L:Group,10,6288721.89841977,628872.1898419771,4.3964059450127335,4.9688476581976954e-6,7.71945975469999e-6,TRUE
1decanol,Light,,Residuals,792,113289532.53733335,143042.3390622896,NA,NA,NA,NA
1octanol,Dark,,Dose_mg_L,5,9537278.771555541,1907455.7543111083,35.42539939965906,9.194954820974461e-33,1.9999026735619453e-31,TRUE
1octanol,Dark,,Group,2,661416.5760740725,330708.28803703625,6.141937060406744,0.002254575988079895,0.0025808961968809318,TRUE
1octanol,Dark,,Dose_mg_L:Group,10,3653051.167481491,365305.1167481491,6.784471741634724,3.367110484252228e-10,8.36967463228411e-10,TRUE
1octanol,Dark,,Residuals,792,42644683.84311109,53844.29778170592,NA,NA,NA,NA
1octanol,Light,,Dose_mg_L,5,3213372.498629621,642674.4997259242,5.334781184977337,7.859828581641402e-5,1.0206046068698537e-4,TRUE
1octanol,Light,,Group,2,4828127.360074088,2414063.680037044,20.03891784268857,3.237771778415457e-9,6.706812969574876e-9,TRUE
1octanol,Light,,Dose_mg_L:Group,10,6147273.144518529,614727.3144518529,5.102794202085106,3.0309338714352963e-7,5.327095895249915e-7,TRUE
1octanol,Light,,Residuals,792,95411261.70577776,120468.76478002244,NA,NA,NA,NA
24DMP,Dark,,Dose_mg_L,5,321481.52983194246,64296.30596638849,0.9857900369375074,0.42535412281542273,0.43536245511696203,FALSE
24DMP,Dark,,Group,2,1261219.8476203326,630609.9238101663,9.668502268403344,7.104378188764773e-5,9.497728058473247e-5,TRUE
24DMP,Dark,,Dose_mg_L:Group,10,10758146.22759113,1075814.622759113,16.494374299855075,2.8575886744065117e-27,2.9248260549807826e-26,TRUE
24DMP,Dark,,Residuals,791,51591491.2037576,65223.124151400254,NA,NA,NA,NA
24DMP,Light,,Dose_mg_L,5,3218523.1399989,643704.62799978,4.871275506611418,2.1384672533010992e-4,2.676930230751016e-4,TRUE
24DMP,Light,,Group,2,911873.8839038755,455936.94195193774,3.450331660331865,0.03221354308130236,0.034599731457695126,TRUE
24DMP,Light,,Dose_mg_L:Group,10,5501278.809888635,550127.8809888635,4.163127551983374,1.235862189542195e-5,1.83794889726788e-5,TRUE
24DMP,Light,,Residuals,791,104525059.20816162,132142.93199514743,NA,NA,NA,NA
24DNP,Dark,,Dose_mg_L,5,7136793.385098728,1427358.6770197456,22.44386826107374,4.344389775422788e-21,3.02369528369426e-20,TRUE
24DNP,Dark,,Group,2,975191.1189135828,487595.5594567914,7.6669800501597285,5.036122611468252e-4,6.043347133761901e-4,TRUE
24DNP,Dark,,Dose_mg_L:Group,10,3819380.7979753283,381938.0797975328,6.005615886794172,8.001407691810716e-9,1.5643201554776006e-8,TRUE
24DNP,Dark,,Residuals,792,50368682.39688891,63596.82120819307,NA,NA,NA,NA
