.id,chemical,median_POD,POD_med,mean_POD,ciu_POD,cil_POD,hit_confidence,lowest_conc,highest_conc
rcurvep_pearson,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0.101,1e-5,0.1000000
rcurvep_spearman,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0.218,1e-5,0.1000000
fitted_pearson,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_spearman,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
rcurvep_pearson,1decanol,1,1,1,1,1,0.228,1e-4,1.0000000
rcurvep_spearman,1decanol,1,1,1,1,1,0.478,1e-4,1.0000000
fitted_pearson,1decanol,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,1decanol,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,1octanol,10,10,10,10,10,0.091,0.001,10.0000000
rcurvep_spearman,1octanol,10,10,10,10,10,0.179,0.001,10.0000000
fitted_pearson,1octanol,10,10,10,10,10,0,0.001,10.0000000
fitted_spearman,1octanol,10,10,10,10,10,0,0.001,10.0000000
rcurvep_pearson,24DMP,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_spearman,24DMP,1,1,1,1,1,0.121,1e-4,1.0000000
fitted_pearson,24DMP,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,24DMP,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,24DNP,10,10,10,10,10,0,0.001,10.0000000
rcurvep_spearman,24DNP,10,10,10,10,10,0.107,0.001,10.0000000
fitted_pearson,24DNP,10,10,10,10,10,0,0.001,10.0000000
fitted_spearman,24DNP,10,10,10,10,10,0,0.001,10.0000000
rcurvep_pearson,34DCA,1,1,1,1,1,0.025,1e-4,1.0000000
rcurvep_spearman,34DCA,1,1,1,1,1,0.017,1e-4,1.0000000
fitted_pearson,34DCA,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,34DCA,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,4C3MP,1,1,1,1,1,0.338,1e-4,1.0000000
rcurvep_spearman,4C3MP,1,1,1,1,1,0.349,1e-4,1.0000000
fitted_pearson,4C3MP,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,4C3MP,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,4TOP,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
rcurvep_spearman,4TOP,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_pearson,4TOP,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_spearman,4TOP,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
rcurvep_pearson,4TPP,0.49434898640907965,0.7892234841698982,0.4663708792165179,0.7892234841698982,0.2584339365125791,0.574,1e-4,1.0000000
rcurvep_spearman,4TPP,1,1,1,1,1,0.464,1e-4,1.0000000
fitted_pearson,4TPP,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,4TPP,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Aniline,10,10,10,10,10,0,0.001,10.0000000
rcurvep_spearman,Aniline,10,10,10,10,10,0,0.001,10.0000000
fitted_pearson,Aniline,10,10,10,10,10,0,0.001,10.0000000
fitted_spearman,Aniline,10,10,10,10,10,0,0.001,10.0000000
rcurvep_pearson,BPA,1,1,1,1,1,0.233,1e-4,1.0000000
rcurvep_spearman,BPA,1,1,1,1,1,0.114,1e-4,1.0000000
fitted_pearson,BPA,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,BPA,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,BPAF,1,1,1,1,1,0.272,1e-4,1.0000000
rcurvep_spearman,BPAF,1,1,1,1,1,0.314,1e-4,1.0000000
fitted_pearson,BPAF,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,BPAF,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,ClofibricAcid,10,10,10,10,10,0.324,0.001,10.0000000
rcurvep_spearman,ClofibricAcid,10,10,10,10,10,0.395,0.001,10.0000000
fitted_pearson,ClofibricAcid,10,10,10,10,10,0,0.001,10.0000000
fitted_spearman,ClofibricAcid,8.017916105772004,8.066486750417925,8.018353421569296,9.403208767356096,6.7954878081738475,1,0.001,10.0000000
rcurvep_pearson,DES,0.1,0.1,0.1,0.1,0.1,0.07,1e-5,0.1000000
rcurvep_spearman,DES,0.1,0.1,0.1,0.1,0.1,0.028,1e-5,0.1000000
fitted_pearson,DES,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_spearman,DES,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_pearson,Dimethylformamide,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,0,0.1,1000.0000000
fitted_spearman,Dimethylformamide,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,0,0.1,1000.0000000
rcurvep_pearson,DMSO,10,10,10,10,10,0.085,0.001,10.0000000
rcurvep_spearman,DMSO,10,10,10,10,10,0.032,0.001,10.0000000
fitted_pearson,DMSO,10,10,10,10,10,0,0.001,10.0000000
fitted_spearman,DMSO,10,10,10,10,10,0,0.001,10.0000000
fitted_pearson,EE2,0.001,0.001,0.001,0.001,0.001,0,1.0000000000000001e-7,0.0010000
fitted_spearman,EE2,0.001,0.001,0.001,0.001,0.001,0,1.0000000000000001e-7,0.0010000
rcurvep_pearson,Fadrozole,1,1,1,1,1,0.348,1e-4,1.0000000
rcurvep_spearman,Fadrozole,1,1,1,1,1,0.318,1e-4,1.0000000
fitted_pearson,Fadrozole,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Fadrozole,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Fenitrothion,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_spearman,Fenitrothion,1,1,1,1,1,0,1e-4,1.0000000
fitted_pearson,Fenitrothion,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Fenitrothion,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Fluoxetine,0.053350095877232155,0.07006137006541541,0.018063536266561497,0.1,6.322686530549455e-4,0.579,1e-5,0.1000000
rcurvep_spearman,Fluoxetine,0.04013722724320393,0.05929260039662426,0.01063521247432421,0.1,6.799733677841843e-4,0.579,1e-5,0.1000000
fitted_pearson,Fluoxetine,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_spearman,Fluoxetine,0.057635508084897515,0.057656342983149755,0.057501279125901104,0.059744310582395294,0.05502403327738624,1,1e-5,0.1000000
rcurvep_pearson,Flutamide,1,1,1,1,1,0.289,1e-4,1.0000000
rcurvep_spearman,Flutamide,1,1,1,1,1,0.3,1e-4,1.0000000
fitted_pearson,Flutamide,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Flutamide,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Glyphosate,1,1,1,1,1,0.228,1e-4,1.0000000
rcurvep_spearman,Glyphosate,1,1,1,1,1,0.308,1e-4,1.0000000
fitted_pearson,Glyphosate,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Glyphosate,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Malathion,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_spearman,Malathion,1,1,1,1,1,0,1e-4,1.0000000
fitted_pearson,Malathion,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Malathion,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Prochloraz,1,1,1,1,1,0.442,1e-4,1.0000000
rcurvep_spearman,Prochloraz,1,1,1,1,1,0.341,1e-4,1.0000000
fitted_pearson,Prochloraz,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Prochloraz,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,SDS,0.1,0.1,0.1,0.1,0.1,0.169,1e-5,0.1000000
rcurvep_spearman,SDS,0.1,0.1,0.1,0.1,0.1,0.154,1e-5,0.1000000
fitted_pearson,SDS,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_spearman,SDS,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_pearson,TEG,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,0,0.1,1000.0000000
fitted_spearman,TEG,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,0,0.1,1000.0000000
rcurvep_pearson,TGSH,1,1,1,1,1,0.115,1e-4,1.0000000
rcurvep_spearman,TGSH,1,1,1,1,1,0.118,1e-4,1.0000000
fitted_pearson,TGSH,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,TGSH,1,1,1,1,1,0,1e-4,1.0000000
rcurvep_pearson,Trenbolone,0.1,0.1,0.1,0.1,0.1,0.438,1e-5,0.1000000
rcurvep_spearman,Trenbolone,0.1,0.1,0.1,0.1,0.1,0.421,1e-5,0.1000000
fitted_pearson,Trenbolone,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
fitted_spearman,Trenbolone,0.1,0.1,0.1,0.1,0.1,0,1e-5,0.1000000
rcurvep_pearson,Vinclozolin,1,1,1,1,1,0.449,1e-4,1.0000000
rcurvep_spearman,Vinclozolin,1,1,1,1,1,0.368,1e-4,1.0000000
fitted_pearson,Vinclozolin,1,1,1,1,1,0,1e-4,1.0000000
fitted_spearman,Vinclozolin,1,1,1,1,1,0,1e-4,1.0000000
