gene.id	bmd
ENSDARG00000001686	0.61739964
ENSDARG00000004473	0.001102076
ENSDARG00000004931	0.051813534
ENSDARG00000005578	0.007910104
ENSDARG00000007097	0.001468275
ENSDARG00000010276	0.023030909
ENSDARG00000010312	0.016483506
ENSDARG00000013926	0.000740145
ENSDARG00000017884	0.736810068
ENSDARG00000019096	0.003670683
ENSDARG00000019498	0.223369914
ENSDARG00000020298	0.161687085
ENSDARG00000027744	0.00154263
ENSDARG00000027822	0.055322096
ENSDARG00000028012	0.033531431
ENSDARG00000029473	0.024994344
ENSDARG00000030157	0.003356581
ENSDARG00000030722	0.006733778
ENSDARG00000030896	0.49335208
ENSDARG00000032234	0.088934484
ENSDARG00000037533	0.068690071
ENSDARG00000038011	1.42376919
ENSDARG00000038700	0.162135703
ENSDARG00000039687	0.114090766
ENSDARG00000040432	NA
ENSDARG00000043004	NA
ENSDARG00000043569	0.655184064
ENSDARG00000044098	0.065597555
ENSDARG00000044114	0.001089758
ENSDARG00000044135	0.001589121
ENSDARG00000045277	0.001397771
ENSDARG00000045856	1.251366987
ENSDARG00000052103	0.000908812
ENSDARG00000052496	0.021057465
ENSDARG00000052741	NA
ENSDARG00000055752	0.001126708
ENSDARG00000055854	0.123433781
ENSDARG00000056376	0.467184167
ENSDARG00000057751	0.709463162
ENSDARG00000058571	0.001145506
ENSDARG00000059363	0.001518558
ENSDARG00000061846	0.775291207
ENSDARG00000068290	1.481472464
ENSDARG00000068830	NA
ENSDARG00000069377	0.404195376
ENSDARG00000070092	0.056828006
ENSDARG00000071198	0.828581333
ENSDARG00000074636	0.054309081
ENSDARG00000074721	1.365467755
ENSDARG00000077009	0.610482371
ENSDARG00000077022	0.742464438
ENSDARG00000077288	0.026316535
ENSDARG00000077799	0.000766028
ENSDARG00000078622	0.410306085
ENSDARG00000079926	1.991080209
ENSDARG00000086739	0.024902535
ENSDARG00000086944	0.351406267
ENSDARG00000087017	1.018761435
ENSDARG00000089237	0.013255477
ENSDARG00000090946	0.026589116
ENSDARG00000091131	NA
ENSDARG00000091926	0.050721921
ENSDARG00000093562	0.911083819
ENSDARG00000093640	0.037973972
ENSDARG00000094003	0.867430682
ENSDARG00000094012	0.289072015
ENSDARG00000094417	0.016905099
ENSDARG00000094708	0.880842807
ENSDARG00000095919	0.801423854
ENSDARG00000096045	0.000393316
ENSDARG00000096714	0.00279071
ENSDARG00000096830	0.216203297
ENSDARG00000096843	0.117218373
ENSDARG00000097714	0.000863937
ENSDARG00000098406	1.766781619
ENSDARG00000098477	2.820852808
ENSDARG00000098478	0.316006893
ENSDARG00000098747	0.00386022
ENSDARG00000098980	0.083054434
ENSDARG00000100515	0.028772937
ENSDARG00000100947	0.011263012
ENSDARG00000101032	0.08038946
ENSDARG00000101868	1.534402041
ENSDARG00000101878	0.444363841
ENSDARG00000102019	0.400091691
ENSDARG00000102349	0.484314086
ENSDARG00000102517	0.292231062
ENSDARG00000102724	0.004441649
ENSDARG00000102858	1.027336516
ENSDARG00000103066	0.739023798
ENSDARG00000103914	0.279437285
ENSDARG00000103946	1.054593931
ENSDARG00000104078	0.001426158
ENSDARG00000104593	0.130247815
ENSDARG00000104829	NA
ENSDARG00000105141	0.006521531
ENSDARG00000105584	0.028163668
ENSDARG00000105625	1.243559102
ENSDARG00000108038	0.598393326
ENSDARG00000112575	0.00179946
ENSDARG00000116986	1.117801765
ENSDARG00000117647	0.856490387
ENSDARG00000117659	0.422708571
ENSDARG00000117666	0.001025009
ENSDARG00000117818	0.029331747
