gene.id	bmd
ENSDARG00000003446	1.408558917
ENSDARG00000003684	0.764170327
ENSDARG00000006279	0.001369609
ENSDARG00000007561	12.03817159
ENSDARG00000008403	0.674494691
ENSDARG00000010294	2.960969608
ENSDARG00000010940	0.221960267
ENSDARG00000012060	1.683629313
ENSDARG00000013926	0.187825319
ENSDARG00000014623	NA
ENSDARG00000015515	2.541862877
ENSDARG00000016088	0.800559744
ENSDARG00000017437	3.832577504
ENSDARG00000018266	0.195715455
ENSDARG00000018611	NA
ENSDARG00000020749	NA
ENSDARG00000023026	NA
ENSDARG00000027529	0.987702264
ENSDARG00000027851	1.453149803
ENSDARG00000028027	0.003450406
ENSDARG00000029473	4.369012305
ENSDARG00000030621	NA
ENSDARG00000033089	1.613901943
ENSDARG00000033539	3.062346919
ENSDARG00000034895	NA
ENSDARG00000035521	NA
ENSDARG00000035984	0.084543173
ENSDARG00000037961	0.246603815
ENSDARG00000038703	0.019530975
ENSDARG00000040230	0.080461095
ENSDARG00000040277	2.739355658
ENSDARG00000040306	1.248207808
ENSDARG00000041034	5.235967355
ENSDARG00000041119	0.385908418
ENSDARG00000042526	8.538928026
ENSDARG00000042845	7.82764541
ENSDARG00000042873	1.794142879
ENSDARG00000043705	2.811501607
ENSDARG00000045758	NA
ENSDARG00000051805	7.75831568
ENSDARG00000053481	0.235010769
ENSDARG00000054050	1.963948737
ENSDARG00000054103	NA
ENSDARG00000054649	NA
ENSDARG00000054878	0.002248459
ENSDARG00000054941	1.831558111
ENSDARG00000055798	NA
ENSDARG00000056806	NA
ENSDARG00000058444	0.307705322
ENSDARG00000058553	0.31661492
ENSDARG00000058578	0.001640754
ENSDARG00000058985	0.142830426
ENSDARG00000059255	1.203987185
ENSDARG00000059634	0.000747318
ENSDARG00000060529	4.51011881
ENSDARG00000061197	0.1838648
ENSDARG00000061274	NA
ENSDARG00000061351	2.415815169
ENSDARG00000061835	2.896573949
ENSDARG00000062025	0.209080731
ENSDARG00000062481	0.076670459
ENSDARG00000062758	NA
ENSDARG00000062830	0.046235494
ENSDARG00000063436	0.029377523
ENSDARG00000063568	3.116459991
ENSDARG00000067797	0.392308148
ENSDARG00000068966	0.012202545
ENSDARG00000069189	0.022439474
ENSDARG00000071083	0.001335872
ENSDARG00000071306	2.983696391
ENSDARG00000071475	0.736396401
ENSDARG00000071579	NA
ENSDARG00000073850	0.165239223
ENSDARG00000073933	0.406980796
ENSDARG00000074033	0.429230692
ENSDARG00000074160	0.387380502
ENSDARG00000074708	3.363901836
ENSDARG00000074721	5.349574146
ENSDARG00000076830	2.08049541
ENSDARG00000076844	0.515487665
ENSDARG00000076862	1.707573589
ENSDARG00000077023	0.335186668
ENSDARG00000077115	6.619914858
ENSDARG00000077687	0.692285216
ENSDARG00000078068	1.402175922
ENSDARG00000078221	1.172234451
ENSDARG00000078285	1.425652183
ENSDARG00000079486	5.901080988
ENSDARG00000079765	0.076771471
ENSDARG00000079869	0.455685336
ENSDARG00000079946	0.494576265
ENSDARG00000080152	NA
ENSDARG00000082242	0.149744668
ENSDARG00000086825	NA
ENSDARG00000087788	2.933754974
ENSDARG00000087911	0.989974759
ENSDARG00000088842	0.234102643
ENSDARG00000089617	2.964687594
ENSDARG00000089875	3.775175253
ENSDARG00000089933	1.427306252
ENSDARG00000091821	0.000741837
ENSDARG00000092228	0.066816393
ENSDARG00000092337	NA
ENSDARG00000092626	0.222624277
ENSDARG00000092788	1.514966188
ENSDARG00000092870	2.761219189
ENSDARG00000092944	0.017994993
ENSDARG00000093135	1.530003044
ENSDARG00000093201	NA
ENSDARG00000093349	NA
ENSDARG00000093484	0.001202023
ENSDARG00000093688	0.498158824
ENSDARG00000093780	1.230407881
ENSDARG00000095638	1.588705542
ENSDARG00000095724	1.900213905
ENSDARG00000096001	8.997328037
ENSDARG00000096896	0.026812676
ENSDARG00000096926	NA
ENSDARG00000097013	2.61941844
ENSDARG00000097433	2.419663162
ENSDARG00000097445	3.738776298
ENSDARG00000097572	0.160374059
ENSDARG00000097580	1.013342474
ENSDARG00000097665	3.447315698
ENSDARG00000097770	NA
ENSDARG00000098142	0.17972328
ENSDARG00000098597	NA
ENSDARG00000098711	0.308811943
ENSDARG00000098949	1.944702589
ENSDARG00000099026	0.514947251
ENSDARG00000099183	NA
ENSDARG00000099207	0.156835237
ENSDARG00000099302	0.054745833
ENSDARG00000099764	0.02536271
ENSDARG00000099821	3.01910608
ENSDARG00000099876	4.665154284
ENSDARG00000100862	1.751931408
ENSDARG00000101159	1.529549425
ENSDARG00000101393	0.219100886
ENSDARG00000101549	1.459332574
ENSDARG00000101589	NA
ENSDARG00000101980	1.130778362
ENSDARG00000102282	0.059569511
ENSDARG00000102929	0.179965961
ENSDARG00000102959	0.74734198
ENSDARG00000103031	5.057336656
ENSDARG00000103193	0.11462861
ENSDARG00000103333	7.830868909
ENSDARG00000103488	NA
ENSDARG00000103535	0.054605122
ENSDARG00000103887	0.678089113
ENSDARG00000104015	NA
ENSDARG00000104529	1.573771582
ENSDARG00000104540	1.597923124
ENSDARG00000104572	1.098592444
ENSDARG00000105279	2.900478242
ENSDARG00000105589	0.000697627
ENSDARG00000105781	2.814244757
ENSDARG00000109742	NA
ENSDARG00000111040	3.51284736
ENSDARG00000111980	15.77989983
ENSDARG00000113766	NA
ENSDARG00000113896	2.499791565
ENSDARG00000115425	NA
ENSDARG00000115524	0.008229301
ENSDARG00000115545	2.082203161
ENSDARG00000117298	0.002530001
ENSDARG00000117309	0.000475547
ENSDARG00000117555	0.218401885
